Date de Vente, Nature de la vente, Prix, Numero de voie, Type de voie, Nom de voie, Code postal, Code type local, Nombre de pièces, Surface réelle bati, Surface terrain
2014,Vente,220000,69,RUE,ERNEST RENAN,33000,1,3,87,296
2014,Vente,257000,27,RUE,JEAN GRONDEL,33200,1,3,88,241
2014,Vente,327750,6,RUE,DU SACRE COEUR CAUD,33200,1,4,99,95
2014,Vente,1550000,6,PL,GAMBETTA,33000,2,2,52,143
2014,Vente,1550000,6,PL,GAMBETTA,33000,3,0,0,143
2014,Vente,1550000,6,PL,GAMBETTA,33000,4,0,163,143
2014,Vente,1550000,6,PL,GAMBETTA,33000,3,0,0,143
2014,Vente,1550000,6,PL,GAMBETTA,33000,3,0,0,143
2014,Vente,1550000,6,PL,GAMBETTA,33000,2,3,102,143
2014,Vente,1550000,6,PL,GAMBETTA,33000,3,0,0,143
2014,Vente,1550000,6,PL,GAMBETTA,33000,3,0,0,143
2014,Vente,1550000,6,PL,GAMBETTA,33000,3,0,0,143
2014,Vente,300000,66,RUE,ANDRE MAGINOT CAUD,33200,1,2,90,316
2014,Vente,879860,59,RUE,DU PARC,33200,1,6,170,236
2014,Vente,324000,71,RUE,FRANCOIS MARCEAU,33200,1,4,105,352
2014,Vente,220000,8,RUE,DU CARDINAL LECOT,33000,1,3,45,166
2014,Vente,151200,9,RUE,FRANCOIS CHAMBRELENT,33300,1,5,60,172
2014,Vente,450000,1,RUE,MAURICE,33300,3,0,0,128
2014,Vente,450000,1,RUE,MAURICE,33300,2,2,36,128
2014,Vente,450000,1,RUE,MAURICE,33300,2,1,14,128
2014,Vente,450000,1,RUE,MAURICE,33300,2,1,14,128
2014,Vente,450000,1,RUE,MAURICE,33300,2,1,12,128
2014,Vente,450000,1,RUE,MAURICE,33300,2,2,36,128
2014,Vente,450000,1,RUE,MAURICE,33300,2,1,20,128
2014,Vente,450000,1,RUE,MAURICE,33300,2,1,14,128
2014,Vente,450000,1,RUE,MAURICE,33300,2,1,12,128
2014,Vente,450000,1,RUE,MAURICE,33300,2,1,20,128
2014,Vente,450000,1,RUE,MAURICE,33300,2,1,12,128
2014,Vente,442500,115,RUE,LAROCHE,33000,1,4,96,166
2014,Vente,158002,7,RUE,LEONIE,33300,1,4,90,247
2014,Vente,340000,19,RUE,ERNEST RENAN,33000,1,4,98,99
2014,Vente,130000,17,RUE,DE PAUILLAC CAUD,33200,1,6,160,224
2014,Vente,125000,67,RUE,ACHARD,33300,1,5,106,62
2014,Vente,592000,6,RUE,DE TIVOLI,33000,1,8,168,264
2014,Vente,228000,150,RUE,CAMILLE GODARD,33000,1,3,70,59
2014,Vente,300500,26,RUE,DU CHANOINE ANDRE LACAZE,33200,1,3,56,392
2014,Vente,277000,24,RUE,ETIENNE HUYARD,33300,2,4,100,122
2014,Vente,277000,24,RUE,ETIENNE HUYARD,33300,4,0,23,122
2014,Vente,277000,24,RUE,ETIENNE HUYARD,33300,4,0,0,122
2014,Vente,277000,24,RUE,ETIENNE HUYARD,33300,4,0,74,122
2014,Vente,75000,58,RUE,AUDUBERT,33300,1,2,42,147
2014,Vente,455000,5,RUE,EDMOND LABASSE,33200,1,4,150,84
2014,Vente,440000,9,RUE,DE LURBE,33000,2,2,35,70
2014,Vente,440000,9,RUE,DE LURBE,33000,2,2,42,70
2014,Vente,440000,9,RUE,DE LURBE,33000,2,2,36,70
2014,Vente,540000,371,BD,DU PRESIDENT WILSON,33200,1,5,174,487
2014,Vente,170000,25,RUE,SOUBIRAS CAUD,33200,1,1,59,240
2014,Vente,1788000,22,RUE,BORIE,33300,1,7,328,377
2014,Vente,280000,35,RUE,VIRGINIA,33200,1,5,114,510
2014,Vente,336400,73,RUE,ETCHENIQUE,33200,1,3,60,229
2014,Vente,424025,179,RUE,BARREYRE,33300,1,4,98,217
2014,Vente,1900000,20,RUE,DES REMPARTS,33000,2,2,39,486
2014,Vente,1900000,20,RUE,DES REMPARTS,33000,4,0,849,486
2014,Vente,1900000,20,RUE,DES REMPARTS,33000,2,2,39,486
2014,Vente,1900000,20,RUE,DES REMPARTS,33000,2,2,39,486
2014,Vente,600000,61,RUE,GEORGES BONNAC,33000,2,3,60,96
2014,Vente,600000,61,RUE,GEORGES BONNAC,33000,2,2,60,96
2014,Vente,600000,61,RUE,GEORGES BONNAC,33000,3,0,0,96
2014,Vente,600000,61,RUE,GEORGES BONNAC,33000,2,1,40,96
2014,Vente,575000,47,RUE,ETIENNE LHOSTE,33200,1,7,180,144
2014,Vente,575000,47,RUE,ETIENNE LHOSTE,33200,1,7,180,555
2014,Vente,790000,28,RUE,RAMONET,33000,1,4,168,131
2014,Vente,489000,61,RUE,DU VELODROME,33200,1,7,180,371
2014,Vente,295000,34,BD,PIERRE 1ER,33000,1,3,100,82
2014,Vente,258000,39,RUE,RENAULT,33200,1,5,102,215
2014,Vente,543900,8,RUE,SAINT HUBERT,33000,1,5,98,154
2014,Vente,590000,6,RUE,ERNEST RENAN,33000,1,6,160,162
2014,Vente,279000,261,RUE,CAMILLE GODARD,33000,1,5,85,78
2014,Vente,10200,19,RUE,DES FRERES FAUCHER,33000,1,4,85,193
2014,Vente,383000,6,RUE,BARREYRE,33300,2,2,30,45
2014,Vente,383000,6,RUE,BARREYRE,33300,2,2,30,45
2014,Vente,383000,6,RUE,BARREYRE,33300,2,2,30,45
2014,Vente,383000,6,RUE,BARREYRE,33300,2,2,30,45
2014,Vente,282500,8,RUE,DELACROIX,33200,1,6,98,395
2014,Vente,275000,18,AV,GEORGES CLEMENCEAU CAUD,33200,1,3,72,245
2014,Vente,595300,44,RUE,DES FRERES FAUCHER,33000,1,5,103,169
2014,Vente,570000,52,BD,PIERRE 1ER,33000,4,0,60,351
2014,Vente,570000,52,BD,PIERRE 1ER,33000,4,0,60,351
2014,Vente,570000,52,BD,PIERRE 1ER,33000,4,0,65,351
2014,Vente,570000,52,BD,PIERRE 1ER,33000,2,3,112,351
2014,Vente,625000,4,RUE,SAINT FORT,33000,1,4,144,56
2014,Vente,625000,6,RUE,SAINT FORT,33000,1,5,150,82
2014,Vente,254750,14,RUE,DE LACANAU,33000,1,2,50,79
2014,Vente,300000,18,RUE,PENICAUD,33300,2,2,44,57
2014,Vente,300000,18,RUE,PENICAUD,33300,2,1,27,57
2014,Vente,300000,18,RUE,PENICAUD,33300,2,2,46,57
2014,Vente,340000,95,RUE,GUYNEMER CAUD,33200,1,4,69,445
2014,Vente,400000,21,RUE,MINVIELLE,33000,2,1,35,107
2014,Vente,400000,21,RUE,MINVIELLE,33000,2,1,35,107
2014,Vente,400000,21,RUE,MINVIELLE,33000,2,1,35,107
2014,Vente,400000,21,RUE,MINVIELLE,33000,3,0,0,107
2014,Vente,480000,72,RUE,DAVID JOHNSTON,33000,1,5,132,149
2014,Vente,257000,21,RUE,PAULIN,33000,4,0,69,110
2014,Vente,257000,21,RUE,PAULIN,33000,2,2,30,110
2014,Vente,257000,21,RUE,PAULIN,33000,2,2,30,110
2014,Vente,257000,21,RUE,PAULIN,33000,2,1,28,110
2014,Vente,745000,36,RUE,BORIE,33300,4,0,315,191
2014,Vente,290000,4,RUE,DES HORTENSIAS,33200,1,4,71,528
2014,Vente,600000,41,RUE,PASTEUR,33200,2,2,43,185
2014,Vente,600000,41,RUE,PASTEUR,33200,2,1,36,185
2014,Vente,600000,41,RUE,PASTEUR,33200,2,2,74,185
2014,Vente,600000,41,RUE,PASTEUR,33200,2,2,73,185
2014,Vente,600000,41,RUE,PASTEUR,33200,3,0,0,185
2014,Vente,600000,41,RUE,PASTEUR,33200,3,0,0,185
2014,Vente,233000,8,RUE,MAURICE RAVEL,33200,1,4,78,208
2014,Vente,250000,10,RUE,DES LISERONS,33200,1,4,97,601
2014,Vente,290000,61,AV,RAYMOND POINCARE,33200,1,3,75,697
2014,Vente,250000,11,RUE,CLAUDE DEBUSSY,33200,1,3,57,506
2014,Vente,413853,134,RUE,BERNARD ADOUR CAUD,33200,1,4,110,136
2014,Vente,230000,12,RUE,PIERRE BROSSOLETTE,33200,1,3,56,211
2014,Vente,320000,298,RUE,PASTEUR,33200,1,3,85,479
2014,Vente,197750,69,RUE,DU MARECHAL JOFFRE CAUD,33200,1,2,61,198
2014,Vente,286000,187,RUE,BERNARD ADOUR CAUD,33200,1,4,103,258
2014,Vente,182938,39,CRS,LOUIS FARGUES,33300,4,0,1622,1368
2014,Vente,182938,39,CRS,LOUIS FARGUES,33300,4,0,1119,1368
