Date,Open,High,Low,Close,Adj Close,Volume
2001-11-29,13.39,14.47,13.36,13.88,13.21,371100
2001-11-30,13.88,14.27,13.88,14.27,13.58,165300
2001-12-03,14.23,14.23,13.78,13.78,13.12,127500
2001-12-04,13.78,13.78,13.23,13.23,12.6,95400
2001-12-05,13.43,14.78,13.43,14.67,13.96,598200
2001-12-06,14.73,14.73,14.57,14.57,13.87,157200
2001-12-07,14.58,14.67,14.47,14.67,13.96,215100
2001-12-10,14.63,14.64,14.59,14.62,13.91,119100
2001-12-11,14.6,14.71,14.59,14.59,13.89,378600
2001-12-12,14.58,14.58,14.04,14.1,13.42,114600
2001-12-13,14.08,14.27,13.97,13.97,13.3,113700
2001-12-14,13.95,13.95,13.52,13.63,12.98,233400
2001-12-17,13.66,14.0,13.66,13.67,13.01,106200
2001-12-18,13.68,13.87,13.67,13.67,13.01,101400
2001-12-19,13.67,13.68,13.58,13.68,13.03,157800
2001-12-20,13.73,14.23,13.73,14.1,13.42,97200
2001-12-21,14.18,15.3,14.17,15.11,14.39,659400
2001-12-24,15.1,15.35,15.07,15.27,14.53,50700
2001-12-26,15.3,15.65,15.27,15.33,14.6,378000
2001-12-27,15.75,15.88,15.4,15.65,14.9,349200
2001-12-28,15.73,15.73,15.63,15.68,14.93,295500
2001-12-31,15.7,16.58,15.57,16.58,15.79,255900
2002-01-02,16.17,16.17,15.88,15.93,15.16,132300
2002-01-03,15.9,15.9,15.1,15.1,14.37,89700
2002-01-04,15.1,15.2,13.67,14.17,13.49,346500
2002-01-07,14.17,14.37,13.28,13.93,13.26,601500
2002-01-08,13.85,13.93,13.5,13.7,13.04,442200
2002-01-09,13.72,13.87,13.7,13.73,13.07,60000
2002-01-10,13.73,14.13,13.73,14.03,13.36,216300
2002-01-11,14.33,14.75,14.32,14.5,13.8,340800
2002-01-14,14.5,14.57,14.3,14.3,13.61,230700
2002-01-15,14.75,15.45,14.75,15.34,14.6,1030200
2002-01-16,15.31,15.78,15.17,15.63,14.88,526200
2002-01-17,15.67,15.93,15.67,15.73,14.98,42900
2002-01-18,15.7,16.0,15.57,15.77,15.01,70500
2002-01-22,15.77,15.77,15.23,15.57,14.82,130800
2002-01-23,15.6,15.72,15.57,15.63,14.88,38700
2002-01-24,15.67,15.73,15.33,15.42,14.68,125100
2002-01-25,15.47,15.77,15.32,15.63,14.88,88800
2002-01-28,15.68,15.9,15.26,15.43,14.69,75300
2002-01-29,15.45,15.53,15.43,15.45,14.71,27300
2002-01-30,15.47,15.57,15.37,15.55,14.8,67800
2002-01-31,15.58,15.7,15.48,15.62,14.87,36600
2002-02-01,15.65,15.73,15.65,15.7,14.95,9000
2002-02-04,15.67,15.67,15.43,15.44,14.7,13200
2002-02-05,15.37,15.38,15.28,15.3,14.56,39300
2002-02-06,15.26,15.27,15.17,15.23,14.5,54300
2002-02-07,14.83,14.95,14.6,14.9,14.18,216000
2002-02-08,14.88,14.95,14.83,14.93,14.22,71100
2002-02-11,14.9,15.17,14.87,15.13,14.41,21600
2002-02-12,15.17,15.4,15.17,15.4,14.66,14100
2002-02-13,15.33,15.37,14.97,15.0,14.28,74100
2002-02-14,15.03,15.03,14.8,14.88,14.17,58500
2002-02-15,14.85,14.87,14.83,14.87,14.15,17100
2002-02-19,14.9,14.93,14.82,14.83,14.12,9900
2002-02-20,14.8,15.25,14.63,14.73,14.03,88500
2002-02-21,14.67,14.79,14.6,14.79,14.08,132300
