Date,Open,High,Low,Close,Adj Close,Volume
1995-04-04,2.94,2.97,2.81,2.95,2.29,40387200
1995-04-05,2.91,2.97,2.84,2.84,2.21,12236800
1995-04-06,2.84,2.94,2.84,2.89,2.25,3776000
1995-04-07,2.91,2.91,2.84,2.84,2.21,1920800
1995-04-10,2.84,2.91,2.84,2.88,2.23,2047200
1995-04-11,2.84,2.91,2.84,2.86,2.22,4096800
1995-04-12,2.84,2.88,2.84,2.86,2.22,2457600
1995-04-13,2.84,2.88,2.84,2.88,2.23,2297600
1995-04-17,2.84,2.95,2.84,2.95,2.29,2233600
1995-04-18,2.89,2.95,2.88,2.94,2.28,2441600
1995-04-19,2.88,2.91,2.81,2.84,2.21,1422400
1995-04-20,2.81,2.81,2.72,2.73,2.12,1023200
1995-04-21,2.72,2.81,2.72,2.8,2.17,2803200
1995-04-24,2.75,2.81,2.75,2.75,2.14,644800
1995-04-25,2.75,2.81,2.75,2.81,2.19,484800
1995-04-26,2.75,2.81,2.75,2.75,2.14,151200
1995-04-27,2.75,2.81,2.75,2.78,2.16,3552000
1995-04-28,2.78,2.81,2.77,2.77,2.15,1076000
1995-05-01,2.81,2.81,2.77,2.77,2.15,2287200
1995-05-02,2.77,2.89,2.77,2.84,2.21,1212000
1995-05-03,2.81,2.89,2.78,2.86,2.22,791200
1995-05-04,2.84,2.89,2.81,2.81,2.19,1011200
1995-05-05,2.81,2.88,2.81,2.81,2.19,164000
1995-05-08,2.81,2.89,2.81,2.81,2.19,59200
1995-05-09,2.81,2.84,2.73,2.75,2.14,592800
1995-05-10,2.81,2.81,2.73,2.75,2.14,817600
1995-05-11,2.75,2.81,2.73,2.75,2.14,615200
1995-05-12,2.81,2.81,2.73,2.75,2.14,1013600
1995-05-15,2.8,2.8,2.7,2.7,2.1,3689600
1995-05-16,2.7,2.73,2.7,2.72,2.11,2481600
1995-05-17,2.73,2.73,2.7,2.71,2.11,328000
1995-05-18,2.7,2.72,2.59,2.64,2.05,514400
1995-05-19,2.62,2.64,2.59,2.61,2.03,1853600
1995-05-22,2.64,2.66,2.59,2.66,2.06,432800
1995-05-23,2.59,2.77,2.59,2.75,2.14,809600
1995-05-24,2.72,2.81,2.72,2.81,2.19,1676800
1995-05-25,2.81,2.81,2.72,2.81,2.19,209600
1995-05-26,2.81,2.81,2.72,2.81,2.19,64000
1995-05-30,2.78,2.84,2.72,2.78,2.16,558400
1995-05-31,2.83,2.84,2.78,2.84,2.21,487200
1995-06-01,2.86,3.0,2.81,2.88,2.23,1427200
1995-06-02,2.88,3.06,2.88,3.0,2.33,1112800
1995-06-05,3.0,3.06,3.0,3.02,2.34,799200
1995-06-06,3.06,3.06,3.0,3.0,2.33,264800
1995-06-07,3.0,3.06,2.97,3.03,2.36,469600
1995-06-08,3.03,3.03,2.94,2.94,2.28,68000
