Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.5,0.51,0.5,0.5,0.2,7513300
1980-03-18,0.5,0.51,0.49,0.51,0.2,5303400
1980-03-19,0.51,0.52,0.5,0.51,0.2,2523300
1980-03-20,0.51,0.51,0.5,0.5,0.2,4654800
1980-03-21,0.5,0.51,0.5,0.51,0.2,1332800
1980-03-24,0.49,0.49,0.48,0.49,0.2,4105800
1980-03-25,0.49,0.5,0.48,0.49,0.19,8575400
1980-03-26,0.49,0.5,0.49,0.49,0.19,3728000
1980-03-27,0.49,0.49,0.48,0.49,0.2,4276900
1980-03-28,0.49,0.51,0.49,0.51,0.2,2644600
1980-03-31,0.51,0.52,0.51,0.51,0.21,4056000
1980-04-01,0.51,0.52,0.51,0.52,0.21,7584600
1980-04-02,0.52,0.52,0.51,0.52,0.21,4932800
1980-04-03,0.52,0.52,0.52,0.52,0.21,3279000
1980-04-07,0.52,0.52,0.51,0.52,0.21,2701500
1980-04-08,0.52,0.52,0.51,0.52,0.21,5004100
1980-04-09,0.52,0.52,0.51,0.52,0.21,1632300
1980-04-10,0.53,0.55,0.53,0.55,0.22,3079400
1980-04-11,0.55,0.56,0.55,0.55,0.22,4219800
1980-04-14,0.55,0.55,0.53,0.54,0.22,4597700
1980-04-15,0.54,0.55,0.54,0.55,0.22,2423500
1980-04-16,0.55,0.55,0.54,0.54,0.21,4904300
1980-04-17,0.53,0.53,0.53,0.53,0.21,2644600
1980-04-18,0.53,0.54,0.53,0.53,0.21,2387800
1980-04-21,0.53,0.54,0.53,0.54,0.21,2530400
1980-04-22,0.54,0.55,0.54,0.55,0.22,2067100
1980-04-23,0.55,0.56,0.55,0.55,0.22,4775900
1980-04-24,0.55,0.56,0.55,0.56,0.22,2587500
1980-04-25,0.56,0.56,0.55,0.55,0.22,6465400
1980-04-28,0.55,0.56,0.55,0.56,0.22,3100800
1980-04-29,0.56,0.56,0.55,0.56,0.22,1525400
1980-04-30,0.56,0.56,0.56,0.56,0.22,4298400
1980-05-01,0.56,0.57,0.56,0.57,0.23,5339000
1980-05-02,0.57,0.57,0.56,0.57,0.23,3464300
1980-05-05,0.57,0.57,0.56,0.57,0.23,1860300
1980-05-06,0.57,0.58,0.56,0.57,0.23,3243400
1980-05-07,0.57,0.58,0.56,0.57,0.23,3264600
1980-05-08,0.57,0.58,0.56,0.56,0.22,3892000
1980-05-09,0.56,0.56,0.55,0.56,0.23,1054800
1980-05-12,0.56,0.57,0.56,0.57,0.23,1054800
1980-05-13,0.57,0.57,0.56,0.56,0.22,1603700
1980-05-14,0.56,0.57,0.56,0.57,0.23,3549800
1980-05-15,0.57,0.58,0.56,0.58,0.23,4390900
1980-05-16,0.58,0.58,0.57,0.57,0.23,3385900
1980-05-19,0.57,0.57,0.56,0.57,0.23,2708800
1980-05-20,0.57,0.57,0.56,0.57,0.23,1632300
1980-05-21,0.57,0.57,0.56,0.57,0.23,2395100
1980-05-22,0.57,0.58,0.56,0.58,0.23,3236300
1980-05-23,0.58,0.6,0.58,0.59,0.24,5353400
1980-05-27,0.59,0.6,0.59,0.6,0.24,1917400
1980-05-28,0.6,0.6,0.59,0.6,0.24,3628300
1980-05-29,0.6,0.61,0.6,0.6,0.24,3535600
1980-05-30,0.6,0.6,0.58,0.6,0.24,3393000
1980-06-02,0.6,0.6,0.59,0.59,0.24,1261500
1980-06-03,0.59,0.6,0.59,0.6,0.24,3364500
1980-06-04,0.6,0.6,0.6,0.6,0.24,3571200
1980-06-05,0.6,0.6,0.59,0.6,0.24,7000200
1980-06-06,0.6,0.61,0.59,0.61,0.24,3492900
1980-06-09,0.61,0.61,0.6,0.61,0.24,1653800
1980-06-10,0.61,0.62,0.6,0.62,0.25,5225000
1980-06-11,0.63,0.65,0.63,0.64,0.26,8247600
1980-06-12,0.64,0.64,0.63,0.63,0.25,2986600
1980-06-13,0.63,0.64,0.63,0.63,0.25,2509100
1980-06-16,0.63,0.64,0.62,0.63,0.25,1418500
1980-06-17,0.63,0.64,0.63,0.63,0.25,1047700
1980-06-18,0.63,0.63,0.63,0.63,0.25,1561000
1980-06-19,0.63,0.64,0.63,0.63,0.25,2644600
1980-06-20,0.63,0.63,0.62,0.62,0.25,6764900
1980-06-23,0.62,0.63,0.62,0.62,0.25,4127300
1980-06-24,0.62,0.63,0.62,0.63,0.25,4861600
1980-06-25,0.63,0.63,0.62,0.63,0.25,3157700
1980-06-26,0.63,0.63,0.62,0.62,0.25,1375700
1980-06-27,0.62,0.63,0.61,0.61,0.24,2138300
1980-06-30,0.61,0.61,0.59,0.59,0.24,3492900
1980-07-01,0.59,0.6,0.59,0.6,0.24,4818600
1980-07-02,0.6,0.62,0.6,0.62,0.25,4441000
1980-07-03,0.62,0.62,0.61,0.62,0.25,14107300
1980-07-07,0.62,0.62,0.61,0.62,0.25,3749400
1980-07-08,0.62,0.62,0.61,0.61,0.24,1803400
1980-07-09,0.61,0.62,0.6,0.6,0.24,6950100
1980-07-10,0.6,0.61,0.6,0.6,0.24,5104000
1980-07-11,0.6,0.6,0.59,0.59,0.24,7021400
1980-07-14,0.59,0.59,0.58,0.59,0.24,6116000
1980-07-15,0.6,0.6,0.6,0.6,0.24,15582700
1980-07-16,0.6,0.6,0.59,0.6,0.24,2929700
1980-07-17,0.6,0.6,0.59,0.6,0.24,5431800
1980-07-18,0.6,0.62,0.6,0.61,0.24,13529800
1980-07-21,0.61,0.63,0.61,0.63,0.25,3856300
1980-07-22,0.63,0.64,0.63,0.64,0.26,5004100
1980-07-23,0.64,0.64,0.63,0.63,0.25,3300300
1980-07-24,0.63,0.64,0.63,0.64,0.26,2302400
1980-07-25,0.64,0.64,0.63,0.64,0.25,2487700
1980-07-28,0.64,0.64,0.63,0.64,0.26,2309500
