Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.73,0.76,0.73,0.73,0.5,374600
1980-03-18,0.73,0.73,0.71,0.72,0.49,211400
1980-03-19,0.72,0.74,0.72,0.72,0.49,151200
1980-03-20,0.72,0.73,0.72,0.72,0.49,41000
1980-03-21,0.72,0.72,0.69,0.69,0.47,553000
1980-03-24,0.69,0.69,0.63,0.64,0.44,380200
1980-03-25,0.62,0.62,0.59,0.62,0.42,322600
1980-03-26,0.62,0.64,0.62,0.64,0.44,98600
1980-03-27,0.62,0.62,0.6,0.6,0.41,511400
1980-03-28,0.62,0.64,0.62,0.64,0.44,242600
1980-03-31,0.64,0.64,0.63,0.64,0.44,60200
1980-04-01,0.64,0.65,0.64,0.64,0.44,48200
1980-04-02,0.64,0.66,0.64,0.66,0.45,124800
1980-04-03,0.66,0.66,0.65,0.65,0.44,124800
1980-04-07,0.64,0.64,0.62,0.62,0.43,262600
1980-04-08,0.62,0.63,0.62,0.63,0.43,92200
1980-04-09,0.64,0.64,0.64,0.64,0.44,48200
1980-04-10,0.64,0.66,0.64,0.66,0.45,50600
1980-04-11,0.66,0.66,0.64,0.65,0.45,240200
1980-04-14,0.64,0.64,0.63,0.63,0.43,160800
1980-04-15,0.63,0.64,0.62,0.62,0.43,34600
1980-04-16,0.64,0.64,0.62,0.63,0.43,140200
1980-04-17,0.62,0.62,0.61,0.62,0.43,180000
1980-04-18,0.62,0.63,0.61,0.61,0.41,393800
1980-04-21,0.61,0.62,0.61,0.61,0.41,22600
1980-04-22,0.61,0.64,0.61,0.64,0.44,387400
1980-04-23,0.64,0.65,0.64,0.65,0.45,502600
1980-04-24,0.65,0.65,0.64,0.64,0.44,230600
1980-04-25,0.64,0.65,0.64,0.65,0.45,144200
1980-04-28,0.65,0.67,0.65,0.66,0.45,163400
1980-04-29,0.66,0.67,0.65,0.65,0.45,32200
1980-04-30,0.65,0.67,0.65,0.66,0.45,99400
1980-05-01,0.66,0.66,0.65,0.65,0.45,214600
1980-05-02,0.65,0.65,0.64,0.64,0.44,220800
1980-05-05,0.64,0.65,0.63,0.65,0.45,265000
1980-05-06,0.64,0.64,0.64,0.64,0.44,84000
1980-05-07,0.64,0.64,0.62,0.64,0.44,134600
1980-05-08,0.64,0.64,0.63,0.63,0.44,108200
1980-05-09,0.63,0.64,0.62,0.62,0.43,63400
1980-05-12,0.63,0.66,0.63,0.65,0.45,178600
1980-05-13,0.65,0.66,0.64,0.66,0.45,73000
1980-05-14,0.66,0.68,0.65,0.68,0.47,403400
1980-05-15,0.68,0.69,0.68,0.68,0.47,144000
1980-05-16,0.68,0.69,0.68,0.69,0.47,144200
1980-05-19,0.69,0.72,0.69,0.71,0.49,319400
1980-05-20,0.71,0.78,0.71,0.78,0.54,399400
1980-05-21,0.78,0.78,0.75,0.76,0.52,291400
1980-05-22,0.76,0.76,0.75,0.75,0.51,153600
1980-05-23,0.75,0.79,0.75,0.76,0.52,140200
1980-05-27,0.77,0.79,0.77,0.77,0.53,192200
1980-05-28,0.77,0.79,0.77,0.78,0.54,140200
1980-05-29,0.78,0.8,0.77,0.78,0.54,259400
1980-05-30,0.78,0.79,0.77,0.78,0.54,98600
1980-06-02,0.78,0.78,0.77,0.77,0.53,32200
1980-06-03,0.77,0.77,0.76,0.77,0.53,370600
1980-06-04,0.77,0.77,0.76,0.77,0.53,274600
1980-06-05,0.77,0.82,0.77,0.81,0.55,319400
1980-06-06,0.81,0.83,0.8,0.83,0.57,531400
1980-06-09,0.83,0.87,0.83,0.83,0.57,422600
1980-06-10,0.83,0.83,0.82,0.82,0.57,130600
1980-06-11,0.82,0.84,0.82,0.84,0.58,211200
1980-06-12,0.84,0.85,0.83,0.83,0.57,409000
1980-06-13,0.83,0.86,0.83,0.86,0.59,332200
1980-06-16,0.86,0.87,0.85,0.85,0.58,259200
1980-06-17,0.85,0.85,0.83,0.84,0.58,132000
1980-06-18,0.84,0.85,0.83,0.85,0.58,79400
1980-06-19,0.85,0.85,0.83,0.83,0.57,230600
1980-06-20,0.81,0.81,0.8,0.81,0.56,108200
1980-06-23,0.81,0.85,0.81,0.85,0.58,182600
1980-06-24,0.85,0.86,0.84,0.85,0.58,73000
