Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,2.0,2.0,1.85,1.85,1.03,1371300
1980-03-18,1.85,1.92,1.83,1.91,1.07,2348300
1980-03-19,1.93,2.03,1.93,1.93,1.08,2337900
1980-03-20,1.96,2.02,1.96,1.98,1.11,1183700
1980-03-21,1.98,1.99,1.93,1.93,1.08,290100
1980-03-24,1.93,1.95,1.85,1.88,1.05,969100
1980-03-25,1.88,1.89,1.79,1.81,1.01,1673300
1980-03-26,1.81,1.82,1.73,1.73,0.97,3354300
1980-03-27,1.73,1.74,1.52,1.69,0.94,3666200
1980-03-28,1.69,1.85,1.67,1.85,1.03,2949600
1980-03-31,1.87,1.98,1.87,1.93,1.08,665200
1980-04-01,1.95,2.0,1.95,2.0,1.12,1213600
1980-04-02,2.0,2.02,1.96,1.96,1.09,1372000
1980-04-03,1.95,1.95,1.91,1.93,1.08,899600
1980-04-07,1.93,1.93,1.86,1.87,1.05,976100
1980-04-08,1.87,1.9,1.86,1.9,1.06,489700
1980-04-09,1.89,1.89,1.87,1.88,1.05,714100
1980-04-10,1.89,1.96,1.89,1.95,1.09,1469100
1980-04-11,1.95,1.98,1.95,1.97,1.1,1324300
1980-04-14,1.95,1.95,1.92,1.95,1.09,574400
1980-04-15,1.95,1.96,1.93,1.94,1.08,169700
1980-04-16,1.94,1.99,1.86,1.87,1.04,1063500
1980-04-17,1.87,1.88,1.82,1.82,1.02,1133100
1980-04-18,1.82,1.85,1.81,1.82,1.02,803900
1980-04-21,1.81,1.81,1.74,1.76,0.98,521100
1980-04-22,1.83,1.98,1.83,1.96,1.09,1381000
1980-04-23,1.96,2.02,1.86,1.86,1.04,2691000
1980-04-24,1.86,1.92,1.82,1.92,1.07,1047300
1980-04-25,1.92,1.96,1.87,1.96,1.09,563200
1980-04-28,1.97,2.06,1.97,2.04,1.14,778000
1980-04-29,2.04,2.08,2.03,2.04,1.14,279800
1980-04-30,2.06,2.14,2.06,2.13,1.19,1131500
1980-05-01,2.13,2.14,2.07,2.08,1.16,542200
1980-05-02,2.08,2.12,2.06,2.11,1.18,411300
1980-05-05,2.11,2.19,2.09,2.19,1.23,889900
1980-05-06,2.19,2.31,2.19,2.25,1.25,1700400
1980-05-07,2.25,2.32,2.25,2.3,1.29,521100
1980-05-08,2.3,2.32,2.26,2.28,1.27,1269200
1980-05-09,2.28,2.28,2.23,2.26,1.26,723600
1980-05-12,2.26,2.33,2.24,2.33,1.3,783100
1980-05-13,2.33,2.35,2.29,2.34,1.31,596200
1980-05-14,2.34,2.35,2.3,2.3,1.29,317100
1980-05-15,2.3,2.31,2.25,2.25,1.26,1262400
1980-05-16,2.25,2.26,2.22,2.22,1.24,445000
1980-05-19,2.22,2.25,2.17,2.25,1.25,396100
1980-05-20,2.25,2.28,2.22,2.24,1.25,577900
1980-05-21,2.24,2.25,2.19,2.24,1.25,900200
1980-05-22,2.25,2.33,2.25,2.3,1.29,637000
1980-05-23,2.33,2.38,2.33,2.33,1.3,775100
1980-05-27,2.33,2.41,2.31,2.4,1.34,932700
1980-05-28,2.4,2.45,2.39,2.45,1.37,1017400
1980-05-29,2.45,2.45,2.31,2.31,1.29,684700
1980-05-30,2.31,2.31,2.26,2.29,1.28,1989700
1980-06-02,2.29,2.39,2.29,2.35,1.31,509900
1980-06-03,2.35,2.36,2.31,2.35,1.32,529200
1980-06-04,2.35,2.46,2.34,2.41,1.35,1035300
1980-06-05,2.41,2.43,2.3,2.3,1.29,540000
1980-06-06,2.31,2.36,2.31,2.35,1.32,614200
1980-06-09,2.35,2.38,2.33,2.35,1.32,1062600
1980-06-10,2.35,2.36,2.34,2.35,1.31,620700
1980-06-11,2.35,2.37,2.34,2.35,1.32,1072500
1980-06-12,2.35,2.36,2.31,2.31,1.29,577100
1980-06-13,2.33,2.36,2.33,2.35,1.32,689400
1980-06-16,2.35,2.35,2.32,2.35,1.32,512500
1980-06-17,2.35,2.36,2.31,2.31,1.29,506400
1980-06-18,2.31,2.31,2.21,2.25,1.25,962300
1980-06-19,2.25,2.3,2.25,2.28,1.27,1552700
1980-06-20,2.28,2.3,2.26,2.27,1.27,601200
1980-06-23,2.28,2.32,2.28,2.3,1.28,242500
1980-06-24,2.31,2.41,2.31,2.4,1.34,504900
1980-06-25,2.4,2.45,2.39,2.41,1.34,573900
1980-06-26,2.41,2.46,2.39,2.39,1.33,848500
1980-06-27,2.39,2.4,2.35,2.35,1.32,438900
1980-06-30,2.35,2.35,2.26,2.26,1.26,726400
1980-07-01,2.26,2.36,2.26,2.3,1.28,848500
1980-07-02,2.3,2.35,2.3,2.35,1.31,303800
1980-07-03,2.35,2.36,2.28,2.29,1.28,738700
1980-07-07,2.29,2.34,2.28,2.34,1.31,680000
1980-07-08,2.34,2.35,2.28,2.28,1.27,582700
1980-07-09,2.29,2.34,2.29,2.29,1.28,819200
1980-07-10,2.29,2.29,2.25,2.25,1.26,772500
1980-07-11,2.25,2.25,2.19,2.2,1.23,1432400
1980-07-14,2.2,2.22,2.13,2.16,1.21,1093400
1980-07-15,2.21,2.26,2.21,2.26,1.26,1341400
1980-07-16,2.26,2.31,2.25,2.26,1.26,449100
1980-07-17,2.26,2.3,2.23,2.3,1.28,986600
1980-07-18,2.3,2.35,2.26,2.26,1.26,792100
1980-07-21,2.26,2.27,2.23,2.25,1.25,411300
1980-07-22,2.25,2.28,2.19,2.21,1.23,2352700
1980-07-23,2.21,2.21,2.06,2.1,1.17,1121700
1980-07-24,2.1,2.14,2.03,2.09,1.17,4069500
1980-07-25,2.09,2.15,2.09,2.11,1.18,817500
1980-07-28,2.11,2.25,2.11,2.23,1.24,1095100
1980-07-29,2.23,2.32,2.21,2.3,1.28,2439100
1980-07-30,2.3,2.33,2.19,2.21,1.23,4194800
1980-07-31,2.2,2.2,2.13,2.19,1.22,1223000
1980-08-01,2.19,2.22,2.18,2.21,1.23,1324300
1980-08-04,2.2,2.2,2.09,2.1,1.17,1106000
1980-08-05,2.14,2.17,2.14,2.16,1.21,1471900
1980-08-06,2.16,2.22,2.16,2.22,1.24,1455300
1980-08-07,2.25,2.3,2.25,2.28,1.27,631900
1980-08-08,2.28,2.32,2.23,2.25,1.25,2821900
1980-08-11,2.25,2.28,2.23,2.25,1.26,853900
1980-08-12,2.23,2.23,2.16,2.18,1.22,2436600
1980-08-13,2.16,2.16,2.09,2.15,1.2,3477000
1980-08-14,2.16,2.25,2.16,2.25,1.25,1324800
1980-08-15,2.28,2.3,2.28,2.3,1.28,2024400
1980-08-18,2.3,2.3,2.19,2.19,1.23,2497400
1980-08-19,2.19,2.29,2.17,2.25,1.26,1617700
1980-08-20,2.27,2.35,2.27,2.35,1.31,1818200
1980-08-21,2.35,2.4,2.34,2.36,1.32,1248300
1980-08-22,2.36,2.41,2.36,2.36,1.32,2946700
1980-08-25,2.36,2.37,2.31,2.31,1.29,520000
1980-08-26,2.31,2.39,2.31,2.36,1.32,631900
1980-08-27,2.36,2.4,2.3,2.33,1.3,1582100
1980-08-28,2.33,2.36,2.31,2.31,1.29,721500
1980-08-29,2.31,2.36,2.3,2.33,1.3,806500
1980-09-02,2.3,2.3,2.24,2.24,1.25,826500
1980-09-03,2.24,2.29,2.24,2.29,1.28,1956600
1980-09-04,2.29,2.3,2.25,2.27,1.27,2206900
1980-09-05,2.27,2.29,2.25,2.26,1.26,2091700
1980-09-08,2.26,2.29,2.2,2.2,1.23,3287100
1980-09-09,2.2,2.22,2.15,2.22,1.24,4267200
1980-09-10,2.22,2.25,2.19,2.21,1.23,2814500
1980-09-11,2.21,2.25,2.19,2.23,1.24,1545300
1980-09-12,2.28,2.41,2.28,2.41,1.34,7346500
1980-09-15,2.41,2.48,2.4,2.48,1.39,6895900
1980-09-16,2.56,2.64,2.56,2.6,1.45,6504700
1980-09-17,2.62,2.66,2.62,2.62,1.46,1811000
1980-09-18,2.62,2.63,2.56,2.56,1.43,2268500
1980-09-19,2.56,2.59,2.52,2.57,1.43,1077400
1980-09-22,2.57,2.59,2.52,2.57,1.44,2269200
1980-09-23,2.57,2.59,2.46,2.48,1.39,3432600
1980-09-24,2.48,2.51,2.43,2.47,1.38,2406700
1980-09-25,2.47,2.52,2.46,2.5,1.4,2738200
1980-09-26,2.5,2.5,2.44,2.47,1.38,1542900
1980-09-29,2.45,2.45,2.33,2.34,1.31,1131500
