Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.81,0.83,0.81,0.82,0.45,1158000.0
1980-03-18,0.82,0.83,0.81,0.83,0.45,1622000.0
1980-03-19,0.83,0.84,0.83,0.84,0.46,1367800.0
1980-03-20,0.84,0.86,0.84,0.84,0.46,3046300.0
1980-03-21,0.84,0.85,0.84,0.84,0.46,1020700.0
1980-03-24,0.84,0.84,0.83,0.83,0.46,778700.0
1980-03-25,0.83,0.84,0.83,0.83,0.46,944100.0
1980-03-26,0.83,0.84,0.83,0.84,0.46,2332200.0
1980-03-27,0.83,0.83,0.81,0.81,0.45,770600.0
1980-03-28,0.83,0.84,0.83,0.84,0.46,459900.0
1980-03-31,0.84,0.85,0.84,0.85,0.46,250100.0
1980-04-01,0.85,0.86,0.85,0.86,0.47,201700.0
1980-04-02,0.86,0.9,0.86,0.9,0.49,758500.0
1980-04-03,0.9,0.93,0.9,0.92,0.5,1480800.0
1980-04-07,0.92,0.92,0.9,0.9,0.49,463900.0
1980-04-08,0.9,0.9,0.89,0.89,0.49,1355700.0
1980-04-09,0.89,0.89,0.89,0.89,0.49,346900.0
1980-04-10,0.89,0.9,0.89,0.9,0.49,314700.0
1980-04-11,0.9,0.92,0.9,0.9,0.5,710000.0
1980-04-14,0.9,0.9,0.89,0.89,0.49,205700.0
1980-04-15,0.9,0.9,0.9,0.9,0.49,197600.0
1980-04-16,0.9,0.92,0.9,0.9,0.5,2134400.0
1980-04-17,0.9,0.9,0.89,0.9,0.49,1371800.0
1980-04-18,0.9,0.91,0.9,0.9,0.49,391300.0
1980-04-21,0.9,0.9,0.9,0.9,0.49,379200.0
1980-04-22,0.9,0.93,0.9,0.9,0.5,1125600.0
1980-04-23,0.9,0.92,0.9,0.91,0.5,625300.0
1980-04-24,0.91,0.92,0.91,0.92,0.5,246000.0
1980-04-25,0.92,0.92,0.91,0.91,0.5,120900.0
1980-04-28,0.91,0.93,0.91,0.93,0.51,346900.0
1980-04-29,0.93,0.93,0.92,0.92,0.51,1166100.0
1980-04-30,0.92,0.93,0.92,0.92,0.51,431600.0
1980-05-01,0.93,0.95,0.93,0.94,0.52,500200.0
1980-05-02,0.94,0.95,0.94,0.94,0.51,217700.0
1980-05-05,0.94,0.95,0.94,0.95,0.52,455900.0
1980-05-06,0.95,0.95,0.94,0.95,0.52,375100.0
1980-05-07,0.95,0.95,0.94,0.94,0.52,407400.0
1980-05-08,0.94,0.95,0.94,0.95,0.52,1343500.0
1980-05-09,0.95,0.95,0.94,0.94,0.52,669700.0
1980-05-12,0.94,0.95,0.94,0.95,0.52,141100.0
1980-05-13,0.96,0.97,0.96,0.96,0.53,322700.0
1980-05-14,0.96,0.98,0.96,0.97,0.53,439700.0
1980-05-15,0.97,0.97,0.96,0.96,0.53,72500.0
1980-05-16,0.96,0.97,0.96,0.96,0.53,7900.0
1980-05-19,0.96,0.96,0.94,0.94,0.52,1428300.0
1980-05-20,0.94,0.96,0.94,0.95,0.52,1387900.0
1980-05-21,0.95,0.96,0.95,0.96,0.53,371200.0
1980-05-22,0.96,0.97,0.96,0.97,0.53,314700.0
1980-05-23,0.97,0.99,0.97,0.98,0.54,1351600.0
1980-05-27,0.97,0.97,0.96,0.96,0.53,229900.0
1980-05-28,0.96,0.97,0.96,0.97,0.53,242000.0
1980-05-29,0.97,0.97,0.97,0.97,0.53,36200.0
1980-05-30,0.97,0.97,0.96,0.97,0.53,3453900.0
1980-06-02,0.97,0.97,0.95,0.95,0.52,217700.0
1980-06-03,0.95,0.96,0.95,0.96,0.53,2134400.0
1980-06-04,0.96,0.96,0.95,0.96,0.53,468000.0
