Date,Open,High,Low,Close,Adj Close,Volume
2001-06-15,13.16,13.16,12.75,12.86,12.42,511400
2001-06-18,12.85,13.15,12.7,13.11,12.66,408000
2001-06-19,13.4,13.6,13.15,13.55,13.09,216400
2001-06-20,13.5,13.65,13.3,13.55,13.09,54400
2001-06-21,13.53,13.9,13.52,13.88,13.41,80700
2001-06-22,14.0,14.98,14.0,14.55,14.05,127900
2001-06-25,14.75,14.85,14.4,14.65,14.15,87100
2001-06-26,14.7,14.78,14.65,14.7,14.2,48900
2001-06-27,14.6,15.15,14.55,15.11,14.59,139800
2001-06-28,15.01,15.25,14.9,15.0,14.49,195100
2001-06-29,15.1,15.9,15.0,15.0,14.49,130700
2001-07-02,15.25,15.6,14.31,14.4,13.91,42000
2001-07-03,14.45,15.05,14.45,14.97,14.46,35600
2001-07-05,14.9,15.45,14.9,15.2,14.68,97100
2001-07-06,15.4,15.4,14.75,14.95,14.44,149700
2001-07-09,15.0,15.2,14.86,14.9,14.39,130000
2001-07-10,14.9,15.1,14.7,14.7,14.2,189200
2001-07-11,14.7,14.8,14.6,14.6,14.1,76800
2001-07-12,14.7,15.21,14.7,15.21,14.69,177600
2001-07-13,15.0,15.81,15.0,15.81,15.27,144200
2001-07-16,15.81,15.81,15.21,15.5,14.97,38600
2001-07-17,15.5,16.0,15.5,15.85,15.31,32900
2001-07-18,15.8,16.75,15.5,16.75,16.18,102500
2001-07-19,16.9,17.4,16.0,16.4,15.84,303700
2001-07-20,16.4,16.4,14.7,14.95,14.44,82700
2001-07-23,14.98,15.05,14.81,14.85,14.34,55500
2001-07-24,14.85,14.85,14.0,14.1,13.62,45600
2001-07-25,14.1,14.1,13.5,13.5,13.04,65800
2001-07-26,13.5,13.9,13.5,13.75,13.28,653100
2001-07-27,13.85,14.15,13.84,14.15,13.67,62000
2001-07-30,14.15,14.5,14.15,14.38,13.89,54800
2001-07-31,14.37,15.0,14.37,15.0,14.49,268500
2001-08-01,14.9,15.4,14.9,15.0,14.49,19200
2001-08-02,15.0,15.5,14.9,15.5,14.97,36900
2001-08-03,15.5,15.5,15.3,15.5,14.97,34300
2001-08-06,15.5,15.59,15.45,15.59,15.06,2700
2001-08-07,15.59,15.69,15.3,15.4,14.87,23200
2001-08-08,15.65,15.78,15.2,15.2,14.68,28500
2001-08-09,15.25,15.25,14.85,14.99,14.48,9400
2001-08-10,15.1,15.3,14.95,14.95,14.44,26800
2001-08-13,14.95,15.89,14.95,15.45,14.92,55800
2001-08-14,15.45,15.7,15.45,15.5,14.97,59200
2001-08-15,15.65,16.15,15.51,16.15,15.6,29400
2001-08-16,16.15,16.17,16.02,16.15,15.6,12300
2001-08-17,16.19,16.3,16.19,16.25,15.7,6100
2001-08-20,16.15,16.4,16.15,16.4,15.84,36200
2001-08-21,16.3,16.65,16.3,16.5,15.94,92800
2001-08-22,16.4,16.4,15.6,15.75,15.21,11600
2001-08-23,15.7,15.7,15.25,15.48,14.95,23500
2001-08-24,15.4,15.47,14.95,15.09,14.57,11100
2001-08-27,15.0,15.04,14.7,14.95,14.44,16900
2001-08-28,14.85,14.89,14.4,14.89,14.38,10800
2001-08-29,14.99,15.4,14.25,15.05,14.54,209600
2001-08-30,15.0,15.1,14.75,15.01,14.5,388900
2001-08-31,15.1,15.4,15.1,15.25,14.73,103800
2001-09-04,15.35,15.4,15.31,15.4,14.87,17100
2001-09-05,15.39,16.56,15.39,16.25,15.7,108600
2001-09-06,16.15,16.25,16.1,16.1,15.55,70100
2001-09-07,16.05,16.2,16.05,16.18,15.63,48500
2001-09-10,16.15,16.2,16.0,16.0,15.45,91400
2001-09-17,14.5,14.5,13.9,13.9,13.43,28900
2001-09-18,13.8,13.8,12.5,12.5,12.07,111300
2001-09-19,12.5,12.5,11.1,11.4,11.01,23300
2001-09-20,11.65,11.65,11.35,11.35,10.96,166200
2001-09-21,11.1,12.0,11.05,12.0,11.59,280000
2001-09-24,12.1,14.55,12.1,13.7,13.23,98800
2001-09-25,14.0,14.9,14.0,14.31,13.82,54600
2001-09-26,14.31,14.65,14.31,14.6,14.1,25100
2001-09-27,14.55,15.9,14.55,15.8,15.26,65100
2001-09-28,15.75,16.25,14.9,16.25,15.7,104400
2001-10-01,16.05,16.05,14.9,14.91,14.4,180100
