Date,Open,High,Low,Close,Adj Close,Volume
1985-06-28,0.51,0.51,0.5,0.5,0.44,14728800
1985-07-01,0.5,0.51,0.5,0.5,0.44,6511200
1985-07-02,0.52,0.53,0.52,0.52,0.45,2380800
1985-07-03,0.52,0.53,0.52,0.52,0.45,1317600
1985-07-05,0.53,0.54,0.53,0.53,0.46,1128000
1985-07-08,0.52,0.52,0.51,0.51,0.45,1692000
1985-07-09,0.51,0.51,0.5,0.5,0.44,976800
1985-07-10,0.51,0.52,0.51,0.51,0.45,837600
1985-07-11,0.52,0.53,0.52,0.52,0.45,1188000
1985-07-12,0.52,0.53,0.52,0.52,0.45,556800
1985-07-15,0.52,0.54,0.52,0.52,0.45,372000
1985-07-16,0.56,0.57,0.56,0.56,0.49,2049600
1985-07-17,0.58,0.59,0.58,0.58,0.51,1159200
1985-07-18,0.57,0.57,0.56,0.56,0.49,835200
1985-07-19,0.56,0.57,0.56,0.56,0.49,597600
1985-07-22,0.56,0.57,0.56,0.56,0.49,1984800
1985-07-23,0.57,0.58,0.57,0.57,0.5,616800
1985-07-24,0.57,0.58,0.57,0.57,0.5,607200
1985-07-25,0.59,0.61,0.59,0.59,0.52,1356000
1985-07-26,0.6,0.61,0.6,0.6,0.53,398400
1985-07-29,0.61,0.62,0.61,0.61,0.54,499200
1985-07-30,0.61,0.62,0.6,0.6,0.53,372000
1985-07-31,0.62,0.64,0.62,0.62,0.55,1070400
1985-08-01,0.65,0.66,0.65,0.65,0.56,2469600
1985-08-02,0.66,0.7,0.66,0.66,0.58,2112000
1985-08-05,0.66,0.66,0.65,0.65,0.56,1144800
1985-08-06,0.64,0.64,0.62,0.62,0.55,998400
1985-08-07,0.61,0.61,0.6,0.6,0.53,688800
1985-08-08,0.64,0.65,0.64,0.64,0.55,266400
1985-08-09,0.65,0.66,0.65,0.65,0.56,374400
1985-08-12,0.65,0.66,0.65,0.65,0.56,290400
1985-08-13,0.66,0.66,0.66,0.66,0.57,240000
1985-08-14,0.66,0.69,0.66,0.66,0.58,585600
1985-08-15,0.66,0.69,0.66,0.66,0.58,350400
1985-08-16,0.66,0.68,0.66,0.66,0.57,196800
1985-08-19,0.66,0.66,0.64,0.64,0.55,492000
1985-08-20,0.61,0.61,0.6,0.6,0.53,1344000
1985-08-21,0.6,0.61,0.6,0.6,0.53,256800
1985-08-22,0.6,0.62,0.6,0.6,0.53,36000
1985-08-23,0.66,0.66,0.66,0.66,0.57,1368000
1985-08-26,0.66,0.66,0.66,0.66,0.57,499200
1985-08-27,0.66,0.68,0.66,0.66,0.57,1132800
1985-08-28,0.66,0.69,0.66,0.66,0.58,376800
1985-08-29,0.69,0.7,0.69,0.69,0.6,324000
1985-08-30,0.69,0.71,0.69,0.69,0.6,367200
1985-09-03,0.69,0.7,0.69,0.69,0.6,604800
1985-09-04,0.69,0.7,0.68,0.68,0.59,2620800
1985-09-05,0.68,0.68,0.66,0.66,0.58,324000
1985-09-06,0.69,0.71,0.69,0.69,0.6,2625600
1985-09-09,0.69,0.7,0.69,0.69,0.6,160800
1985-09-10,0.69,0.7,0.68,0.68,0.59,636000
1985-09-11,0.68,0.69,0.66,0.66,0.58,1089600
1985-09-12,0.68,0.69,0.68,0.68,0.59,24000
1985-09-13,0.68,0.69,0.68,0.68,0.59,456000
1985-09-16,0.68,0.69,0.68,0.68,0.59,88800
1985-09-17,0.65,0.65,0.62,0.62,0.55,1159200
1985-09-18,0.66,0.68,0.66,0.66,0.58,936000
1985-09-19,0.68,0.69,0.68,0.68,0.59,1315200
1985-09-20,0.68,0.69,0.68,0.68,0.59,132000
1985-09-23,0.68,0.7,0.68,0.68,0.59,588000
1985-09-24,0.68,0.69,0.68,0.68,0.59,148800
1985-09-25,0.68,0.69,0.68,0.68,0.59,76800
1985-09-26,0.66,0.66,0.65,0.65,0.56,614400
1985-09-30,0.61,0.61,0.6,0.6,0.53,343200
1985-10-01,0.6,0.61,0.6,0.6,0.53,650400
1985-10-02,0.62,0.64,0.62,0.62,0.55,631200
1985-10-03,0.62,0.62,0.61,0.61,0.54,72000
1985-10-04,0.61,0.62,0.6,0.6,0.53,144000
1985-10-07,0.58,0.58,0.57,0.57,0.5,787200
1985-10-08,0.56,0.56,0.55,0.55,0.48,1687200
1985-10-09,0.55,0.56,0.54,0.54,0.47,751200
1985-10-10,0.54,0.55,0.54,0.54,0.47,112800
