Date,Open,High,Low,Close,Adj Close,Volume
1998-01-02,43.0,43.06,42.38,42.81,14.15,444000
1998-01-05,43.06,43.12,42.06,42.5,14.05,564300
1998-01-06,42.12,42.19,41.75,41.88,13.84,253600
1998-01-07,41.88,41.88,40.88,41.5,13.72,358100
1998-01-08,41.56,41.56,40.75,41.0,13.55,325100
1998-01-09,40.94,41.81,40.94,41.38,13.68,306600
1998-01-12,41.12,41.81,41.0,41.75,13.8,268300
1998-01-13,41.75,41.75,41.19,41.44,13.7,193300
1998-01-14,41.44,41.44,41.12,41.25,13.63,139500
1998-01-15,41.19,41.19,40.25,40.31,13.32,155400
1998-01-16,40.62,40.81,40.44,40.5,13.39,251100
1998-01-20,37.5,37.62,36.5,37.06,12.25,1051500
1998-01-21,36.88,36.88,35.75,36.81,12.17,1026300
1998-01-22,36.38,36.62,36.12,36.38,12.02,492700
1998-01-23,36.12,36.38,35.62,36.0,11.9,323500
1998-01-26,36.06,36.25,35.56,36.19,11.96,273000
1998-01-27,36.19,36.44,35.81,36.25,11.98,563700
1998-01-28,36.06,36.5,36.06,36.5,12.06,284000
1998-01-29,36.5,37.0,36.38,36.75,12.15,383800
1998-01-30,36.75,36.88,36.56,36.62,12.11,486500
1998-02-02,36.75,36.88,36.5,36.69,12.13,233000
1998-02-03,36.62,36.81,36.38,36.62,12.11,189200
1998-02-04,36.62,36.62,36.25,36.5,12.06,557800
1998-02-05,36.94,37.12,36.62,36.94,12.21,210000
1998-02-06,37.0,37.56,36.75,37.56,12.42,251100
1998-02-09,37.44,37.94,37.44,37.88,12.52,271700
1998-02-10,37.81,38.31,37.81,37.94,12.54,357200
1998-02-11,37.81,37.88,37.62,37.75,12.48,280600
1998-02-12,37.5,37.94,37.38,37.81,12.5,496100
1998-02-13,37.62,37.88,37.44,37.5,12.4,181800
1998-02-17,37.44,38.0,37.12,38.0,12.56,360600
1998-02-18,38.0,38.25,37.94,38.0,12.56,267600
1998-02-19,38.0,38.19,38.0,38.19,12.62,386300
1998-02-20,38.12,38.31,37.81,38.31,12.66,798600
1998-02-23,38.31,38.62,38.06,38.62,12.77,347100
1998-02-24,38.44,38.5,38.12,38.5,12.73,228500
1998-02-25,38.56,38.75,38.38,38.38,12.68,342500
1998-02-26,38.25,38.44,38.06,38.19,12.62,152800
1998-02-27,38.12,38.48,38.06,38.44,12.71,218800
1998-03-02,38.19,38.5,38.19,38.44,12.71,219700
1998-03-03,38.44,38.5,38.38,38.44,12.71,416300
1998-03-04,38.38,38.5,38.25,38.38,12.68,146700
1998-03-05,38.19,38.44,38.12,38.31,12.66,293600
1998-03-06,37.38,38.12,37.38,38.12,12.81,3544900
1998-03-09,38.0,38.06,37.75,37.81,12.71,309000
1998-03-10,37.81,38.25,37.75,38.12,12.81,290000
1998-03-11,38.06,38.88,38.06,38.75,13.02,543800
1998-03-12,38.75,38.75,38.44,38.56,12.96,241700
1998-03-13,38.44,38.75,38.38,38.69,13.0,425000
1998-03-16,38.69,39.69,38.62,39.5,13.28,395400
1998-03-17,39.5,40.31,39.5,40.31,13.55,351500
1998-03-18,40.12,41.0,40.12,40.88,13.74,668800
1998-03-19,40.75,41.5,40.62,41.5,13.95,431500
1998-03-20,41.75,42.44,41.62,42.31,14.22,521300
1998-03-23,42.25,42.31,41.81,42.06,14.14,293400
1998-03-24,42.0,42.25,41.75,42.06,14.14,291300
1998-03-25,42.0,42.44,41.88,42.44,14.26,222000
1998-03-26,42.38,42.38,41.88,41.94,14.1,452000
1998-03-27,41.69,41.81,41.06,41.38,13.91,412800
1998-03-30,41.38,41.81,41.25,41.5,13.95,366000
1998-03-31,41.25,42.25,41.12,42.12,14.16,414900
1998-04-01,42.19,42.19,41.62,42.0,14.12,200100
1998-04-02,41.88,42.19,41.81,42.19,14.18,386000
1998-04-03,42.19,42.56,42.0,42.5,14.28,254700
1998-04-06,42.31,42.38,42.06,42.19,14.18,179800
1998-04-07,42.06,42.06,41.62,41.81,14.05,235300
1998-04-08,41.69,41.88,41.5,41.88,14.07,453200
1998-04-09,41.81,41.88,41.31,41.88,14.07,731700
1998-04-13,42.0,42.0,41.62,41.81,14.05,796600
1998-04-14,41.69,42.31,41.56,42.25,14.2,526400
1998-04-15,42.12,42.5,42.0,42.31,14.22,357100
1998-04-16,42.06,42.06,41.75,41.94,14.1,325300
1998-04-17,41.94,42.12,41.56,42.12,14.16,287900
1998-04-20,41.94,41.94,41.56,41.69,14.01,149800
1998-04-21,41.5,41.5,41.06,41.31,13.89,373900
1998-04-22,41.19,41.25,41.0,41.0,13.78,285400
1998-04-23,41.06,41.31,39.75,39.75,13.36,387700
1998-04-24,39.75,40.56,39.44,39.88,13.4,398800
1998-04-27,39.75,39.88,38.19,39.56,13.3,128000
1998-04-28,39.62,39.69,39.06,39.25,13.19,592600
1998-04-29,39.38,39.38,38.88,39.06,13.13,242900
