Date,Open,High,Low,Close,Adj Close,Volume
1970-01-02,30.12,31.0,30.12,30.62,0.95,10300
1970-01-05,30.62,31.0,30.25,31.0,0.96,17600
1970-01-06,31.0,31.25,30.75,30.75,0.96,14000
1970-01-07,30.75,30.88,30.5,30.88,0.96,7700
1970-01-08,30.75,30.75,30.5,30.5,0.95,16300
1970-01-09,30.5,30.88,30.38,30.75,0.96,16800
1970-01-12,30.62,30.62,30.25,30.5,0.95,11700
1970-01-13,30.5,30.5,29.62,29.62,0.92,15900
1970-01-14,29.62,29.75,29.12,29.62,0.92,37800
1970-01-15,29.62,29.62,29.25,29.5,0.92,23500
1970-01-16,29.5,30.0,29.38,29.38,0.91,23300
1970-01-19,29.5,30.12,29.5,29.88,0.93,12600
1970-01-20,29.88,29.88,29.25,29.25,0.91,19800
1970-01-21,29.25,30.12,29.25,29.62,0.92,22400
1970-01-22,29.75,30.62,29.75,30.5,0.95,25300
1970-01-23,30.5,30.5,29.25,29.25,0.91,11900
1970-01-26,29.25,29.62,29.12,29.12,0.9,12000
1970-01-27,29.0,29.0,28.62,28.88,0.9,12700
1970-01-28,28.88,28.88,28.12,28.38,0.88,26700
1970-01-29,28.38,28.38,27.62,28.12,0.87,26100
1970-01-30,28.12,28.25,27.75,27.75,0.86,15200
1970-02-02,28.12,28.88,28.12,28.25,0.88,27200
1970-02-03,28.25,28.5,27.62,28.38,0.88,23600
1970-02-04,28.38,28.62,27.88,28.25,0.89,21300
1970-02-05,28.25,28.25,27.88,28.0,0.88,13100
1970-02-06,28.12,28.75,28.12,28.25,0.89,15200
1970-02-09,28.25,29.0,28.12,28.12,0.89,15300
1970-02-10,28.12,28.12,27.5,27.75,0.87,36400
1970-02-11,27.75,27.88,27.25,27.88,0.88,24400
1970-02-12,27.88,27.88,27.62,27.88,0.88,17500
1970-02-13,27.88,28.0,27.62,28.0,0.88,27700
1970-02-16,28.0,28.38,27.25,27.25,0.86,22700
1970-02-17,27.25,27.88,27.12,27.38,0.86,22600
