Date,Open,High,Low,Close,Adj Close,Volume
1991-06-26,3.11,3.36,3.11,3.28,1.38,16683200
1991-06-27,3.36,3.44,3.26,3.32,1.4,6160000
1991-06-28,3.32,3.4,3.24,3.3,1.39,2384400
1991-07-01,3.36,3.36,3.28,3.32,1.4,1782400
1991-07-02,3.36,3.36,3.32,3.36,1.42,1270800
1991-07-03,3.32,3.36,3.24,3.32,1.4,1214800
1991-07-05,3.32,3.32,3.2,3.2,1.35,230000
1991-07-08,3.2,3.32,3.2,3.2,1.35,550000
1991-07-09,3.26,3.48,3.2,3.44,1.45,3100000
1991-07-10,3.48,3.72,3.48,3.72,1.57,1238400
1991-07-11,3.72,3.88,3.64,3.78,1.6,2259200
1991-07-12,3.84,3.84,3.68,3.72,1.57,733200
1991-07-15,3.76,3.76,3.68,3.72,1.57,404000
1991-07-16,3.72,3.92,3.68,3.92,1.66,1534000
1991-07-17,3.84,4.21,3.84,4.13,1.74,3741600
1991-07-18,4.13,4.25,4.05,4.13,1.74,3756000
1991-07-19,4.17,4.17,3.92,3.92,1.66,1457200
1991-07-22,4.0,4.05,3.92,3.92,1.66,499200
1991-07-23,3.92,3.96,3.7,3.74,1.58,782800
1991-07-24,3.72,3.84,3.64,3.64,1.54,524000
1991-07-25,3.72,3.72,3.6,3.6,1.58,211200
1991-07-26,3.58,3.64,3.56,3.64,1.59,494400
1991-07-29,3.68,3.68,3.56,3.68,1.61,77600
1991-07-30,3.68,3.98,3.6,3.96,1.73,630000
1991-07-31,3.96,4.09,3.92,4.05,1.77,1389600
1991-08-01,4.09,4.09,4.0,4.09,1.79,320400
1991-08-02,4.05,4.13,4.05,4.05,1.77,728000
1991-08-05,4.0,4.13,3.96,3.96,1.73,746400
1991-08-06,3.92,4.0,3.88,4.0,1.75,140800
1991-08-07,4.0,4.0,3.96,4.0,1.75,210400
1991-08-08,4.0,4.0,3.96,4.0,1.75,448400
1991-08-09,4.0,4.0,3.92,3.94,1.73,353200
1991-08-12,3.88,3.92,3.84,3.92,1.72,132400
1991-08-13,3.84,3.92,3.84,3.92,1.72,131200
1991-08-14,3.92,3.96,3.84,3.96,1.73,122400
1991-08-15,3.96,3.96,3.88,3.96,1.73,162000
1991-08-16,3.88,4.0,3.88,3.92,1.72,92800
1991-08-19,3.68,3.8,3.6,3.74,1.64,414400
1991-08-20,3.8,3.88,3.76,3.88,1.7,267200
1991-08-21,3.92,3.96,3.84,3.88,1.7,412000
1991-08-22,3.96,3.96,3.88,3.96,1.73,52800
1991-08-23,3.96,4.05,3.88,4.0,1.75,117200
1991-08-26,3.96,4.05,3.96,4.05,1.77,19600
1991-08-27,4.05,4.21,3.96,4.21,1.84,554800
1991-08-28,4.25,4.41,4.17,4.33,1.89,654000
1991-08-29,4.33,4.33,4.25,4.27,1.87,268000
1991-08-30,4.33,4.33,4.25,4.29,1.88,162000
1991-09-03,4.29,4.29,4.25,4.29,1.88,237600
1991-09-04,4.25,4.31,4.25,4.25,1.86,448800
1991-09-05,4.25,4.29,4.25,4.25,1.86,148000
