Date,Open,High,Low,Close,Adj Close,Volume
2018-01-04,181.87,184.39,181.84,183.37,183.37,3321347.0
2018-01-10,,,,,,
2018-03-05,177.2,178.91,176.74,178.46,178.46,1736775.0
2018-03-13,177.46,177.62,176.87,177.44,177.44,2333877.0
2018-03-14,177.58,177.68,176.16,176.62,176.62,1887897.0
2018-03-15,176.5,176.86,174.15,174.59,174.59,1873553.0
2018-03-16,174.88,175.19,173.85,173.91,173.91,1900422.0
2018-03-19,173.9,174.26,171.54,172.06,172.06,1405117.0
2018-03-20,172.29,172.77,171.01,171.63,171.63,1801710.0
2018-03-21,171.3,172.1,169.9,170.01,170.01,1980097.0
2018-03-22,169.55,170.55,169.03,169.45,169.45,1680657.0
2018-03-23,169.53,169.81,168.06,168.11,168.11,1530017.0
2018-03-26,168.77,171.0,168.37,170.75,170.75,1336189.0
2018-03-27,170.75,170.95,168.01,168.36,168.36,2176957.0
2018-03-28,168.94,170.38,168.37,169.43,169.43,1573264.0
2018-03-29,169.76,169.82,168.2,169.0,169.0,2775402.0
2018-04-02,169.01,169.36,166.88,168.11,168.11,2989578.0
2018-04-03,168.63,169.38,168.15,168.76,168.76,1952316.0
2018-04-04,168.16,170.96,167.38,170.39,170.39,1847803.0
2018-04-05,170.73,173.12,170.11,170.71,170.71,2011075.0
2018-04-06,170.3,170.93,169.19,170.38,170.38,2845351.0
2018-04-09,170.62,173.39,169.45,171.52,171.52,3074587.0
2018-04-10,172.17,174.11,170.69,173.87,173.87,8211422.0
2018-04-11,172.65,173.45,170.84,171.27,171.27,2382297.0
2018-04-12,171.67,173.89,171.41,173.28,173.28,2558111.0
2018-04-13,173.97,174.13,172.44,172.93,172.93,2350627.0
2018-04-16,173.94,177.6,173.38,175.89,175.89,2658641.0
2018-04-17,177.11,177.39,175.23,177.29,177.29,2547608.0
2018-04-18,177.1,178.22,176.96,177.53,177.53,1986332.0
2018-04-19,177.0,177.41,175.47,176.43,176.43,1243509.0
2018-04-20,176.68,177.08,175.58,176.92,176.92,1673802.0
2018-04-23,177.07,177.42,176.18,177.1,177.1,2281983.0
2018-04-24,177.74,178.44,176.43,177.2,177.2,1614310.0
2018-04-25,177.03,179.04,176.5,178.99,178.99,1292777.0
2018-04-26,178.72,179.9,178.05,178.82,178.82,2411627.0
2018-04-27,178.71,181.26,178.71,179.88,179.88,1101625.0
2018-04-30,180.02,181.0,178.86,179.05,179.05,1910701.0
2018-05-01,179.67,180.68,178.35,178.71,178.71,1921134.0
2018-05-02,178.84,179.0,176.11,176.75,176.75,2433702.0
2018-05-03,176.33,176.33,171.55,172.13,172.13,3741742.0
2018-05-04,171.68,173.24,171.02,172.26,172.26,2027504.0
2018-05-07,172.39,172.7,171.35,171.4,171.4,2032045.0
2018-05-08,171.19,171.47,170.19,170.83,170.83,1965830.0
2018-05-09,170.8,171.84,170.04,170.57,170.57,1988926.0
2018-05-10,170.99,172.31,170.15,170.59,170.59,1633873.0
2018-05-11,171.01,174.67,169.1,174.67,174.67,3204710.0
2018-05-14,174.81,177.9,173.83,177.82,177.82,3432233.0
2018-05-15,177.67,177.87,176.68,177.1,177.1,1610834.0
2018-05-16,177.5,177.95,176.69,177.47,177.47,1458464.0
2018-05-17,177.47,178.06,176.72,177.03,177.03,1447770.0
2018-05-18,177.07,177.56,176.25,176.81,176.81,1559684.0
2018-05-21,177.89,177.89,176.64,177.72,177.72,1183640.0
2018-05-22,177.88,178.99,177.21,177.21,177.21,2348055.0
2018-05-23,177.04,177.57,176.36,177.34,177.34,1277252.0
2018-05-24,177.25,177.6,175.47,177.12,177.12,1154955.0
2018-05-25,177.14,178.6,176.49,178.54,178.54,953127.0
2018-05-29,177.7,178.0,176.47,176.78,176.78,1732336.0
2018-05-30,177.45,178.17,176.94,177.87,177.87,1342202.0
2018-05-31,177.71,177.71,175.1,176.13,176.13,2522863.0
2018-06-01,176.6,177.0,176.08,176.6,176.6,1674328.0
2018-06-04,176.6,177.13,176.03,176.3,176.3,1062247.0
2018-06-05,176.05,176.59,174.91,175.65,175.65,1834386.0
2018-06-06,175.79,179.09,175.75,179.01,179.01,1966134.0
2018-06-07,179.12,180.0,178.2,179.74,179.74,2409876.0
2018-06-08,179.87,180.83,179.43,180.81,180.81,2222725.0
2018-06-11,180.84,182.41,180.13,182.06,182.06,1653816.0
2018-06-12,181.22,182.29,179.15,180.68,180.68,2961093.0
2018-06-13,185.05,188.52,184.98,187.42,187.42,4058087.0
2018-06-14,187.77,188.64,187.2,188.09,188.09,1511346.0
2018-06-15,187.59,189.61,187.59,189.5,189.5,2971264.0
2018-06-18,189.09,189.2,186.67,186.95,186.95,1351578.0
2018-06-19,186.31,189.79,186.09,189.28,189.28,1508812.0
2018-06-20,189.2,190.73,188.67,190.23,190.23,1288564.0
2018-06-21,190.38,191.3,189.1,189.15,189.15,1038548.0
2018-06-22,189.27,191.5,189.27,190.92,190.92,1513811.0
2018-06-25,190.65,190.86,188.76,189.58,189.58,1278585.0
2018-06-26,188.63,189.78,187.87,188.08,188.08,1203426.0
