Date,Open,High,Low,Close,Adj Close,Volume
1989-06-22,6.06,6.09,5.72,5.78,4.4,1746400
1989-06-23,5.78,5.88,5.69,5.88,4.48,2356000
1989-06-26,5.88,5.97,5.81,5.81,4.43,533200
1989-06-27,5.94,6.09,5.94,6.0,4.57,2098000
1989-06-28,6.0,6.0,5.78,5.78,4.4,856400
1989-06-29,5.78,5.84,5.66,5.72,4.36,1496000
1989-06-30,5.72,5.72,5.56,5.69,4.33,606400
1989-07-03,5.69,5.69,5.62,5.66,4.31,127200
1989-07-05,5.69,5.69,5.62,5.69,4.33,668400
1989-07-06,5.69,5.88,5.66,5.84,4.45,1311600
1989-07-07,5.94,6.0,5.81,5.91,4.5,1616800
1989-07-10,5.94,6.12,5.94,6.12,4.67,975200
1989-07-11,6.12,6.28,6.12,6.19,4.71,1833200
1989-07-12,6.25,6.31,6.09,6.09,4.64,1640400
1989-07-13,6.12,6.12,5.84,5.97,4.55,2386800
1989-07-14,6.0,6.06,5.94,6.0,4.57,1527600
1989-07-17,6.06,6.09,6.0,6.09,4.64,1277200
1989-07-18,6.09,6.09,5.97,5.97,4.55,1643600
1989-07-19,6.03,6.03,5.84,5.88,4.48,2506000
1989-07-20,5.94,6.22,5.94,6.06,4.62,2471200
1989-07-21,6.06,6.12,6.0,6.09,4.64,1890400
1989-07-24,6.09,6.09,5.97,5.97,4.55,1080000
1989-07-25,6.0,6.06,5.97,6.06,4.62,1612800
1989-07-26,6.09,6.19,6.06,6.12,4.67,4258000
1989-07-27,6.19,6.38,6.19,6.31,4.81,7722400
1989-07-28,6.34,6.38,6.28,6.31,4.81,3185600
1989-07-31,6.28,6.31,6.16,6.28,4.79,2185600
1989-08-01,6.28,6.31,6.19,6.28,4.79,3455200
1989-08-02,6.25,6.28,6.19,6.19,4.71,3822000
1989-08-03,6.19,6.25,6.16,6.25,4.76,3407600
1989-08-04,6.16,6.31,6.16,6.31,4.81,1885600
1989-08-07,6.31,6.31,6.12,6.16,4.69,2147600
1989-08-08,6.19,6.25,6.16,6.25,4.76,2505600
1989-08-09,6.25,6.31,6.25,6.28,4.79,2747200
1989-08-10,6.25,6.31,6.19,6.22,4.74,4166000
1989-08-11,6.31,6.31,6.25,6.28,4.79,2558800
