Date,Open,High,Low,Close,Adj Close,Volume
1973-01-02,24.7,24.7,24.7,24.7,17.84,0.0
1973-01-03,24.81,24.81,24.81,24.81,17.92,0.0
1973-01-04,24.52,24.52,24.52,24.52,17.71,0.0
1973-01-05,24.67,24.67,24.67,24.67,17.82,0.0
1973-01-08,24.6,24.6,24.6,24.6,17.77,0.0
1973-01-09,24.74,24.74,24.74,24.74,17.87,0.0
1973-01-10,24.74,24.74,24.74,24.74,17.87,0.0
1973-01-11,24.92,24.92,24.92,24.92,18.0,0.0
1973-01-12,24.96,24.96,24.96,24.96,18.03,0.0
1973-01-15,25.03,25.03,25.03,25.03,18.08,0.0
1973-01-16,24.63,24.63,24.63,24.63,17.79,0.0
1973-01-17,24.24,24.24,24.24,24.24,17.51,0.0
1973-01-18,24.09,24.09,24.09,24.09,17.4,0.0
1973-01-19,23.77,23.77,23.77,23.77,17.17,0.0
1973-01-22,23.81,23.81,23.81,23.81,17.19,0.0
1973-01-23,23.95,23.95,23.95,23.95,17.3,0.0
1973-01-24,23.81,23.81,23.81,23.81,17.19,0.0
1973-01-26,23.16,23.16,23.16,23.16,16.73,0.0
1973-01-29,22.44,22.44,22.44,22.44,16.21,0.0
1973-01-30,22.44,22.44,22.44,22.44,16.21,0.0
1973-01-31,22.51,22.51,22.51,22.51,16.26,0.0
1973-02-01,22.44,22.44,22.44,22.44,16.21,0.0
1973-02-02,22.4,22.4,22.4,22.4,16.18,0.0
1973-02-05,22.4,22.4,22.4,22.4,16.18,0.0
1973-02-06,22.51,22.51,22.51,22.51,16.26,0.0
1973-02-07,22.44,22.44,22.44,22.44,16.21,0.0
1973-02-08,22.19,22.19,22.19,22.19,16.03,0.0
1973-02-09,22.29,22.29,22.29,22.29,16.1,0.0
1973-02-12,22.58,22.58,22.58,22.58,16.31,0.0
1973-02-13,22.87,22.87,22.87,22.87,16.52,0.0
1973-02-14,22.47,22.47,22.47,22.47,16.23,0.0
1973-02-15,21.94,21.94,21.94,21.94,15.84,0.0
1973-02-16,21.97,21.97,21.97,21.97,15.87,0.0
1973-02-20,22.15,22.15,22.15,22.15,16.0,0.0
1973-02-21,22.01,22.01,22.01,22.01,15.9,0.0
1973-02-22,21.94,21.94,21.94,21.94,15.84,0.0
1973-02-23,21.61,21.61,21.61,21.61,15.61,0.0
1973-02-26,21.5,21.5,21.5,21.5,15.53,0.0
1973-02-27,20.6,20.6,20.6,20.6,14.88,0.0
1973-02-28,20.57,20.57,20.57,20.57,14.86,0.0
1973-03-01,20.57,20.57,20.57,20.57,14.86,0.0
1973-03-02,20.89,20.89,20.89,20.89,15.09,0.0
1973-03-05,21.0,21.0,21.0,21.0,15.17,0.0
1973-03-06,21.5,21.5,21.5,21.5,15.53,0.0
1973-03-07,21.97,21.97,21.97,21.97,15.87,0.0
1973-03-08,22.01,22.01,22.01,22.01,15.9,0.0
1973-03-09,22.01,22.01,22.01,22.01,15.9,0.0
1973-03-12,22.08,22.08,22.08,22.08,15.95,0.0
1973-03-13,22.12,22.12,22.12,22.12,15.97,0.0
1973-03-14,22.15,22.15,22.15,22.15,16.0,0.0
1973-03-15,22.08,22.08,22.08,22.08,15.95,0.0
1973-03-16,22.15,22.15,22.15,22.15,16.0,0.0
1973-03-19,21.68,21.68,21.68,21.68,15.66,0.0
1973-03-20,21.5,21.5,21.5,21.5,15.53,0.0
1973-03-21,21.18,21.18,21.18,21.18,15.3,0.0
1973-03-22,20.57,20.57,20.57,20.57,14.86,0.0
1973-03-23,20.64,20.64,20.64,20.64,14.91,0.0
1973-03-26,20.64,20.64,20.64,20.64,14.91,0.0
1973-03-27,20.82,20.82,20.82,20.82,15.04,0.0
1973-03-28,21.58,21.58,21.58,21.58,15.58,0.0
1973-03-29,22.08,22.08,22.08,22.08,15.95,0.0
1973-03-30,21.72,21.72,21.72,21.72,15.69,0.0
1973-04-02,21.29,21.29,21.29,21.29,15.38,0.0
1973-04-03,21.07,21.07,21.07,21.07,15.22,0.0
1973-04-04,20.35,20.35,20.35,20.35,14.7,0.0
1973-04-05,20.57,20.57,20.57,20.57,14.86,0.0
1973-04-06,20.71,20.71,20.71,20.71,14.96,0.0
1973-04-09,20.71,20.71,20.71,20.71,14.96,0.0
1973-04-10,20.57,20.57,20.57,20.57,14.86,0.0
1973-04-11,20.64,20.64,20.64,20.64,14.91,0.0
1973-04-12,21.0,21.0,21.0,21.0,15.17,0.0
1973-04-13,21.07,21.07,21.07,21.07,15.22,0.0
1973-04-16,21.04,21.04,21.04,21.04,15.19,0.0
1973-04-17,20.89,20.89,20.89,20.89,15.09,0.0
1973-04-18,20.82,20.82,20.82,20.82,15.04,0.0
1973-04-19,20.78,20.78,20.78,20.78,15.01,0.0
1973-04-23,20.53,20.53,20.53,20.53,14.83,0.0
1973-04-24,20.21,20.21,20.21,20.21,14.6,0.0
1973-04-25,20.07,20.07,20.07,20.07,14.49,0.0
1973-04-26,19.92,19.92,19.92,19.92,14.39,0.0
1973-04-27,19.71,19.71,19.71,19.71,14.23,0.0
1973-04-30,19.63,19.63,19.63,19.63,14.18,0.0
1973-05-01,19.27,19.27,19.27,19.27,13.92,0.0
1973-05-02,19.38,19.38,19.38,19.38,14.0,0.0
1973-05-03,19.38,19.38,19.38,19.38,14.0,0.0
1973-05-04,19.99,19.99,19.99,19.99,14.44,0.0
1973-05-07,19.63,19.63,19.63,19.63,14.18,0.0
1973-05-08,19.45,19.45,19.45,19.45,14.05,0.0
1973-05-09,19.35,19.35,19.35,19.35,13.97,0.0
1973-05-10,19.17,19.17,19.17,19.17,13.84,0.0
1973-05-11,18.95,18.95,18.95,18.95,13.69,0.0
1973-05-14,17.76,17.76,17.76,17.76,12.83,0.0
1973-05-15,17.84,17.84,17.84,17.84,12.88,0.0
1973-05-16,17.91,17.91,17.91,17.91,12.93,0.0
1973-05-17,17.84,17.84,17.84,17.84,12.88,0.0
1973-05-18,17.37,17.37,17.37,17.37,12.54,0.0
1973-05-21,17.3,17.3,17.3,17.3,12.49,0.0
1973-05-22,17.37,17.37,17.37,17.37,12.54,0.0
1973-05-23,17.62,17.62,17.62,17.62,12.73,0.0
1973-05-24,19.27,19.27,19.27,19.27,13.92,0.0
1973-05-25,19.13,19.13,19.13,19.13,13.82,0.0
1973-05-29,18.77,18.77,18.77,18.77,13.56,0.0
1973-05-30,17.91,17.91,17.91,17.91,12.93,0.0
1973-05-31,17.62,17.62,17.62,17.62,12.73,0.0
1973-06-01,17.55,17.55,17.55,17.55,12.67,0.0
1973-06-04,17.55,17.55,17.55,17.55,12.67,0.0
1973-06-05,17.91,17.91,17.91,17.91,12.93,0.0
1973-06-06,17.66,17.66,17.66,17.66,12.75,0.0
1973-06-07,17.87,17.87,17.87,17.87,12.91,0.0
1973-06-08,18.38,18.38,18.38,18.38,13.27,0.0
1973-06-11,18.34,18.34,18.34,18.34,13.25,0.0
1973-06-12,19.42,19.42,19.42,19.42,14.03,0.0
1973-06-13,19.38,19.38,19.38,19.38,14.0,0.0
1973-06-14,19.06,19.06,19.06,19.06,13.77,0.0
1973-06-15,18.52,18.52,18.52,18.52,13.38,0.0
1973-06-18,18.12,18.12,18.12,18.12,13.09,0.0
1973-06-19,18.2,18.2,18.2,18.2,13.14,0.0
1973-06-20,18.2,18.2,18.2,18.2,13.14,0.0
1973-06-21,18.2,18.2,18.2,18.2,13.14,0.0
1973-06-22,18.7,18.7,18.7,18.7,13.51,0.0
1973-06-25,18.02,18.02,18.02,18.02,13.01,0.0
1973-06-26,18.56,18.56,18.56,18.56,13.4,0.0
1973-06-27,18.63,18.63,18.63,18.63,13.45,0.0
1973-06-28,18.81,18.81,18.81,18.81,13.58,0.0
1973-06-29,18.7,18.7,18.7,18.7,13.51,0.0
1973-07-02,18.77,18.77,18.77,18.77,13.56,0.0
1973-07-03,18.77,18.77,18.77,18.77,13.56,0.0
1973-07-05,18.99,18.99,18.99,18.99,13.71,0.0
1973-07-06,19.35,19.35,19.35,19.35,13.97,0.0
1973-07-09,20.42,20.42,20.42,20.42,14.75,0.0
1973-07-10,21.0,21.0,21.0,21.0,15.17,0.0
1973-07-11,21.43,21.43,21.43,21.43,15.48,0.0
1973-07-12,21.25,21.25,21.25,21.25,15.35,0.0
1973-07-13,21.32,21.32,21.32,21.32,15.4,0.0
1973-07-16,21.58,21.58,21.58,21.58,15.58,0.0
1973-07-17,22.15,22.15,22.15,22.15,16.0,0.0
1973-07-18,22.15,22.15,22.15,22.15,16.0,0.0
1973-07-19,22.08,22.08,22.08,22.08,15.95,0.0
1973-07-20,23.45,23.45,23.45,23.45,16.93,0.0
1973-07-23,22.87,22.87,22.87,22.87,16.52,0.0
1973-07-24,22.87,22.87,22.87,22.87,16.52,0.0
1973-07-25,23.09,23.09,23.09,23.09,16.67,0.0
1973-07-26,23.01,23.01,23.01,23.01,16.62,0.0
1973-07-27,22.94,22.94,22.94,22.94,16.57,0.0
1973-07-30,22.8,22.8,22.8,22.8,16.47,0.0
1973-07-31,22.83,22.83,22.83,22.83,16.49,0.0
1973-08-01,22.22,22.22,22.22,22.22,16.05,0.0
1973-08-02,22.15,22.15,22.15,22.15,16.0,0.0
1973-08-03,21.86,21.86,21.86,21.86,15.79,0.0
1973-08-06,22.44,22.44,22.44,22.44,16.21,0.0
1973-08-07,22.37,22.37,22.37,22.37,16.16,0.0
1973-08-08,22.37,22.37,22.37,22.37,16.16,0.0
1973-08-09,22.58,22.58,22.58,22.58,16.31,0.0
1973-08-10,22.29,22.29,22.29,22.29,16.1,0.0
1973-08-13,22.73,22.73,22.73,22.73,16.41,0.0
1973-08-14,22.65,22.65,22.65,22.65,16.36,0.0
1973-08-15,22.29,22.29,22.29,22.29,16.1,0.0
1973-08-16,22.22,22.22,22.22,22.22,16.05,0.0
1973-08-17,22.37,22.37,22.37,22.37,16.16,0.0
1973-08-20,21.5,21.5,21.5,21.5,15.53,0.0
1973-08-21,21.43,21.43,21.43,21.43,15.48,0.0
1973-08-22,22.08,22.08,22.08,22.08,15.95,0.0
1973-08-23,22.8,22.8,22.8,22.8,16.47,0.0
1973-08-24,22.8,22.8,22.8,22.8,16.47,0.0
1973-08-27,22.73,22.73,22.73,22.73,16.41,0.0
1973-08-28,22.8,22.8,22.8,22.8,16.47,0.0
1973-08-29,22.87,22.87,22.87,22.87,16.52,0.0
1973-08-30,22.87,22.87,22.87,22.87,16.52,0.0
1973-08-31,23.3,23.3,23.3,23.3,16.83,0.0
1973-09-04,24.16,24.16,24.16,24.16,17.45,0.0
1973-09-05,24.74,24.74,24.74,24.74,17.87,0.0
1973-09-06,24.67,24.67,24.67,24.67,17.82,0.0
1973-09-07,25.32,25.32,25.32,25.32,18.28,0.0
1973-09-10,24.6,24.6,24.6,24.6,17.77,0.0
1973-09-11,23.81,23.81,23.81,23.81,17.19,0.0
1973-09-12,22.94,22.94,22.94,22.94,16.57,0.0
1973-09-13,22.65,22.65,22.65,22.65,16.36,0.0
1973-09-14,23.3,23.3,23.3,23.3,16.83,0.0
1973-09-17,23.23,23.23,23.23,23.23,16.78,0.0
1973-09-18,23.3,23.3,23.3,23.3,16.83,0.0
1973-09-19,24.24,24.24,24.24,24.24,17.51,0.0
1973-09-20,24.24,24.24,24.24,24.24,17.51,0.0
1973-09-21,24.24,24.24,24.24,24.24,17.51,0.0
1973-09-24,24.24,24.24,24.24,24.24,17.51,0.0
1973-09-25,24.24,24.24,24.24,24.24,17.51,0.0
1973-09-26,24.16,24.16,24.16,24.16,17.45,0.0
1973-09-27,24.31,24.31,24.31,24.31,17.56,0.0
1973-09-28,24.24,24.24,24.24,24.24,17.51,0.0
1973-10-01,24.09,24.09,24.09,24.09,17.4,0.0
1973-10-02,24.24,24.24,24.24,24.24,17.51,0.0
1973-10-03,24.24,24.24,24.24,24.24,17.51,0.0
1973-10-04,23.95,23.95,23.95,23.95,17.3,0.0
1973-10-05,23.95,23.95,23.95,23.95,17.3,0.0
1973-10-08,24.02,24.02,24.02,24.02,17.35,0.0
1973-10-09,24.02,24.02,24.02,24.02,17.35,0.0
1973-10-10,24.02,24.02,24.02,24.02,17.35,0.0
1973-10-11,24.02,24.02,24.02,24.02,17.35,0.0
1973-10-12,24.02,24.02,24.02,24.02,17.35,0.0
1973-10-15,24.02,24.02,24.02,24.02,17.35,0.0
1973-10-16,24.24,24.24,24.24,24.24,17.51,0.0
1973-10-17,24.24,24.24,24.24,24.24,17.51,0.0
1973-10-18,24.31,24.31,24.31,24.31,17.56,0.0
1973-10-19,24.31,24.31,24.31,24.31,17.56,0.0
1973-10-22,24.31,24.31,24.31,24.31,17.56,0.0
1973-10-23,24.52,24.52,24.52,24.52,17.71,0.0
1973-10-24,25.1,25.1,25.1,25.1,18.13,0.0
1973-10-25,25.17,25.17,25.17,25.17,18.18,0.0
1973-10-26,24.96,24.96,24.96,24.96,18.03,0.0
1973-10-29,24.81,24.81,24.81,24.81,17.92,0.0
1973-10-30,24.67,24.67,24.67,24.67,17.82,0.0
1973-10-31,24.52,24.52,24.52,24.52,17.71,0.0
1973-11-01,24.6,24.6,24.6,24.6,17.77,0.0
1973-11-02,24.31,24.31,24.31,24.31,17.56,0.0
1973-11-05,23.59,23.59,23.59,23.59,17.04,0.0
1973-11-06,23.09,23.09,23.09,23.09,16.67,0.0
1973-11-07,23.23,23.23,23.23,23.23,16.78,0.0
1973-11-08,23.37,23.37,23.37,23.37,16.88,0.0
1973-11-09,22.73,22.73,22.73,22.73,16.41,0.0
1973-11-12,22.73,22.73,22.73,22.73,16.41,0.0
1973-11-13,22.73,22.73,22.73,22.73,16.41,0.0
1973-11-14,22.73,22.73,22.73,22.73,16.41,0.0
