Date,Open,High,Low,Close,Adj Close,Volume
1994-07-22,18.5,18.62,18.5,18.5,4.77,1415500
1994-07-25,18.5,18.62,18.5,18.62,4.8,138600
1994-07-26,18.5,18.62,18.5,18.5,4.77,71500
1994-07-27,18.62,18.62,18.5,18.5,4.77,37300
1994-07-28,18.5,18.62,18.5,18.5,4.77,83500
1994-07-29,18.5,18.62,18.5,18.5,4.77,19900
1994-08-01,18.5,18.62,18.5,18.5,4.77,21700
1994-08-02,18.5,18.62,18.5,18.5,4.77,60000
1994-08-03,18.5,18.62,18.5,18.62,4.8,37500
1994-08-04,18.5,18.5,18.25,18.25,4.7,553800
1994-08-05,18.25,18.38,18.25,18.25,4.7,130600
1994-08-08,18.25,18.38,18.25,18.25,4.7,50700
1994-08-09,18.38,18.38,18.25,18.38,4.74,81700
1994-08-10,18.25,18.25,18.0,18.0,4.64,134000
1994-08-11,18.0,18.25,17.88,17.88,4.61,67700
1994-08-12,18.0,18.0,17.88,18.0,4.64,85700
1994-08-15,17.88,18.12,17.88,18.0,4.64,24200
1994-08-16,18.25,18.25,18.0,18.12,4.67,109900
1994-08-17,18.12,18.12,18.0,18.0,4.64,92800
1994-08-18,18.0,18.12,18.0,18.12,4.67,44900
1994-08-19,18.0,18.12,17.88,18.0,4.64,54000
1994-08-22,18.0,18.0,17.88,18.0,4.64,36100
1994-08-23,17.88,18.0,17.88,17.88,4.61,27200
1994-08-24,17.88,18.12,17.88,18.0,4.64,64400
1994-08-25,18.12,18.25,18.0,18.12,4.67,51300
1994-08-26,18.12,18.25,18.12,18.25,4.7,47500
1994-08-29,18.25,18.38,18.12,18.25,4.7,45300
1994-08-30,18.38,18.5,18.25,18.5,4.77,36300
1994-08-31,18.5,18.5,18.38,18.38,4.74,26400
1994-09-01,18.5,18.5,18.25,18.25,4.7,34800
1994-09-02,18.38,18.38,18.12,18.25,4.7,35600
1994-09-06,18.38,18.38,18.0,18.0,4.64,11600
1994-09-07,18.0,18.12,18.0,18.0,4.64,33200
1994-09-08,18.0,18.12,17.88,18.12,4.67,57200
1994-09-09,18.12,18.25,17.62,18.25,4.7,33100
1994-09-12,18.0,18.25,18.0,18.0,4.64,34400
1994-09-13,18.12,18.25,18.0,18.12,4.67,45300
1994-09-14,18.12,18.25,17.75,17.75,4.58,36200
1994-09-15,17.88,18.12,17.88,18.0,4.64,116100
1994-09-16,18.0,18.0,17.75,17.75,4.58,25600
1994-09-19,17.75,17.88,17.5,17.75,4.58,71600
1994-09-20,17.62,17.62,17.25,17.38,4.48,72600
1994-09-21,17.25,17.5,17.0,17.12,4.41,124500
1994-09-22,17.12,17.62,17.12,17.62,4.54,83800
1994-09-23,17.62,17.75,17.5,17.5,4.51,43800
1994-09-26,17.75,17.75,17.5,17.75,4.58,36800
1994-09-27,17.75,18.25,17.62,17.62,4.54,60900
1994-09-28,17.75,17.75,17.5,17.5,4.51,36200
1994-09-29,17.5,17.75,17.38,17.62,4.54,26400
1994-09-30,17.38,17.5,17.25,17.38,4.48,28200
1994-10-03,17.25,17.38,17.12,17.12,4.41,24400
1994-10-04,17.25,17.38,16.5,16.75,4.32,60700
1994-10-05,16.75,17.12,16.75,17.12,4.41,22800
1994-10-06,17.0,17.25,17.0,17.25,4.45,32900
1994-10-07,17.25,17.5,17.12,17.38,4.48,18600
1994-10-10,17.62,17.75,17.62,17.62,4.54,12100
1994-10-11,17.88,18.0,17.75,17.88,4.61,31400
1994-10-12,18.0,18.0,17.75,17.88,4.61,14300
1994-10-13,17.88,18.12,17.75,17.88,4.61,14300
1994-10-14,17.88,17.88,17.75,17.75,4.58,11000
1994-10-17,17.75,17.88,17.62,17.88,4.61,7300
1994-10-18,17.75,17.88,17.62,17.75,4.58,10500
1994-10-19,17.75,18.12,17.75,18.0,4.64,44000
1994-10-20,18.0,18.12,17.88,18.0,4.64,69500
1994-10-21,18.0,18.0,17.75,18.0,4.64,39400
1994-10-24,18.0,18.0,17.75,17.75,4.58,7800
1994-10-25,17.75,18.0,17.75,17.88,4.61,4900
1994-10-26,17.75,17.88,17.75,17.75,4.58,12800
1994-10-27,17.75,18.12,17.75,18.0,4.64,122700
1994-10-28,18.0,18.12,18.0,18.0,4.64,13200
1994-10-31,18.12,18.25,18.0,18.25,4.7,67200
1994-11-01,18.12,18.25,18.0,18.0,4.64,35600
1994-11-02,18.0,18.25,18.0,18.12,4.67,36800
1994-11-03,18.12,18.25,18.0,18.12,4.67,50900
1994-11-04,18.12,18.25,18.0,18.0,4.64,21400
1994-11-07,18.0,18.0,17.75,17.88,4.61,25000
1994-11-08,17.62,17.75,17.38,17.62,4.62,28200
1994-11-09,17.75,17.75,17.5,17.5,4.59,19100
1994-11-10,17.5,17.62,17.5,17.62,4.62,17500
1994-11-11,17.5,17.62,17.38,17.5,4.59,8500
1994-11-14,17.5,17.75,17.5,17.5,4.59,22400
