Date,Open,High,Low,Close,Adj Close,Volume
2004-02-05,23.75,24.94,23.25,24.7,18.85,27565200
2004-02-06,24.71,24.94,24.15,24.85,18.96,5284400
2004-02-09,24.6,24.7,24.0,24.47,18.67,3252900
2004-02-10,24.15,24.47,24.05,24.35,18.58,1651600
2004-02-11,24.28,24.5,24.15,24.25,18.5,2010200
2004-02-12,24.19,25.0,24.17,24.68,18.83,1637500
2004-02-13,24.79,24.84,24.28,24.7,18.85,612000
2004-02-17,24.75,24.9,24.5,24.6,18.77,592300
2004-02-18,24.6,25.4,24.35,25.4,19.38,805700
2004-02-19,25.25,25.98,25.25,25.68,19.6,1494600
2004-02-20,25.69,25.69,25.0,25.35,19.34,742000
2004-02-23,25.39,25.39,24.35,24.55,18.73,1331500
2004-02-24,24.4,24.97,24.21,24.8,18.92,963600
2004-02-25,24.8,25.0,24.7,24.85,18.96,321700
2004-02-26,24.85,25.27,24.6,25.24,19.26,617200
2004-02-27,25.15,25.75,25.11,25.74,19.64,1569100
2004-03-01,25.74,26.19,25.7,25.8,19.69,851700
2004-03-02,25.95,25.95,25.1,25.94,19.79,595600
2004-03-03,25.7,25.8,25.35,25.48,19.44,457000
2004-03-04,25.48,25.75,24.75,25.21,19.24,1060200
2004-03-05,25.02,25.64,25.0,25.55,19.5,450200
2004-03-08,25.55,25.65,25.17,25.48,19.44,370100
2004-03-09,25.5,25.51,24.71,25.0,19.08,816200
2004-03-10,24.8,24.85,24.4,24.65,18.81,1034300
2004-03-11,24.15,24.65,24.15,24.2,18.47,2538500
2004-03-12,24.34,24.65,24.25,24.5,18.69,1501700
2004-03-15,24.75,24.75,23.74,24.0,18.31,1595900
2004-03-16,24.5,24.55,24.18,24.23,18.49,1525800
2004-03-17,24.2,24.5,24.06,24.07,18.37,1051700
2004-03-18,24.07,24.1,23.71,23.8,18.16,1006800
2004-03-19,23.75,23.84,23.4,23.74,18.11,759200
2004-03-22,23.4,23.75,23.09,23.7,18.08,1018700
2004-03-23,23.75,24.0,23.51,24.0,18.31,678300
2004-03-24,24.0,24.05,23.77,23.8,18.16,510900
2004-03-25,23.65,24.06,23.49,23.96,18.28,1499800
2004-03-26,23.87,24.34,23.87,24.1,18.39,887500
2004-03-29,24.11,24.44,24.11,24.37,18.6,823900
2004-03-30,24.2,24.75,24.18,24.72,18.86,739300
2004-03-31,24.75,25.29,24.6,25.15,19.19,728500
2004-04-01,25.25,25.4,24.78,25.25,19.27,1568800
2004-04-02,25.36,25.41,24.75,25.22,19.24,1166400
2004-04-05,25.05,25.53,24.9,25.51,19.47,544200
2004-04-06,25.45,26.0,25.25,25.94,19.79,697900
2004-04-07,25.75,25.86,25.4,25.73,19.63,444100
2004-04-08,25.84,26.26,25.7,26.22,20.01,657400
2004-04-12,26.15,26.25,25.71,25.88,19.75,804000
2004-04-13,25.98,26.16,25.15,25.25,19.27,860800
2004-04-14,25.25,25.45,24.97,25.19,19.22,1518700
2004-04-15,25.3,25.75,25.07,25.25,19.27,1406600
2004-04-16,25.3,25.64,25.05,25.54,19.49,272100
2004-04-19,25.45,26.13,25.45,25.73,19.63,627800
2004-04-20,25.7,25.8,25.4,25.55,19.5,926200
2004-04-21,25.5,25.58,25.0,25.2,19.23,980800
2004-04-22,25.35,25.44,25.0,25.2,19.23,568200
2004-04-23,25.2,25.22,24.86,25.03,19.1,355900
2004-04-26,24.85,25.0,24.65,24.9,19.0,238900
2004-04-27,24.85,25.27,24.84,25.17,19.21,171900
2004-04-28,25.25,25.25,24.92,25.0,19.08,256100
2004-04-29,24.89,24.95,24.6,24.72,18.86,298200
2004-04-30,24.63,25.0,24.34,24.36,18.59,608100
2004-05-03,24.56,25.04,24.45,25.0,19.08,514800
2004-05-04,24.95,25.02,24.5,24.75,18.89,953800
2004-05-05,24.9,25.0,24.6,24.69,18.84,304700
2004-05-06,24.7,24.96,24.29,24.65,18.81,319600
2004-05-07,24.5,24.8,23.55,24.1,18.39,564500
2004-05-10,24.0,24.05,23.48,24.0,18.31,479000
2004-05-11,23.94,24.49,23.72,24.26,18.51,418400
2004-05-12,24.65,24.72,23.56,24.4,18.62,1549800
2004-05-13,24.25,25.28,24.08,24.99,19.07,753400
2004-05-14,24.99,25.15,24.85,25.0,19.08,750400
2004-05-17,24.8,24.8,24.25,24.37,18.6,569600
2004-05-18,24.5,25.05,24.41,24.84,18.95,852100
2004-05-19,24.8,25.0,24.64,24.75,18.89,434400
2004-05-20,24.75,25.0,24.7,25.0,19.13,546500
2004-05-21,24.99,25.0,24.88,24.93,19.08,469600
2004-05-24,25.05,25.05,24.82,25.0,19.13,532500
2004-05-25,25.0,25.01,24.52,24.65,18.86,1171200
2004-05-26,24.7,24.84,24.38,24.8,18.98,349200
2004-05-27,24.7,24.99,24.55,24.6,18.82,615900
2004-05-28,24.65,25.1,24.45,25.1,19.21,283900
2004-06-01,25.0,25.29,24.9,25.16,19.25,939300
2004-06-02,25.41,25.49,25.15,25.4,19.44,505900
2004-06-03,25.43,25.7,25.29,25.63,19.61,397700
2004-06-04,25.55,25.85,25.45,25.8,19.74,240100
2004-06-07,25.9,25.91,25.49,25.55,19.55,336400
2004-06-08,25.37,25.6,25.24,25.58,19.57,614300
2004-06-09,25.7,25.9,25.48,25.52,19.53,846300
2004-06-10,25.6,25.6,25.4,25.46,19.48,543700
2004-06-14,25.46,25.46,25.08,25.45,19.47,177900
2004-06-15,25.5,25.85,25.44,25.68,19.65,559400
2004-06-16,25.5,25.72,25.48,25.53,19.54,192800
2004-06-17,25.5,25.79,25.45,25.78,19.73,282200
2004-06-18,25.65,25.72,25.07,25.35,19.4,801400
2004-06-21,25.41,25.44,25.24,25.3,19.36,207700
2004-06-22,25.32,25.4,25.1,25.3,19.36,268200
2004-06-23,25.35,25.48,25.12,25.28,19.34,183200
2004-06-24,25.1,25.8,25.1,25.45,19.47,507100
2004-06-25,25.55,25.99,25.44,25.99,19.89,2268900
2004-06-28,25.99,26.25,25.92,26.2,20.05,604400
2004-06-29,26.1,26.59,26.0,26.47,20.26,486600
2004-06-30,26.52,26.57,26.25,26.38,20.19,566700
2004-07-01,26.38,26.41,26.18,26.3,20.13,461600
2004-07-02,26.25,26.36,26.0,26.07,19.95,489000
2004-07-06,26.06,26.06,25.71,25.85,19.78,246200
2004-07-07,25.82,26.0,25.8,26.0,19.9,416800
2004-07-08,26.0,26.0,25.8,25.85,19.78,224500
2004-07-09,25.92,25.98,25.71,25.85,19.78,155700
2004-07-12,25.9,26.0,25.8,25.97,19.87,93700
2004-07-13,25.97,26.03,25.82,26.0,19.9,545400
2004-07-14,26.0,26.0,25.51,25.78,19.73,203100
2004-07-15,25.63,25.74,25.31,25.47,19.49,292100
2004-07-16,25.48,25.61,25.29,25.48,19.5,342200
2004-07-19,25.4,25.6,25.35,25.55,19.55,280600
2004-07-20,25.45,25.55,25.33,25.48,19.5,647000
2004-07-21,25.54,25.58,25.44,25.44,19.47,740200
2004-07-22,25.4,25.4,24.69,24.7,18.9,1169000
2004-07-23,24.65,24.65,24.16,24.3,18.59,1022700
2004-07-26,24.36,24.45,23.86,23.9,18.29,704200
2004-07-27,23.96,25.0,23.91,24.62,18.84,483600
2004-07-28,24.85,24.85,24.31,24.43,18.69,452500
2004-07-29,24.45,24.66,24.33,24.4,18.67,331400
2004-07-30,24.4,24.45,24.29,24.4,18.67,392900
2004-08-02,24.35,24.86,24.21,24.77,18.95,225600
2004-08-03,25.0,25.41,24.81,25.15,19.25,556400
2004-08-04,25.1,25.16,24.92,25.05,19.17,119900
2004-08-05,25.0,25.76,25.0,25.66,19.64,1014300
2004-08-06,25.6,25.79,25.48,25.65,19.63,537200
2004-08-09,25.6,25.98,25.55,25.84,19.77,208700
2004-08-10,25.9,26.05,25.89,25.95,19.86,309600
2004-08-11,26.1,26.1,25.61,25.7,19.67,471300
2004-08-12,25.6,25.7,25.15,25.16,19.25,307000
2004-08-13,25.33,25.33,25.05,25.1,19.21,451300
2004-08-16,24.95,25.43,24.95,25.3,19.36,442500
2004-08-17,25.24,25.73,25.2,25.65,19.63,281600
2004-08-18,25.68,25.88,25.65,25.85,19.78,269400
2004-08-19,25.6,25.99,25.6,25.8,19.8,303800
2004-08-20,25.75,25.84,25.65,25.8,19.8,187800
2004-08-23,25.67,26.02,25.67,25.91,19.88,190800
2004-08-24,25.8,26.0,25.8,25.99,19.94,192500
2004-08-25,25.99,26.01,25.89,25.97,19.93,294300
2004-08-26,25.98,26.0,25.72,25.85,19.83,287700
2004-08-27,25.95,25.95,25.65,25.81,19.8,236600
2004-08-30,25.86,26.4,25.85,26.4,20.26,359300
2004-08-31,26.23,26.54,26.23,26.54,20.36,320600
2004-09-01,26.5,26.86,26.5,26.73,20.51,582800
2004-09-02,26.6,27.0,26.6,26.85,20.6,266300
2004-09-03,26.8,26.85,26.37,26.45,20.29,318400
2004-09-07,26.35,26.75,26.27,26.4,20.26,244300
2004-09-08,26.27,26.5,26.06,26.37,20.23,339900
2004-09-09,26.3,26.46,26.25,26.3,20.18,260800
2004-09-10,26.22,26.48,26.21,26.33,20.2,152100
