Date,Open,High,Low,Close,Adj Close,Volume
1984-06-20,1.88,1.88,1.84,1.84,0.19,2004000
1984-06-21,1.84,1.84,1.78,1.78,0.18,626400
1984-06-22,1.78,1.81,1.78,1.78,0.18,229600
1984-06-25,1.78,1.81,1.75,1.75,0.18,102400
1984-06-26,1.75,1.75,1.72,1.72,0.17,129600
1984-06-27,1.75,1.78,1.75,1.75,0.18,213600
1984-06-28,1.75,1.78,1.75,1.75,0.18,212000
1984-06-29,1.81,1.88,1.81,1.81,0.18,208000
1984-07-02,1.81,1.88,1.81,1.81,0.18,144800
1984-07-03,1.81,1.88,1.81,1.81,0.18,48000
1984-07-05,1.84,1.91,1.84,1.84,0.19,108000
1984-07-06,1.84,1.91,1.84,1.84,0.19,2400
1984-07-09,1.84,1.88,1.84,1.84,0.19,76800
1984-07-10,1.84,1.91,1.84,1.84,0.19,89600
1984-07-11,1.84,1.91,1.84,1.84,0.19,82400
1984-07-12,1.84,1.88,1.81,1.81,0.18,58400
1984-07-13,1.81,1.88,1.81,1.81,0.18,323200
1984-07-16,1.81,1.88,1.81,1.81,0.18,32000
1984-07-17,1.81,1.88,1.81,1.81,0.18,334400
1984-07-18,1.81,1.88,1.81,1.81,0.18,420800
1984-07-19,1.81,1.88,1.81,1.81,0.18,404000
1984-07-20,1.81,1.88,1.81,1.81,0.18,53600
1984-07-23,1.84,1.91,1.84,1.84,0.19,153600
1984-07-24,1.88,1.97,1.88,1.88,0.19,82400
1984-07-25,1.88,1.97,1.88,1.88,0.19,2400
1984-07-26,1.97,2.03,1.97,1.97,0.2,147200
1984-07-27,2.03,2.12,2.03,2.03,0.21,128000
1984-07-30,2.03,2.12,2.03,2.03,0.21,153600
1984-07-31,2.03,2.12,2.03,2.03,0.21,131200
1984-08-01,2.03,2.12,2.03,2.03,0.21,124000
1984-08-02,2.09,2.16,2.09,2.09,0.21,103200
1984-08-03,2.12,2.22,2.12,2.12,0.22,72000
1984-08-06,2.16,2.25,2.16,2.16,0.22,52000
1984-08-07,2.16,2.25,2.16,2.16,0.22,24000
1984-08-08,2.22,2.28,2.22,2.22,0.23,19200
1984-08-09,2.22,2.28,2.22,2.22,0.23,40000
1984-08-10,2.25,2.31,2.25,2.25,0.23,19200
1984-08-13,2.25,2.31,2.25,2.25,0.23,160800
1984-08-14,2.25,2.31,2.25,2.25,0.23,80000
