Date,Open,High,Low,Close,Adj Close,Volume
1999-10-29,110.0,165.0,110.0,145.19,145.19,11474900
1999-11-01,144.0,179.0,143.0,174.31,174.31,5103800
1999-11-02,178.0,199.0,175.0,192.75,192.75,3979400
1999-11-03,200.5,204.0,185.12,190.88,190.88,1545100
1999-11-04,191.88,191.94,171.0,173.25,173.25,1596900
1999-11-05,178.0,183.0,166.44,174.25,174.25,770600
1999-11-08,173.0,190.5,172.88,187.56,187.56,872200
1999-11-09,189.19,197.0,178.0,189.75,189.75,539900
1999-11-10,190.38,195.5,181.5,190.0,190.0,439600
1999-11-11,190.0,194.25,178.5,182.19,182.19,368200
1999-11-12,185.12,185.5,174.06,177.31,177.31,298900
1999-11-15,180.0,181.0,169.0,171.75,171.75,374100
1999-11-16,176.75,184.0,163.62,184.0,184.0,584700
1999-11-17,180.62,190.0,178.31,189.38,189.38,422500
1999-11-18,190.5,190.5,180.0,187.38,187.38,318200
1999-11-19,191.0,192.62,183.25,185.0,185.0,426400
1999-11-22,187.38,188.69,176.0,184.88,184.88,242000
1999-11-23,193.0,219.88,186.0,210.0,210.0,1596200
1999-11-24,215.94,215.94,200.25,201.0,201.0,517700
1999-11-26,207.5,210.5,203.5,206.5,206.5,182100
1999-11-29,213.5,236.5,210.75,227.0,227.0,751800
1999-11-30,237.5,249.5,220.5,237.0,237.0,1421400
1999-12-01,238.12,239.0,207.25,217.62,217.62,790500
1999-12-02,214.56,225.75,214.5,215.25,215.25,282000
1999-12-03,218.38,229.0,206.25,207.0,207.0,435200
1999-12-06,208.19,219.0,201.12,216.75,216.75,292700
1999-12-07,223.75,229.38,215.0,226.0,226.0,516200
1999-12-08,226.0,241.69,223.25,241.5,241.5,515800
1999-12-09,247.0,258.0,224.0,250.0,250.0,560300
1999-12-10,253.38,258.75,238.0,243.5,243.5,309700
1999-12-13,246.5,246.5,227.0,228.5,228.5,386100
1999-12-14,233.75,236.38,217.0,217.0,217.0,395600
1999-12-15,215.0,232.0,201.0,230.38,230.38,352800
