Date,Open,High,Low,Close,Adj Close,Volume
1994-02-22,7.38,7.38,7.25,7.25,3.67,20800.0
1994-02-23,7.12,7.12,6.75,6.94,3.52,31600.0
1994-02-24,6.94,6.94,6.81,6.81,3.45,32000.0
1994-02-25,6.69,6.69,6.25,6.44,3.26,49800.0
1994-02-28,6.5,6.75,6.44,6.62,3.36,170400.0
1994-03-01,6.62,6.62,6.5,6.56,3.33,41600.0
1994-03-02,6.44,6.56,6.44,6.56,3.33,67000.0
1994-03-03,6.62,6.62,6.5,6.5,3.29,27800.0
1994-03-04,6.5,6.75,6.44,6.75,3.42,358200.0
1994-03-07,6.44,6.81,6.44,6.75,3.42,690800.0
1994-03-08,6.75,6.81,6.75,6.81,3.45,515200.0
1994-03-09,6.81,6.88,6.81,6.88,3.48,540400.0
1994-03-10,6.88,6.88,6.81,6.88,3.48,1832200.0
1994-03-11,6.94,7.19,6.94,7.19,3.64,1895400.0
1994-03-14,7.19,7.62,7.19,7.56,3.83,1413800.0
1994-03-15,7.56,7.69,7.44,7.44,3.77,1665200.0
1994-03-16,7.44,7.44,7.31,7.44,3.77,717000.0
1994-03-17,7.44,7.69,7.44,7.56,3.86,971200.0
1994-03-18,7.62,7.69,7.62,7.62,3.89,1178000.0
1994-03-21,7.62,7.69,7.62,7.69,3.92,659400.0
1994-03-22,7.69,7.88,7.69,7.81,3.99,374000.0
1994-03-23,7.81,7.94,7.75,7.88,4.02,430200.0
1994-03-24,7.81,7.88,7.75,7.75,3.95,747000.0
1994-03-25,7.81,7.81,7.62,7.69,3.92,370000.0
1994-03-28,7.69,7.69,7.62,7.62,3.89,1116200.0
1994-03-29,7.62,7.69,7.5,7.5,3.83,595800.0
1994-03-30,7.5,7.5,7.31,7.38,3.76,653000.0
1994-03-31,7.38,7.44,7.25,7.38,3.76,448400.0
1994-04-04,7.12,7.38,7.12,7.38,3.76,386600.0
1994-04-05,7.31,7.69,7.31,7.62,3.89,361600.0
1994-04-06,7.62,7.69,7.38,7.38,3.76,551400.0
1994-04-07,7.5,7.5,7.38,7.44,3.79,338400.0
1994-04-08,7.31,7.5,7.31,7.5,3.83,166000.0
1994-04-11,7.5,7.62,7.25,7.25,3.7,424800.0
1994-04-12,7.12,7.25,7.12,7.12,3.63,602800.0
1994-04-13,7.12,7.31,7.0,7.0,3.57,504600.0
1994-04-14,7.06,7.06,6.94,6.94,3.54,378200.0
1994-04-15,6.88,7.06,6.88,6.88,3.51,197600.0
1994-04-18,7.0,7.25,7.0,7.25,3.7,184800.0
1994-04-19,7.19,7.31,7.19,7.25,3.7,122200.0
1994-04-20,7.31,7.31,7.12,7.12,3.63,201400.0
1994-04-21,7.12,7.31,6.88,6.88,3.51,858200.0
1994-04-22,7.0,7.25,7.0,7.25,3.7,411400.0
1994-04-25,7.19,7.62,7.19,7.62,3.89,330600.0
1994-04-26,7.56,7.56,7.25,7.38,3.76,313400.0
1994-04-28,7.31,7.31,7.12,7.31,3.73,161600.0
1994-04-29,7.25,7.31,7.19,7.25,3.7,344600.0
1994-05-02,7.19,7.31,7.06,7.19,3.67,135800.0
1994-05-03,7.25,7.44,7.12,7.19,3.67,375200.0
1994-05-04,7.12,7.38,7.12,7.31,3.73,491800.0
1994-05-05,7.31,7.31,7.19,7.25,3.7,152800.0
1994-05-06,7.25,7.31,7.25,7.25,3.7,272800.0
1994-05-09,7.25,7.31,7.25,7.25,3.7,161600.0
1994-05-10,7.25,7.5,7.25,7.5,3.83,308200.0
1994-05-11,7.5,7.69,7.5,7.56,3.86,388600.0
1994-05-12,7.5,7.75,7.5,7.75,3.95,155000.0
1994-05-13,7.69,7.75,7.38,7.38,3.76,105200.0
1994-05-16,7.38,7.56,7.38,7.44,3.79,206800.0
1994-05-17,7.5,7.56,7.44,7.5,3.83,422600.0
1994-05-18,7.5,7.5,7.44,7.5,3.83,130800.0
1994-05-19,7.44,7.62,7.38,7.56,3.86,199400.0
1994-05-20,7.5,7.56,7.38,7.38,3.76,119600.0
1994-05-23,7.31,7.38,7.25,7.25,3.7,195600.0
1994-05-24,7.44,7.56,7.38,7.56,3.86,158200.0
1994-05-25,7.5,7.75,7.5,7.69,3.92,104800.0
1994-05-26,7.75,7.75,7.56,7.75,3.95,345800.0
1994-05-27,7.69,7.81,7.62,7.81,3.99,298000.0
1994-05-31,7.94,8.25,7.88,8.06,4.11,456400.0
1994-06-01,8.06,8.06,7.88,7.88,4.02,268200.0
1994-06-02,8.0,8.06,7.81,7.88,4.02,81000.0
1994-06-03,7.81,7.94,7.62,7.75,3.95,397400.0
1994-06-06,7.88,7.94,7.81,7.88,4.02,75600.0
1994-06-07,7.75,7.94,7.75,7.94,4.05,92800.0
1994-06-08,7.94,7.94,7.88,7.88,4.02,107600.0
1994-06-09,7.81,7.91,7.81,7.88,4.04,187800.0
1994-06-10,7.88,7.88,7.69,7.69,3.95,280600.0
1994-06-13,7.75,7.88,7.56,7.88,4.04,97600.0
1994-06-14,7.88,8.06,7.81,8.06,4.14,339800.0
1994-06-15,8.0,8.19,8.0,8.19,4.2,305200.0
1994-06-16,8.12,8.5,8.06,8.5,4.36,393800.0
1994-06-17,8.5,8.5,8.25,8.25,4.24,407200.0
1994-06-20,8.12,8.25,8.06,8.12,4.17,47800.0
1994-06-21,8.12,8.5,8.12,8.5,4.36,556200.0
1994-06-22,8.38,8.62,8.38,8.5,4.36,759200.0
1994-06-23,8.44,8.5,8.44,8.5,4.36,553200.0
1994-06-24,8.44,8.5,8.38,8.38,4.3,1003800.0
1994-06-27,8.38,8.38,8.12,8.25,4.24,295200.0
1994-06-28,8.19,8.25,8.12,8.12,4.17,165800.0
1994-06-29,8.12,8.12,8.0,8.0,4.11,396200.0
1994-06-30,8.0,8.19,8.0,8.19,4.2,453200.0
1994-07-01,8.19,8.25,8.06,8.12,4.17,870200.0
1994-07-05,8.06,8.25,8.06,8.19,4.2,685600.0
1994-07-06,8.19,8.25,8.12,8.12,4.17,163800.0
1994-07-07,8.12,8.25,8.12,8.19,4.2,290600.0
1994-07-08,8.12,8.31,8.12,8.25,4.24,165000.0
1994-07-11,8.19,8.31,8.19,8.25,4.24,86800.0
1994-07-12,8.25,8.25,8.06,8.06,4.14,390800.0
1994-07-13,8.06,8.12,8.0,8.06,4.14,287000.0
1994-07-14,7.94,8.12,7.94,8.06,4.14,167600.0
