Date,Open,High,Low,Close,Adj Close,Volume
2001-01-30,18.12,18.19,16.25,16.88,16.88,812300
2001-01-31,17.12,17.19,13.44,13.5,13.5,1212700
2001-02-01,13.12,14.38,13.0,14.19,14.19,669100
2001-02-02,14.0,14.56,13.75,14.12,14.12,775000
2001-02-05,14.44,14.5,13.88,14.12,14.12,489400
2001-02-06,14.02,14.06,13.88,14.0,14.0,737900
2001-02-07,14.0,14.06,13.0,13.06,13.06,1361000
2001-02-08,13.12,13.19,13.0,13.06,13.06,712000
2001-02-09,13.05,13.06,11.88,12.0,12.0,1100800
2001-02-12,12.05,12.12,10.94,11.06,11.06,552000
2001-02-13,11.0,11.56,11.0,11.44,11.44,304300
2001-02-14,11.42,11.75,11.0,11.62,11.62,136900
2001-02-15,12.06,13.0,12.05,12.81,12.81,1568600
2001-02-16,12.84,13.06,12.5,13.06,13.06,161500
2001-02-20,13.62,13.69,12.62,12.75,12.75,411200
2001-02-21,12.59,13.12,12.25,12.31,12.31,219000
2001-02-22,12.0,12.5,11.5,12.11,12.11,712500
2001-02-23,12.12,12.25,10.62,11.06,11.06,217800
2001-02-26,10.66,11.38,8.75,9.0,9.0,839200
2001-02-27,9.41,9.5,7.12,7.56,7.56,865200
2001-02-28,8.09,8.12,7.38,7.5,7.5,503600
2001-03-01,7.48,7.62,7.31,7.56,7.56,464200
2001-03-02,7.56,7.62,7.31,7.5,7.5,277800
2001-03-05,7.59,7.62,6.12,6.69,6.69,697900
2001-03-06,6.52,7.62,6.5,7.5,7.5,1922300
2001-03-07,7.97,8.0,7.44,7.81,7.81,321800
2001-03-08,7.81,8.5,7.62,8.47,8.47,242900
2001-03-09,8.56,8.62,8.0,8.12,8.12,165700
2001-03-12,8.38,8.62,7.94,8.5,8.5,276100
2001-03-13,8.5,9.94,8.44,9.5,9.5,128100
2001-03-14,9.75,10.48,9.12,10.25,10.25,215200
2001-03-15,10.44,10.5,9.44,9.44,9.44,224600
2001-03-16,9.44,9.75,8.0,8.25,8.25,580300
2001-03-19,8.5,9.47,8.25,8.88,8.88,161300
2001-03-20,8.69,8.94,8.19,8.19,8.19,138100
2001-03-21,8.48,8.5,8.0,8.19,8.19,139400
2001-03-22,8.05,8.06,7.62,7.75,7.75,129200
2001-03-23,7.97,8.0,7.75,7.81,7.81,58900
2001-03-26,8.0,8.25,7.25,7.5,7.5,104300
2001-03-27,7.25,7.56,7.25,7.41,7.41,35700
2001-03-28,7.53,8.09,7.25,7.56,7.56,187200
2001-03-29,7.62,7.88,6.81,7.25,7.25,246400
2001-03-30,7.47,7.62,7.19,7.25,7.25,527400
2001-04-02,7.3,7.81,7.19,7.25,7.25,513800
2001-04-03,7.25,7.25,6.25,6.69,6.69,129700
2001-04-04,6.52,6.78,6.5,6.56,6.56,55600
2001-04-05,6.72,6.88,6.5,6.56,6.56,75800
2001-04-06,6.73,7.22,6.5,6.62,6.62,44800
2001-04-09,6.81,6.99,6.5,6.55,6.55,49100
