Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.85,0.88,0.85,0.88,0.58,18400
1980-03-18,0.88,0.88,0.85,0.85,0.56,3200
1980-03-19,0.88,0.94,0.88,0.88,0.58,8800
1980-03-20,0.88,0.91,0.88,0.88,0.58,9600
1980-03-21,0.88,0.88,0.85,0.85,0.56,12400
1980-03-24,0.85,0.88,0.85,0.88,0.58,35200
1980-03-25,0.88,0.88,0.82,0.82,0.55,10400
1980-03-26,0.82,0.88,0.82,0.82,0.55,56000
1980-03-27,0.79,0.79,0.79,0.79,0.53,35600
1980-03-28,0.79,0.85,0.79,0.85,0.56,20000
1980-03-31,0.85,0.88,0.85,0.85,0.56,10800
1980-04-01,0.88,0.88,0.88,0.88,0.58,3600
1980-04-02,0.88,0.88,0.85,0.88,0.58,8800
1980-04-03,0.88,0.91,0.85,0.88,0.58,16800
1980-04-07,0.88,0.91,0.79,0.79,0.53,54000
1980-04-08,0.79,0.82,0.79,0.82,0.55,3200
1980-04-09,0.82,0.85,0.82,0.85,0.56,13200
1980-04-10,0.85,0.85,0.82,0.85,0.56,22400
1980-04-11,0.85,0.85,0.82,0.85,0.56,70400
1980-04-14,0.85,0.85,0.77,0.82,0.55,72000
1980-04-15,0.82,0.82,0.79,0.79,0.53,9200
1980-04-16,0.79,0.82,0.79,0.79,0.53,14400
1980-04-17,0.79,0.82,0.77,0.77,0.51,379200
1980-04-18,0.79,0.79,0.79,0.79,0.53,12800
1980-04-21,0.79,0.82,0.79,0.82,0.55,18400
1980-04-22,0.82,0.82,0.79,0.82,0.55,28400
1980-04-23,0.82,0.85,0.82,0.85,0.56,41200
1980-04-24,0.85,0.85,0.82,0.82,0.55,22400
1980-04-25,0.82,0.85,0.82,0.85,0.56,26400
1980-04-28,0.85,0.85,0.82,0.82,0.55,10800
1980-04-29,0.82,0.82,0.79,0.79,0.53,7600
1980-04-30,0.79,0.82,0.79,0.82,0.55,10400
1980-05-01,0.82,0.85,0.82,0.85,0.56,17600
1980-05-02,0.85,0.88,0.85,0.88,0.58,60800
1980-05-05,0.88,0.88,0.85,0.88,0.58,48400
1980-05-06,0.88,0.88,0.85,0.85,0.56,18400
1980-05-07,0.85,0.88,0.85,0.85,0.56,3600
1980-05-08,0.85,0.88,0.85,0.85,0.56,6400
1980-05-09,0.85,0.88,0.82,0.82,0.55,9600
1980-05-12,0.82,0.85,0.82,0.82,0.55,1200
1980-05-13,0.82,0.85,0.82,0.85,0.56,15600
1980-05-14,0.85,0.85,0.82,0.82,0.55,4000
1980-05-15,0.82,0.85,0.82,0.82,0.55,10000
1980-05-16,0.85,0.88,0.85,0.85,0.56,7600
1980-05-19,0.85,0.88,0.85,0.88,0.58,5600
1980-05-20,0.88,0.88,0.85,0.85,0.56,2400
1980-05-21,0.85,0.85,0.85,0.85,0.56,16000
1980-05-22,0.85,0.85,0.82,0.85,0.56,4800
1980-05-23,0.85,0.85,0.82,0.82,0.55,14800
1980-05-27,0.82,0.85,0.82,0.85,0.56,6800
1980-05-28,0.85,0.85,0.82,0.82,0.55,7200
1980-05-29,0.82,0.85,0.82,0.82,0.55,9600
1980-05-30,0.82,0.85,0.82,0.85,0.56,7200
1980-06-02,0.85,0.85,0.82,0.82,0.55,10400
1980-06-03,0.82,0.82,0.82,0.82,0.55,800
1980-06-04,0.82,0.85,0.82,0.85,0.56,22800
1980-06-05,0.85,0.85,0.82,0.82,0.55,20800
1980-06-06,0.82,0.85,0.82,0.85,0.56,16800
1980-06-09,0.85,0.88,0.82,0.85,0.56,44800
1980-06-10,0.85,0.85,0.82,0.85,0.56,5600
1980-06-11,0.85,0.85,0.82,0.85,0.56,18800
1980-06-12,0.85,0.85,0.85,0.85,0.56,8800
1980-06-13,0.85,0.85,0.82,0.85,0.56,8800
1980-06-16,0.85,0.85,0.82,0.85,0.56,16800
1980-06-17,0.85,0.85,0.82,0.82,0.55,5600
1980-06-18,0.82,0.85,0.82,0.82,0.55,18800
1980-06-19,0.82,0.85,0.82,0.85,0.56,29600
1980-06-20,0.85,0.85,0.82,0.85,0.56,16000
1980-06-23,0.85,0.85,0.82,0.85,0.56,8800
1980-06-24,0.85,0.85,0.82,0.85,0.56,11200
1980-06-25,0.85,0.85,0.82,0.85,0.56,32000
1980-06-26,0.85,0.88,0.85,0.88,0.58,6800
1980-06-27,0.88,0.88,0.85,0.88,0.58,4000
1980-06-30,0.88,0.88,0.85,0.88,0.58,6400
1980-07-01,0.88,0.88,0.85,0.85,0.56,12800
1980-07-02,0.85,0.88,0.85,0.88,0.58,42400
1980-07-03,0.88,0.91,0.88,0.91,0.6,119600
1980-07-07,0.91,0.94,0.88,0.94,0.62,51600
1980-07-08,0.94,0.94,0.88,0.88,0.58,18400
1980-07-09,0.88,0.91,0.88,0.91,0.6,4800
1980-07-10,0.91,0.91,0.88,0.88,0.58,2400
1980-07-11,0.88,0.91,0.88,0.91,0.6,14000
1980-07-14,0.91,0.91,0.88,0.91,0.6,11600
1980-07-15,0.91,0.91,0.88,0.91,0.6,19200
1980-07-16,0.91,0.91,0.88,0.91,0.6,13600
1980-07-17,0.91,0.91,0.88,0.91,0.6,4400
1980-07-18,0.91,0.91,0.88,0.88,0.58,12400
1980-07-21,0.88,0.91,0.88,0.88,0.58,22400
1980-07-22,0.88,0.91,0.88,0.91,0.6,15200
1980-07-23,0.91,0.91,0.88,0.88,0.58,15200
1980-07-24,0.88,0.91,0.88,0.91,0.6,10800
1980-07-25,0.91,0.91,0.88,0.88,0.58,52800
1980-07-28,0.88,0.91,0.88,0.88,0.58,6800
1980-07-29,0.88,0.91,0.88,0.88,0.58,12800
1980-07-30,0.88,0.91,0.88,0.91,0.6,8800
1980-07-31,0.91,0.91,0.88,0.91,0.6,40000
1980-08-01,0.91,0.91,0.88,0.91,0.6,20000
1980-08-04,0.91,0.91,0.88,0.91,0.6,35600
1980-08-05,0.91,0.94,0.88,0.91,0.6,37600
1980-08-06,0.91,0.94,0.91,0.91,0.6,5600
1980-08-07,0.91,0.94,0.91,0.91,0.6,17600
1980-08-08,0.91,0.94,0.91,0.91,0.6,29600
1980-08-11,0.91,0.94,0.91,0.94,0.62,12400
1980-08-12,0.94,0.94,0.91,0.91,0.6,17600
1980-08-13,0.91,0.94,0.91,0.91,0.6,12800
1980-08-14,0.91,0.94,0.91,0.91,0.6,30800
1980-08-15,0.91,0.94,0.91,0.91,0.6,15600
1980-08-18,0.91,0.91,0.88,0.88,0.58,44000
1980-08-19,0.88,0.96,0.88,0.96,0.64,28800
1980-08-20,0.91,0.91,0.88,0.91,0.6,13200
1980-08-21,0.91,0.91,0.88,0.88,0.58,10400
1980-08-22,0.88,0.91,0.88,0.88,0.58,12400
1980-08-25,0.88,0.91,0.88,0.88,0.58,49200
1980-08-26,0.88,0.94,0.88,0.94,0.62,30000
1980-08-27,0.94,0.94,0.91,0.91,0.6,14400
1980-08-28,0.91,0.94,0.91,0.91,0.6,21600
1980-08-29,0.91,0.91,0.91,0.91,0.6,7600
