Date,Open,High,Low,Close,Adj Close,Volume
1993-06-03,14.88,15.0,14.5,14.69,7.03,56603000
1993-06-04,14.56,14.69,14.31,14.31,6.85,12644400
1993-06-07,14.12,14.25,14.0,14.06,6.73,10043800
1993-06-08,14.06,14.12,13.81,13.88,6.64,6974600
1993-06-09,13.94,14.25,13.94,14.12,6.76,4043200
1993-06-10,14.06,14.12,13.94,14.0,6.7,2605400
1993-06-11,14.0,14.19,14.0,14.0,6.7,2641600
1993-06-14,14.06,14.12,13.88,13.88,6.64,1806200
1993-06-15,14.0,14.0,13.88,13.94,6.67,2257600
1993-06-16,13.94,14.0,13.88,14.0,6.7,2391600
1993-06-17,14.0,14.12,13.94,14.0,6.7,2126800
1993-06-18,14.0,14.0,13.81,13.81,6.61,2128600
1993-06-21,13.81,13.81,13.56,13.69,6.55,2101000
1993-06-22,13.69,13.88,13.69,13.88,6.64,1593600
1993-06-23,13.88,14.0,13.81,13.81,6.61,1948000
1993-06-24,13.81,14.06,13.62,14.06,6.73,3305200
1993-06-25,14.25,14.31,14.06,14.25,6.82,2468000
1993-06-28,14.19,14.5,14.19,14.5,6.94,2522600
1993-06-29,14.44,14.5,14.12,14.38,6.88,1190800
1993-06-30,14.5,14.62,14.44,14.5,6.94,2553800
1993-07-01,14.69,14.75,14.31,14.75,7.06,2857800
1993-07-02,14.44,14.44,14.31,14.38,6.88,1077200
1993-07-06,14.44,14.56,14.31,14.31,6.85,1237600
1993-07-07,14.25,14.38,14.19,14.25,6.82,1667200
1993-07-08,14.31,14.5,14.25,14.44,6.91,1588600
1993-07-09,14.56,14.62,14.25,14.25,6.82,1731200
1993-07-12,14.38,14.38,13.94,14.12,6.76,1738600
1993-07-13,14.19,14.44,14.19,14.31,6.85,1305000
1993-07-14,14.31,14.62,14.31,14.62,7.0,1805600
1993-07-15,14.62,14.69,14.56,14.69,7.03,1235400
1993-07-16,14.88,15.06,14.75,14.94,7.15,2590200
1993-07-19,15.0,15.19,14.94,15.19,7.27,2590000
1993-07-20,15.75,15.75,15.31,15.31,7.33,3977600
1993-07-21,15.44,15.44,14.94,14.94,7.15,1779000
1993-07-22,15.0,15.0,14.75,14.81,7.09,1095200
1993-07-23,14.81,15.06,14.81,14.94,7.15,1060400
1993-07-26,15.0,15.25,14.94,15.25,7.3,990000
1993-07-27,15.25,15.56,15.25,15.25,7.3,942200
1993-07-28,15.25,15.31,15.12,15.19,7.27,346200
1993-07-29,15.06,15.38,15.0,15.25,7.3,1070400
1993-07-30,15.25,15.56,15.25,15.56,7.45,1271200
1993-08-02,15.56,15.69,15.44,15.5,7.42,1062200
1993-08-03,15.56,15.81,15.56,15.69,7.51,1316000
1993-08-04,15.75,15.88,15.5,15.62,7.48,752200
1993-08-05,15.69,15.69,15.25,15.25,7.3,910600
1993-08-06,15.44,15.62,15.44,15.5,7.42,718200
1993-08-09,15.5,15.56,15.38,15.5,7.42,492000
1993-08-10,15.5,15.62,15.31,15.31,7.33,1608600
1993-08-11,15.44,15.44,15.19,15.25,7.3,337400
1993-08-12,15.25,15.25,15.0,15.12,7.24,496200
1993-08-13,15.19,15.19,15.0,15.0,7.18,375200
1993-08-16,14.94,15.06,14.81,14.88,7.12,1067800
1993-08-17,14.88,15.12,14.88,15.0,7.18,1069400
1993-08-18,15.06,15.19,15.06,15.19,7.27,809800
1993-08-19,15.19,15.62,15.19,15.62,7.48,861200
1993-08-20,15.56,16.0,15.56,16.0,7.66,2957000
1993-08-23,16.06,16.06,15.88,16.0,7.66,853000
1993-08-24,15.88,16.06,15.88,15.94,7.63,759800
1993-08-25,15.88,16.0,15.88,15.88,7.6,951200
1993-08-26,15.94,16.0,15.75,16.0,7.66,721200
1993-08-27,16.0,16.06,15.94,16.0,7.66,316600
1993-08-30,15.88,15.94,15.56,15.62,7.48,945800
1993-08-31,15.5,15.62,15.44,15.5,7.42,590000
1993-09-01,15.69,15.94,15.69,15.94,7.63,355400
1993-09-02,15.88,16.0,15.75,15.81,7.57,682200
1993-09-03,15.81,16.06,15.81,15.94,7.63,550400
1993-09-07,16.06,16.38,16.0,16.12,7.72,873000
1993-09-08,16.0,16.0,15.81,15.88,7.6,1367800
1993-09-09,15.75,16.06,15.75,15.94,7.72,625400
1993-09-10,16.0,16.12,16.0,16.06,7.78,664600
1993-09-13,16.06,16.12,15.94,16.0,7.75,344600
1993-09-14,16.06,16.38,16.0,16.38,7.93,453200
1993-09-15,16.12,16.12,15.94,16.06,7.78,599200
1993-09-16,16.0,16.12,15.88,16.12,7.81,403400
1993-09-17,16.0,16.12,15.88,16.12,7.81,501600
1993-09-20,16.06,16.06,15.88,16.0,7.75,567400
1993-09-21,15.94,15.94,15.69,15.88,7.69,816200
1993-09-22,15.88,16.06,15.88,16.0,7.75,945800
1993-09-23,15.88,16.19,15.88,16.19,7.84,693600
1993-09-24,16.12,16.19,16.06,16.06,7.78,1074200
1993-09-27,16.19,16.56,16.19,16.5,7.99,1146000
1993-09-28,16.5,16.69,16.38,16.62,8.05,1109200
1993-09-29,16.5,16.62,16.19,16.25,7.87,607800
1993-09-30,16.31,16.31,15.88,15.88,7.69,875400
1993-10-01,16.0,16.19,15.88,16.19,7.84,404800
1993-10-04,16.19,16.38,16.12,16.19,7.84,429400
1993-10-05,16.19,16.56,16.19,16.56,8.02,414400
1993-10-06,16.5,16.56,16.31,16.5,7.99,551200
1993-10-07,16.44,16.62,16.44,16.44,7.96,441000
1993-10-08,16.69,16.75,16.38,16.5,7.99,400400
1993-10-11,16.56,16.69,16.5,16.62,8.05,280200
1993-10-12,16.62,16.88,16.62,16.62,8.05,777600
1993-10-13,16.62,16.75,16.56,16.69,8.08,240400
1993-10-14,16.75,17.12,16.75,17.0,8.23,663200
1993-10-15,16.94,16.94,16.69,16.81,8.14,576400
1993-10-18,16.88,16.94,16.75,16.81,8.14,439800
1993-10-19,16.88,16.88,16.5,16.5,7.99,537600
1993-10-20,16.38,16.62,15.88,16.25,7.87,559000
1993-10-21,16.25,16.81,16.19,16.5,7.99,1191400
1993-10-22,16.56,16.81,16.38,16.56,8.02,523400
1993-10-25,16.38,16.44,16.0,16.12,7.81,724400
1993-10-26,16.19,16.19,16.0,16.12,7.81,488200
1993-10-27,16.19,16.19,15.75,15.75,7.63,497800
1993-10-28,15.38,15.88,15.19,15.75,7.63,807600
1993-10-29,15.69,15.69,15.56,15.69,7.6,807400
1993-11-01,15.62,16.06,15.62,16.0,7.75,184000
1993-11-02,15.94,15.94,15.5,15.62,7.57,953600
1993-11-03,15.12,15.38,14.81,15.19,7.35,1373800
1993-11-04,15.25,15.31,15.06,15.12,7.32,814000
1993-11-05,15.25,15.25,15.0,15.0,7.26,701000
1993-11-08,15.0,15.25,14.88,15.12,7.32,978200
1993-11-09,15.38,15.38,15.19,15.25,7.38,1091400
1993-11-10,15.25,15.25,14.94,15.0,7.26,1181400
1993-11-11,15.0,15.0,14.81,14.81,7.17,587400
1993-11-12,14.94,14.94,14.62,14.81,7.17,545000
1993-11-15,14.81,14.81,14.56,14.69,7.11,1031600
1993-11-16,14.62,14.69,14.44,14.62,7.08,803400
1993-11-17,14.56,14.69,14.56,14.56,7.05,316800
1993-11-18,14.56,14.81,14.5,14.62,7.08,1104200
1993-11-19,14.62,14.62,13.81,14.31,6.93,1719000
1993-11-22,14.31,14.38,14.06,14.12,6.84,470400
1993-11-23,14.25,14.44,14.19,14.38,6.96,523400
1993-11-24,14.44,14.94,14.44,14.81,7.17,474800
1993-11-26,14.94,15.0,14.81,14.88,7.2,99800
1993-11-29,15.0,15.06,14.88,14.88,7.2,370800
1993-11-30,14.88,14.88,14.5,14.75,7.14,399600
1993-12-01,14.88,14.94,14.69,14.81,7.17,335800
1993-12-02,14.62,14.81,14.56,14.81,7.26,235400
1993-12-03,14.75,14.81,14.25,14.5,7.11,770000
1993-12-06,14.38,14.5,14.25,14.38,7.05,356400
1993-12-07,14.5,14.56,14.06,14.12,6.92,894400
1993-12-08,14.12,14.69,14.12,14.56,7.14,415800
1993-12-09,14.44,14.5,14.38,14.5,7.11,434000
1993-12-10,14.44,14.44,14.19,14.31,7.02,521800
1993-12-13,14.31,14.38,14.25,14.25,6.99,850400
1993-12-14,14.31,14.5,14.31,14.31,7.02,673200
1993-12-15,14.31,14.38,14.19,14.31,7.02,821800
1993-12-16,14.19,14.5,14.19,14.44,7.08,407800
1993-12-17,14.56,14.75,14.5,14.69,7.2,278000
1993-12-20,14.75,14.88,14.62,14.81,7.26,398200
1993-12-21,14.88,14.94,14.81,14.94,7.32,320200
1993-12-22,14.88,15.0,14.75,14.75,7.23,392400
1993-12-23,14.75,14.94,14.75,14.88,7.29,759600
1993-12-27,14.81,14.94,14.69,14.69,7.2,293400
1993-12-28,14.75,14.75,14.44,14.75,7.23,350800
1993-12-29,14.69,15.0,14.69,15.0,7.35,436400
1993-12-30,14.94,15.06,14.81,14.88,7.29,299400
1993-12-31,14.94,14.94,14.75,14.75,7.23,143200
1994-01-03,14.75,14.81,14.56,14.81,7.26,480800
1994-01-04,14.75,14.75,14.44,14.62,7.17,422400
1994-01-05,14.62,14.62,14.38,14.56,7.14,560600
