Date,Open,High,Low,Close,Adj Close,Volume
1996-02-28,2.25,2.38,2.12,2.28,2.28,3051600
1996-02-29,2.31,2.31,2.25,2.31,2.31,453200
1996-03-01,2.31,2.38,2.28,2.31,2.31,559200
1996-03-04,2.28,2.31,2.25,2.25,2.25,845200
1996-03-05,2.25,2.28,2.19,2.28,2.28,1187200
1996-03-06,2.19,2.28,2.19,2.19,2.19,355600
1996-03-07,2.25,2.25,2.19,2.22,2.22,125200
1996-03-08,2.25,2.25,2.09,2.09,2.09,177600
1996-03-11,2.09,2.16,2.09,2.16,2.16,164400
1996-03-12,2.16,2.16,2.09,2.16,2.16,102800
1996-03-13,2.16,2.19,2.09,2.09,2.09,156400
1996-03-14,2.19,2.19,2.09,2.09,2.09,105200
1996-03-15,2.19,2.19,2.09,2.19,2.19,203200
1996-03-18,2.19,2.19,2.09,2.09,2.09,137600
1996-03-19,2.12,2.19,2.09,2.09,2.09,116400
1996-03-20,2.09,2.19,2.09,2.09,2.09,46800
1996-03-21,2.09,2.19,2.09,2.09,2.09,49600
1996-03-22,2.16,2.19,2.09,2.09,2.09,71600
1996-03-25,2.09,2.19,2.09,2.09,2.09,112400
1996-03-26,2.09,2.19,2.09,2.12,2.12,75600
1996-03-27,2.09,2.19,2.09,2.19,2.19,39200
1996-03-28,2.09,2.19,2.09,2.19,2.19,46800
1996-03-29,2.19,2.19,2.09,2.09,2.09,36800
1996-04-01,2.19,2.25,2.09,2.16,2.16,178000
1996-04-02,2.25,2.25,2.16,2.19,2.19,525200
1996-04-03,2.25,2.25,2.19,2.25,2.25,120400
1996-04-04,2.25,2.25,2.19,2.22,2.22,130800
1996-04-08,2.22,2.23,2.22,2.22,2.22,72800
1996-04-09,2.23,2.23,2.19,2.19,2.19,344800
1996-04-10,2.19,2.22,2.19,2.22,2.22,445200
1996-04-11,2.19,2.23,2.19,2.19,2.19,54400
1996-04-12,2.19,2.23,2.19,2.19,2.19,76000
1996-04-15,2.23,2.23,2.19,2.19,2.19,72800
1996-04-16,2.23,2.23,2.19,2.22,2.22,254400
1996-04-17,2.19,2.22,2.16,2.16,2.16,180800
1996-04-18,2.16,2.19,2.16,2.19,2.19,134000
1996-04-19,2.16,2.22,2.16,2.16,2.16,47600
1996-04-22,2.22,2.22,2.16,2.19,2.19,117200
