Date,Open,High,Low,Close,Adj Close,Volume
1984-07-19,1.8,1.81,1.78,1.8,0.02,70200.0
1984-07-20,1.79,1.81,1.78,1.78,0.02,52600.0
1984-07-23,1.77,1.78,1.73,1.73,0.02,113400.0
1984-07-24,1.74,1.75,1.72,1.73,0.02,55300.0
1984-07-25,1.7,1.73,1.69,1.73,0.02,116100.0
1984-07-26,1.75,1.75,1.74,1.75,0.02,66100.0
1984-07-27,1.75,1.76,1.73,1.75,0.02,144400.0
1984-07-30,1.77,1.77,1.74,1.74,0.02,135000.0
1984-07-31,1.74,1.78,1.73,1.78,0.02,82300.0
1984-08-01,1.78,1.92,1.78,1.89,0.03,697900.0
1984-08-02,1.9,1.9,1.86,1.87,0.03,2164000.0
1984-08-03,1.88,1.96,1.88,1.95,0.03,783000.0
1984-08-06,2.0,2.03,1.9,1.95,0.03,909900.0
1984-08-07,1.95,2.06,1.94,2.05,0.03,523800.0
1984-08-08,2.07,2.13,2.06,2.06,0.03,1217700.0
1984-08-09,2.06,2.1,2.04,2.1,0.03,402300.0
1984-08-10,2.11,2.11,2.06,2.06,0.03,662800.0
1984-08-13,2.06,2.06,2.01,2.02,0.03,184900.0
1984-08-14,2.04,2.04,1.94,1.94,0.03,224100.0
1984-08-15,1.96,2.01,1.93,1.94,0.03,218700.0
1984-08-16,1.93,1.95,1.93,1.95,0.03,66100.0
1984-08-17,1.94,1.94,1.92,1.94,0.03,86400.0
1984-08-20,1.93,1.94,1.93,1.94,0.03,67500.0
1984-08-21,1.95,1.95,1.89,1.89,0.03,398200.0
1984-08-22,1.91,1.94,1.91,1.91,0.03,535900.0
1984-08-23,1.93,1.94,1.91,1.94,0.03,70200.0
1984-08-24,1.95,2.0,1.94,1.98,0.03,203800.0
1984-08-27,1.98,1.98,1.94,1.95,0.03,386100.0
1984-08-28,1.97,1.98,1.96,1.96,0.03,110700.0
1984-08-29,1.98,2.05,1.98,1.99,0.03,499500.0
1984-08-30,2.0,2.0,1.96,1.96,0.03,129600.0
1984-08-31,1.97,1.97,1.94,1.96,0.03,49900.0
1984-09-04,1.94,1.95,1.93,1.94,0.03,64800.0
1984-09-05,1.94,1.94,1.9,1.93,0.03,537300.0
1984-09-06,1.94,1.95,1.93,1.94,0.03,164700.0
1984-09-07,1.94,1.96,1.94,1.96,0.03,143100.0
1984-09-10,1.94,1.94,1.92,1.94,0.03,199800.0
