Date,Open,High,Low,Close,Adj Close,Volume
1997-11-21,17.17,17.96,17.17,17.67,17.26,4724800
1997-11-24,17.58,17.58,17.33,17.33,16.94,714100
1997-11-25,17.33,17.42,17.33,17.33,16.94,347700
1997-11-26,17.33,17.42,16.25,16.29,15.92,939600
1997-11-28,16.33,16.67,16.33,16.67,16.28,67000
1997-12-01,16.71,17.17,16.67,16.92,16.53,411400
1997-12-02,16.88,16.88,16.33,16.46,16.08,246900
1997-12-03,16.21,16.33,15.92,16.17,15.8,714900
1997-12-04,16.17,16.17,15.96,16.0,15.63,331800
1997-12-05,16.0,16.08,15.96,16.0,15.63,173100
1997-12-08,16.08,16.17,16.0,16.17,15.8,143500
1997-12-09,16.12,16.75,16.12,16.58,16.2,222400
1997-12-10,16.58,16.75,16.38,16.67,16.28,232000
1997-12-11,16.58,16.62,16.38,16.62,16.24,52900
1997-12-12,16.54,16.75,16.46,16.46,16.08,176700
1997-12-15,16.5,16.62,16.33,16.58,16.2,118300
1997-12-16,16.75,17.5,16.75,17.5,17.1,450100
1997-12-17,17.62,18.54,17.58,18.54,18.12,417100
1997-12-18,18.5,19.33,18.46,19.33,18.89,86200
1997-12-19,19.42,19.71,19.33,19.71,19.26,93400
1997-12-22,19.62,19.62,18.92,19.33,18.89,117300
1997-12-23,20.08,20.12,19.92,19.92,19.46,207100
1997-12-24,19.75,19.75,19.0,19.25,18.81,32200
1997-12-26,19.17,19.5,19.08,19.42,18.97,8200
1997-12-29,19.33,19.33,18.42,18.42,17.99,22900
1997-12-30,18.42,19.17,18.42,19.17,18.73,120600
1997-12-31,19.17,19.42,19.17,19.33,18.89,75400
1998-01-02,19.08,19.21,18.88,19.21,18.77,34000
1998-01-05,19.29,19.54,18.92,19.29,18.85,99700
1998-01-06,19.17,19.54,19.0,19.29,18.85,35100
1998-01-07,19.21,19.21,18.17,18.17,17.75,35700
1998-01-08,18.17,18.92,18.17,18.38,17.95,41200
1998-01-09,18.33,18.33,18.08,18.29,17.87,35100
1998-01-12,18.12,18.42,18.08,18.42,17.99,19300
1998-01-13,18.42,18.96,18.42,18.88,18.44,78900
1998-01-14,18.96,19.25,18.79,19.25,18.81,92800
1998-01-15,19.25,19.67,19.12,19.67,19.22,82900
1998-01-16,19.62,19.96,19.58,19.67,19.22,29400
