Date,Open,High,Low,Close,Adj Close,Volume
1983-06-17,0.35,0.35,0.34,0.34,0.28,42936000
1983-06-20,0.31,0.31,0.3,0.3,0.25,7329600
1983-06-21,0.3,0.31,0.3,0.3,0.25,2280000
1983-06-22,0.31,0.32,0.31,0.31,0.26,5937600
1983-06-23,0.31,0.32,0.31,0.31,0.26,1272000
1983-06-24,0.31,0.31,0.31,0.31,0.25,1574400
1983-06-27,0.28,0.28,0.27,0.27,0.22,5884800
1983-06-28,0.27,0.28,0.27,0.27,0.22,4987200
1983-06-29,0.27,0.27,0.27,0.27,0.22,1056000
1983-06-30,0.27,0.28,0.27,0.27,0.22,2164800
1983-07-01,0.27,0.28,0.27,0.27,0.22,350400
1983-07-05,0.27,0.27,0.26,0.26,0.21,576000
1983-07-06,0.26,0.27,0.26,0.26,0.21,638400
1983-07-07,0.27,0.27,0.27,0.27,0.22,1046400
1983-07-08,0.27,0.27,0.26,0.26,0.21,681600
1983-07-11,0.27,0.27,0.27,0.27,0.22,729600
1983-07-12,0.27,0.28,0.27,0.27,0.22,777600
1983-07-13,0.28,0.29,0.28,0.28,0.23,4420800
1983-07-14,0.28,0.29,0.28,0.28,0.23,777600
1983-07-15,0.28,0.29,0.28,0.28,0.23,897600
1983-07-18,0.28,0.28,0.28,0.28,0.23,456000
1983-07-19,0.28,0.28,0.27,0.27,0.22,417600
1983-07-20,0.27,0.27,0.27,0.27,0.22,484800
1983-07-21,0.27,0.27,0.26,0.26,0.21,1156800
1983-07-22,0.26,0.26,0.25,0.25,0.21,3038400
1983-07-25,0.25,0.26,0.25,0.25,0.21,1401600
1983-07-26,0.25,0.26,0.25,0.25,0.21,2697600
1983-07-27,0.25,0.25,0.24,0.24,0.2,566400
1983-07-28,0.24,0.24,0.24,0.24,0.2,0
1983-07-29,0.24,0.25,0.24,0.24,0.2,734400
1983-08-01,0.24,0.24,0.23,0.23,0.19,710400
1983-08-02,0.23,0.24,0.23,0.23,0.19,225600
1983-08-03,0.23,0.24,0.23,0.23,0.19,105600
1983-08-04,0.23,0.23,0.22,0.22,0.18,360000
