Date,Open,High,Low,Close,Adj Close,Volume
2005-09-15,38.02,38.1,37.0,37.01,27.65,1529800
2005-09-16,37.0,37.0,36.6,36.6,27.35,62400
2005-09-19,36.6,36.7,36.45,36.7,27.42,1162300
2005-09-20,36.6,37.0,36.6,36.7,27.42,654900
2005-09-21,36.6,36.6,36.0,36.4,27.2,424300
2005-09-22,36.4,37.2,36.4,37.2,27.8,864800
2005-09-23,37.2,38.1,37.2,37.68,28.15,1249900
2005-09-26,37.75,38.15,37.75,37.75,28.21,821400
2005-09-27,37.75,37.9,37.14,37.25,27.83,1514000
2005-09-28,37.24,37.4,36.8,37.0,27.65,875700
2005-09-29,36.91,36.91,36.25,36.6,27.35,2659200
2005-09-30,36.6,36.6,35.6,35.8,26.75,4014800
2005-10-03,35.3,35.9,34.17,34.7,25.93,10007600
2005-10-04,34.0,34.3,33.25,33.9,25.33,8040300
2005-10-05,34.0,34.1,33.32,33.65,25.14,6304400
2005-10-06,33.4,33.65,33.21,33.37,24.93,7552200
2005-10-07,33.28,33.6,33.13,33.6,25.11,7055200
2005-10-10,33.6,33.6,33.0,33.03,24.68,3400800
2005-10-11,33.04,33.39,32.98,33.0,24.66,3675400
2005-10-12,32.9,33.3,32.72,32.77,24.49,4134500
2005-10-13,32.53,32.7,32.48,32.55,24.32,3184100
2005-10-14,32.52,32.75,32.38,32.39,24.2,2487500
2005-10-17,32.34,32.77,32.0,32.48,24.27,1910400
2005-10-18,32.3,32.55,32.15,32.43,24.23,1737900
2005-10-19,32.28,33.16,32.21,33.16,24.78,1784400
2005-10-20,33.16,34.06,33.1,33.58,25.09,2789600
2005-10-21,33.78,34.5,33.63,34.0,25.4,2881800
2005-10-24,35.25,36.48,34.93,36.29,27.12,4013400
2005-10-25,35.34,37.47,35.28,37.18,27.78,2900400
2005-10-26,36.85,37.72,36.7,37.0,27.65,2208000
2005-10-27,36.95,37.0,35.8,36.28,27.11,2033000
2005-10-28,36.5,37.2,36.21,37.1,27.72,1430200
2005-10-31,37.21,37.6,36.96,37.22,27.81,1211600
