Date,Open,High,Low,Close,Adj Close,Volume
1998-02-27,17.38,18.0,17.38,17.38,15.12,50000
1998-03-02,17.25,17.25,17.0,17.25,15.01,75000
1998-03-03,17.12,17.12,16.75,17.12,14.91,35000
1998-03-04,15.75,15.75,15.5,15.75,13.71,60000
1998-03-05,16.12,16.12,16.12,16.12,14.04,400
1998-03-06,16.12,16.38,16.12,16.12,14.04,3600
1998-03-09,16.12,16.5,15.88,15.88,13.82,3200
1998-03-10,15.88,16.88,15.88,16.25,14.14,56800
1998-03-11,16.25,16.5,16.12,16.25,14.14,10400
1998-03-12,16.25,16.38,16.12,16.38,14.25,3800
1998-03-13,16.5,16.5,16.5,16.5,14.36,1000
1998-03-16,16.5,16.5,16.12,16.12,14.04,7700
1998-03-17,16.12,16.12,15.75,15.88,13.82,28000
1998-03-18,15.88,16.12,15.75,16.12,14.04,45700
1998-03-19,16.12,17.38,16.0,17.12,14.91,383600
1998-03-20,17.25,17.75,17.25,17.75,15.45,275600
1998-03-23,17.75,19.0,17.38,18.88,16.43,398600
1998-03-24,18.88,19.88,18.88,19.75,17.19,261800
1998-03-25,19.75,20.12,19.5,19.88,17.3,135600
1998-03-26,19.88,19.88,19.25,19.62,17.08,26300
1998-03-27,19.62,19.75,18.38,19.25,16.76,62200
1998-03-30,19.25,19.88,19.25,19.88,17.3,49500
1998-03-31,19.88,20.25,19.88,20.12,17.52,79000
1998-04-01,20.12,20.62,20.0,20.5,17.84,150100
1998-04-02,21.75,23.38,21.75,23.25,20.24,140500
1998-04-03,23.25,26.12,21.75,24.75,21.54,458700
1998-04-06,24.75,26.0,23.0,24.0,20.89,105300
1998-04-07,24.0,24.0,22.12,22.12,19.26,152800
1998-04-08,22.12,23.0,21.0,22.5,19.58,45100
1998-04-09,22.5,23.0,22.25,23.0,20.02,151400
1998-04-13,23.0,23.25,22.38,22.62,19.69,85900
1998-04-14,22.62,23.0,22.5,22.75,19.8,322900
1998-04-15,22.75,22.88,21.5,21.75,18.93,23100
1998-04-16,21.75,21.75,20.88,21.25,18.5,55400
1998-04-17,21.25,21.62,21.0,21.62,18.82,15100
1998-04-20,21.62,22.12,21.25,22.12,19.26,92900
1998-04-21,22.12,22.12,21.75,22.12,19.26,23100
1998-04-22,22.12,23.62,22.12,23.0,20.02,60900
1998-04-23,23.0,23.5,23.0,23.5,20.45,242300
1998-04-24,23.5,23.62,22.0,22.0,19.15,100900
1998-04-27,22.0,22.5,19.88,20.88,18.17,52200
1998-04-28,20.88,21.88,20.75,21.5,18.71,29100
1998-04-29,21.5,22.5,21.0,22.5,19.58,101300
1998-04-30,22.5,23.25,22.38,23.0,20.02,116300
1998-05-01,23.0,23.12,22.0,22.12,19.26,61000
