Date,Open,High,Low,Close,Adj Close,Volume
2001-10-30,20.25,20.45,20.17,20.45,17.77,45441800.0
2001-10-31,20.55,21.25,20.5,20.94,18.2,11104400.0
2001-11-01,21.12,21.3,20.9,21.08,18.33,3901800.0
2001-11-02,21.02,21.55,21.01,21.45,18.64,4075000.0
2001-11-05,21.75,21.75,21.38,21.44,18.64,2763800.0
2001-11-06,21.48,22.15,21.08,22.02,19.14,3248200.0
2001-11-07,21.88,21.88,21.25,21.62,18.79,2675200.0
2001-11-08,21.5,21.55,21.0,21.35,18.56,3404000.0
2001-11-09,21.25,21.25,20.5,21.0,18.25,3291600.0
2001-11-12,21.0,21.42,20.85,21.42,18.62,973600.0
2001-11-13,21.7,21.7,21.26,21.38,18.58,1721800.0
2001-11-14,22.0,23.0,21.77,22.98,19.97,4213000.0
2001-11-15,22.85,23.38,22.73,23.38,20.32,2310400.0
2001-11-16,23.45,23.6,23.15,23.4,20.34,2176200.0
2001-11-19,23.38,23.78,23.2,23.75,20.64,2007200.0
2001-11-20,23.65,24.62,23.62,24.4,21.21,2803000.0
2001-11-21,24.35,24.85,24.2,24.5,21.3,2684000.0
2001-11-23,24.48,24.67,24.48,24.59,21.37,287800.0
2001-11-26,24.85,25.12,24.15,24.27,21.1,1917400.0
2001-11-27,24.4,24.92,24.14,24.3,21.12,1148000.0
2001-11-28,24.27,24.6,23.75,24.48,21.27,625200.0
2001-11-29,24.75,25.05,24.54,25.0,21.73,1136800.0
2001-11-30,25.05,25.5,24.9,25.42,22.1,2960200.0
2001-12-03,25.4,25.65,25.05,25.65,22.29,1270800.0
2001-12-04,25.67,25.75,25.25,25.75,22.38,794000.0
2001-12-05,25.9,25.95,24.35,24.43,21.23,1356200.0
2001-12-06,24.45,24.5,23.67,24.25,21.07,902600.0
2001-12-07,24.25,24.35,23.8,24.3,21.12,649600.0
2001-12-10,24.3,24.43,24.08,24.12,20.97,308000.0
2001-12-11,24.12,24.34,23.85,24.1,20.95,892800.0
2001-12-12,24.12,24.12,23.92,23.93,20.8,478800.0
2001-12-13,23.81,24.05,23.45,24.05,20.9,960600.0
2001-12-14,24.0,24.05,23.67,24.0,20.86,813600.0
2001-12-17,24.05,24.65,23.96,24.62,21.4,421200.0
2001-12-18,24.75,24.8,24.61,24.65,21.42,809200.0
2001-12-19,24.65,24.67,23.88,24.0,20.86,1473200.0
2001-12-20,23.88,24.0,23.4,23.45,20.38,1312000.0
2001-12-21,23.4,23.4,22.62,22.88,19.88,4283800.0
2001-12-24,22.88,22.98,22.8,22.8,19.82,900200.0
2001-12-26,22.92,23.24,22.92,23.12,20.1,1191600.0
2001-12-27,23.17,23.65,23.17,23.45,20.38,1925400.0
2001-12-28,23.48,24.25,23.48,24.25,21.08,1714800.0
2001-12-31,24.35,25.12,24.35,24.75,21.51,1792800.0
2002-01-02,24.84,24.84,24.35,24.4,21.21,1933000.0
2002-01-03,24.4,24.64,24.23,24.23,21.05,625600.0
2002-01-04,24.25,24.4,23.45,23.93,20.8,2318600.0
2002-01-07,23.93,23.97,23.5,23.51,20.43,1916400.0
2002-01-08,23.42,23.92,23.2,23.7,20.6,932000.0
2002-01-09,23.77,24.12,23.75,23.8,20.69,855000.0
