Date,Open,High,Low,Close,Adj Close,Volume
1980-06-02,2.69,2.7,2.69,2.69,0.39,118800.0
1980-06-03,2.69,2.72,2.69,2.72,0.39,141700.0
1980-06-04,2.72,2.72,2.7,2.72,0.39,102600.0
1980-06-05,2.72,2.74,2.7,2.74,0.4,575100.0
1980-06-06,2.74,2.76,2.7,2.7,0.39,88300.0
1980-06-09,2.7,2.74,2.7,2.72,0.39,151800.0
1980-06-10,2.72,2.8,2.7,2.8,0.41,238200.0
1980-06-11,2.8,2.91,2.78,2.91,0.42,154500.0
1980-06-12,2.91,3.0,2.91,2.96,0.43,213300.0
1980-06-13,2.98,3.06,2.98,3.0,0.43,369100.0
1980-06-16,3.0,3.02,2.96,3.02,0.44,509500.0
1980-06-17,3.02,3.07,2.94,3.0,0.43,168700.0
1980-06-18,3.0,3.0,2.94,2.98,0.43,293500.0
1980-06-19,2.98,2.98,2.93,2.94,0.43,53200.0
1980-06-20,2.94,3.0,2.93,2.96,0.43,71500.0
1980-06-23,2.96,3.02,2.94,2.98,0.43,24900.0
1980-06-24,2.98,2.98,2.93,2.98,0.43,147700.0
1980-06-25,2.98,3.0,2.94,2.94,0.43,123400.0
1980-06-26,2.93,2.93,2.85,2.87,0.42,114700.0
1980-06-27,2.87,2.91,2.85,2.87,0.42,109300.0
1980-06-30,2.87,2.87,2.8,2.83,0.41,108000.0
1980-07-01,2.83,2.94,2.83,2.93,0.42,150400.0
1980-07-02,2.91,2.91,2.87,2.91,0.42,43800.0
1980-07-03,2.91,3.0,2.91,3.0,0.43,56700.0
1980-07-07,3.0,3.06,2.98,3.02,0.44,111300.0
1980-07-08,2.98,2.98,2.94,2.96,0.43,110700.0
1980-07-09,2.96,3.04,2.96,3.0,0.43,33000.0
1980-07-10,2.94,2.94,2.91,2.91,0.42,70200.0
1980-07-11,2.89,2.89,2.81,2.87,0.42,1334400.0
1980-07-14,2.87,2.96,2.81,2.94,0.43,256500.0
1980-07-15,2.94,2.96,2.89,2.91,0.42,366400.0
1980-07-16,2.91,2.96,2.89,2.96,0.43,264600.0
1980-07-17,2.96,2.96,2.93,2.94,0.43,91000.0
1980-07-18,2.94,2.98,2.93,2.98,0.43,193600.0
1980-07-21,2.98,2.98,2.94,2.96,0.43,44500.0
1980-07-22,2.96,2.98,2.93,2.94,0.43,284800.0
1980-07-23,2.93,2.93,2.87,2.93,0.42,141700.0
1980-07-24,2.93,2.94,2.89,2.91,0.42,168700.0
1980-07-25,2.91,2.96,2.91,2.93,0.42,58600.0
1980-07-28,2.93,2.93,2.89,2.91,0.42,58000.0
1980-07-29,2.91,2.93,2.91,2.93,0.42,39700.0
1980-07-30,2.93,2.96,2.93,2.94,0.43,452800.0
