Date,Open,High,Low,Close,Adj Close,Volume
1983-09-30,1.12,1.12,1.08,1.08,0.0,18000.0
1983-10-03,1.08,1.09,1.08,1.08,0.0,18000.0
1983-10-04,1.08,1.08,1.07,1.07,0.0,21600.0
1983-10-05,1.06,1.06,0.94,0.94,0.0,127600.0
1983-10-06,0.94,0.97,0.94,0.97,0.0,118800.0
1983-10-07,0.96,0.96,0.95,0.95,0.0,37600.0
1983-10-10,0.95,1.03,0.94,1.03,0.0,104400.0
1983-10-11,1.03,1.05,1.0,1.0,0.0,75600.0
1983-10-12,0.97,0.97,0.94,0.94,0.0,84400.0
1983-10-13,0.95,0.95,0.95,0.95,0.0,14400.0
1983-10-14,0.94,0.94,0.93,0.94,0.0,50400.0
1983-10-17,0.94,0.96,0.94,0.94,0.0,54000.0
1983-10-18,0.94,0.94,0.93,0.93,0.0,7200.0
1983-10-19,0.93,0.94,0.93,0.94,0.0,28800.0
1983-10-20,0.93,0.93,0.93,0.93,0.0,5200.0
1983-10-21,0.92,0.92,0.92,0.92,0.0,1600.0
1983-10-24,0.92,0.92,0.84,0.84,0.0,54000.0
1983-10-25,0.83,0.83,0.82,0.83,0.0,30400.0
1983-10-26,0.83,0.83,0.76,0.76,0.0,169200.0
1983-10-27,0.76,0.76,0.73,0.76,0.0,116800.0
1983-10-28,0.77,0.85,0.77,0.85,0.0,152800.0
1983-10-31,0.85,0.85,0.84,0.85,0.0,44800.0
1983-11-01,0.85,0.85,0.84,0.85,0.0,23200.0
1983-11-02,0.85,0.85,0.85,0.85,0.0,3600.0
1983-11-03,0.85,0.85,0.84,0.84,0.0,12400.0
1983-11-04,0.83,0.83,0.81,0.81,0.0,16000.0
1983-11-07,0.81,0.81,0.8,0.8,0.0,8800.0
1983-11-08,0.8,0.81,0.8,0.81,0.0,8800.0
1983-11-09,0.81,0.81,0.8,0.81,0.0,12400.0
1983-11-10,0.82,0.85,0.82,0.85,0.0,41200.0
1983-11-11,0.85,0.88,0.83,0.88,0.0,26800.0
1983-11-14,0.89,0.94,0.89,0.94,0.0,170800.0
1983-11-15,0.94,1.0,0.94,0.97,0.0,131200.0
1983-11-16,0.97,1.02,0.97,1.01,0.0,86400.0
1983-11-17,1.01,1.02,0.99,1.02,0.0,43200.0
1983-11-18,1.02,1.02,1.01,1.02,0.0,39600.0
1983-11-21,1.03,1.05,1.03,1.05,0.0,37600.0
1983-11-22,1.05,1.06,1.04,1.04,0.0,14400.0
1983-11-23,1.03,1.03,1.02,1.02,0.0,23200.0
1983-11-25,1.01,1.01,0.99,0.99,0.0,30400.0
1983-11-28,0.99,0.99,0.96,0.97,0.0,21600.0
1983-11-29,0.97,0.97,0.94,0.95,0.0,18000.0
1983-11-30,0.95,0.97,0.94,0.94,0.0,68400.0
1983-12-01,0.93,0.93,0.93,0.93,0.0,5200.0
1983-12-02,0.92,0.92,0.89,0.89,0.0,12400.0
1983-12-05,0.89,0.92,0.89,0.92,0.0,21600.0
1983-12-06,0.92,0.92,0.92,0.92,0.0,5200.0
1983-12-07,0.92,0.92,0.91,0.92,0.0,16000.0
1983-12-08,0.92,0.92,0.92,0.92,0.0,8800.0
1983-12-09,0.92,0.92,0.92,0.92,0.0,14400.0
1983-12-12,0.93,0.98,0.93,0.98,0.0,52000.0
1983-12-13,0.98,1.04,0.98,0.99,0.0,104400.0
1983-12-14,0.97,0.97,0.94,0.94,0.0,50400.0
1983-12-15,0.94,0.95,0.93,0.95,0.0,36000.0
1983-12-16,0.94,0.94,0.93,0.93,0.0,21600.0
1983-12-19,0.93,0.94,0.92,0.93,0.0,102400.0
1983-12-20,0.93,0.97,0.92,0.97,0.0,25200.0
1983-12-21,0.97,0.97,0.94,0.94,0.0,26800.0
1983-12-22,0.94,0.94,0.93,0.93,0.0,32400.0
1983-12-23,0.93,0.95,0.93,0.95,0.0,10800.0
1983-12-27,0.96,0.97,0.96,0.96,0.0,37600.0
1983-12-28,0.96,0.97,0.95,0.96,0.0,48400.0
1983-12-29,0.96,0.97,0.94,0.94,0.0,18000.0
1983-12-30,0.94,0.97,0.94,0.97,0.0,19600.0
1984-01-03,0.97,0.97,0.95,0.97,0.0,30400.0
1984-01-04,0.97,0.97,0.95,0.95,0.0,41200.0
1984-01-05,0.95,0.97,0.94,0.94,0.0,113200.0
1984-01-06,0.94,0.94,0.93,0.93,0.0,16000.0
1984-01-09,0.91,0.91,0.9,0.9,0.0,48400.0
1984-01-10,0.9,0.94,0.88,0.94,0.0,91600.0
1984-01-11,0.94,0.96,0.94,0.96,0.0,28800.0
1984-01-12,0.96,0.96,0.94,0.96,0.0,21600.0
1984-01-13,0.96,0.96,0.94,0.94,0.0,26800.0
1984-01-16,0.94,0.95,0.93,0.95,0.0,19600.0
1984-01-17,0.95,0.96,0.95,0.95,0.0,30400.0
1984-01-18,0.97,1.01,0.97,1.0,0.0,255600.0
1984-01-19,1.01,1.03,1.01,1.01,0.0,30400.0
1984-01-20,1.0,1.0,0.99,0.99,0.0,18000.0
1984-01-23,1.0,1.0,1.0,1.0,0.0,8800.0
1984-01-24,1.0,1.01,0.99,0.99,0.0,26800.0
1984-01-25,0.99,1.01,0.99,0.99,0.0,62800.0
1984-01-26,0.99,0.99,0.98,0.99,0.0,41200.0
1984-01-27,0.99,0.99,0.97,0.97,0.0,28800.0
1984-01-30,0.97,0.99,0.97,0.97,0.0,19600.0
1984-01-31,0.96,0.96,0.93,0.94,0.0,75600.0
1984-02-01,0.93,0.93,0.93,0.93,0.0,5200.0
1984-02-02,0.94,0.94,0.94,0.94,0.0,8800.0
1984-02-03,0.94,0.95,0.94,0.95,0.0,10800.0
1984-02-06,0.94,0.94,0.93,0.93,0.0,16000.0
1984-02-07,0.93,0.93,0.89,0.89,0.0,118800.0
1984-02-08,0.89,0.89,0.88,0.89,0.0,5200.0
1984-02-09,0.89,0.89,0.88,0.88,0.0,19600.0
1984-02-10,0.88,0.89,0.88,0.88,0.0,16000.0
1984-02-13,0.88,0.88,0.87,0.88,0.0,50400.0
1984-02-14,0.88,0.88,0.88,0.88,0.0,0.0
1984-02-15,0.88,0.89,0.88,0.88,0.0,26800.0
1984-02-16,0.87,0.87,0.87,0.87,0.0,5200.0
1984-02-17,0.87,0.88,0.86,0.86,0.0,26800.0
1984-02-21,0.85,0.85,0.85,0.85,0.0,3600.0
1984-02-22,0.85,0.85,0.83,0.85,0.0,28800.0
1984-02-23,0.83,0.83,0.82,0.82,0.0,21600.0
1984-02-24,0.83,0.83,0.83,0.83,0.0,95200.0
1984-02-27,0.83,0.83,0.81,0.82,0.0,19600.0
1984-02-28,0.81,0.81,0.81,0.81,0.0,7200.0
1984-02-29,0.77,0.77,0.76,0.77,0.0,170800.0
1984-03-01,0.76,0.76,0.74,0.74,0.0,18000.0
1984-03-02,0.75,0.78,0.75,0.76,0.0,91600.0
1984-03-05,0.76,0.79,0.76,0.79,0.0,102400.0
1984-03-06,0.79,0.8,0.79,0.79,0.0,21600.0
1984-03-07,0.79,0.79,0.78,0.78,0.0,44800.0
1984-03-08,0.79,0.8,0.79,0.8,0.0,25200.0
1984-03-09,0.79,0.79,0.78,0.79,0.0,12400.0
1984-03-12,0.78,0.78,0.78,0.78,0.0,7200.0
1984-03-13,0.79,0.79,0.79,0.79,0.0,10800.0
1984-03-14,0.78,0.78,0.78,0.78,0.0,12400.0
1984-03-15,0.78,0.78,0.78,0.78,0.0,44800.0
1984-03-16,0.79,0.8,0.79,0.8,0.0,52000.0
1984-03-19,0.79,0.79,0.79,0.79,0.0,43200.0
1984-03-20,0.79,0.79,0.78,0.78,0.0,134800.0
1984-03-21,0.78,0.79,0.78,0.79,0.0,16000.0
1984-03-22,0.79,0.79,0.78,0.79,0.0,57600.0
1984-03-23,0.79,0.8,0.78,0.79,0.0,21600.0
1984-03-26,0.81,0.92,0.81,0.91,0.0,84400.0
1984-03-27,0.91,0.93,0.9,0.9,0.0,54000.0
1984-03-28,0.9,0.9,0.89,0.89,0.0,21600.0
1984-03-29,0.9,0.9,0.9,0.9,0.0,5200.0
1984-03-30,0.9,0.9,0.88,0.88,0.0,18000.0
1984-04-02,0.88,0.9,0.88,0.88,0.0,21600.0
1984-04-03,0.88,0.88,0.87,0.87,0.0,21600.0
1984-04-04,0.86,0.86,0.85,0.85,0.0,18000.0
1984-04-05,0.84,0.84,0.82,0.82,0.0,28800.0
1984-04-06,0.81,0.81,0.78,0.78,0.0,43200.0
1984-04-09,0.79,0.8,0.79,0.8,0.0,54000.0
1984-04-10,0.8,0.81,0.79,0.81,0.0,37600.0
1984-04-11,0.8,0.8,0.8,0.8,0.0,3600.0
1984-04-12,0.8,0.83,0.8,0.82,0.0,54000.0
1984-04-13,0.83,0.85,0.83,0.84,0.0,21600.0
1984-04-16,0.85,0.85,0.85,0.85,0.0,12400.0
1984-04-17,0.86,0.88,0.86,0.88,0.0,26800.0
1984-04-18,0.88,0.9,0.88,0.89,0.0,41200.0
1984-04-19,0.9,0.92,0.9,0.91,0.0,108000.0
1984-04-23,0.9,0.9,0.88,0.88,0.0,10800.0
1984-04-24,0.86,0.86,0.86,0.86,0.0,1600.0
1984-04-25,0.86,0.88,0.85,0.85,0.0,10800.0
1984-04-26,0.85,0.86,0.85,0.85,0.0,14400.0
1984-04-27,0.88,0.89,0.88,0.89,0.0,28800.0
1984-04-30,0.89,0.89,0.89,0.89,0.0,0.0
1984-05-01,0.9,0.91,0.9,0.91,0.0,5200.0
1984-05-02,0.91,0.91,0.91,0.91,0.0,18000.0
1984-05-03,0.92,0.92,0.92,0.92,0.0,7200.0
1984-05-04,0.92,0.92,0.92,0.92,0.0,10800.0
1984-05-07,0.92,0.93,0.92,0.93,0.0,8800.0
1984-05-08,0.93,0.94,0.92,0.92,0.0,54000.0
1984-05-09,0.92,0.92,0.92,0.92,0.0,19600.0
1984-05-10,0.92,0.92,0.92,0.92,0.0,5200.0
1984-05-11,0.91,0.91,0.88,0.88,0.0,30400.0
1984-05-14,0.87,0.87,0.87,0.87,0.0,3600.0
1984-05-15,0.87,0.87,0.85,0.85,0.0,25200.0
1984-05-16,0.84,0.84,0.84,0.84,0.0,1600.0
1984-05-17,0.83,0.83,0.82,0.83,0.0,8800.0
1984-05-18,0.81,0.81,0.81,0.81,0.0,8800.0
1984-05-21,0.8,0.8,0.78,0.78,0.0,43200.0
1984-05-22,0.78,0.78,0.77,0.77,0.0,10800.0
1984-05-23,0.77,0.78,0.77,0.77,0.0,12400.0
1984-05-24,0.78,0.79,0.78,0.78,0.0,26800.0
1984-05-25,0.78,0.78,0.76,0.78,0.0,80800.0
1984-05-29,0.78,0.78,0.74,0.74,0.0,32400.0
1984-05-30,0.74,0.75,0.74,0.75,0.0,5200.0
1984-05-31,0.75,0.75,0.75,0.75,0.0,8800.0
1984-06-01,0.76,0.77,0.76,0.77,0.0,16000.0
1984-06-04,0.77,0.78,0.77,0.78,0.0,21600.0
1984-06-05,0.78,0.78,0.78,0.78,0.0,8800.0
1984-06-06,0.78,0.79,0.78,0.78,0.0,19600.0
1984-06-07,0.78,0.78,0.78,0.78,0.0,3600.0
1984-06-08,0.8,0.8,0.8,0.8,0.0,5200.0
1984-06-11,0.8,0.8,0.8,0.8,0.0,3600.0
1984-06-12,0.8,0.81,0.79,0.79,0.0,19600.0
1984-06-13,0.79,0.81,0.79,0.79,0.0,21600.0
1984-06-14,0.79,0.79,0.79,0.79,0.0,0.0
1984-06-15,0.81,0.81,0.81,0.81,0.0,5200.0
1984-06-18,0.79,0.79,0.79,0.79,0.0,3600.0
1984-06-19,0.79,0.79,0.79,0.79,0.0,1600.0
1984-06-20,0.78,0.78,0.76,0.76,0.0,18000.0
1984-06-21,0.76,0.76,0.75,0.75,0.0,5200.0
1984-06-22,0.76,0.76,0.76,0.76,0.0,8800.0
1984-06-25,0.76,0.76,0.75,0.75,0.0,7200.0
1984-06-26,0.74,0.74,0.69,0.69,0.0,50400.0
1984-06-27,0.67,0.67,0.62,0.62,0.0,451600.0
1984-06-28,0.62,0.63,0.6,0.61,0.0,115200.0
1984-06-29,0.61,0.61,0.6,0.6,0.0,360000.0
1984-07-02,0.62,0.64,0.62,0.64,0.0,75600.0
1984-07-03,0.64,0.65,0.63,0.65,0.0,26800.0
1984-07-05,0.65,0.65,0.65,0.65,0.0,0.0
1984-07-06,0.65,0.65,0.62,0.63,0.0,93600.0
1984-07-09,0.62,0.62,0.62,0.62,0.0,5200.0
1984-07-10,0.62,0.63,0.62,0.63,0.0,12400.0
1984-07-11,0.62,0.62,0.62,0.62,0.0,242800.0
1984-07-12,0.59,0.59,0.59,0.59,0.0,1600.0
1984-07-13,0.6,0.6,0.6,0.6,0.0,18000.0
1984-07-16,0.59,0.59,0.58,0.58,0.0,181600.0
1984-07-17,0.59,0.6,0.59,0.59,0.0,7200.0
1984-07-18,0.6,0.62,0.6,0.61,0.0,50400.0
