Date,Open,High,Low,Close,Adj Close,Volume
1979-05-15,3.56,3.61,3.51,3.56,2.02,22000
1979-05-16,3.58,3.82,3.58,3.8,2.16,65600
1979-05-17,3.8,3.85,3.8,3.85,2.18,57200
1979-05-18,3.85,3.99,3.85,3.97,2.25,118600
1979-05-21,3.97,4.06,3.92,4.04,2.29,106200
1979-05-22,4.04,4.14,4.04,4.09,2.32,127000
1979-05-23,4.09,4.09,3.97,3.97,2.25,85400
1979-05-24,3.97,3.99,3.87,3.92,2.23,80200
1979-05-25,3.92,3.99,3.87,3.97,2.25,63200
1979-05-29,3.97,4.18,3.97,4.11,2.34,122800
1979-05-30,4.18,4.38,4.18,4.35,2.47,113600
1979-05-31,4.33,4.33,4.26,4.33,2.46,80200
1979-06-01,4.33,4.38,4.33,4.33,2.46,103000
1979-06-04,4.33,4.45,4.33,4.43,2.51,70600
1979-06-05,4.45,4.64,4.45,4.57,2.59,135800
1979-06-06,4.62,4.76,4.62,4.67,2.65,147800
1979-06-07,4.67,4.74,4.64,4.64,2.64,141400
1979-06-08,4.64,4.71,4.52,4.59,2.61,53200
1979-06-11,4.59,4.64,4.52,4.62,2.62,48600
1979-06-12,4.62,4.64,4.57,4.59,2.61,47800
1979-06-13,4.59,4.62,4.43,4.47,2.54,75600
1979-06-14,4.47,4.55,4.38,4.47,2.54,58200
1979-06-15,4.52,4.69,4.52,4.62,2.62,106800
1979-06-18,4.62,4.62,4.52,4.57,2.59,34600
1979-06-19,4.57,4.62,4.52,4.62,2.62,113600
1979-06-20,4.62,4.69,4.62,4.64,2.64,151800
1979-06-21,4.64,4.64,4.55,4.59,2.61,388800
1979-06-22,4.59,4.59,4.5,4.57,2.59,69800
1979-06-25,4.57,4.57,4.28,4.38,2.49,73400
1979-06-26,4.38,4.47,4.35,4.4,2.5,77000
1979-06-27,4.4,4.52,4.4,4.45,2.53,123800
1979-06-28,4.45,4.5,4.35,4.4,2.5,63200
1979-06-29,4.4,4.52,4.4,4.52,2.57,135200
1979-07-02,4.52,4.55,4.43,4.43,2.51,40200
1979-07-03,4.43,4.5,4.43,4.5,2.55,44800
1979-07-05,4.5,4.5,4.43,4.5,2.55,17800
1979-07-06,4.5,4.57,4.47,4.52,2.57,98400
1979-07-09,4.59,5.07,4.59,5.07,2.88,223200
1979-07-10,5.07,5.1,4.83,4.91,2.79,168600
1979-07-11,4.91,4.91,4.79,4.81,2.73,172600
1979-07-12,4.81,4.86,4.76,4.79,2.72,85400
1979-07-13,4.74,4.74,4.57,4.62,2.62,89400
1979-07-16,4.62,4.67,4.55,4.67,2.65,26200
1979-07-17,4.67,4.67,4.45,4.45,2.53,58200
1979-07-18,4.4,4.4,4.26,4.38,2.49,81800
1979-07-19,4.38,4.5,4.3,4.43,2.51,34600
1979-07-20,4.43,4.43,4.35,4.35,2.47,19800
1979-07-23,4.35,4.47,4.35,4.4,2.5,47800
1979-07-24,4.45,4.52,4.45,4.52,2.57,24000
1979-07-25,4.52,4.59,4.52,4.55,2.58,23600
1979-07-26,4.55,4.57,4.52,4.52,2.57,22000
1979-07-27,4.52,4.57,4.5,4.5,2.55,40200
1979-07-30,4.5,4.5,4.4,4.4,2.5,79000
1979-07-31,4.4,4.45,4.4,4.45,2.53,69400
1979-08-01,4.45,4.57,4.45,4.5,2.55,53200
1979-08-02,4.5,4.57,4.45,4.57,2.59,98400
1979-08-03,4.57,4.57,4.5,4.52,2.57,61000
1979-08-06,4.52,4.57,4.5,4.52,2.57,40200
1979-08-07,4.52,4.59,4.52,4.57,2.59,42400
1979-08-08,4.62,4.76,4.62,4.69,2.66,78000
1979-08-09,4.69,4.76,4.64,4.74,2.69,34600
1979-08-10,4.74,4.74,4.59,4.62,2.62,40600
1979-08-13,4.62,4.71,4.62,4.67,2.65,40200
1979-08-14,4.67,4.69,4.59,4.62,2.62,40600
1979-08-15,4.62,4.69,4.55,4.67,2.65,54000
1979-08-16,4.67,4.76,4.62,4.69,2.66,61000
1979-08-17,4.69,4.79,4.67,4.79,2.72,52600
1979-08-20,4.79,4.81,4.71,4.79,2.72,26200
1979-08-21,4.79,4.81,4.59,4.62,2.62,40600
1979-08-22,4.62,4.76,4.62,4.74,2.69,99800
1979-08-23,4.74,4.79,4.74,4.79,2.72,44800
1979-08-24,4.79,4.86,4.74,4.81,2.73,48600
1979-08-27,4.81,4.86,4.74,4.79,2.72,43800
1979-08-28,4.79,4.86,4.67,4.67,2.65,37400
1979-08-29,4.67,4.98,4.59,4.95,2.81,81200
1979-08-30,4.95,5.34,4.86,5.34,3.03,197600
1979-08-31,5.34,5.51,5.34,5.46,3.1,315200
1979-09-04,5.46,5.48,5.07,5.12,2.91,106800
1979-09-05,5.0,5.0,4.81,4.98,2.83,173400
1979-09-06,4.98,4.98,4.93,4.98,2.83,64600
1979-09-07,4.98,5.22,4.98,5.22,2.96,74800
1979-09-10,5.22,5.34,5.12,5.17,2.94,105200
1979-09-11,5.17,5.19,5.07,5.07,2.88,59400
1979-09-12,5.07,5.22,5.05,5.19,2.95,72800
1979-09-13,5.19,5.41,5.1,5.32,3.02,114400
1979-09-14,5.34,5.63,5.34,5.53,3.14,169600
1979-09-17,5.56,5.75,5.56,5.6,3.18,228800
1979-09-18,5.6,5.6,5.44,5.51,3.13,111000
1979-09-19,5.51,5.51,5.41,5.41,3.07,62400
1979-09-20,5.41,5.44,5.36,5.41,3.07,80200
1979-09-21,5.44,5.63,5.44,5.63,3.2,128800
1979-09-24,5.6,5.6,5.44,5.46,3.1,262000
1979-09-25,5.46,5.6,5.41,5.56,3.15,215400
1979-09-26,5.56,5.65,5.56,5.56,3.15,66400
1979-09-27,5.53,5.53,5.44,5.48,3.11,35400
1979-09-28,5.48,5.56,5.48,5.48,3.11,58200
1979-10-01,5.48,5.56,5.48,5.51,3.13,47800
1979-10-02,5.56,5.7,5.56,5.68,3.22,105200
1979-10-03,5.75,5.92,5.75,5.82,3.3,197600
1979-10-04,5.82,6.06,5.8,6.01,3.41,146600
1979-10-05,6.08,6.47,6.08,6.47,3.67,181600
1979-10-08,6.47,6.47,6.25,6.35,3.6,245400
1979-10-09,6.33,6.33,5.56,5.56,3.15,262600
1979-10-10,5.46,5.46,5.0,5.36,3.05,418000
1979-10-11,5.36,5.56,5.22,5.32,3.02,192400
1979-10-12,5.32,5.58,5.32,5.41,3.07,116400
1979-10-15,5.41,5.51,5.34,5.36,3.05,124800
1979-10-16,5.36,5.48,5.36,5.46,3.1,74800
1979-10-17,5.46,5.51,5.41,5.44,3.09,47000
1979-10-18,5.44,5.7,5.41,5.68,3.22,94800
1979-10-19,5.63,5.63,5.48,5.56,3.15,164400
1979-10-22,5.41,5.41,5.15,5.22,2.96,120600
1979-10-23,5.22,5.27,5.1,5.19,2.95,67400
1979-10-24,5.19,5.34,5.17,5.34,3.03,58200
1979-10-25,5.34,5.34,5.24,5.24,2.98,39600
1979-10-26,5.29,5.36,5.29,5.32,3.02,59400
1979-10-29,5.32,5.34,5.29,5.29,3.0,21600
1979-10-30,5.32,5.48,5.32,5.48,3.11,78000
1979-10-31,5.48,5.56,5.44,5.48,3.11,47000
1979-11-01,5.51,5.77,5.51,5.56,3.15,127000
1979-11-02,5.56,5.7,5.53,5.65,3.21,31200
1979-11-05,5.75,5.89,5.75,5.82,3.3,84000
1979-11-06,5.82,6.13,5.75,6.01,3.41,162200
1979-11-07,6.01,6.11,5.84,5.89,3.35,198800
1979-11-08,5.89,5.94,5.8,5.89,3.35,53200
1979-11-09,5.92,6.08,5.92,6.04,3.43,129600
1979-11-12,6.04,6.23,5.99,6.13,3.48,75600
1979-11-13,6.16,6.3,6.16,6.2,3.52,109400
1979-11-14,6.2,6.45,6.16,6.42,3.65,91400
1979-11-15,6.47,6.88,6.47,6.61,3.76,194200
1979-11-16,6.61,6.9,6.61,6.88,3.91,124800
1979-11-19,7.07,7.24,7.07,7.17,4.07,335400
1979-11-20,7.17,7.34,7.07,7.14,4.06,195400
1979-11-21,7.12,7.12,6.83,7.05,4.0,237000
1979-11-23,7.09,7.31,7.09,7.17,4.07,101000
1979-11-26,7.29,7.55,7.29,7.55,4.29,284800
1979-11-27,7.55,7.55,7.12,7.14,4.06,297200
1979-11-28,7.14,7.34,6.95,7.09,4.03,408200
1979-11-29,7.09,7.09,6.88,6.95,3.95,160800
