Date,Open,High,Low,Close,Adj Close,Volume
1986-09-08,5.56,5.56,5.31,5.34,3.9,1090000
1986-09-09,5.34,5.34,5.16,5.16,3.76,998000
1986-09-10,5.16,5.19,5.12,5.16,3.76,3112800
1986-09-11,5.12,5.12,4.91,5.0,3.65,263600
1986-09-12,5.0,5.0,4.84,4.94,3.61,749600
1986-09-15,4.94,4.94,4.91,4.91,3.58,175600
1986-09-16,4.88,4.88,4.75,4.78,3.49,206400
1986-09-17,4.78,4.78,4.72,4.75,3.47,108400
1986-09-18,4.75,4.91,4.75,4.91,3.58,643200
1986-09-19,4.91,4.94,4.91,4.94,3.61,212400
1986-09-22,4.97,5.06,4.97,5.06,3.7,200000
1986-09-23,5.06,5.09,5.0,5.06,3.7,405600
1986-09-24,5.06,5.34,5.06,5.25,3.83,1560000
1986-09-25,5.22,5.22,5.16,5.19,3.79,414000
1986-09-26,5.19,5.19,5.16,5.19,3.79,314400
1986-09-29,5.19,5.22,5.16,5.22,3.81,951600
1986-09-30,5.22,5.34,5.22,5.31,3.88,331600
1986-10-01,5.34,5.44,5.34,5.38,3.92,1872400
1986-10-02,5.38,5.62,5.34,5.62,4.11,2767200
1986-10-03,5.62,5.75,5.53,5.59,4.08,3138400
1986-10-06,5.59,5.62,5.53,5.56,4.06,925200
1986-10-07,5.56,5.59,5.44,5.5,4.02,1152000
1986-10-08,5.5,5.56,5.44,5.56,4.06,2980400
1986-10-09,5.56,5.62,5.5,5.56,4.06,4265200
1986-10-10,5.56,5.62,5.53,5.59,4.08,996400
1986-10-13,5.59,5.59,5.44,5.47,3.99,1656000
1986-10-14,5.38,5.38,5.12,5.22,3.81,2104000
1986-10-15,5.28,5.41,5.28,5.31,3.88,3973200
1986-10-16,5.31,5.31,5.19,5.28,3.86,1820400
1986-10-17,5.25,5.25,5.0,5.12,3.74,2462800
1986-10-20,5.12,5.19,5.09,5.12,3.74,599600
1986-10-21,5.12,5.12,5.03,5.06,3.7,1184800
1986-10-22,5.06,5.12,5.03,5.12,3.74,1871600
1986-10-23,5.12,5.28,5.12,5.19,3.79,1907200
1986-10-24,5.19,5.22,5.09,5.09,3.72,997200
1986-10-27,5.09,5.09,4.94,5.0,3.65,412400
1986-10-28,5.0,5.0,4.94,4.97,3.63,474800
1986-10-29,4.97,4.97,4.91,4.91,3.58,407600
1986-10-30,4.91,5.03,4.91,4.91,3.58,740400
1986-10-31,4.97,5.03,4.97,5.0,3.65,1260800
1986-11-03,5.0,5.0,4.94,4.97,3.63,352400
1986-11-04,4.97,5.0,4.84,4.94,3.61,992400
1986-11-05,4.94,5.19,4.91,5.19,3.79,4848800
1986-11-06,5.19,5.34,5.16,5.25,3.83,1708400
1986-11-07,5.25,5.28,5.12,5.16,3.76,988400
1986-11-10,5.16,5.22,5.12,5.19,3.79,714800
1986-11-11,5.19,5.28,5.19,5.25,3.83,806800
1986-11-12,5.25,5.31,5.19,5.25,3.83,360400
1986-11-13,5.31,5.38,5.31,5.34,3.9,1512400
1986-11-14,5.31,5.31,5.19,5.19,3.79,974400
1986-11-17,5.12,5.12,5.0,5.06,3.75,1936800
1986-11-18,5.06,5.16,4.97,5.09,3.77,3282000
1986-11-19,5.06,5.06,4.94,5.0,3.7,2298800
1986-11-20,5.0,5.03,4.94,5.0,3.7,828000
1986-11-21,5.0,5.03,4.94,4.97,3.68,546000
1986-11-24,4.97,5.03,4.97,4.97,3.68,1268800
1986-11-25,4.97,4.97,4.88,4.88,3.61,1481200
1986-11-26,4.88,4.97,4.88,4.97,3.68,682000
1986-11-28,4.97,4.97,4.94,4.94,3.66,118000
1986-12-01,4.94,4.97,4.91,4.94,3.66,219200
1986-12-02,4.94,5.06,4.91,4.94,3.66,2114400
1986-12-03,4.94,4.97,4.88,4.94,3.66,865600
1986-12-04,4.94,5.0,4.91,4.94,3.66,1023200
1986-12-05,4.94,4.94,4.81,4.88,3.61,298400
1986-12-08,4.84,4.84,4.75,4.78,3.54,261200
1986-12-09,4.78,4.78,4.62,4.72,3.5,602800
1986-12-10,4.69,4.69,4.59,4.66,3.45,3072400
1986-12-11,4.66,4.69,4.59,4.62,3.43,456400
1986-12-12,4.62,4.66,4.59,4.59,3.4,1894000
1986-12-15,4.62,4.78,4.62,4.72,3.5,2924800
1986-12-16,4.72,4.84,4.72,4.81,3.57,2084000
1986-12-17,4.81,4.84,4.75,4.75,3.52,1300800
1986-12-18,4.75,4.81,4.69,4.72,3.5,1665600
1986-12-19,4.72,4.78,4.72,4.75,3.52,1401600
1986-12-22,4.75,4.84,4.72,4.81,3.57,1045600
1986-12-23,4.84,5.12,4.84,5.09,3.77,1435600
1986-12-24,5.09,5.12,4.97,4.97,3.68,394000
1986-12-26,5.0,5.03,5.0,5.03,3.73,58400
1986-12-29,5.03,5.06,4.97,5.0,3.7,304000
1986-12-30,5.0,5.12,5.0,5.12,3.8,686000
1986-12-31,5.09,5.09,5.03,5.03,3.73,434800
1987-01-02,5.03,5.06,5.0,5.06,3.75,166000
1987-01-05,5.06,5.12,5.0,5.12,3.8,539600
1987-01-06,5.12,5.25,5.12,5.19,3.84,458800
1987-01-07,5.19,5.22,5.09,5.19,3.84,904800
1987-01-08,5.19,5.28,5.19,5.19,3.84,498000
1987-01-09,5.19,5.34,5.19,5.31,3.94,1431200
1987-01-12,5.31,5.56,5.31,5.5,4.07,1696800
1987-01-13,5.5,5.66,5.47,5.62,4.17,1767600
1987-01-14,5.66,5.84,5.66,5.84,4.33,3704000
1987-01-15,5.84,5.84,5.62,5.69,4.21,3809600
1987-01-16,5.66,5.66,5.44,5.47,4.05,1547600
1987-01-19,5.47,5.69,5.47,5.62,4.17,938000
1987-01-20,5.62,5.69,5.56,5.69,4.21,2273200
1987-01-21,5.69,5.69,5.56,5.56,4.12,528400
1987-01-22,5.56,5.66,5.41,5.62,4.17,518000
1987-01-23,5.62,5.75,5.62,5.69,4.21,365600
1987-01-26,5.66,5.66,5.53,5.59,4.14,274400
1987-01-27,5.59,5.69,5.59,5.62,4.17,226000
1987-01-28,5.62,5.66,5.56,5.59,4.14,664800
1987-01-29,5.59,5.66,5.56,5.56,4.12,1347200
1987-01-30,5.56,5.56,5.41,5.5,4.07,268000
1987-02-02,5.5,5.69,5.47,5.69,4.21,586800
1987-02-03,5.69,5.69,5.59,5.59,4.14,774000
