Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,3.95,4.03,3.95,3.99,0.83,271500
1980-03-18,3.99,4.0,3.95,3.97,0.83,376100
1980-03-19,4.02,4.1,4.02,4.05,0.84,858700
1980-03-20,4.05,4.05,4.02,4.03,0.84,144400
1980-03-21,4.03,4.03,3.99,4.03,0.84,106300
1980-03-24,4.0,4.0,3.89,3.89,0.81,744500
1980-03-25,3.89,3.9,3.83,3.84,0.8,112400
1980-03-26,3.84,3.9,3.83,3.86,0.8,94200
1980-03-27,3.84,3.84,3.82,3.83,0.8,133100
1980-03-28,3.86,4.05,3.86,4.0,0.83,152200
1980-03-31,4.0,4.03,3.99,4.02,0.83,181600
1980-04-01,4.02,4.02,3.93,3.96,0.82,336400
1980-04-02,3.93,3.93,3.82,3.9,0.81,1004800
1980-04-03,3.82,3.82,3.73,3.77,0.78,418500
1980-04-07,3.77,3.8,3.74,3.79,0.79,635600
1980-04-08,3.79,3.84,3.73,3.82,0.79,486800
1980-04-09,3.87,3.96,3.87,3.95,0.82,211800
1980-04-10,3.99,4.05,3.99,4.05,0.84,40600
1980-04-11,4.1,4.24,4.1,4.24,0.88,82100
1980-04-14,4.24,4.24,4.19,4.19,0.87,133100
1980-04-15,4.19,4.19,4.13,4.16,0.86,142600
1980-04-16,4.13,4.13,4.06,4.08,0.85,457400
1980-04-17,4.08,4.08,3.93,3.93,0.82,449600
1980-04-18,3.93,3.96,3.82,3.84,0.8,270600
1980-04-21,3.82,3.82,3.77,3.79,0.79,140000
1980-04-22,3.82,4.08,3.82,4.08,0.85,378700
1980-04-23,4.08,4.16,4.03,4.09,0.85,315600
1980-04-24,4.09,4.22,4.08,4.19,0.87,84700
1980-04-25,4.19,4.31,4.18,4.26,0.89,35400
1980-04-28,4.26,4.29,4.24,4.28,0.89,110600
1980-04-29,4.28,4.35,4.25,4.32,0.9,255900
1980-04-30,4.32,4.39,4.29,4.39,0.91,267200
1980-05-01,4.39,4.48,4.38,4.38,0.91,677100
1980-05-02,4.37,4.37,4.32,4.34,0.9,364000
1980-05-05,4.37,4.39,4.37,4.37,0.91,681400
1980-05-06,4.37,4.41,4.32,4.38,0.91,608800
1980-05-07,4.38,4.38,4.28,4.28,0.89,327700
1980-05-08,4.28,4.28,4.16,4.16,0.86,134000
1980-05-09,4.16,4.16,4.02,4.05,0.84,79500
1980-05-12,4.02,4.02,3.87,3.93,0.82,614000
1980-05-13,3.93,3.95,3.87,3.95,0.82,604400
1980-05-14,3.95,4.02,3.93,4.0,0.83,443600
1980-05-15,4.0,4.0,3.95,3.95,0.82,678000
1980-05-16,3.95,3.97,3.92,3.96,0.82,126200
1980-05-19,3.96,3.99,3.95,3.96,0.82,402900
1980-05-20,3.96,3.99,3.93,3.99,0.83,83800
1980-05-21,3.99,3.99,3.92,3.97,0.83,269800
1980-05-22,3.97,4.38,3.96,4.19,0.87,1090500
1980-05-23,4.25,4.34,4.25,4.34,0.9,1250500
1980-05-27,4.34,4.38,4.34,4.37,0.91,104600
1980-05-28,4.37,4.37,4.31,4.35,0.9,63100
1980-05-29,4.35,4.35,4.24,4.28,0.89,704800
1980-05-30,4.28,4.34,4.19,4.34,0.9,71700
1980-06-02,4.34,4.34,4.28,4.29,0.89,31900
1980-06-03,4.29,4.34,4.24,4.34,0.9,316500
1980-06-04,4.34,4.45,4.32,4.45,0.92,223900
1980-06-05,4.45,4.6,4.44,4.45,0.92,204000
1980-06-06,4.45,4.45,4.37,4.38,0.91,180700
1980-06-09,4.38,4.38,4.28,4.28,0.89,113200
1980-06-10,4.28,4.38,4.28,4.35,0.9,154700
1980-06-11,4.35,4.38,4.34,4.37,0.91,411600
1980-06-12,4.37,4.39,4.34,4.39,0.91,173800
1980-06-13,4.41,4.54,4.41,4.51,0.94,61400
1980-06-16,4.51,4.64,4.5,4.61,0.96,236900
1980-06-17,4.61,4.63,4.55,4.58,0.95,119300
1980-06-18,4.58,4.6,4.51,4.54,0.94,50100
1980-06-19,4.54,4.58,4.51,4.52,0.94,46600
1980-06-20,4.5,4.5,4.44,4.45,0.92,94200
1980-06-23,4.47,4.55,4.47,4.47,0.93,318200
1980-06-24,4.47,4.48,4.38,4.45,0.92,535300
1980-06-25,4.45,4.61,4.44,4.57,0.95,326800
1980-06-26,4.57,4.61,4.51,4.58,0.95,259400
1980-06-27,4.58,4.71,4.58,4.65,0.97,201400
1980-06-30,4.6,4.6,4.48,4.48,0.93,671900
