Date,Open,High,Low,Close,Adj Close,Volume
1997-05-28,20.62,21.38,20.62,21.0,9.02,1862700
1997-05-29,21.0,21.38,21.0,21.38,9.18,296800
1997-05-30,21.12,22.12,21.12,22.0,9.45,220400
1997-06-02,22.12,22.25,21.5,22.0,9.45,66800
1997-06-03,21.75,22.12,21.62,22.12,9.51,180000
1997-06-04,22.25,22.25,21.75,21.88,9.4,99900
1997-06-05,21.5,21.88,21.25,21.88,9.4,291600
1997-06-06,21.5,21.5,21.5,21.5,9.24,0
1997-06-09,21.5,21.5,21.5,21.5,9.24,0
1997-06-10,21.5,21.75,21.5,21.75,9.34,57600
1997-06-11,21.38,21.62,21.12,21.25,9.13,146600
1997-06-12,21.25,21.62,21.12,21.38,9.18,73300
1997-06-13,21.25,21.38,21.25,21.25,9.13,134200
1997-06-16,21.25,21.62,21.25,21.62,9.29,73200
1997-06-17,21.38,21.5,21.38,21.38,9.18,53300
1997-06-18,21.5,21.62,21.38,21.5,9.24,54100
1997-06-19,21.5,21.62,21.5,21.5,9.24,44100
1997-06-20,21.5,21.75,21.5,21.62,9.29,37800
1997-06-23,21.62,21.88,21.38,21.38,9.18,80800
1997-06-24,21.5,21.5,21.25,21.5,9.24,116000
1997-06-25,21.5,21.62,21.25,21.62,9.29,127400
1997-06-26,21.62,21.75,21.5,21.62,9.29,52100
1997-06-27,21.5,21.88,21.38,21.75,9.34,44500
1997-06-30,21.75,21.88,21.38,21.88,9.4,60300
1997-07-01,21.62,22.62,21.62,22.5,9.67,121300
1997-07-02,22.5,22.5,22.12,22.5,9.72,77300
1997-07-03,22.62,22.75,22.38,22.75,9.83,46000
1997-07-07,22.75,23.0,22.62,22.75,9.83,122200
1997-07-08,22.75,22.75,22.38,22.75,9.83,50400
1997-07-09,22.75,22.88,22.5,22.75,9.83,97000
1997-07-10,22.75,22.88,22.62,22.75,9.83,99000
1997-07-11,22.75,22.88,22.25,22.88,9.88,136100
1997-07-14,22.88,23.88,22.88,23.5,10.15,106600
1997-07-15,23.25,24.0,23.25,23.75,10.26,85400
1997-07-16,24.0,24.25,23.75,24.0,10.37,68800
1997-07-17,23.75,24.12,23.62,23.88,10.32,53000
1997-07-18,23.75,23.88,23.75,23.88,10.32,126500
1997-07-21,23.88,24.0,23.75,24.0,10.37,111800
1997-07-22,24.0,24.0,23.75,24.0,10.37,38800
1997-07-23,24.0,24.25,23.88,24.25,10.48,180000
1997-07-24,24.0,24.12,24.0,24.0,10.37,47600
1997-07-25,24.12,24.25,24.0,24.25,10.48,25500
1997-07-28,24.25,24.5,24.12,24.25,10.48,96800
1997-07-29,24.25,24.38,24.0,24.38,10.53,19900
