Date,Open,High,Low,Close,Adj Close,Volume
1962-01-02,6.13,6.16,6.13,6.13,1.42,59700
1962-01-03,6.13,6.22,6.11,6.22,1.44,79600
1962-01-04,6.22,6.27,6.22,6.22,1.44,86000
1962-01-05,6.22,6.25,6.2,6.21,1.44,75300
1962-01-08,6.18,6.18,5.95,6.0,1.39,100300
1962-01-09,6.0,6.09,5.97,5.97,1.38,68900
1962-01-10,5.97,6.0,5.95,5.99,1.38,36900
1962-01-11,5.96,5.96,5.93,5.95,1.38,29800
1962-01-12,5.95,5.96,5.81,5.81,1.34,28400
1962-01-15,5.76,5.76,5.69,5.69,1.32,68900
1962-01-16,5.67,5.67,5.62,5.62,1.3,29800
1962-01-17,5.62,5.65,5.62,5.62,1.3,85300
1962-01-18,5.62,5.62,5.62,5.62,1.3,96000
1962-01-19,5.62,5.68,5.62,5.65,1.31,107300
1962-01-22,5.67,5.75,5.67,5.67,1.31,74700
1962-01-23,5.67,5.73,5.63,5.63,1.3,36900
1962-01-24,5.63,5.63,5.48,5.6,1.29,49000
1962-01-25,5.6,5.61,5.54,5.54,1.28,40500
1962-01-26,5.54,5.56,5.54,5.56,1.29,40500
1962-01-29,5.56,5.6,5.54,5.55,1.28,45400
1962-01-30,5.56,5.61,5.56,5.61,1.3,32600
1962-01-31,5.61,5.62,5.59,5.6,1.29,59700
1962-02-01,5.59,5.59,5.51,5.56,1.29,72500
1962-02-02,5.56,5.6,5.53,5.54,1.28,32600
1962-02-05,5.58,5.61,5.58,5.58,1.29,77500
1962-02-06,5.54,5.54,5.46,5.51,1.28,43300
1962-02-07,5.52,5.58,5.52,5.54,1.29,49000
1962-02-08,5.54,5.56,5.48,5.52,1.28,55400
1962-02-09,5.52,5.55,5.46,5.46,1.27,36200
1962-02-12,5.46,5.47,5.45,5.45,1.27,17700
1962-02-13,5.51,5.54,5.51,5.52,1.28,66800
1962-02-14,5.48,5.48,5.4,5.43,1.26,60400
1962-02-15,5.43,5.53,5.39,5.39,1.25,66800
1962-02-16,5.39,5.47,5.39,5.47,1.27,59700
1962-02-19,5.48,5.53,5.48,5.52,1.28,32000
1962-02-20,5.52,5.61,5.49,5.61,1.3,43300
1962-02-21,5.62,5.75,5.62,5.66,1.31,60400
1962-02-23,5.66,5.7,5.65,5.69,1.32,77500
1962-02-26,5.69,5.72,5.6,5.72,1.33,88100
1962-02-27,5.72,5.74,5.72,5.72,1.33,29800
1962-02-28,5.72,5.83,5.67,5.67,1.32,51200
1962-03-01,5.67,5.9,5.65,5.88,1.37,79600
1962-03-02,5.88,5.97,5.88,5.94,1.38,44800
1962-03-05,5.94,6.03,5.94,6.02,1.4,60400
1962-03-06,6.03,6.09,6.03,6.08,1.41,81100
1962-03-07,6.08,6.11,6.06,6.06,1.41,49000
1962-03-08,6.06,6.08,6.02,6.06,1.41,44800
1962-03-09,6.06,6.09,6.06,6.08,1.41,77500
1962-03-12,6.11,6.24,6.11,6.22,1.45,58200
1962-03-13,6.22,6.24,6.17,6.23,1.45,39000
1962-03-14,6.23,6.25,6.23,6.24,1.45,59700
1962-03-15,6.24,6.3,6.24,6.24,1.45,44800
1962-03-16,6.27,6.3,6.27,6.28,1.46,54000
1962-03-19,6.25,6.25,6.06,6.09,1.42,81100
1962-03-20,6.09,6.14,6.09,6.11,1.42,27700
1962-03-21,6.11,6.23,6.11,6.21,1.44,45400
1962-03-22,6.23,6.36,6.23,6.36,1.48,61800
1962-03-23,6.36,6.42,6.31,6.32,1.47,70400
1962-03-26,6.32,6.35,6.32,6.32,1.47,34800
1962-03-27,6.32,6.32,6.21,6.21,1.44,46900
1962-03-28,6.21,6.23,6.17,6.18,1.44,39000
1962-03-29,6.15,6.15,6.07,6.07,1.41,34800
1962-03-30,6.06,6.06,5.92,5.99,1.39,68300
1962-04-02,5.99,6.0,5.95,5.96,1.39,41200
1962-04-03,5.96,6.11,5.95,6.11,1.42,24100
1962-04-04,6.13,6.17,6.13,6.13,1.42,15600
1962-04-05,6.13,6.13,6.0,6.07,1.41,91700
1962-04-06,6.08,6.15,6.08,6.08,1.41,46900
1962-04-09,6.04,6.04,6.0,6.04,1.4,38400
1962-04-10,6.04,6.07,5.97,6.0,1.39,9200
1962-04-11,6.0,6.04,5.92,5.92,1.37,41200
1962-04-12,5.92,5.95,5.9,5.94,1.38,56100
1962-04-13,5.94,5.97,5.9,5.94,1.38,68300
1962-04-16,5.94,5.96,5.9,5.96,1.39,40500
1962-04-17,5.96,6.01,5.95,6.01,1.4,49000
1962-04-18,6.01,6.06,5.95,5.97,1.39,44800
1962-04-19,5.97,6.06,5.95,5.96,1.39,59700
1962-04-23,5.97,6.04,5.97,6.02,1.4,83900
1962-04-24,6.04,6.09,6.04,6.04,1.4,49700
1962-04-25,6.04,6.04,5.86,5.86,1.36,55400
1962-04-26,5.86,5.86,5.77,5.77,1.34,70400
1962-04-27,5.77,5.88,5.77,5.79,1.34,46900
1962-04-30,5.79,5.8,5.74,5.75,1.34,53300
1962-05-01,5.75,5.75,5.7,5.75,1.34,61800
1962-05-02,5.75,5.76,5.6,5.62,1.31,45400
1962-05-03,5.66,5.72,5.66,5.72,1.33,25600
1962-05-04,5.7,5.7,5.58,5.6,1.3,32000
1962-05-07,5.58,5.58,5.41,5.45,1.27,71100
1962-05-08,5.45,5.46,5.38,5.38,1.25,74700
1962-05-09,5.34,5.34,5.27,5.33,1.24,70400
1962-05-10,5.33,5.39,5.25,5.27,1.22,88100
1962-05-11,5.27,5.32,5.24,5.25,1.22,44800
1962-05-14,5.25,5.29,5.13,5.29,1.23,66100
1962-05-15,5.29,5.36,5.29,5.32,1.24,88100
1962-05-16,5.32,5.32,5.13,5.18,1.21,89600
1962-05-17,5.18,5.19,5.1,5.11,1.19,66800
1962-05-18,5.11,5.12,5.08,5.08,1.19,38400
1962-05-21,5.08,5.13,5.08,5.08,1.19,14900
1962-05-22,5.08,5.12,5.08,5.11,1.19,28400
1962-05-23,5.1,5.1,5.06,5.07,1.18,40500
1962-05-24,5.07,5.12,4.97,4.97,1.16,49000
1962-05-25,4.97,4.98,4.9,4.92,1.15,51200
1962-05-28,4.92,5.06,4.87,4.87,1.14,90300
1962-05-29,4.87,5.11,4.6,5.11,1.19,128700
1962-05-31,5.11,5.15,4.97,5.14,1.2,57600
1962-06-01,5.14,5.14,5.11,5.14,1.2,81700
1962-06-04,5.14,5.2,5.12,5.13,1.2,85300
1962-06-05,5.13,5.25,5.12,5.17,1.21,62500
1962-06-06,5.2,5.25,5.2,5.24,1.22,38400
1962-06-07,5.21,5.21,5.12,5.13,1.2,25600
1962-06-08,5.13,5.21,5.12,5.2,1.22,43300
1962-06-11,5.2,5.22,5.14,5.14,1.2,62500
1962-06-12,5.13,5.13,4.99,4.99,1.17,59700
1962-06-13,4.99,5.01,4.9,4.9,1.14,53300
1962-06-14,4.9,4.94,4.76,4.76,1.11,49000
1962-06-15,4.76,4.92,4.71,4.87,1.14,103100
1962-06-18,4.87,4.94,4.8,4.94,1.15,72500
1962-06-19,4.93,4.93,4.84,4.87,1.14,59700
1962-06-20,4.87,4.9,4.78,4.78,1.12,57600
1962-06-21,4.73,4.73,4.64,4.65,1.09,71100
1962-06-22,4.59,4.59,4.43,4.44,1.04,45400
1962-06-25,4.44,4.44,4.22,4.29,1.0,103100
1962-06-26,4.38,4.54,4.38,4.45,1.04,123700
1962-06-27,4.4,4.4,4.37,4.4,1.03,36200
1962-06-28,4.45,4.69,4.45,4.69,1.09,139400
1962-06-29,4.73,4.9,4.73,4.87,1.14,91700
1962-07-02,4.92,5.2,4.92,5.08,1.19,90300
1962-07-03,5.08,5.25,5.08,5.22,1.22,98800
1962-07-05,5.22,5.43,5.21,5.43,1.27,66100
1962-07-06,5.39,5.39,5.29,5.31,1.24,68900
1962-07-09,5.31,5.34,5.2,5.34,1.25,92400
1962-07-10,5.34,5.53,5.25,5.26,1.23,64600
1962-07-11,5.26,5.36,5.2,5.34,1.25,36900
1962-07-12,5.34,5.39,5.29,5.33,1.25,75300
1962-07-13,5.33,5.34,5.29,5.32,1.24,38400
1962-07-16,5.28,5.28,5.21,5.24,1.22,27700
1962-07-17,5.24,5.24,5.06,5.06,1.18,26200
1962-07-18,5.06,5.2,4.97,5.17,1.21,41200
1962-07-19,5.17,5.25,5.11,5.11,1.19,60400
1962-07-20,5.11,5.25,5.09,5.14,1.2,27700
1962-07-23,5.14,5.14,5.08,5.08,1.19,30500
1962-07-24,5.08,5.12,5.04,5.04,1.18,27700
1962-07-25,5.01,5.01,4.87,4.99,1.17,64600
1962-07-26,5.02,5.13,5.02,5.04,1.18,57600
1962-07-27,5.05,5.25,5.05,5.25,1.23,46900
1962-07-30,5.25,5.41,5.25,5.33,1.25,54000
1962-07-31,5.38,5.48,5.38,5.46,1.28,94500
1962-08-01,5.48,5.59,5.48,5.53,1.29,70400
1962-08-02,5.53,5.58,5.53,5.54,1.29,53300
1962-08-03,5.54,5.6,5.51,5.56,1.3,39000
1962-08-06,5.56,5.61,5.47,5.51,1.29,36900
1962-08-07,5.51,5.51,5.35,5.35,1.25,44800
1962-08-08,5.35,5.48,5.31,5.46,1.28,34800
1962-08-09,5.53,5.58,5.53,5.56,1.3,28400
1962-08-10,5.56,5.72,5.56,5.68,1.33,64000
1962-08-13,5.68,5.69,5.65,5.68,1.33,21300
1962-08-14,5.68,5.87,5.6,5.81,1.36,54000
1962-08-15,5.89,5.96,5.89,5.93,1.39,56100
1962-08-16,5.94,6.0,5.94,5.99,1.41,62500
1962-08-17,5.97,5.97,5.94,5.94,1.39,36900
1962-08-20,5.94,5.97,5.93,5.95,1.4,28400
1962-08-21,5.93,5.93,5.79,5.79,1.36,45400
1962-08-22,5.79,5.81,5.68,5.69,1.34,51200
1962-08-23,5.69,5.74,5.69,5.69,1.34,44800
1962-08-24,5.69,5.69,5.58,5.58,1.31,49000
1962-08-27,5.58,5.67,5.55,5.67,1.33,47600
1962-08-28,5.67,5.69,5.62,5.62,1.32,38400
1962-08-29,5.58,5.58,5.51,5.58,1.31,38400
