Date,Open,High,Low,Close,Adj Close,Volume
1994-03-11,20.62,20.88,20.62,20.88,6.47,2359000
1994-03-14,20.75,20.75,20.62,20.62,6.39,536500
1994-03-15,20.62,20.75,20.62,20.62,6.39,215700
1994-03-16,20.62,21.38,20.62,21.38,6.63,338600
1994-03-17,21.38,21.38,20.88,21.12,6.55,195900
1994-03-18,21.12,21.12,20.75,21.0,6.51,285700
1994-03-21,21.0,21.0,20.88,20.88,6.47,38900
1994-03-22,20.88,20.88,20.75,20.75,6.43,78400
1994-03-23,20.75,21.5,20.75,21.25,6.59,209200
1994-03-24,21.12,21.12,21.0,21.0,6.51,155000
1994-03-25,21.0,21.12,21.0,21.0,6.51,91500
1994-03-28,21.0,21.12,20.88,21.12,6.55,111200
1994-03-29,21.12,21.12,20.62,20.62,6.39,101200
1994-03-30,20.62,20.75,20.38,20.5,6.36,105000
1994-03-31,20.5,20.62,20.5,20.62,6.39,108300
1994-04-04,20.38,20.38,20.0,20.12,6.24,42300
1994-04-05,20.25,20.88,20.25,20.75,6.43,55600
1994-04-06,20.75,20.88,20.75,20.88,6.47,31800
1994-04-07,20.88,21.0,20.75,20.75,6.43,52000
1994-04-08,20.75,20.75,20.5,20.5,6.36,24000
1994-04-11,20.5,20.62,20.38,20.38,6.32,44400
1994-04-12,20.38,20.5,20.25,20.5,6.36,15100
1994-04-13,20.5,20.5,20.38,20.38,6.32,30500
1994-04-14,20.38,20.5,20.38,20.38,6.32,38800
1994-04-15,20.38,20.5,20.12,20.12,6.24,12200
1994-04-18,20.12,20.38,20.12,20.12,6.24,39800
1994-04-19,20.25,20.38,20.25,20.25,6.28,24500
1994-04-20,20.25,20.25,20.12,20.25,6.28,72000
1994-04-21,20.25,20.38,20.25,20.25,6.28,15000
1994-04-22,20.25,20.5,20.12,20.5,6.36,20700
1994-04-25,20.5,20.5,20.25,20.25,6.28,27300
1994-04-26,20.38,20.5,20.38,20.5,6.36,64000
1994-04-28,20.5,20.75,20.5,20.62,6.39,27100
1994-04-29,20.62,20.62,20.5,20.5,6.36,5500
1994-05-02,20.5,20.62,20.5,20.62,6.39,11700
1994-05-03,20.62,20.62,20.38,20.5,6.36,29000
1994-05-04,20.5,20.5,20.25,20.25,6.28,39600
1994-05-05,20.25,20.38,20.12,20.38,6.32,7600
1994-05-06,20.38,20.38,20.0,20.12,6.24,13600
1994-05-09,20.12,20.25,20.12,20.25,6.28,3700
1994-05-10,20.25,20.25,20.12,20.25,6.28,75100
1994-05-11,20.25,20.38,20.12,20.25,6.28,81400
1994-05-12,20.25,20.38,20.25,20.25,6.28,7100
1994-05-13,20.25,20.38,20.25,20.25,6.28,14500
1994-05-16,20.25,20.38,20.12,20.25,6.28,12600
