Date,Open,High,Low,Close,Adj Close,Volume
2009-08-06,16.5,16.91,15.56,16.18,13.7,24197800
2009-08-07,16.15,16.76,16.03,16.43,13.91,2454300
2009-08-10,16.63,16.63,15.61,15.97,13.52,2421000
2009-08-11,15.98,16.0,15.5,15.67,13.26,2305400
2009-08-12,16.15,16.2,15.66,16.0,13.54,1451300
2009-08-13,16.0,16.72,16.0,16.55,14.01,1150600
2009-08-14,16.5,17.0,16.25,16.6,14.05,637800
2009-08-17,16.27,16.37,16.2,16.22,13.73,254400
2009-08-18,16.48,17.2,16.35,17.07,14.45,1446700
2009-08-19,16.84,17.94,16.8,17.89,15.14,2070800
2009-08-20,17.95,17.95,17.29,17.76,15.03,1882100
2009-08-21,17.79,17.97,17.58,17.82,15.08,863600
2009-08-24,17.52,17.85,17.3,17.5,14.81,1021600
2009-08-25,17.65,17.9,17.55,17.85,15.11,530800
2009-08-26,17.69,17.85,17.15,17.85,15.11,708600
2009-08-27,17.85,18.21,17.55,18.16,15.37,1161100
2009-08-28,18.1,19.0,18.0,18.47,15.63,1295000
2009-08-31,18.35,18.4,17.81,18.2,15.41,1004800
2009-09-01,18.25,18.44,16.94,17.85,15.11,1383500
2009-09-02,17.76,18.25,17.48,17.68,14.97,1293400
2009-09-03,17.97,17.97,17.0,17.45,14.77,3657700
2009-09-04,17.75,18.0,17.49,17.76,15.03,1158600
2009-09-08,17.76,17.93,17.45,17.7,14.98,574900
2009-09-09,17.85,17.85,17.22,17.26,14.61,551200
2009-09-10,17.01,17.46,16.95,17.05,14.43,415200
2009-09-11,17.0,17.33,16.54,16.88,14.29,620300
2009-09-14,16.64,16.9,16.31,16.65,14.09,1614500
2009-09-15,17.25,17.35,16.63,17.18,14.54,1986900
2009-09-16,17.4,17.75,17.11,17.58,14.88,2021100
2009-09-17,17.66,17.9,16.53,16.64,14.09,1446400
2009-09-18,16.57,17.02,16.18,16.2,13.71,899900
2009-09-21,16.28,16.63,15.87,16.61,14.06,553000
2009-09-22,16.96,17.37,16.82,17.25,14.6,1114100
