Date,Open,High,Low,Close,Adj Close,Volume
2001-12-03,13.6,13.84,13.5,13.8,9.07,847400
2001-12-04,13.7,13.84,13.6,13.75,9.04,780700
2001-12-05,13.75,14.2,13.75,14.06,9.24,906200
2001-12-06,13.95,14.2,13.7,13.98,9.19,291300
2001-12-07,13.88,13.88,13.4,13.48,8.86,399500
2001-12-10,13.1,13.1,11.2,11.2,7.36,348800
2001-12-11,11.3,12.58,11.3,12.58,8.27,595400
2001-12-12,12.48,12.85,11.95,12.0,7.89,226700
2001-12-13,12.1,12.4,11.75,12.0,7.89,248600
2001-12-14,11.9,12.08,11.76,11.98,7.87,146000
2001-12-17,11.65,12.1,10.8,11.0,7.23,523600
2001-12-18,10.9,11.5,10.7,11.5,7.56,685500
2001-12-19,11.16,12.1,11.05,11.95,7.85,290400
2001-12-20,12.0,12.0,11.35,11.51,7.56,535400
2001-12-21,11.2,11.95,11.15,11.9,7.82,367700
2001-12-24,12.35,12.95,12.1,12.89,8.47,112300
2001-12-26,13.09,13.2,11.96,12.51,8.22,255900
2001-12-27,12.7,12.95,12.7,12.9,8.48,374500
2001-12-28,12.91,12.91,11.9,12.0,7.89,324500
2001-12-31,12.0,12.4,12.0,12.1,7.95,451000
2002-01-02,12.05,14.0,12.01,14.0,9.2,164700
2002-01-03,13.75,14.75,13.75,14.75,9.69,260000
2002-01-04,14.75,14.89,14.11,14.81,9.73,155700
2002-01-07,14.71,14.71,14.02,14.26,9.37,131100
2002-01-08,14.2,14.2,13.81,14.2,9.33,67500
2002-01-09,14.15,14.35,13.8,13.8,9.07,52200
2002-01-10,13.7,14.05,13.2,13.57,8.92,74500
2002-01-11,13.62,13.74,13.5,13.5,8.87,56100
2002-01-14,13.28,14.65,13.2,14.61,9.6,177500
2002-01-15,14.4,14.52,13.88,13.96,9.27,208500
2002-01-16,13.99,14.0,12.8,12.8,8.5,144600
2002-01-17,12.7,13.74,12.7,13.74,9.12,618900
2002-01-18,13.54,13.65,13.1,13.45,8.93,123300
2002-01-22,13.45,14.04,13.35,13.82,9.18,86000
2002-01-23,13.82,13.92,13.3,13.92,9.24,70300
2002-01-24,13.82,13.82,13.5,13.5,8.96,63000
2002-01-25,13.4,13.61,12.9,13.61,9.04,300500
2002-01-28,13.7,13.92,13.66,13.75,9.13,135600
2002-01-29,13.75,13.75,13.02,13.2,8.77,214400
2002-01-30,13.15,13.18,12.82,13.08,8.69,31600
2002-01-31,13.0,13.05,12.5,13.05,8.67,144700
2002-02-01,13.05,13.05,12.74,13.03,8.65,114100
2002-02-04,12.8,13.99,12.69,13.39,8.89,83400
2002-02-05,13.29,13.29,12.53,13.24,8.79,112700
2002-02-06,13.24,13.45,13.1,13.27,8.81,207500
2002-02-07,13.17,13.25,13.1,13.19,8.76,76500
2002-02-08,13.29,13.47,13.26,13.4,8.9,98900
2002-02-11,13.3,13.35,13.0,13.2,8.77,104900
2002-02-12,13.2,13.3,13.15,13.27,8.81,138700
2002-02-13,13.26,13.3,13.25,13.3,8.83,65400
2002-02-14,13.3,13.35,13.25,13.35,8.87,173400
2002-02-15,13.3,13.57,13.3,13.44,8.92,90300
2002-02-19,13.54,13.58,13.3,13.46,8.94,242600
2002-02-20,13.45,13.62,13.45,13.55,9.0,101100
2002-02-21,13.55,13.69,13.5,13.57,9.01,74100
2002-02-22,13.65,14.65,13.65,14.52,9.64,92600
2002-02-25,14.42,14.75,14.25,14.52,9.64,67300
2002-02-26,14.52,14.52,13.88,13.96,9.27,54500
2002-02-27,13.9,14.3,13.5,14.1,9.36,61000
2002-02-28,14.5,14.61,13.9,14.2,9.43,148300
2002-03-01,14.15,15.5,14.06,15.3,10.16,188500
2002-03-04,15.2,15.85,15.2,15.6,10.36,320000
2002-03-05,15.5,15.75,15.23,15.4,10.23,158400
2002-03-06,15.3,15.4,15.0,15.35,10.19,121500
2002-03-07,15.29,15.3,14.75,14.85,9.86,119300
2002-03-08,14.8,14.92,14.35,14.5,9.63,58600
2002-03-11,14.1,14.8,14.0,14.71,9.77,210400
2002-03-12,14.81,15.2,14.75,15.2,10.09,83300
2002-03-13,15.3,15.3,15.1,15.23,10.11,19800
2002-03-14,15.2,15.52,15.15,15.5,10.29,33200
2002-03-15,15.15,15.4,15.02,15.1,10.03,109100
2002-03-18,15.25,15.25,15.07,15.14,10.05,47400
2002-03-19,15.11,16.0,15.03,16.0,10.62,57400
2002-03-20,15.75,16.0,15.25,15.26,10.13,48600
2002-03-21,15.26,15.61,14.75,15.58,10.35,107200
2002-03-22,15.6,15.85,15.31,15.51,10.3,69500
2002-03-25,15.3,15.75,15.2,15.31,10.17,129900
2002-03-26,15.31,16.01,15.2,15.9,10.56,99400
2002-03-27,15.9,17.7,15.9,16.5,10.96,265200
2002-03-28,16.6,17.15,16.08,16.53,10.98,146700
2002-04-01,16.53,17.1,16.15,17.0,11.29,167700
2002-04-02,16.95,17.06,16.86,17.05,11.32,102200
2002-04-03,17.0,17.03,16.7,16.75,11.12,76800
2002-04-04,16.5,17.05,16.5,17.05,11.32,89000
