Date,Open,High,Low,Close,Adj Close,Volume
1991-04-02,6.88,7.38,6.56,7.34,7.34,9147200
1991-04-03,7.28,7.34,6.88,7.31,7.31,3403200
1991-04-04,7.28,7.28,7.09,7.22,7.22,831200
1991-04-05,7.12,7.19,7.09,7.12,7.12,457200
1991-04-08,7.06,7.19,6.88,7.12,7.12,608800
1991-04-09,7.12,7.25,7.12,7.19,7.19,472400
1991-04-10,7.12,7.5,7.12,7.5,7.5,781600
1991-04-11,7.75,8.28,7.75,8.06,8.06,1339200
1991-04-12,8.12,8.25,8.06,8.16,8.16,468800
1991-04-15,8.22,8.22,7.94,8.0,8.0,352800
1991-04-16,7.97,8.16,7.78,8.09,8.09,266400
1991-04-17,8.12,8.12,7.91,7.94,7.94,246400
1991-04-18,7.97,8.06,7.88,8.0,8.0,298800
1991-04-19,7.94,8.06,7.94,8.03,8.03,204800
1991-04-22,8.0,8.06,7.59,7.59,7.59,388000
1991-04-23,7.72,7.84,7.66,7.81,7.81,256400
1991-04-24,7.84,8.06,7.84,8.03,8.03,254000
1991-04-25,8.09,8.12,8.06,8.06,8.06,82400
1991-04-26,8.03,8.06,7.88,8.0,8.0,106800
1991-04-29,8.19,8.25,8.12,8.19,8.19,306400
1991-04-30,8.12,8.12,7.75,8.06,8.06,187600
1991-05-01,8.12,8.19,8.06,8.19,8.19,196400
1991-05-02,8.12,8.28,8.12,8.25,8.25,155200
1991-05-03,8.25,8.28,8.12,8.25,8.25,85600
1991-05-06,8.19,8.22,8.03,8.16,8.16,55200
1991-05-07,8.22,8.22,8.03,8.03,8.03,138400
1991-05-08,8.0,8.0,7.97,8.0,8.0,102400
1991-05-09,8.0,8.09,7.97,8.06,8.06,124400
1991-05-10,8.03,8.03,7.94,7.94,7.94,61600
1991-05-13,7.91,7.94,7.78,7.78,7.78,85600
1991-05-14,7.81,7.81,7.44,7.5,7.5,296000
1991-05-15,7.5,7.81,7.47,7.66,7.66,165600
1991-05-16,7.69,7.75,7.62,7.75,7.75,116000
1991-05-17,7.69,7.69,7.31,7.47,7.47,864000
1991-05-20,7.5,7.75,7.47,7.69,7.69,174800
1991-05-21,7.91,7.97,7.72,7.75,7.75,235200
1991-05-22,7.78,7.88,7.75,7.88,7.88,53600
1991-05-23,7.88,7.88,7.69,7.72,7.72,24000
1991-05-24,7.75,7.84,7.72,7.81,7.81,62400
1991-05-28,7.75,7.78,7.62,7.75,7.75,46400
1991-05-29,7.78,7.78,7.62,7.62,7.62,183600
1991-05-30,7.62,7.62,7.44,7.56,7.56,306400
1991-05-31,7.56,7.56,7.47,7.53,7.53,36800
1991-06-03,7.5,7.69,7.5,7.69,7.69,257200
1991-06-04,7.72,7.84,7.66,7.84,7.84,110800
1991-06-05,7.84,8.16,7.84,8.16,8.16,266800
1991-06-06,8.12,8.25,8.12,8.16,8.16,105200
1991-06-07,8.16,8.25,8.12,8.19,8.19,309200
1991-06-10,8.19,8.34,8.19,8.34,8.34,103200
1991-06-11,8.41,8.44,8.31,8.41,8.41,197600
1991-06-12,8.41,8.44,8.03,8.03,8.03,236400
1991-06-13,8.03,8.03,7.91,7.94,7.94,84800
1991-06-14,8.0,8.47,8.0,8.38,8.38,298800
1991-06-17,8.38,8.69,8.38,8.66,8.66,348800
1991-06-18,8.62,8.69,8.59,8.66,8.66,74800
1991-06-19,8.66,8.66,8.38,8.38,8.38,102400
1991-06-20,8.31,8.31,8.22,8.25,8.25,51200
1991-06-21,8.31,8.38,8.28,8.31,8.31,192800
1991-06-24,8.25,8.31,8.09,8.16,8.16,128800
1991-06-25,8.06,8.06,7.91,7.97,7.97,137600
1991-06-26,7.91,7.97,7.81,7.97,7.97,235600
1991-06-27,8.03,8.38,8.03,8.38,8.38,186800
1991-06-28,8.38,8.5,8.38,8.47,8.47,222000
1991-07-01,8.66,9.06,8.62,9.06,9.06,421600
