Date,Open,High,Low,Close,Adj Close,Volume
1962-01-02,0.84,0.84,0.82,0.82,0.19,352200
1962-01-03,0.84,0.85,0.84,0.84,0.19,710400
1962-01-04,0.84,0.85,0.83,0.83,0.19,911000
1962-01-05,0.83,0.84,0.79,0.81,0.19,880400
1962-01-08,0.81,0.83,0.8,0.82,0.19,473600
1962-01-09,0.82,0.84,0.81,0.82,0.19,576800
1962-01-10,0.82,0.83,0.82,0.82,0.19,352200
1962-01-11,0.82,0.85,0.82,0.83,0.19,692400
1962-01-12,0.84,0.86,0.84,0.85,0.2,972000
1962-01-15,0.85,0.85,0.83,0.83,0.19,625400
1962-01-16,0.83,0.84,0.83,0.83,0.19,376400
1962-01-17,0.83,0.85,0.83,0.83,0.19,674000
1962-01-18,0.83,0.84,0.83,0.83,0.19,710400
1962-01-19,0.84,0.87,0.84,0.87,0.2,1293600
1962-01-22,0.87,0.88,0.86,0.87,0.2,1147800
1962-01-23,0.86,0.87,0.86,0.87,0.2,923400
1962-01-24,0.87,0.88,0.86,0.88,0.2,1020600
1962-01-25,0.88,0.9,0.88,0.9,0.21,2897400
1962-01-26,0.9,0.9,0.89,0.89,0.21,1919600
1962-01-29,0.89,0.9,0.88,0.9,0.21,941400
1962-01-30,0.9,0.91,0.89,0.91,0.21,1749600
1962-01-31,0.91,0.93,0.91,0.92,0.21,3383400
1962-02-01,0.92,0.93,0.9,0.9,0.21,1968200
1962-02-02,0.9,0.91,0.88,0.91,0.21,1105400
1962-02-05,0.91,0.91,0.89,0.9,0.21,892800
1962-02-06,0.9,0.9,0.87,0.9,0.21,801800
1962-02-07,0.9,0.91,0.89,0.9,0.21,844200
1962-02-08,0.9,0.91,0.9,0.9,0.21,656000
1962-02-09,0.9,0.91,0.9,0.91,0.21,680400
1962-02-12,0.91,0.91,0.9,0.9,0.21,510200
1962-02-13,0.9,0.92,0.9,0.91,0.21,656000
1962-02-14,0.91,0.92,0.9,0.91,0.21,540200
1962-02-15,0.91,0.93,0.91,0.92,0.21,917000
1962-02-16,0.92,0.92,0.91,0.91,0.21,510200
1962-02-19,0.91,0.92,0.9,0.9,0.21,619400
1962-02-20,0.9,0.92,0.9,0.9,0.21,479600
1962-02-21,0.9,0.9,0.88,0.89,0.21,400800
1962-02-23,0.88,0.88,0.84,0.86,0.2,1160000
1962-02-26,0.86,0.87,0.85,0.86,0.2,680400
1962-02-27,0.86,0.89,0.86,0.87,0.2,668000
1962-02-28,0.87,0.88,0.87,0.88,0.2,303600
1962-03-01,0.88,0.89,0.85,0.87,0.2,722600
1962-03-02,0.87,0.88,0.86,0.86,0.2,583200
1962-03-05,0.86,0.86,0.85,0.86,0.2,418800
1962-03-06,0.86,0.86,0.83,0.83,0.19,868400
1962-03-07,0.83,0.84,0.83,0.83,0.19,625400
1962-03-08,0.83,0.86,0.83,0.85,0.2,595200
1962-03-09,0.85,0.86,0.84,0.84,0.2,279200
1962-03-12,0.85,0.85,0.85,0.85,0.2,218600
1962-03-13,0.85,0.85,0.84,0.85,0.2,291600
1962-03-14,0.85,0.86,0.84,0.85,0.2,583200
1962-03-15,0.85,0.86,0.84,0.84,0.19,370200
1962-03-16,0.84,0.85,0.83,0.83,0.19,327800
1962-03-19,0.83,0.84,0.82,0.82,0.19,649800
1962-03-20,0.82,0.83,0.82,0.82,0.19,588800
1962-03-21,0.82,0.82,0.82,0.82,0.19,528200
1962-03-22,0.82,0.83,0.82,0.83,0.19,340200
1962-03-23,0.83,0.84,0.83,0.83,0.19,406800
1962-03-26,0.83,0.83,0.83,0.83,0.19,273000
1962-03-27,0.83,0.84,0.83,0.83,0.19,309600
1962-03-28,0.83,0.84,0.83,0.84,0.19,230600
1962-03-29,0.84,0.85,0.84,0.84,0.19,370200
1962-03-30,0.84,0.84,0.83,0.83,0.19,297200
1962-04-02,0.83,0.83,0.82,0.83,0.19,388800
1962-04-03,0.82,0.82,0.79,0.81,0.19,686000
1962-04-04,0.81,0.81,0.79,0.79,0.18,406800
1962-04-05,0.79,0.8,0.77,0.8,0.19,601200
1962-04-06,0.8,0.81,0.79,0.79,0.18,333800
1962-04-09,0.79,0.8,0.78,0.78,0.18,303600
1962-04-10,0.78,0.78,0.77,0.77,0.18,291600
1962-04-11,0.79,0.8,0.79,0.8,0.18,145800
1962-04-12,0.79,0.79,0.77,0.77,0.18,364400
1962-04-13,0.77,0.79,0.76,0.78,0.18,461600
1962-04-16,0.78,0.79,0.77,0.77,0.18,303600
1962-04-17,0.77,0.77,0.77,0.77,0.18,321600
1962-04-18,0.77,0.79,0.77,0.78,0.18,394400
1962-04-19,0.78,0.8,0.78,0.8,0.18,206400
1962-04-23,0.8,0.81,0.8,0.81,0.19,364400
1962-04-24,0.81,0.82,0.81,0.81,0.19,795600
1962-04-25,0.81,0.81,0.79,0.8,0.19,498000
1962-04-26,0.8,0.8,0.77,0.77,0.18,449400
1962-04-27,0.77,0.78,0.76,0.76,0.18,923400
1962-04-30,0.76,0.78,0.74,0.74,0.17,826200
1962-05-01,0.74,0.77,0.73,0.77,0.18,1220600
1962-05-02,0.77,0.78,0.77,0.78,0.18,1069200
1962-05-03,0.78,0.78,0.78,0.78,0.18,601200
1962-05-04,0.78,0.78,0.77,0.77,0.18,279200
1962-05-07,0.78,0.78,0.78,0.78,0.18,340200
