Date,Open,High,Low,Close,Adj Close,Volume
1973-02-21,4.62,4.62,4.62,4.62,0.36,99200.0
1973-02-22,4.64,4.64,4.64,4.64,0.36,47200.0
1973-02-23,4.62,4.62,4.62,4.62,0.36,133600.0
1973-02-26,4.62,4.62,4.62,4.62,0.36,24000.0
1973-02-27,4.62,4.62,4.62,4.62,0.36,41600.0
1973-02-28,4.62,4.62,4.62,4.62,0.36,66400.0
1973-03-01,4.66,4.66,4.66,4.66,0.36,93600.0
1973-03-02,4.67,4.67,4.67,4.67,0.36,26400.0
1973-03-05,4.73,4.73,4.73,4.73,0.37,68000.0
1973-03-06,4.88,4.88,4.88,4.88,0.38,76800.0
1973-03-07,4.88,4.88,4.88,4.88,0.38,51200.0
1973-03-08,4.91,4.91,4.91,4.91,0.38,84800.0
1973-03-09,4.91,4.91,4.91,4.91,0.38,78400.0
1973-03-12,4.89,4.89,4.89,4.89,0.38,73600.0
1973-03-13,4.91,4.91,4.91,4.91,0.38,47200.0
1973-03-14,4.92,4.92,4.92,4.92,0.38,50400.0
1973-03-15,4.91,4.91,4.91,4.91,0.38,70400.0
1973-03-16,4.89,4.89,4.89,4.89,0.38,44800.0
1973-03-19,4.84,4.84,4.84,4.84,0.38,28000.0
1973-03-20,4.75,4.75,4.75,4.75,0.37,68800.0
1973-03-21,4.69,4.69,4.69,4.69,0.37,94400.0
1973-03-22,4.61,4.61,4.61,4.61,0.36,55200.0
1973-03-23,4.61,4.61,4.61,4.61,0.36,117600.0
1973-03-26,4.59,4.59,4.59,4.59,0.36,9600.0
1973-03-27,4.59,4.59,4.59,4.59,0.36,15200.0
1973-03-28,4.66,4.66,4.66,4.66,0.36,141600.0
1973-03-29,4.72,4.72,4.72,4.72,0.37,120000.0
1973-03-30,4.72,4.72,4.72,4.72,0.37,85600.0
1973-04-02,4.69,4.69,4.69,4.69,0.37,52800.0
1973-04-03,4.66,4.66,4.66,4.66,0.36,23200.0
1973-04-04,4.62,4.62,4.62,4.62,0.36,78400.0
1973-04-05,4.61,4.61,4.61,4.61,0.36,78400.0
1973-04-06,4.61,4.61,4.61,4.61,0.36,36000.0
1973-04-09,4.61,4.61,4.61,4.61,0.36,28000.0
1973-04-10,4.72,4.72,4.72,4.72,0.37,88800.0
1973-04-11,4.75,4.75,4.75,4.75,0.37,144000.0
1973-04-12,4.81,4.81,4.81,4.81,0.37,140800.0
1973-04-13,4.81,4.81,4.81,4.81,0.37,13600.0
1973-04-16,4.81,4.81,4.81,4.81,0.37,40000.0
1973-04-17,4.69,4.69,4.69,4.69,0.37,92800.0
1973-04-18,4.67,4.67,4.67,4.67,0.36,25600.0
1973-04-19,4.69,4.69,4.69,4.69,0.37,39200.0
1973-04-23,4.62,4.62,4.62,4.62,0.36,48000.0
1973-04-24,4.59,4.59,4.59,4.59,0.36,134400.0
1973-04-25,4.56,4.56,4.56,4.56,0.36,59200.0
1973-04-26,4.56,4.56,4.56,4.56,0.36,33600.0
1973-04-27,4.53,4.53,4.53,4.53,0.35,36800.0
1973-04-30,4.47,4.47,4.47,4.47,0.35,91200.0
1973-05-01,4.44,4.44,4.44,4.44,0.35,295200.0
1973-05-02,4.45,4.45,4.45,4.45,0.35,61600.0
1973-05-03,4.45,4.5,4.44,4.44,0.35,56000.0
1973-05-04,4.48,4.55,4.48,4.48,0.35,43200.0
1973-05-07,4.5,4.56,4.5,4.5,0.35,42400.0
1973-05-08,4.52,4.58,4.52,4.52,0.35,28800.0
1973-05-09,4.64,4.7,4.64,4.64,0.36,58400.0
1973-05-10,4.75,4.81,4.75,4.75,0.37,70400.0
1973-05-11,4.77,4.83,4.77,4.77,0.37,26400.0
1973-05-14,4.66,4.66,4.59,4.59,0.36,151200.0
1973-05-15,4.59,4.64,4.58,4.58,0.36,163200.0
1973-05-16,4.67,4.73,4.67,4.67,0.36,75200.0
1973-05-17,4.67,4.73,4.67,4.67,0.36,27200.0
1973-05-18,4.67,4.69,4.62,4.62,0.36,59200.0
1973-05-21,4.62,4.67,4.61,4.61,0.36,60800.0
1973-05-22,4.66,4.72,4.66,4.66,0.36,95200.0
1973-05-23,4.67,4.73,4.67,4.67,0.36,34400.0
1973-05-24,4.78,4.84,4.78,4.78,0.37,60000.0
1973-05-25,4.84,4.91,4.84,4.84,0.38,111200.0
1973-05-29,4.88,4.94,4.88,4.88,0.38,144800.0
1973-05-30,4.86,4.86,4.8,4.8,0.37,90400.0
1973-05-31,4.8,4.86,4.8,4.8,0.37,36000.0
1973-06-01,4.8,4.86,4.8,4.8,0.37,47200.0
1973-06-04,4.64,4.64,4.58,4.58,0.36,119200.0
