Date,Open,High,Low,Close,Adj Close,Volume
1981-10-27,3.81,3.89,3.81,3.85,0.42,3155400
1981-10-28,3.85,3.89,3.84,3.85,0.42,1704000
1981-10-29,3.85,3.85,3.82,3.82,0.42,1115600
1981-10-30,3.82,3.88,3.81,3.88,0.42,903100
1981-11-02,3.99,4.04,3.99,4.02,0.44,2832900
1981-11-03,4.02,4.06,4.01,4.05,0.44,2124100
1981-11-04,4.05,4.06,3.99,4.0,0.44,761800
1981-11-05,4.0,4.01,3.95,3.95,0.43,1289000
1981-11-06,3.92,3.92,3.85,3.87,0.42,5863500
1981-11-09,3.96,3.96,3.87,3.93,0.43,1382200
1981-11-10,3.93,3.99,3.93,3.96,0.43,1997400
1981-11-11,3.96,3.98,3.93,3.98,0.43,476400
1981-11-12,3.98,3.99,3.95,3.96,0.43,844600
1981-11-13,3.96,3.96,3.92,3.92,0.43,869600
1981-11-16,3.92,3.92,3.82,3.92,0.43,1513600
1981-11-17,3.95,4.05,3.95,4.04,0.44,895000
1981-11-18,4.07,4.16,4.07,4.07,0.44,1568900
1981-11-19,4.07,4.12,4.07,4.1,0.45,847900
1981-11-20,4.1,4.13,4.07,4.09,0.45,717200
1981-11-23,4.09,4.1,3.89,3.95,0.43,3297200
1981-11-24,3.93,3.93,3.87,3.9,0.43,5314500
1981-11-25,3.95,4.05,3.95,4.01,0.44,1529800
1981-11-27,4.01,4.09,4.01,4.09,0.45,346100
1981-11-30,4.09,4.09,4.05,4.07,0.44,1332800
1981-12-01,4.07,4.07,4.04,4.07,0.44,317000
1981-12-02,4.07,4.09,4.02,4.05,0.44,531600
1981-12-03,4.05,4.07,4.02,4.07,0.44,778300
1981-12-04,4.07,4.13,4.07,4.1,0.45,449900
1981-12-07,4.09,4.09,4.01,4.02,0.44,1395100
1981-12-08,4.01,4.01,3.92,3.98,0.43,846100
1981-12-09,3.98,4.07,3.95,4.07,0.44,442500
1981-12-10,4.07,4.07,4.02,4.04,0.44,586900
1981-12-11,4.04,4.05,3.99,4.02,0.44,388000
1981-12-14,3.96,3.96,3.92,3.92,0.43,421500
1981-12-15,3.92,3.95,3.89,3.92,0.43,967900
1981-12-16,3.92,3.96,3.92,3.92,0.43,247000
1981-12-17,3.92,3.95,3.9,3.95,0.43,813700
1981-12-18,3.95,4.12,3.95,4.05,0.44,833900
1981-12-21,4.05,4.07,3.93,3.95,0.43,530200
1981-12-22,3.96,4.04,3.96,3.99,0.44,912000
1981-12-23,4.01,4.04,4.01,4.02,0.44,1238600
1981-12-24,4.02,4.04,3.95,3.98,0.43,121500
1981-12-28,4.01,4.04,4.01,4.01,0.44,500700
1981-12-29,4.01,4.05,4.01,4.04,0.44,247000
1981-12-30,4.04,4.09,4.01,4.05,0.44,261000
1981-12-31,4.11,4.13,4.09,4.13,0.45,193600
1982-01-04,4.21,4.26,4.15,4.22,0.46,901300
1982-01-05,4.13,4.19,4.07,4.07,0.44,993000
1982-01-06,3.99,4.04,3.93,3.98,0.43,871500
1982-01-07,4.04,4.12,3.96,4.12,0.45,746700
1982-01-08,4.16,4.22,4.09,4.1,0.45,1457700
1982-01-11,4.02,4.13,3.92,3.93,0.43,527600
1982-01-12,3.99,4.04,3.93,4.04,0.44,564000
1982-01-13,4.04,4.1,3.96,3.96,0.43,811500
1982-01-14,4.02,4.12,3.93,4.05,0.44,1208000
1982-01-15,4.12,4.16,4.05,4.12,0.45,680000
1982-01-18,4.13,4.21,4.05,4.21,0.46,398000
1982-01-19,4.18,4.24,4.1,4.1,0.45,780500
1982-01-20,4.09,4.13,4.02,4.12,0.45,1374100
1982-01-21,4.13,4.18,4.09,4.12,0.45,504000
1982-01-22,4.13,4.16,4.1,4.15,0.45,632100
1982-01-25,4.1,4.15,4.05,4.15,0.45,1150900
1982-01-26,4.16,4.21,4.12,4.13,0.45,1926400
1982-01-27,4.19,4.24,4.15,4.16,0.45,1277600
1982-01-28,4.27,4.38,4.16,4.32,0.47,3531000
1982-01-29,4.39,4.46,4.33,4.44,0.49,3258500
1982-02-01,4.35,4.39,4.3,4.32,0.47,899100
1982-02-02,4.27,4.3,4.24,4.27,0.47,1403200
1982-02-03,4.19,4.27,4.1,4.1,0.45,1330300
1982-02-04,4.16,4.19,4.13,4.19,0.46,1216100
1982-02-05,4.3,4.41,4.19,4.36,0.48,1747800
1982-02-08,4.29,4.35,4.22,4.26,0.46,1346500
1982-02-09,4.18,4.22,4.12,4.13,0.45,1759900
1982-02-10,4.18,4.24,4.12,4.24,0.46,1189200
1982-02-11,4.22,4.27,4.18,4.22,0.46,1119600
1982-02-12,4.29,4.3,4.26,4.3,0.47,3007800
1982-02-16,4.3,4.36,4.22,4.35,0.47,2336500
1982-02-17,4.42,4.5,4.35,4.44,0.49,2313000
1982-02-18,4.49,4.53,4.44,4.47,0.49,1360400
1982-02-19,4.39,4.46,4.33,4.38,0.48,2477600
1982-02-22,4.36,4.46,4.27,4.29,0.47,1450300
1982-02-23,4.26,4.29,4.22,4.26,0.46,2889600
1982-02-24,4.24,4.29,4.18,4.29,0.47,881800
1982-02-25,4.33,4.38,4.29,4.32,0.47,3099500
1982-02-26,4.33,4.36,4.3,4.32,0.47,347500
1982-03-01,4.3,4.33,4.26,4.29,0.47,372600
1982-03-02,4.3,4.33,4.27,4.27,0.47,821800
1982-03-03,4.3,4.35,4.24,4.29,0.47,1019100
1982-03-04,4.22,4.29,4.16,4.24,0.46,2959900
1982-03-05,4.16,4.19,4.12,4.13,0.45,1884800
1982-03-08,4.21,4.24,4.16,4.16,0.45,837200
1982-03-09,4.07,4.13,3.99,4.09,0.45,3139200
1982-03-10,4.05,4.12,3.99,4.01,0.44,2419400
1982-03-11,3.98,4.05,3.9,3.93,0.43,1116300
1982-03-12,3.82,3.9,3.75,3.85,0.42,2060800
1982-03-15,3.96,3.99,3.92,3.99,0.44,988900
1982-03-16,4.02,4.07,3.98,3.99,0.44,1265500
1982-03-17,3.99,4.02,3.96,4.01,0.44,755500
1982-03-18,4.05,4.1,3.99,4.07,0.45,920800
1982-03-19,4.1,4.15,4.07,4.12,0.45,853400
1982-03-22,4.19,4.26,4.12,4.22,0.46,1603500
1982-03-23,4.27,4.3,4.22,4.22,0.46,1177800
1982-03-24,4.16,4.19,4.13,4.15,0.45,1131800
1982-03-25,4.18,4.21,4.13,4.13,0.45,1449600
1982-03-26,4.1,4.13,4.05,4.09,0.45,1286400
1982-03-29,4.05,4.09,4.02,4.07,0.45,990400
1982-03-30,3.99,4.07,3.9,4.01,0.44,3052300
1982-03-31,3.99,4.02,3.95,3.95,0.43,675200
1982-04-01,4.04,4.12,3.95,4.09,0.45,1066600
1982-04-02,4.15,4.18,4.12,4.16,0.46,1150900
1982-04-05,4.24,4.32,4.16,4.19,0.46,1085400
1982-04-06,4.21,4.24,4.18,4.22,0.46,1096100
1982-04-07,4.26,4.29,4.21,4.29,0.47,866700
1982-04-08,4.3,4.32,4.27,4.27,0.47,1112300
1982-04-12,4.22,4.24,4.19,4.19,0.46,784600
1982-04-13,4.24,4.29,4.19,4.27,0.47,1730900
1982-04-14,4.22,4.27,4.18,4.19,0.46,215300
1982-04-15,4.21,4.24,4.16,4.24,0.46,280200
1982-04-16,4.22,4.27,4.18,4.21,0.46,877000
1982-04-19,4.26,4.3,4.21,4.24,0.46,1336900
1982-04-20,4.27,4.3,4.22,4.24,0.46,997800
1982-04-21,4.16,4.22,4.09,4.09,0.45,1836200
1982-04-22,4.13,4.16,4.09,4.12,0.45,1525800
1982-04-23,4.16,4.19,4.12,4.16,0.46,1197300
1982-04-26,4.21,4.27,4.15,4.26,0.47,2306400
1982-04-27,4.29,4.3,4.26,4.29,0.47,789400
1982-04-28,4.32,4.36,4.27,4.32,0.47,1409800
1982-04-29,4.32,4.35,4.27,4.33,0.47,1455800
1982-04-30,4.38,4.42,4.33,4.42,0.49,822900
1982-05-03,4.46,4.49,4.41,4.42,0.49,994500
1982-05-04,4.5,4.53,4.47,4.47,0.49,568100
1982-05-05,4.46,4.5,4.39,4.41,0.48,1100100
1982-05-06,4.46,4.49,4.42,4.49,0.49,715700
1982-05-07,4.47,4.49,4.44,4.47,0.49,512900
1982-05-10,4.42,4.47,4.38,4.41,0.48,773900
1982-05-11,4.46,4.5,4.41,4.49,0.49,701000
1982-05-12,4.49,4.52,4.44,4.47,0.49,892500
1982-05-13,4.47,4.49,4.46,4.47,0.49,929700
1982-05-14,4.47,4.49,4.44,4.44,0.49,1009200
1982-05-17,4.44,4.44,4.42,4.44,0.49,809600
1982-05-18,4.41,4.44,4.36,4.39,0.48,1023900
1982-05-19,4.38,4.41,4.33,4.33,0.47,1544200
1982-05-20,4.36,4.39,4.33,4.39,0.48,779800
1982-05-21,4.39,4.41,4.36,4.38,0.48,486300
1982-05-24,4.36,4.38,4.35,4.36,0.48,540500
1982-05-25,4.39,4.39,4.38,4.38,0.48,514000
1982-05-26,4.29,4.32,4.24,4.26,0.47,936300
1982-05-27,4.29,4.3,4.26,4.29,0.47,371800
1982-05-28,4.22,4.27,4.16,4.19,0.46,1122600
1982-06-01,4.18,4.19,4.15,4.18,0.46,511400
1982-06-02,4.21,4.26,4.16,4.26,0.47,663100
1982-06-03,4.24,4.29,4.19,4.22,0.46,530900
1982-06-04,4.21,4.22,4.19,4.19,0.46,462000
1982-06-07,4.19,4.22,4.16,4.18,0.46,348300
1982-06-08,4.16,4.18,4.13,4.13,0.45,349400
1982-06-09,4.1,4.15,4.04,4.04,0.44,1173000
1982-06-10,4.13,4.19,4.07,4.16,0.46,860100
1982-06-11,4.29,4.35,4.22,4.27,0.47,1114500
1982-06-14,4.24,4.27,4.19,4.24,0.47,658300
1982-06-15,4.22,4.24,4.21,4.24,0.47,1529100
1982-06-16,4.24,4.26,4.22,4.22,0.46,967900
1982-06-17,4.16,4.19,4.13,4.18,0.46,259900
1982-06-18,4.18,4.19,4.16,4.18,0.46,276100
1982-06-21,4.19,4.22,4.15,4.16,0.46,842000
1982-06-22,4.18,4.21,4.13,4.21,0.46,1096800
1982-06-23,4.29,4.33,4.24,4.33,0.48,760300
1982-06-24,4.33,4.36,4.29,4.29,0.47,784600
1982-06-25,4.32,4.33,4.3,4.32,0.47,317700
1982-06-28,4.36,4.42,4.29,4.41,0.48,512100
1982-06-29,4.41,4.44,4.38,4.44,0.49,706200
1982-06-30,4.46,4.49,4.42,4.49,0.49,1461000
1982-07-01,4.44,4.49,4.38,4.39,0.48,986400
1982-07-02,4.36,4.42,4.29,4.29,0.47,1093500
1982-07-06,4.29,4.35,4.21,4.35,0.48,1444800
1982-07-07,4.3,4.33,4.26,4.3,0.47,1925300
1982-07-08,4.32,4.36,4.26,4.33,0.48,1984500
1982-07-09,4.49,4.58,4.38,4.53,0.5,1550800
1982-07-12,4.69,4.72,4.64,4.7,0.52,800000
1982-07-13,4.7,4.75,4.64,4.73,0.52,1875900
1982-07-14,4.72,4.72,4.64,4.7,0.52,800000
1982-07-15,4.7,4.75,4.66,4.72,0.52,1019100
1982-07-16,4.73,4.76,4.69,4.76,0.52,1135800
1982-07-19,4.73,4.79,4.66,4.69,0.52,592400
1982-07-20,4.69,4.7,4.66,4.7,0.52,874800
1982-07-21,4.76,4.81,4.7,4.72,0.52,2116700
1982-07-22,4.67,4.73,4.59,4.67,0.51,1374100
1982-07-23,4.58,4.67,4.47,4.47,0.49,2832900
1982-07-26,4.41,4.46,4.36,4.42,0.49,2015500
1982-07-27,4.46,4.53,4.38,4.49,0.49,1613400
1982-07-28,4.46,4.49,4.42,4.47,0.49,1196600
1982-07-29,4.41,4.47,4.35,4.41,0.48,1589100
1982-07-30,4.36,4.41,4.32,4.33,0.48,1146200
1982-08-02,4.36,4.41,4.32,4.41,0.48,1650600
1982-08-03,4.53,4.56,4.49,4.5,0.5,2472800
1982-08-04,4.49,4.52,4.44,4.44,0.49,1563700
1982-08-05,4.42,4.47,4.38,4.42,0.49,2147700
1982-08-06,4.38,4.41,4.33,4.33,0.48,815500
1982-08-09,4.27,4.3,4.22,4.29,0.47,560700
1982-08-10,4.3,4.35,4.26,4.3,0.47,1337600
1982-08-11,4.29,4.3,4.27,4.29,0.47,740000
1982-08-12,4.26,4.3,4.21,4.21,0.46,708400
1982-08-13,4.21,4.26,4.16,4.26,0.47,1242600
1982-08-16,4.35,4.39,4.3,4.33,0.48,1446200
1982-08-17,4.47,4.61,4.32,4.61,0.51,1924500
1982-08-18,4.67,4.72,4.61,4.61,0.51,3112300
1982-08-19,4.63,4.69,4.56,4.64,0.51,1614900
1982-08-20,4.78,4.87,4.67,4.81,0.53,1673400
1982-08-23,4.72,4.87,4.56,4.81,0.53,2000000
1982-08-24,4.83,4.87,4.76,4.78,0.53,1708800
1982-08-25,4.83,4.89,4.75,4.81,0.53,947000
1982-08-26,4.92,4.96,4.86,4.87,0.54,2839900
1982-08-27,4.89,4.92,4.84,4.9,0.54,748100
1982-08-30,4.89,4.93,4.84,4.93,0.54,1621500
1982-08-31,5.0,5.07,4.92,5.07,0.56,1134000
1982-09-01,5.12,5.21,5.03,5.03,0.55,2872300
1982-09-02,5.07,5.15,5.0,5.13,0.56,735200
1982-09-03,5.32,5.41,5.23,5.3,0.58,2536100
1982-09-07,5.2,5.29,5.09,5.12,0.56,1148700
1982-09-08,5.13,5.16,5.09,5.12,0.56,716500
1982-09-09,5.09,5.15,5.03,5.03,0.55,758800
1982-09-10,4.93,5.0,4.87,4.96,0.55,762900
1982-09-13,5.03,5.12,4.93,5.09,0.56,1747100
1982-09-14,5.18,5.27,5.09,5.21,0.57,1740400
1982-09-15,5.23,5.26,5.2,5.26,0.58,1160900
1982-09-16,5.26,5.29,5.21,5.21,0.57,1391000
1982-09-17,5.24,5.29,5.2,5.23,0.58,843900
1982-09-20,5.26,5.3,5.21,5.24,0.58,1125200
1982-09-21,5.33,5.41,5.26,5.41,0.6,1169000
1982-09-22,5.44,5.5,5.38,5.4,0.6,1714700
1982-09-23,5.33,5.38,5.27,5.35,0.59,632100
1982-09-24,5.29,5.33,5.24,5.29,0.58,966100
1982-09-27,5.27,5.33,5.21,5.33,0.59,643600
1982-09-28,5.35,5.38,5.32,5.32,0.59,508100
1982-09-29,5.29,5.32,5.26,5.32,0.59,671900
1982-09-30,5.26,5.29,5.23,5.23,0.58,1532000
1982-10-01,5.27,5.33,5.21,5.33,0.59,676700
1982-10-04,5.3,5.35,5.26,5.3,0.58,1158300
1982-10-05,5.35,5.37,5.32,5.35,0.59,734500
1982-10-06,5.52,5.64,5.38,5.6,0.62,1770600
1982-10-07,5.78,5.81,5.74,5.77,0.64,1425300
1982-10-08,5.77,5.8,5.74,5.8,0.64,685500
1982-10-11,5.86,6.04,5.67,5.87,0.65,1206200
1982-10-12,5.87,5.95,5.84,5.87,0.65,1328800
1982-10-13,5.92,5.97,5.89,5.89,0.65,1356400
1982-10-14,5.83,5.89,5.77,5.78,0.64,1330300
1982-10-15,5.77,5.8,5.72,5.75,0.63,1635100
1982-10-18,5.86,5.95,5.75,5.9,0.65,410900
1982-10-19,5.95,5.98,5.9,5.92,0.65,1015800
1982-10-20,5.95,5.98,5.9,5.95,0.66,1092000
1982-10-21,5.94,6.0,5.86,5.92,0.65,1422700
1982-10-22,5.9,5.94,5.86,5.87,0.65,1148700
1982-10-25,5.81,5.84,5.77,5.77,0.64,615900
1982-10-26,5.61,5.67,5.55,5.64,0.62,2567800
1982-10-27,5.77,5.83,5.7,5.77,0.64,1594600
1982-10-28,5.78,5.81,5.74,5.77,0.64,807400
1982-10-29,5.81,5.84,5.77,5.83,0.64,819600
1982-11-01,5.86,5.9,5.81,5.9,0.65,406100
1982-11-02,6.04,6.14,5.94,6.07,0.67,943600
1982-11-03,6.15,6.23,6.06,6.21,0.69,1019900
1982-11-04,6.14,6.24,6.03,6.04,0.67,2274000
1982-11-05,6.01,6.04,5.97,6.0,0.66,921600
1982-11-08,6.04,6.12,5.95,6.07,0.67,632900
1982-11-09,6.17,6.23,6.09,6.23,0.69,1242600
1982-11-10,6.18,6.29,6.07,6.07,0.67,907200
1982-11-11,6.04,6.11,5.98,6.11,0.67,375100
1982-11-12,6.14,6.18,6.09,6.12,0.68,505900
1982-11-15,5.98,6.03,5.92,5.98,0.66,634000
1982-11-16,5.97,6.01,5.92,5.95,0.66,754800
1982-11-17,5.94,6.0,5.86,5.89,0.65,1548200
1982-11-18,5.84,5.89,5.8,5.83,0.64,1021300
1982-11-19,5.86,5.89,5.81,5.84,0.64,977500
1982-11-22,5.64,5.84,5.43,5.52,0.61,2192900
1982-11-23,5.55,5.6,5.49,5.53,0.61,1381400
1982-11-24,5.55,5.6,5.49,5.6,0.62,1236400
1982-11-26,5.7,5.8,5.6,5.78,0.64,807400
1982-11-29,5.8,5.84,5.75,5.78,0.64,604500
1982-11-30,5.97,6.15,5.77,6.15,0.68,1722000
1982-12-01,6.09,6.17,6.01,6.09,0.67,1066600
1982-12-02,6.01,6.09,5.92,5.92,0.65,769900
1982-12-03,6.01,6.04,5.98,5.98,0.66,1159000
1982-12-06,5.97,6.03,5.89,5.98,0.66,1991200
1982-12-07,6.06,6.11,6.01,6.06,0.67,1834700
1982-12-08,6.14,6.17,6.11,6.14,0.68,1360400
1982-12-09,6.04,6.11,5.98,6.0,0.66,600500
1982-12-10,6.01,6.04,5.97,6.01,0.66,790500
1982-12-13,6.01,6.04,5.98,6.03,0.67,463500
1982-12-14,6.03,6.12,5.92,5.92,0.65,1483400
1982-12-15,5.83,5.86,5.78,5.83,0.64,1244500
1982-12-16,5.86,5.92,5.78,5.89,0.65,1037500
1982-12-17,5.94,5.98,5.89,5.94,0.66,1459100
1982-12-20,5.94,5.97,5.9,5.92,0.65,817700
1982-12-21,5.9,5.94,5.87,5.92,0.65,1271000
1982-12-22,5.97,6.01,5.92,5.94,0.66,1528000
1982-12-23,5.89,5.94,5.83,5.83,0.64,476400
1982-12-27,5.95,6.07,5.83,6.06,0.67,550400
1982-12-28,6.07,6.11,6.04,6.09,0.67,427100
1982-12-29,6.04,6.07,6.01,6.01,0.66,640200
1982-12-30,6.01,6.06,5.95,5.97,0.66,391300
1982-12-31,5.95,5.98,5.92,5.97,0.66,219400
1983-01-03,5.84,5.98,5.7,5.72,0.63,806700
1983-01-04,5.7,5.78,5.63,5.75,0.64,1089500
1983-01-05,5.84,5.87,5.8,5.87,0.65,1039400
1983-01-06,5.95,6.04,5.84,6.03,0.67,972700
1983-01-07,6.03,6.07,5.98,6.07,0.67,536400
1983-01-10,6.03,6.09,5.95,5.98,0.66,1379600
1983-01-11,5.97,6.06,5.86,5.87,0.65,567300
1983-01-12,5.9,5.97,5.84,5.86,0.65,860100
1983-01-13,5.94,6.01,5.86,5.86,0.65,486300
1983-01-14,5.89,5.95,5.83,5.89,0.65,449900
1983-01-17,5.92,5.97,5.87,5.9,0.65,1034200
1983-01-18,5.92,5.95,5.89,5.92,0.65,723100
1983-01-19,5.83,5.92,5.74,5.78,0.64,734500
1983-01-20,5.77,5.8,5.74,5.75,0.64,1250700
1983-01-21,5.69,5.83,5.55,5.57,0.62,1195900
1983-01-24,5.5,5.63,5.37,5.58,0.62,972700
1983-01-25,5.66,5.7,5.61,5.67,0.63,878800
1983-01-26,5.78,5.84,5.7,5.8,0.64,671900
1983-01-27,5.78,5.83,5.72,5.83,0.64,1673400
1983-01-28,5.87,5.94,5.81,5.81,0.64,446600
1983-01-31,5.87,5.9,5.83,5.87,0.65,1028700
1983-02-01,5.89,5.94,5.84,5.87,0.65,601200
