Date,Open,High,Low,Close,Adj Close,Volume
1980-03-18,1.98,1.98,1.89,1.89,0.37,2600
1980-03-19,1.89,1.91,1.82,1.82,0.36,1800
1980-03-20,1.82,1.91,1.82,1.82,0.36,5400
1980-03-21,1.82,1.89,1.8,1.8,0.35,7200
1980-03-24,1.8,1.84,1.76,1.76,0.34,11600
1980-03-25,1.76,1.8,1.71,1.71,0.33,2600
1980-03-26,1.71,1.78,1.69,1.69,0.33,800
1980-03-27,1.69,1.78,1.69,1.69,0.33,1800
1980-03-28,1.69,1.78,1.69,1.69,0.33,6200
1980-03-31,1.69,1.69,1.69,1.69,0.33,0
1980-04-01,1.69,1.78,1.69,1.69,0.33,1800
1980-04-02,1.69,1.78,1.69,1.69,0.33,800
1980-04-03,1.69,1.78,1.69,1.69,0.33,9000
1980-04-07,1.69,1.78,1.69,1.69,0.33,2600
1980-04-08,1.69,1.73,1.64,1.64,0.32,16200
1980-04-09,1.64,1.64,1.64,1.64,0.32,0
1980-04-10,1.64,1.73,1.64,1.64,0.32,2600
1980-04-11,1.64,1.73,1.64,1.64,0.32,7200
1980-04-14,1.64,1.73,1.64,1.64,0.32,800
1980-04-15,1.64,1.73,1.64,1.64,0.32,1800
1980-04-16,1.64,1.73,1.64,1.64,0.32,800
1980-04-17,1.64,1.64,1.64,1.64,0.32,0
1980-04-18,1.64,1.73,1.64,1.64,0.32,10800
1980-04-21,1.64,1.64,1.64,1.64,0.32,0
1980-04-22,1.64,1.73,1.64,1.64,0.32,6200
1980-04-23,1.64,1.73,1.64,1.64,0.32,800
1980-04-24,1.64,1.64,1.64,1.64,0.32,0
1980-04-25,1.64,1.73,1.64,1.64,0.32,10800
1980-04-28,1.64,1.64,1.64,1.64,0.32,0
1980-04-29,1.64,1.64,1.64,1.64,0.32,0
1980-04-30,1.64,1.64,1.64,1.64,0.32,0
1980-05-01,1.64,1.73,1.64,1.64,0.32,1800
1980-05-02,1.67,1.76,1.67,1.67,0.32,10800
1980-05-05,1.67,1.76,1.67,1.67,0.32,800
1980-05-06,1.67,1.67,1.67,1.67,0.32,0
1980-05-07,1.67,1.67,1.67,1.67,0.32,0
1980-05-08,1.67,1.67,1.67,1.67,0.32,0
1980-05-09,1.67,1.76,1.67,1.67,0.32,9800
1980-05-12,1.67,1.67,1.67,1.67,0.32,0
1980-05-13,1.67,1.67,1.67,1.67,0.32,0
1980-05-14,1.67,1.76,1.67,1.67,0.32,13400
1980-05-15,1.67,1.67,1.67,1.67,0.32,0
1980-05-16,1.67,1.76,1.67,1.67,0.32,13400
1980-05-19,1.67,1.67,1.67,1.67,0.32,0
1980-05-20,1.67,1.67,1.67,1.67,0.32,0
1980-05-21,1.67,1.67,1.67,1.67,0.32,0
1980-05-22,1.67,1.67,1.67,1.67,0.32,0
1980-05-23,1.69,1.78,1.69,1.69,0.33,9000
1980-05-27,1.69,1.69,1.69,1.69,0.33,0
1980-05-28,1.69,1.69,1.69,1.69,0.33,0
1980-05-29,1.71,1.8,1.71,1.71,0.33,800
1980-05-30,1.71,1.71,1.71,1.71,0.33,0
1980-06-02,1.73,1.82,1.73,1.73,0.34,11600
1980-06-03,1.73,1.82,1.73,1.73,0.34,800
1980-06-04,1.73,1.82,1.73,1.73,0.34,800
1980-06-05,1.73,1.73,1.73,1.73,0.34,0
1980-06-06,1.73,1.73,1.73,1.73,0.34,0
1980-06-09,1.73,1.82,1.73,1.73,0.34,15200
1980-06-10,1.76,1.84,1.76,1.76,0.34,1800
1980-06-11,1.76,1.84,1.76,1.76,0.34,800
1980-06-12,1.76,1.76,1.76,1.76,0.34,0
1980-06-13,1.76,1.84,1.76,1.76,0.34,9000
1980-06-16,1.76,1.84,1.76,1.76,0.34,1800
1980-06-17,1.76,1.84,1.76,1.76,0.34,2600
1980-06-18,1.76,1.76,1.76,1.76,0.34,0
1980-06-19,1.76,1.76,1.76,1.76,0.34,0
1980-06-20,1.76,1.84,1.76,1.76,0.34,9000
1980-06-23,1.76,1.76,1.76,1.76,0.34,0
1980-06-24,1.76,1.84,1.76,1.76,0.34,2600
1980-06-25,1.76,1.76,1.76,1.76,0.34,0
1980-06-26,1.76,1.76,1.76,1.76,0.34,0
1980-06-27,1.76,1.84,1.76,1.76,0.34,9000
1980-06-30,1.76,1.84,1.76,1.76,0.34,800
1980-07-01,1.78,1.87,1.78,1.78,0.35,1800
1980-07-02,1.78,1.87,1.78,1.78,0.35,9000
1980-07-03,1.78,1.78,1.78,1.78,0.35,0
1980-07-07,1.78,1.78,1.78,1.78,0.35,0
1980-07-08,1.78,1.78,1.78,1.78,0.35,0
1980-07-09,1.78,1.78,1.78,1.78,0.35,0
1980-07-10,1.78,1.78,1.78,1.78,0.35,0
1980-07-11,1.82,1.89,1.82,1.82,0.36,9000
1980-07-14,1.87,1.93,1.87,1.87,0.36,10800
1980-07-15,1.87,1.87,1.87,1.87,0.36,0
1980-07-16,1.87,1.87,1.87,1.87,0.36,0
1980-07-17,1.87,1.96,1.87,1.87,0.36,9000
1980-07-18,1.87,1.87,1.87,1.87,0.36,0
1980-07-21,1.89,1.96,1.89,1.89,0.37,800
1980-07-22,1.89,1.89,1.89,1.89,0.37,0
1980-07-23,1.91,1.98,1.91,1.91,0.37,2600
1980-07-24,1.91,1.98,1.91,1.91,0.37,10800
1980-07-25,1.91,1.98,1.91,1.91,0.37,2600
1980-07-28,1.91,1.91,1.91,1.91,0.37,0
1980-07-29,1.91,1.98,1.91,1.91,0.37,9800
1980-07-30,1.91,1.98,1.91,1.91,0.37,1800
1980-07-31,1.91,1.98,1.91,1.91,0.37,9000
1980-08-01,1.91,1.91,1.91,1.91,0.37,0
1980-08-04,1.91,1.98,1.91,1.91,0.37,800
1980-08-05,1.91,1.98,1.91,1.91,0.37,800
1980-08-06,1.91,1.91,1.91,1.91,0.37,0
1980-08-07,1.91,1.91,1.91,1.91,0.37,0
1980-08-08,1.93,2.0,1.93,1.93,0.38,13400
1980-08-11,1.93,2.0,1.93,1.93,0.38,800
1980-08-12,1.93,1.93,1.93,1.93,0.38,0
1980-08-13,1.93,1.93,1.93,1.93,0.38,0
1980-08-14,1.96,2.0,1.96,1.96,0.38,10800
1980-08-15,1.96,2.0,1.96,1.96,0.38,800
1980-08-18,1.96,2.0,1.96,1.96,0.38,1800
1980-08-19,1.96,1.96,1.96,1.96,0.38,0
1980-08-20,1.96,1.96,1.96,1.96,0.38,0
1980-08-21,1.96,2.02,1.96,1.96,0.38,9800
1980-08-22,1.96,2.02,1.96,1.96,0.38,11600
1980-08-25,1.96,1.96,1.96,1.96,0.38,0
1980-08-26,1.96,1.96,1.96,1.96,0.38,0
1980-08-27,1.96,1.96,1.96,1.96,0.38,0
1980-08-28,1.98,2.04,1.98,1.98,0.39,9000
1980-08-29,1.98,1.98,1.98,1.98,0.39,0
1980-09-02,1.98,2.04,1.98,1.98,0.39,1800
