Date,Open,High,Low,Close,Adj Close,Volume
1985-04-18,0.17,0.17,0.17,0.17,0.12,15957000
1985-04-19,0.17,0.17,0.17,0.17,0.12,13064400
1985-04-22,0.17,0.17,0.17,0.17,0.12,2890800
1985-04-23,0.17,0.17,0.16,0.16,0.12,5718600
1985-04-24,0.16,0.17,0.16,0.16,0.12,2122200
1985-04-25,0.16,0.16,0.16,0.16,0.11,6172200
1985-04-26,0.16,0.16,0.15,0.15,0.11,2381400
1985-04-29,0.15,0.15,0.15,0.15,0.11,2502000
1985-04-30,0.15,0.15,0.15,0.15,0.11,2745000
1985-05-01,0.14,0.14,0.14,0.14,0.1,5029200
1985-05-02,0.14,0.14,0.14,0.14,0.1,1805400
1985-05-03,0.14,0.15,0.14,0.14,0.1,1740600
1985-05-06,0.15,0.15,0.15,0.15,0.11,217800
1985-05-07,0.15,0.15,0.15,0.15,0.11,1983600
1985-05-08,0.15,0.15,0.15,0.15,0.11,307800
1985-05-09,0.16,0.16,0.16,0.16,0.11,1701000
1985-05-10,0.16,0.16,0.16,0.16,0.12,2356200
1985-05-13,0.16,0.17,0.16,0.16,0.12,1247400
1985-05-14,0.16,0.17,0.16,0.16,0.12,437400
1985-05-15,0.16,0.16,0.16,0.16,0.12,1701000
1985-05-16,0.17,0.17,0.17,0.17,0.12,3101400
1985-05-17,0.18,0.18,0.18,0.18,0.13,3101400
1985-05-20,0.18,0.18,0.18,0.18,0.13,1895400
1985-05-21,0.18,0.18,0.17,0.17,0.12,1879200
1985-05-22,0.17,0.18,0.17,0.17,0.12,2948400
1985-05-23,0.17,0.18,0.17,0.17,0.12,2907000
1985-05-24,0.17,0.18,0.17,0.17,0.12,784800
1985-05-28,0.17,0.18,0.17,0.17,0.12,574200
1985-05-29,0.17,0.18,0.17,0.17,0.12,525600
1985-05-30,0.17,0.18,0.17,0.17,0.12,1652400
1985-05-31,0.18,0.18,0.18,0.18,0.13,1303200
1985-06-03,0.18,0.19,0.18,0.18,0.13,1360800
1985-06-04,0.18,0.19,0.18,0.18,0.13,1587600
1985-06-05,0.18,0.19,0.18,0.18,0.13,712800
1985-06-06,0.18,0.19,0.18,0.18,0.13,1837800
1985-06-07,0.19,0.19,0.19,0.19,0.14,826200
1985-06-10,0.19,0.19,0.19,0.19,0.14,486000
1985-06-11,0.19,0.2,0.19,0.19,0.14,2608200
1985-06-12,0.19,0.19,0.19,0.19,0.14,1465200
1985-06-13,0.18,0.18,0.17,0.17,0.12,1717200
1985-06-14,0.18,0.18,0.18,0.18,0.13,113400
1985-06-17,0.18,0.18,0.17,0.17,0.12,761400
1985-06-18,0.17,0.18,0.17,0.17,0.12,558000
1985-06-19,0.17,0.18,0.17,0.17,0.12,307800
1985-06-20,0.17,0.18,0.17,0.17,0.12,1270800
1985-06-21,0.17,0.17,0.16,0.16,0.12,1594800
1985-06-24,0.16,0.17,0.16,0.16,0.11,356400
1985-06-25,0.17,0.17,0.17,0.17,0.12,1449000
1985-06-26,0.17,0.17,0.16,0.16,0.12,720000
1985-06-27,0.16,0.17,0.16,0.16,0.12,428400
1985-06-28,0.16,0.16,0.16,0.16,0.11,736200
1985-07-01,0.16,0.16,0.16,0.16,0.11,810000
1985-07-02,0.16,0.16,0.16,0.16,0.11,930600
1985-07-03,0.16,0.16,0.16,0.16,0.12,1546200
1985-07-05,0.16,0.16,0.16,0.16,0.12,356400
1985-07-08,0.16,0.17,0.16,0.16,0.12,1150200
1985-07-09,0.16,0.17,0.16,0.16,0.12,1724400
1985-07-10,0.16,0.17,0.16,0.16,0.12,259200
1985-07-11,0.18,0.18,0.18,0.18,0.13,2826000
1985-07-12,0.18,0.19,0.18,0.18,0.13,2210400
1985-07-15,0.18,0.18,0.18,0.18,0.13,865800
1985-07-16,0.19,0.19,0.19,0.19,0.14,4649400
1985-07-17,0.19,0.2,0.19,0.19,0.14,3304800
1985-07-18,0.19,0.19,0.19,0.19,0.14,4834800
1985-07-19,0.19,0.19,0.18,0.18,0.13,955800
1985-07-22,0.18,0.18,0.18,0.18,0.13,2291400
1985-07-23,0.18,0.18,0.18,0.18,0.13,1513800
1985-07-24,0.18,0.18,0.18,0.18,0.13,664200
1985-07-25,0.18,0.18,0.18,0.18,0.13,421200
1985-07-26,0.18,0.18,0.18,0.18,0.13,81000
1985-07-29,0.18,0.18,0.18,0.18,0.13,234000
1985-07-30,0.18,0.18,0.18,0.18,0.13,1441800
1985-07-31,0.18,0.19,0.18,0.18,0.13,858600
1985-08-01,0.18,0.19,0.18,0.18,0.13,194400
1985-08-02,0.18,0.19,0.18,0.18,0.13,145800
1985-08-05,0.18,0.19,0.18,0.18,0.13,169200
1985-08-06,0.18,0.18,0.18,0.18,0.13,493200
1985-08-07,0.18,0.18,0.18,0.18,0.13,833400
1985-08-08,0.18,0.18,0.18,0.18,0.13,379800
1985-08-09,0.18,0.18,0.18,0.18,0.13,712800
1985-08-12,0.18,0.18,0.18,0.18,0.13,185400
1985-08-13,0.18,0.18,0.18,0.18,0.13,340200
1985-08-14,0.19,0.19,0.19,0.19,0.14,817200
1985-08-15,0.19,0.19,0.19,0.19,0.14,671400
1985-08-16,0.19,0.19,0.18,0.18,0.13,687600
1985-08-19,0.18,0.19,0.18,0.18,0.13,363600
1985-08-20,0.19,0.19,0.19,0.19,0.14,599400
1985-08-21,0.19,0.19,0.19,0.19,0.14,502200
1985-08-22,0.19,0.19,0.19,0.19,0.14,1270800
1985-08-23,0.19,0.19,0.19,0.19,0.14,405000
1985-08-26,0.19,0.19,0.19,0.19,0.14,72000
1985-08-27,0.19,0.2,0.19,0.19,0.14,1724400
1985-08-28,0.21,0.22,0.21,0.21,0.15,2592000
1985-08-29,0.21,0.22,0.21,0.21,0.15,1465200
1985-08-30,0.21,0.22,0.21,0.21,0.15,1571400
1985-09-03,0.22,0.22,0.22,0.22,0.16,1983600
1985-09-04,0.22,0.22,0.21,0.21,0.15,3587400
1985-09-05,0.22,0.22,0.22,0.22,0.16,891000
1985-09-06,0.22,0.22,0.22,0.22,0.16,1539000
1985-09-09,0.22,0.23,0.22,0.22,0.16,777600
1985-09-10,0.22,0.22,0.22,0.22,0.16,583200
1985-09-11,0.22,0.22,0.22,0.22,0.16,1733400
1985-09-12,0.22,0.22,0.22,0.22,0.16,736200
1985-09-13,0.22,0.22,0.21,0.21,0.15,1733400
1985-09-16,0.21,0.21,0.2,0.2,0.15,599400
1985-09-17,0.2,0.21,0.2,0.2,0.15,444600
1985-09-18,0.2,0.21,0.2,0.2,0.15,243000
1985-09-19,0.2,0.21,0.2,0.2,0.15,648000
1985-09-20,0.2,0.21,0.2,0.2,0.15,477000
1985-09-23,0.21,0.21,0.21,0.21,0.15,810000
1985-09-24,0.21,0.21,0.21,0.21,0.15,486000
1985-09-25,0.21,0.21,0.21,0.21,0.15,995400
1985-09-26,0.21,0.21,0.21,0.21,0.15,298800
1985-09-30,0.21,0.22,0.21,0.21,0.15,1303200
1985-10-01,0.21,0.22,0.21,0.21,0.15,1393200
1985-10-02,0.21,0.22,0.21,0.21,0.15,275400
1985-10-03,0.21,0.22,0.21,0.21,0.15,194400
1985-10-04,0.21,0.22,0.21,0.21,0.15,315000
1985-10-07,0.21,0.22,0.21,0.21,0.15,502200
1985-10-08,0.21,0.22,0.21,0.21,0.15,340200
1985-10-09,0.22,0.22,0.22,0.22,0.16,1182600
1985-10-10,0.22,0.22,0.22,0.22,0.16,32400
1985-10-11,0.23,0.24,0.23,0.23,0.17,3700800
1985-10-14,0.23,0.24,0.23,0.23,0.17,687600
1985-10-15,0.24,0.25,0.24,0.24,0.17,2161800
1985-10-16,0.24,0.25,0.24,0.24,0.17,2251800
1985-10-17,0.25,0.25,0.25,0.25,0.18,1231200
1985-10-18,0.25,0.25,0.25,0.25,0.18,2608200
1985-10-21,0.25,0.25,0.24,0.24,0.17,2469600
1985-10-22,0.24,0.25,0.24,0.24,0.18,1474200
1985-10-23,0.24,0.24,0.24,0.24,0.18,574200
1985-10-24,0.24,0.24,0.24,0.24,0.17,1011600
1985-10-25,0.24,0.24,0.24,0.24,0.17,469800
1985-10-28,0.24,0.24,0.24,0.24,0.17,437400
1985-10-29,0.24,0.24,0.24,0.24,0.17,421200
1985-10-30,0.24,0.24,0.24,0.24,0.17,1027800
1985-10-31,0.25,0.25,0.25,0.25,0.18,955800
1985-11-01,0.25,0.25,0.25,0.25,0.18,1279800
1985-11-04,0.25,0.25,0.25,0.25,0.18,1157400
1985-11-05,0.27,0.27,0.27,0.27,0.2,2113200
1985-11-06,0.27,0.27,0.26,0.26,0.19,1692000
1985-11-07,0.28,0.28,0.28,0.28,0.2,1846800
1985-11-08,0.28,0.28,0.28,0.28,0.2,2745000
1985-11-11,0.28,0.28,0.28,0.28,0.2,631800
1985-11-12,0.28,0.28,0.28,0.28,0.2,1344600
1985-11-13,0.28,0.29,0.28,0.28,0.2,2372400
1985-11-14,0.3,0.31,0.3,0.3,0.22,2178000
1985-11-15,0.3,0.3,0.29,0.29,0.21,1854000
1985-11-18,0.3,0.3,0.3,0.3,0.22,995400
1985-11-19,0.3,0.3,0.29,0.29,0.21,1150200
1985-11-20,0.29,0.3,0.29,0.29,0.21,1587600
1985-11-21,0.29,0.29,0.29,0.29,0.21,858600
1985-11-22,0.29,0.3,0.29,0.3,0.22,606600
1985-11-25,0.3,0.3,0.29,0.29,0.21,2032200
1985-11-26,0.29,0.3,0.29,0.29,0.21,687600
1985-11-27,0.29,0.3,0.29,0.29,0.21,412200
1985-11-29,0.29,0.31,0.29,0.3,0.22,460800
1985-12-02,0.3,0.31,0.3,0.3,0.22,995400
1985-12-03,0.3,0.32,0.3,0.32,0.23,1465200
1985-12-04,0.32,0.35,0.32,0.34,0.24,3726000
1985-12-05,0.34,0.35,0.33,0.34,0.25,1611000
1985-12-06,0.34,0.35,0.33,0.35,0.25,1708200
1985-12-09,0.35,0.36,0.35,0.36,0.26,1377000
1985-12-10,0.36,0.36,0.35,0.35,0.25,1069200
1985-12-11,0.35,0.35,0.34,0.35,0.25,1733400
1985-12-12,0.35,0.35,0.35,0.35,0.26,882000
1985-12-13,0.35,0.35,0.35,0.35,0.26,2161800
1985-12-16,0.35,0.35,0.35,0.35,0.25,1684800
1985-12-17,0.35,0.35,0.35,0.35,0.26,2664000
1985-12-18,0.35,0.35,0.33,0.33,0.24,1393200
1985-12-19,0.33,0.33,0.32,0.33,0.24,1652400
1985-12-20,0.33,0.33,0.32,0.32,0.23,1837800
1985-12-23,0.32,0.33,0.32,0.33,0.24,3709800
1985-12-24,0.33,0.33,0.33,0.33,0.24,1351800
1985-12-26,0.33,0.33,0.33,0.33,0.24,266400
1985-12-27,0.33,0.34,0.33,0.34,0.24,298800
1985-12-30,0.34,0.35,0.33,0.35,0.25,761400
1985-12-31,0.35,0.36,0.35,0.36,0.26,282600
1986-01-02,0.36,0.36,0.35,0.36,0.26,1215000
1986-01-03,0.36,0.37,0.36,0.37,0.27,372600
1986-01-06,0.37,0.4,0.36,0.4,0.29,2161800
1986-01-07,0.4,0.4,0.39,0.4,0.29,1789200
1986-01-08,0.4,0.4,0.39,0.39,0.28,1497600
1986-01-09,0.38,0.38,0.37,0.38,0.27,3895200
1986-01-10,0.38,0.38,0.36,0.37,0.27,898200
1986-01-13,0.37,0.37,0.37,0.37,0.27,777600
1986-01-14,0.37,0.37,0.37,0.37,0.26,363600
1986-01-15,0.37,0.38,0.36,0.37,0.27,599400
1986-01-16,0.38,0.39,0.38,0.38,0.27,558000
1986-01-17,0.38,0.4,0.38,0.39,0.28,736200
1986-01-20,0.39,0.4,0.38,0.39,0.28,534600
1986-01-21,0.39,0.39,0.37,0.37,0.27,453600
1986-01-22,0.37,0.39,0.37,0.38,0.27,113400
1986-01-23,0.38,0.39,0.37,0.39,0.28,120600
1986-01-24,0.39,0.39,0.38,0.38,0.27,1247400
1986-01-27,0.38,0.39,0.38,0.39,0.28,97200
1986-01-28,0.39,0.39,0.36,0.38,0.27,696600
1986-01-29,0.36,0.36,0.33,0.34,0.25,8148600
1986-01-30,0.34,0.35,0.33,0.34,0.25,1441800
1986-01-31,0.34,0.34,0.33,0.34,0.25,2154600
1986-02-03,0.34,0.35,0.34,0.34,0.25,486000
1986-02-04,0.34,0.35,0.34,0.34,0.25,826200
1986-02-05,0.34,0.35,0.34,0.35,0.25,1335600
1986-02-06,0.35,0.35,0.35,0.35,0.25,1263600
1986-02-07,0.35,0.35,0.35,0.35,0.25,768600
1986-02-10,0.35,0.35,0.35,0.35,0.25,930600
1986-02-11,0.35,0.35,0.35,0.35,0.25,217800
1986-02-12,0.35,0.35,0.35,0.35,0.25,185400
1986-02-13,0.35,0.35,0.34,0.35,0.25,1044000
1986-02-14,0.35,0.35,0.34,0.35,0.25,1182600
1986-02-18,0.35,0.36,0.35,0.36,0.26,5977800
1986-02-19,0.36,0.36,0.36,0.36,0.26,1044000
1986-02-20,0.36,0.37,0.35,0.36,0.26,1490400
1986-02-21,0.36,0.38,0.36,0.37,0.27,1967400
1986-02-24,0.38,0.39,0.38,0.39,0.28,1449000
1986-02-25,0.39,0.39,0.38,0.39,0.28,1927800
1986-02-26,0.39,0.4,0.39,0.4,0.29,1263600
1986-02-27,0.4,0.41,0.4,0.41,0.3,2097000
1986-02-28,0.41,0.44,0.41,0.43,0.31,3069000
1986-03-03,0.43,0.44,0.43,0.44,0.32,2178000
1986-03-04,0.44,0.45,0.43,0.44,0.32,1449000
1986-03-05,0.44,0.44,0.43,0.43,0.31,2647800
1986-03-06,0.43,0.44,0.42,0.43,0.31,1546200
1986-03-07,0.43,0.43,0.42,0.42,0.31,768600
1986-03-10,0.42,0.42,0.41,0.42,0.3,874800
1986-03-11,0.42,0.42,0.41,0.41,0.3,136800
1986-03-12,0.41,0.42,0.41,0.42,0.3,567000
1986-03-13,0.42,0.42,0.41,0.42,0.3,388800
1986-03-14,0.42,0.42,0.41,0.42,0.3,97200
1986-03-17,0.41,0.41,0.4,0.4,0.29,1004400
1986-03-18,0.4,0.43,0.4,0.43,0.31,1312200
1986-03-19,0.43,0.43,0.42,0.42,0.3,185400
1986-03-20,0.42,0.43,0.42,0.42,0.3,525600
1986-03-21,0.42,0.43,0.42,0.43,0.31,509400
1986-03-24,0.43,0.43,0.43,0.43,0.31,1319400
1986-03-25,0.43,0.43,0.43,0.43,0.31,282600
1986-03-26,0.43,0.45,0.42,0.45,0.32,988200
1986-03-27,0.45,0.47,0.45,0.46,0.33,1053000
1986-03-31,0.46,0.48,0.46,0.48,0.35,793800
1986-04-01,0.49,0.52,0.49,0.5,0.36,1692000
1986-04-02,0.5,0.57,0.49,0.54,0.39,2527200
1986-04-03,0.54,0.56,0.51,0.54,0.39,2592000
1986-04-04,0.54,0.54,0.51,0.52,0.38,1254600
1986-04-07,0.52,0.54,0.51,0.52,0.37,1044000
1986-04-08,0.52,0.53,0.52,0.52,0.37,1150200
1986-04-09,0.52,0.53,0.52,0.52,0.37,4262400
1986-04-10,0.52,0.52,0.5,0.51,0.37,599400
1986-04-11,0.51,0.53,0.5,0.53,0.38,768600
1986-04-14,0.53,0.53,0.52,0.53,0.38,1400400
1986-04-15,0.53,0.54,0.52,0.54,0.39,421200
1986-04-16,0.54,0.59,0.54,0.59,0.43,1206000
1986-04-17,0.59,0.6,0.59,0.6,0.43,1458000
1986-04-18,0.6,0.6,0.58,0.6,0.43,826200
1986-04-21,0.6,0.64,0.59,0.64,0.46,979200
1986-04-22,0.65,0.69,0.65,0.67,0.48,1481400
1986-04-23,0.65,0.65,0.63,0.65,0.47,1539000
1986-04-24,0.65,0.65,0.64,0.64,0.46,907200
1986-04-25,0.64,0.65,0.6,0.61,0.44,1053000
1986-04-28,0.61,0.61,0.59,0.59,0.43,574200
1986-04-29,0.59,0.6,0.58,0.58,0.42,736200
1986-04-30,0.58,0.58,0.53,0.54,0.39,955800
1986-05-01,0.54,0.59,0.54,0.57,0.41,3112200
1986-05-02,0.57,0.59,0.56,0.56,0.41,1198800
1986-05-05,0.56,0.56,0.54,0.54,0.39,1400400
1986-05-06,0.55,0.59,0.55,0.57,0.42,1846800
1986-05-07,0.57,0.59,0.57,0.59,0.43,2430000
1986-05-08,0.6,0.64,0.6,0.64,0.46,4595400
1986-05-09,0.64,0.64,0.62,0.63,0.46,1546200
1986-05-12,0.63,0.65,0.63,0.65,0.47,777600
1986-05-13,0.65,0.69,0.64,0.68,0.49,2910600
1986-05-14,0.68,0.72,0.68,0.71,0.51,2559600
1986-05-15,0.71,0.72,0.67,0.67,0.48,2998800
1986-05-16,0.67,0.69,0.67,0.68,0.49,421200
1986-05-19,0.68,0.69,0.66,0.66,0.48,1254600
1986-05-20,0.66,0.67,0.64,0.67,0.48,761400
1986-05-21,0.67,0.67,0.65,0.67,0.48,1108800
1986-05-22,0.66,0.66,0.65,0.66,0.48,194400
1986-05-23,0.66,0.66,0.64,0.64,0.46,1717200
1986-05-27,0.64,0.65,0.62,0.64,0.46,1668600
1986-05-28,0.64,0.66,0.63,0.65,0.47,2575800
1986-05-29,0.65,0.66,0.65,0.65,0.47,18847800
1986-05-30,0.65,0.66,0.65,0.65,0.47,3517200
1986-06-02,0.65,0.65,0.63,0.65,0.47,3202200
1986-06-03,0.65,0.65,0.64,0.65,0.47,1805400
1986-06-04,0.65,0.65,0.65,0.65,0.47,3985200
1986-06-05,0.65,0.71,0.65,0.69,0.5,8496000
1986-06-06,0.7,0.75,0.7,0.74,0.54,7534800
1986-06-09,0.74,0.75,0.7,0.7,0.51,9046800
1986-06-10,0.7,0.72,0.67,0.7,0.5,4100400
1986-06-11,0.7,0.73,0.7,0.72,0.52,3126600
1986-06-12,0.72,0.73,0.72,0.73,0.53,2300400
1986-06-13,0.73,0.74,0.72,0.73,0.53,2723400
1986-06-16,0.73,0.74,0.7,0.72,0.52,1150200
1986-06-17,0.71,0.71,0.69,0.7,0.5,1296000
1986-06-18,0.7,0.7,0.68,0.69,0.5,1238400
1986-06-19,0.69,0.69,0.67,0.68,0.49,1335600
1986-06-20,0.69,0.7,0.69,0.7,0.5,1409400
1986-06-23,0.7,0.7,0.69,0.69,0.5,963000
1986-06-24,0.69,0.73,0.69,0.73,0.53,1821600
1986-06-25,0.73,0.78,0.73,0.77,0.56,5526000
1986-06-26,0.77,0.78,0.77,0.78,0.57,3250800
1986-06-27,0.78,0.81,0.77,0.79,0.57,2878200
1986-06-30,0.79,0.8,0.78,0.78,0.57,1053000
1986-07-01,0.78,0.8,0.78,0.78,0.56,5153400
1986-07-02,0.78,0.79,0.76,0.76,0.55,2349000
1986-07-03,0.77,0.8,0.77,0.79,0.57,2372400
1986-07-07,0.79,0.8,0.77,0.77,0.56,2917800
1986-07-08,0.76,0.76,0.7,0.72,0.52,5094000
1986-07-09,0.72,0.74,0.71,0.73,0.53,3274200
1986-07-10,0.73,0.75,0.72,0.72,0.52,5378400
1986-07-11,0.72,0.73,0.71,0.71,0.51,4008600
1986-07-14,0.71,0.72,0.7,0.7,0.51,2786400
1986-07-15,0.7,0.71,0.67,0.67,0.48,5029200
1986-07-16,0.67,0.69,0.67,0.67,0.49,1449000
1986-07-17,0.67,0.72,0.67,0.7,0.5,2430000
1986-07-18,0.7,0.7,0.68,0.69,0.5,801000
1986-07-21,0.69,0.72,0.69,0.71,0.51,1108800
1986-07-22,0.72,0.74,0.72,0.74,0.54,2041200
1986-07-23,0.74,0.76,0.73,0.75,0.54,1441800
1986-07-24,0.75,0.77,0.72,0.73,0.53,6139800
1986-07-25,0.73,0.73,0.69,0.69,0.5,1765800
1986-07-28,0.69,0.7,0.65,0.66,0.48,4942800
1986-07-29,0.66,0.66,0.62,0.64,0.46,6901200
1986-07-30,0.64,0.65,0.63,0.64,0.46,4527000
1986-07-31,0.64,0.67,0.64,0.65,0.47,2032200
1986-08-01,0.65,0.65,0.64,0.64,0.46,639000
1986-08-04,0.64,0.64,0.61,0.61,0.44,1692000
1986-08-05,0.61,0.63,0.61,0.62,0.45,1944000
1986-08-06,0.62,0.62,0.6,0.62,0.45,567000
1986-08-07,0.62,0.64,0.6,0.62,0.45,1895400
1986-08-08,0.62,0.63,0.62,0.62,0.45,145800
1986-08-11,0.62,0.65,0.62,0.65,0.47,1886400
1986-08-12,0.65,0.65,0.64,0.65,0.47,1384200
1986-08-13,0.65,0.65,0.64,0.65,0.47,810000
1986-08-14,0.65,0.65,0.64,0.65,0.47,1198800
1986-08-15,0.65,0.65,0.64,0.64,0.46,1108800
1986-08-18,0.64,0.64,0.61,0.62,0.45,1036800
1986-08-19,0.62,0.62,0.62,0.62,0.45,639000
1986-08-20,0.62,0.63,0.62,0.62,0.45,1692000
1986-08-21,0.62,0.64,0.62,0.64,0.46,1902600
1986-08-22,0.64,0.64,0.62,0.63,0.46,226800
1986-08-25,0.63,0.63,0.6,0.61,0.44,2300400
1986-08-26,0.61,0.62,0.59,0.59,0.43,988200
1986-08-27,0.59,0.6,0.56,0.57,0.41,4681800
1986-08-28,0.57,0.58,0.57,0.58,0.42,2599200
1986-08-29,0.58,0.59,0.57,0.58,0.42,2964600
1986-09-02,0.58,0.62,0.58,0.6,0.44,3436200
1986-09-03,0.6,0.61,0.6,0.6,0.43,2106000
1986-09-04,0.6,0.62,0.6,0.6,0.44,4575600
1986-09-05,0.6,0.61,0.57,0.57,0.42,17616600
1986-09-08,0.58,0.59,0.58,0.59,0.42,1400400
1986-09-09,0.59,0.59,0.58,0.58,0.42,1117800
1986-09-10,0.58,0.59,0.57,0.57,0.42,1060200
1986-09-11,0.57,0.58,0.52,0.53,0.38,1870200
1986-09-12,0.52,0.52,0.51,0.51,0.37,3153600
1986-09-15,0.51,0.52,0.48,0.51,0.37,2991600
1986-09-16,0.51,0.51,0.48,0.49,0.36,1733400
1986-09-17,0.49,0.51,0.48,0.51,0.37,1198800
1986-09-18,0.51,0.55,0.51,0.53,0.39,1854000
1986-09-19,0.53,0.56,0.53,0.56,0.41,891000
1986-09-22,0.57,0.58,0.57,0.57,0.42,3263400
1986-09-23,0.57,0.57,0.56,0.57,0.41,1303200
1986-09-24,0.57,0.57,0.56,0.56,0.4,833400
1986-09-25,0.56,0.56,0.52,0.53,0.38,1983600
1986-09-26,0.54,0.55,0.54,0.55,0.4,347400
1986-09-29,0.54,0.54,0.52,0.53,0.38,1296000
1986-09-30,0.53,0.54,0.53,0.54,0.39,2219400
1986-10-01,0.54,0.54,0.53,0.53,0.38,2349000
1986-10-02,0.53,0.54,0.52,0.52,0.38,129600
1986-10-03,0.52,0.53,0.51,0.51,0.37,1166400
1986-10-06,0.51,0.52,0.51,0.52,0.37,315000
1986-10-07,0.52,0.52,0.51,0.52,0.37,502200
1986-10-08,0.52,0.52,0.51,0.52,0.38,1902600
1986-10-09,0.52,0.54,0.52,0.54,0.39,3088800
1986-10-10,0.54,0.56,0.53,0.55,0.4,2656800
1986-10-13,0.55,0.56,0.55,0.56,0.4,1368000
1986-10-14,0.56,0.56,0.54,0.55,0.4,1911600
1986-10-15,0.54,0.54,0.52,0.54,0.39,2089800
1986-10-16,0.54,0.54,0.53,0.53,0.38,1351800
1986-10-17,0.53,0.54,0.52,0.53,0.38,2511000
1986-10-20,0.53,0.53,0.52,0.52,0.37,680400
1986-10-21,0.52,0.53,0.51,0.53,0.38,1377000
1986-10-22,0.53,0.56,0.53,0.56,0.4,1312200
1986-10-23,0.56,0.59,0.55,0.57,0.42,2664000
1986-10-24,0.57,0.58,0.56,0.58,0.42,1027800
1986-10-27,0.58,0.58,0.57,0.58,0.42,972000
1986-10-28,0.58,0.62,0.57,0.61,0.44,3679200
1986-10-29,0.61,0.64,0.61,0.64,0.46,2057400
1986-10-30,0.64,0.65,0.64,0.65,0.47,2268000
1986-10-31,0.65,0.66,0.65,0.65,0.47,2397600
1986-11-03,0.65,0.67,0.65,0.65,0.47,2307600
1986-11-04,0.65,0.65,0.62,0.64,0.46,849600
1986-11-05,0.64,0.66,0.64,0.65,0.47,1328400
1986-11-06,0.65,0.65,0.64,0.64,0.46,615600
1986-11-07,0.64,0.65,0.63,0.65,0.47,736200
1986-11-10,0.65,0.65,0.64,0.64,0.46,217800
1986-11-11,0.64,0.65,0.64,0.64,0.46,703800
1986-11-12,0.65,0.65,0.65,0.65,0.47,453600
1986-11-13,0.65,0.65,0.64,0.64,0.46,1481400
1986-11-14,0.64,0.64,0.63,0.64,0.46,453600
1986-11-17,0.64,0.64,0.64,0.64,0.46,1060200
1986-11-18,0.64,0.64,0.62,0.62,0.45,891000
1986-11-19,0.62,0.64,0.62,0.63,0.46,1360800
1986-11-20,0.63,0.64,0.62,0.64,0.46,671400
1986-11-21,0.64,0.65,0.64,0.65,0.47,518400
1986-11-24,0.65,0.65,0.64,0.64,0.46,833400
1986-11-25,0.64,0.65,0.64,0.64,0.46,412200
1986-11-26,0.64,0.65,0.64,0.64,0.46,988200
1986-11-28,0.64,0.64,0.64,0.64,0.46,16200
1986-12-01,0.64,0.65,0.64,0.65,0.47,567000
1986-12-02,0.65,0.68,0.64,0.67,0.49,2404800
1986-12-03,0.67,0.72,0.67,0.7,0.51,3996000
1986-12-04,0.7,0.73,0.7,0.72,0.52,2502000
1986-12-05,0.72,0.73,0.72,0.73,0.52,2624400
1986-12-08,0.73,0.73,0.68,0.69,0.5,7183800
1986-12-09,0.69,0.69,0.65,0.67,0.49,2113200
1986-12-10,0.67,0.67,0.65,0.66,0.48,3895200
1986-12-11,0.66,0.67,0.66,0.67,0.48,2187000
1986-12-12,0.67,0.67,0.66,0.67,0.48,1351800
1986-12-15,0.67,0.67,0.64,0.65,0.47,1351800
1986-12-16,0.65,0.66,0.65,0.65,0.47,817200
1986-12-17,0.65,0.66,0.65,0.65,0.47,817200
1986-12-18,0.65,0.65,0.64,0.64,0.46,865800
1986-12-19,0.64,0.64,0.64,0.64,0.46,1863000
1986-12-22,0.64,0.64,0.62,0.63,0.46,687600
1986-12-23,0.63,0.63,0.59,0.6,0.43,3126600
1986-12-24,0.6,0.61,0.59,0.61,0.44,955800
1986-12-26,0.61,0.61,0.6,0.6,0.44,48600
1986-12-29,0.6,0.61,0.6,0.61,0.44,1020600
