Date,Open,High,Low,Close,Adj Close,Volume
2007-09-11,0.52,0.55,0.52,0.52,0.52,0
2007-09-12,0.52,0.55,0.52,0.52,0.52,0
2007-09-13,0.52,0.52,0.52,0.52,0.52,0
2007-09-14,0.56,0.56,0.56,0.56,0.56,0
2007-09-17,0.58,0.58,0.58,0.58,0.58,2000
2007-09-18,0.58,0.58,0.58,0.58,0.58,0
2007-09-19,0.62,0.62,0.62,0.62,0.62,0
2007-09-20,0.62,0.62,0.62,0.62,0.62,0
2007-09-21,0.64,0.64,0.64,0.64,0.64,0
2007-09-24,0.64,0.64,0.64,0.64,0.64,0
2007-09-25,0.62,0.62,0.62,0.62,0.62,0
2007-09-26,0.62,0.62,0.62,0.62,0.62,0
2007-09-27,0.57,0.57,0.57,0.57,0.57,0
2007-09-28,0.57,0.57,0.57,0.57,0.57,0
2007-10-01,0.6,0.6,0.6,0.6,0.6,5000
2007-10-02,0.55,0.55,0.55,0.55,0.55,0
2007-10-03,0.56,0.56,0.56,0.56,0.56,0
2007-10-04,0.54,0.54,0.54,0.54,0.54,0
2007-10-05,0.56,0.56,0.56,0.56,0.56,0
2007-10-08,0.54,0.54,0.54,0.54,0.54,0
2007-10-09,0.54,0.54,0.54,0.54,0.54,0
2007-10-10,0.55,0.55,0.55,0.55,0.55,0
2007-10-11,0.54,0.54,0.54,0.54,0.54,0
2007-10-12,0.56,0.56,0.56,0.56,0.56,0
2007-10-15,0.56,0.56,0.56,0.56,0.56,0
2007-10-16,0.56,0.56,0.56,0.56,0.56,0
2007-10-17,0.57,0.6,0.57,0.6,0.6,1700
2007-10-18,0.58,0.58,0.58,0.58,0.58,0
2007-10-19,0.62,0.66,0.62,0.66,0.66,4000
2007-10-22,0.64,0.64,0.62,0.62,0.62,35000
2007-10-23,0.6,0.6,0.6,0.6,0.6,0
2007-10-24,0.59,0.59,0.59,0.59,0.59,0
2007-10-25,0.57,0.57,0.57,0.57,0.57,0
2007-10-26,0.6,0.6,0.6,0.6,0.6,0
2007-10-29,0.68,0.68,0.68,0.68,0.68,1500
2007-10-30,0.69,0.69,0.69,0.69,0.69,10000
2007-10-31,0.68,0.68,0.68,0.68,0.68,0
2007-11-01,0.75,0.75,0.75,0.75,0.75,0
2007-11-02,0.79,0.82,0.79,0.82,0.82,1000
2007-11-05,0.81,0.81,0.81,0.81,0.81,3000
2007-11-06,0.86,0.86,0.86,0.86,0.86,5000
2007-11-07,0.87,0.87,0.87,0.87,0.87,0
2007-11-08,0.79,0.79,0.79,0.79,0.79,0
2007-11-09,0.74,0.74,0.74,0.74,0.74,0
2007-11-12,0.68,0.68,0.68,0.68,0.68,0
2007-11-13,0.69,0.69,0.69,0.69,0.69,0
2007-11-14,0.7,0.7,0.7,0.7,0.7,0
2007-11-15,0.71,0.71,0.71,0.71,0.71,0
2007-11-16,0.74,0.74,0.74,0.74,0.74,0
2007-11-19,0.75,0.75,0.75,0.75,0.75,0
2007-11-20,0.68,0.68,0.68,0.68,0.68,0
2007-11-21,0.6,0.6,0.6,0.6,0.6,0
2007-11-23,0.57,0.57,0.57,0.57,0.57,0
2007-11-26,0.56,0.56,0.56,0.56,0.56,0
2007-11-27,0.56,0.56,0.56,0.56,0.56,0
2007-11-28,0.53,0.53,0.53,0.53,0.53,0
2007-11-29,0.52,0.52,0.52,0.52,0.52,0
2007-11-30,0.52,0.52,0.52,0.52,0.52,0
2007-12-03,0.51,0.51,0.51,0.51,0.51,0
2007-12-04,0.5,0.5,0.5,0.5,0.5,0
2007-12-05,0.48,0.48,0.48,0.48,0.48,0
2007-12-06,0.44,0.44,0.44,0.44,0.44,0
2007-12-07,0.44,0.44,0.44,0.44,0.44,0
2007-12-10,0.4,0.4,0.4,0.4,0.4,0
2007-12-11,0.43,0.43,0.43,0.43,0.43,0
2007-12-12,0.44,0.44,0.44,0.44,0.44,0
2007-12-13,0.46,0.46,0.46,0.46,0.46,0
2007-12-14,0.42,0.42,0.42,0.42,0.42,0
2007-12-17,0.43,0.43,0.43,0.43,0.43,0
2007-12-18,0.38,0.38,0.38,0.38,0.38,0
2007-12-19,0.35,0.35,0.35,0.35,0.35,0
2007-12-20,0.42,0.42,0.42,0.42,0.42,0
2007-12-21,0.42,0.42,0.42,0.42,0.42,0
2007-12-27,0.45,0.45,0.45,0.45,0.45,0
2007-12-28,0.44,0.44,0.44,0.44,0.44,0
2008-01-02,0.4,0.4,0.4,0.4,0.4,0
2008-01-03,0.39,0.39,0.39,0.39,0.39,0
2008-01-04,0.4,0.4,0.4,0.4,0.4,0
2008-01-07,0.4,0.4,0.4,0.4,0.4,0
2008-01-08,0.43,0.43,0.43,0.43,0.43,0
2008-01-09,0.4,0.4,0.4,0.4,0.4,0
2008-01-10,0.4,0.4,0.4,0.4,0.4,0
2008-01-11,0.36,0.36,0.36,0.36,0.36,0
2008-01-14,0.35,0.35,0.35,0.35,0.35,0
2008-01-15,0.33,0.33,0.33,0.33,0.33,0
2008-01-16,0.32,0.32,0.32,0.32,0.32,0
2008-01-17,0.37,0.37,0.37,0.37,0.37,0
2008-01-18,0.34,0.34,0.34,0.34,0.34,0
2008-01-22,0.31,0.31,0.31,0.31,0.31,3250
2008-01-23,0.32,0.32,0.32,0.32,0.32,0
2008-01-24,0.27,0.27,0.27,0.27,0.27,6500
2008-01-25,0.3,0.3,0.3,0.3,0.3,0
2008-01-28,0.34,0.34,0.34,0.34,0.34,0
2008-01-29,0.32,0.32,0.32,0.32,0.32,0
2008-01-30,0.34,0.34,0.34,0.34,0.34,0
2008-01-31,0.3,0.3,0.3,0.3,0.3,0
2008-02-01,0.31,0.31,0.31,0.31,0.31,0
2008-02-04,0.34,0.34,0.34,0.34,0.34,1500
2008-02-05,0.3,0.3,0.3,0.3,0.3,3000
2008-02-06,0.29,0.29,0.29,0.29,0.29,0
2008-02-07,0.27,0.27,0.27,0.27,0.27,0
2008-02-08,0.3,0.3,0.3,0.3,0.3,0
2008-02-11,0.32,0.32,0.32,0.32,0.32,0
2008-02-12,0.31,0.31,0.31,0.31,0.31,0
2008-02-13,0.31,0.31,0.31,0.31,0.31,0
2008-02-14,0.3,0.3,0.3,0.3,0.3,0
2008-02-15,0.33,0.33,0.33,0.33,0.33,0
2008-02-19,0.32,0.32,0.32,0.32,0.32,0
2008-02-20,0.36,0.36,0.36,0.36,0.36,0
2008-02-21,0.32,0.32,0.32,0.32,0.32,0
2008-02-22,0.32,0.32,0.32,0.32,0.32,0
2008-02-25,0.28,0.28,0.28,0.28,0.28,0
2008-02-26,0.27,0.27,0.27,0.27,0.27,0
2008-02-27,0.27,0.27,0.27,0.27,0.27,0
2008-02-28,0.27,0.27,0.27,0.27,0.27,0
2008-02-29,0.31,0.31,0.31,0.31,0.31,0
2008-03-03,0.31,0.31,0.31,0.31,0.31,0
2008-03-04,0.34,0.34,0.34,0.34,0.34,0
2008-03-05,0.29,0.29,0.29,0.29,0.29,0
2008-03-06,0.34,0.34,0.34,0.34,0.34,0
2008-03-07,0.31,0.31,0.31,0.31,0.31,0
2008-03-10,0.31,0.31,0.31,0.31,0.31,0
2008-03-11,0.3,0.3,0.3,0.3,0.3,0
2008-03-12,0.29,0.29,0.29,0.29,0.29,0
2008-03-13,0.27,0.27,0.27,0.27,0.27,0
2008-03-14,0.26,0.26,0.26,0.26,0.26,0
2008-03-17,0.25,0.25,0.25,0.25,0.25,0
2008-03-18,0.25,0.25,0.25,0.25,0.25,0
2008-03-19,0.25,0.25,0.25,0.25,0.25,0
2008-03-20,0.23,0.23,0.23,0.23,0.23,0
2008-03-25,0.22,0.22,0.22,0.22,0.22,0
2008-03-26,0.22,0.22,0.22,0.22,0.22,0
2008-03-27,0.21,0.21,0.21,0.21,0.21,0
2008-03-28,0.21,0.21,0.21,0.21,0.21,0
2008-03-31,0.22,0.22,0.22,0.22,0.22,2000
2008-04-01,0.2,0.2,0.2,0.2,0.2,0
2008-04-02,0.19,0.19,0.19,0.19,0.19,0
2008-04-03,0.18,0.18,0.18,0.18,0.18,0
2008-04-04,0.22,0.24,0.22,0.24,0.24,2500
2008-04-07,0.22,0.22,0.22,0.22,0.22,5000
2008-04-08,0.22,0.22,0.22,0.22,0.22,0
2008-04-09,0.23,0.23,0.23,0.23,0.23,0
2008-04-10,0.21,0.21,0.21,0.21,0.21,0
2008-04-11,0.21,0.21,0.21,0.21,0.21,0
2008-04-14,0.21,0.21,0.21,0.21,0.21,0
2008-04-15,0.2,0.2,0.2,0.2,0.2,0
2008-04-16,0.21,0.23,0.21,0.23,0.23,3500
2008-04-17,0.23,0.23,0.23,0.23,0.23,7000
2008-04-18,0.23,0.23,0.23,0.23,0.23,0
2008-04-21,0.23,0.23,0.23,0.23,0.23,0
2008-04-22,0.22,0.22,0.22,0.22,0.22,0
2008-04-23,0.22,0.22,0.22,0.22,0.22,0
2008-04-24,0.21,0.21,0.21,0.21,0.21,0
2008-04-25,0.21,0.23,0.21,0.23,0.23,2000
2008-04-28,0.22,0.22,0.22,0.22,0.22,4000
2008-04-29,0.21,0.21,0.21,0.21,0.21,0
2008-04-30,0.2,0.2,0.2,0.2,0.2,0
2008-05-02,0.22,0.22,0.22,0.22,0.22,0
2008-05-05,0.2,0.22,0.2,0.22,0.22,5000
2008-05-06,0.2,0.2,0.2,0.2,0.2,10000
2008-05-07,0.2,0.2,0.2,0.2,0.2,0
2008-05-08,0.2,0.2,0.2,0.2,0.2,0
2008-05-09,0.22,0.22,0.22,0.22,0.22,0
2008-05-12,0.22,0.22,0.22,0.22,0.22,0
2008-05-13,0.25,0.25,0.25,0.25,0.25,0
2008-05-14,0.25,0.25,0.25,0.25,0.25,0
2008-05-15,0.25,0.25,0.25,0.25,0.25,0
2008-05-16,0.25,0.25,0.25,0.25,0.25,0
2008-05-19,0.23,0.23,0.23,0.23,0.23,0
2008-05-20,0.23,0.23,0.23,0.23,0.23,0
2008-05-21,0.25,0.25,0.25,0.25,0.25,0
2008-05-22,0.26,0.26,0.26,0.26,0.26,0
2008-05-23,0.25,0.25,0.25,0.25,0.25,0
2008-05-27,0.25,0.25,0.25,0.25,0.25,350
2008-05-28,0.24,0.24,0.24,0.24,0.24,0
2008-05-29,0.3,0.3,0.3,0.3,0.3,700
2008-05-30,0.3,0.3,0.3,0.3,0.3,0
2008-06-02,0.27,0.27,0.27,0.27,0.27,0
2008-06-03,0.31,0.31,0.31,0.31,0.31,0
2008-06-04,0.3,0.3,0.3,0.3,0.3,0
2008-06-05,0.26,0.26,0.26,0.26,0.26,0
2008-06-06,0.27,0.27,0.27,0.27,0.27,0
2008-06-09,0.27,0.27,0.27,0.27,0.27,0
2008-06-10,0.26,0.26,0.26,0.26,0.26,0
2008-06-11,0.26,0.26,0.26,0.26,0.26,0
2008-06-12,0.26,0.26,0.26,0.26,0.26,0
2008-06-13,0.25,0.25,0.25,0.25,0.25,0
2008-06-16,0.26,0.26,0.26,0.26,0.26,0
2008-06-17,0.28,0.28,0.28,0.28,0.28,0
2008-06-18,0.28,0.28,0.28,0.28,0.28,0
2008-06-19,0.25,0.25,0.25,0.25,0.25,0
2008-06-20,0.24,0.24,0.24,0.24,0.24,0
2008-06-23,0.24,0.24,0.24,0.24,0.24,0
2008-06-24,0.23,0.23,0.23,0.23,0.23,0
2008-06-25,0.24,0.24,0.24,0.24,0.24,0
2008-06-26,0.23,0.23,0.23,0.23,0.23,0
2008-06-27,0.24,0.24,0.24,0.24,0.24,0
2008-06-30,0.23,0.23,0.23,0.23,0.23,0
2008-07-01,0.24,0.24,0.24,0.24,0.24,0
2008-07-02,0.24,0.24,0.24,0.24,0.24,0
2008-07-03,0.22,0.22,0.22,0.22,0.22,0
2008-07-07,0.23,0.23,0.23,0.23,0.23,0
2008-07-08,0.23,0.23,0.23,0.23,0.23,0
2008-07-09,0.22,0.22,0.22,0.22,0.22,0
2008-07-10,0.22,0.22,0.22,0.22,0.22,0
2008-07-11,0.22,0.22,0.22,0.22,0.22,0
2008-07-14,0.2,0.2,0.2,0.2,0.2,0
2008-07-15,0.2,0.2,0.2,0.2,0.2,0
2008-07-16,0.2,0.2,0.2,0.2,0.2,500
2008-07-17,0.2,0.2,0.2,0.2,0.2,0
2008-07-18,0.2,0.2,0.2,0.2,0.2,1000
2008-07-21,0.21,0.21,0.21,0.21,0.21,0
2008-07-22,0.19,0.19,0.19,0.19,0.19,0
2008-07-23,0.2,0.2,0.2,0.2,0.2,0
2008-07-24,0.2,0.2,0.2,0.2,0.2,0
2008-07-25,0.2,0.2,0.2,0.2,0.2,0
2008-07-28,0.19,0.19,0.19,0.19,0.19,0
2008-08-18,0.17,0.17,0.17,0.17,0.17,0
2008-08-19,0.17,0.17,0.17,0.17,0.17,0
2008-08-20,0.22,0.22,0.22,0.22,0.22,0
2008-08-21,0.2,0.2,0.2,0.2,0.2,0
2008-08-22,0.2,0.2,0.2,0.2,0.2,0
2008-08-25,0.19,0.19,0.19,0.19,0.19,0
2008-08-26,0.17,0.17,0.17,0.17,0.17,0
2008-08-27,0.16,0.16,0.16,0.16,0.16,0
2008-08-28,0.15,0.15,0.15,0.15,0.15,0
2008-08-29,0.14,0.14,0.14,0.14,0.14,0
2008-09-02,0.14,0.14,0.14,0.14,0.14,0
2008-09-03,0.14,0.14,0.14,0.14,0.14,0
2008-09-04,0.12,0.12,0.12,0.12,0.12,0
2008-09-05,0.12,0.12,0.12,0.12,0.12,0
2008-09-08,0.12,0.12,0.12,0.12,0.12,0
2008-09-09,0.12,0.12,0.11,0.11,0.11,6000
2008-09-10,0.09,0.09,0.09,0.09,0.09,12000
2008-09-11,0.07,0.07,0.07,0.07,0.07,4000
2008-09-12,0.07,0.08,0.07,0.08,0.08,18000
2008-09-15,0.08,0.08,0.08,0.08,0.08,28000
2008-09-16,0.09,0.09,0.09,0.09,0.09,0
2008-09-17,0.08,0.08,0.08,0.08,0.08,0
2008-09-18,0.11,0.11,0.11,0.11,0.11,0
2008-09-19,0.12,0.12,0.12,0.12,0.12,0
2008-09-22,0.12,0.12,0.12,0.12,0.12,0
2008-09-23,0.08,0.08,0.08,0.08,0.08,0
2008-09-24,0.08,0.08,0.08,0.08,0.08,0
2008-09-25,0.08,0.08,0.08,0.08,0.08,0
2008-09-26,0.08,0.08,0.08,0.08,0.08,3000
2008-09-29,0.08,0.08,0.08,0.08,0.08,0
2008-09-30,0.08,0.08,0.08,0.08,0.08,6000
2008-10-01,0.07,0.07,0.07,0.07,0.07,0
2008-10-02,0.07,0.07,0.07,0.07,0.07,0
2008-10-03,0.08,0.09,0.08,0.09,0.09,25000
2008-10-06,0.07,0.07,0.07,0.07,0.07,2000
2008-10-07,0.06,0.06,0.06,0.06,0.06,0
2008-10-08,0.09,0.09,0.09,0.09,0.09,0
2008-10-09,0.08,0.08,0.08,0.08,0.08,0
2008-10-10,0.08,0.08,0.08,0.08,0.08,0
2008-10-13,0.07,0.07,0.07,0.07,0.07,0
2008-10-14,0.07,0.07,0.07,0.07,0.07,0
2008-10-15,0.06,0.06,0.06,0.06,0.06,0
2008-10-16,0.07,0.08,0.07,0.08,0.08,14000
2008-10-17,0.07,0.07,0.07,0.07,0.07,10000
2008-10-20,0.07,0.07,0.07,0.07,0.07,28000
2008-10-21,0.08,0.08,0.07,0.07,0.07,15000
2008-10-22,0.06,0.06,0.06,0.06,0.06,20000
2008-10-23,0.06,0.06,0.06,0.06,0.06,0
2008-10-24,0.06,0.06,0.06,0.06,0.06,0
2008-10-27,0.06,0.06,0.06,0.06,0.06,0
