Date,Open,High,Low,Close,Adj Close,Volume
1987-04-06,19.0,19.0,18.38,18.62,7.43,157000
1987-04-07,18.62,18.62,18.0,18.0,7.18,295600
1987-04-08,18.25,18.88,18.25,18.75,7.48,479700
1987-04-09,18.75,18.75,17.88,17.88,7.13,850800
1987-04-10,17.88,18.25,17.88,18.12,7.23,224000
1987-04-13,18.12,18.12,17.5,17.62,7.03,304700
1987-04-14,17.5,17.5,15.88,16.12,6.43,168300
1987-04-15,16.38,17.5,16.38,17.5,6.98,414500
1987-04-16,17.75,18.12,17.75,18.0,7.18,229400
1987-04-20,18.0,18.0,17.75,17.75,7.08,135800
1987-04-21,17.75,17.88,17.5,17.62,7.03,282200
1987-04-22,17.62,17.75,17.0,17.25,6.88,284900
1987-04-23,17.38,17.62,17.25,17.38,6.93,219200
1987-04-24,17.25,17.5,16.88,16.88,6.73,139700
1987-04-27,16.62,16.75,16.0,16.5,6.58,466500
1987-04-28,17.12,17.5,16.5,17.12,6.88,272200
1987-04-29,17.38,17.5,17.25,17.25,6.93,374500
1987-04-30,17.25,18.0,17.25,18.0,7.23,845800
1987-05-01,18.12,18.38,17.88,18.0,7.23,713800
1987-05-04,18.0,18.62,18.0,18.5,7.43,212200
1987-05-05,18.5,19.38,18.0,19.38,7.78,1040000
1987-05-06,19.38,20.75,19.25,20.75,8.33,1030000
1987-05-07,22.0,22.38,21.88,22.25,8.93,1470000
1987-05-08,22.0,22.12,21.62,21.88,8.78,365400
1987-05-11,22.0,23.38,21.88,22.5,9.03,815000
1987-05-12,22.62,22.62,22.25,22.5,9.03,422900
1987-05-13,22.5,22.62,21.62,21.88,8.78,231300
1987-05-14,21.75,22.0,21.5,21.75,8.73,341500
1987-05-15,21.5,22.0,21.12,21.38,8.58,408700
1987-05-18,21.0,21.12,20.5,21.0,8.43,386200
1987-05-19,21.0,21.0,20.62,20.75,8.33,270200
1987-05-20,20.38,20.62,20.12,20.12,8.08,308100
1987-05-21,20.25,20.5,19.75,20.38,8.18,258900
1987-05-22,20.38,20.75,20.25,20.75,8.33,255700
1987-05-26,21.0,22.0,20.62,21.75,8.73,400600
1987-05-27,21.75,21.88,21.5,21.62,8.68,211500
1987-05-28,21.5,21.62,20.5,21.5,8.63,165000
1987-05-29,21.62,21.88,21.25,21.88,8.78,288100
1987-06-01,21.88,22.12,21.75,21.88,8.78,363100
1987-06-02,21.88,21.88,21.5,21.62,8.68,215500
1987-06-03,21.5,21.88,21.5,21.75,8.73,442000
1987-06-04,21.75,22.0,21.75,22.0,8.83,576100
1987-06-05,22.0,22.12,21.75,21.88,8.78,294100
1987-06-08,21.88,22.25,21.88,22.25,8.93,310200
1987-06-09,22.25,22.38,21.88,22.0,8.83,853800
1987-06-10,22.12,22.75,22.0,22.0,8.83,340700
1987-06-11,22.0,22.12,21.75,21.75,8.73,89100
1987-06-12,21.5,21.75,21.12,21.25,8.53,378700
1987-06-15,21.38,22.0,21.25,21.75,8.73,269300
1987-06-16,21.75,21.88,21.62,21.88,8.78,160300
1987-06-17,21.88,22.0,21.75,21.75,8.73,276100
1987-06-18,21.62,21.62,21.25,21.38,8.58,59300
1987-06-19,21.62,21.88,21.38,21.88,8.78,284500
1987-06-22,22.12,22.25,21.75,22.0,8.83,544800
1987-06-23,21.88,22.0,21.62,22.0,8.83,442000
1987-06-24,21.75,21.88,21.5,21.75,8.73,241800
1987-06-25,21.75,22.0,21.62,21.88,8.78,179500
1987-06-26,21.88,22.0,21.5,21.5,8.63,389200
1987-06-29,21.88,22.5,21.88,22.38,8.98,1020000
1987-06-30,22.5,23.38,22.5,22.75,9.13,693400
1987-07-01,23.0,24.25,23.0,24.12,9.69,560600
1987-07-02,24.38,24.88,24.25,24.62,9.89,635100
1987-07-06,24.88,25.25,24.75,25.25,10.14,786500
1987-07-07,25.88,26.38,25.25,26.25,10.54,1090000
1987-07-08,26.0,26.5,25.38,25.75,10.34,1010000
1987-07-09,26.0,26.75,25.88,26.75,10.74,992200
1987-07-10,26.62,26.62,26.0,26.25,10.54,466900
1987-07-13,26.62,26.62,25.62,26.0,10.44,441800
1987-07-14,25.88,26.12,25.5,26.12,10.49,853500
1987-07-15,25.88,26.88,25.75,26.38,10.59,818800
1987-07-16,26.5,26.88,26.25,26.88,10.79,392400
1987-07-17,26.88,27.25,26.62,27.25,10.94,1070000
1987-07-20,27.0,27.25,26.88,27.0,10.84,403300
1987-07-21,26.75,27.0,26.12,26.12,10.49,498900
1987-07-22,25.75,25.88,25.12,25.38,10.19,673700
1987-07-23,25.25,25.25,24.0,24.25,9.74,489300
1987-07-24,24.25,24.88,24.25,24.38,9.79,373400
1987-07-27,24.38,25.88,24.38,25.75,10.34,431500
1987-07-28,26.25,26.25,25.5,26.25,10.59,508500
1987-07-29,26.5,27.12,26.38,26.75,10.79,961200
1987-07-30,27.0,27.0,26.25,26.62,10.74,350900
1987-07-31,26.5,26.62,25.62,26.25,10.59,325300
1987-08-03,27.0,27.38,26.62,26.75,10.79,832100
1987-08-04,26.75,26.75,26.12,26.62,10.74,336300
1987-08-05,26.5,26.62,25.38,25.75,10.38,498200
1987-08-06,25.62,26.12,25.5,26.0,10.49,320800
1987-08-07,26.12,26.5,26.0,26.12,10.54,228200
1987-08-10,26.0,26.38,25.88,26.38,10.64,332500
1987-08-11,26.38,26.5,26.25,26.5,10.69,436600
1987-08-12,26.5,26.5,25.75,25.88,10.43,314300
1987-08-13,26.0,26.0,25.38,25.88,10.43,360400
1987-08-14,26.0,26.0,25.5,25.62,10.33,470100
1987-08-17,25.38,25.62,24.75,25.0,10.08,442400
1987-08-18,24.25,24.25,23.62,24.0,9.68,865600
1987-08-19,23.88,24.12,23.62,24.0,9.68,499100
1987-08-20,24.0,24.62,23.88,24.25,9.78,593300
1987-08-21,24.5,24.75,24.25,24.38,9.83,435300
1987-08-24,23.75,23.88,23.38,23.5,9.48,298000
1987-08-25,23.62,23.75,22.5,23.12,9.33,955900
1987-08-26,23.38,23.5,23.12,23.38,9.43,664200
1987-08-27,23.62,24.62,23.5,24.62,9.93,1530000
1987-08-28,24.88,25.0,24.12,24.25,9.78,248500
1987-08-31,24.25,25.25,24.25,25.25,10.18,427800
1987-09-01,25.25,25.75,24.62,24.62,9.93,569800
