Date,Open,High,Low,Close,Adj Close,Volume
1999-10-01,14.0,14.25,14.0,14.12,9.75,3162400
1999-10-04,14.12,14.12,14.0,14.0,9.66,533400
1999-10-05,14.0,14.12,14.0,14.12,9.75,270600
1999-10-06,14.12,14.88,14.12,14.88,10.27,205400
1999-10-07,14.88,14.88,14.06,14.12,9.75,214200
1999-10-08,14.19,14.19,14.06,14.06,9.71,65600
1999-10-11,14.06,14.12,14.0,14.06,9.71,77500
1999-10-12,14.06,14.12,14.0,14.12,9.75,49200
1999-10-13,14.12,14.38,14.0,14.06,9.71,49900
1999-10-14,14.0,14.06,13.25,13.62,9.41,430900
1999-10-15,13.12,13.19,12.69,13.06,9.02,158200
1999-10-18,13.0,13.0,12.5,12.81,8.84,83800
1999-10-19,12.75,13.25,12.75,13.25,9.15,58200
1999-10-20,13.38,13.5,13.12,13.12,9.06,62600
1999-10-21,13.12,13.44,13.0,13.44,9.28,98200
1999-10-22,13.38,13.56,13.31,13.5,9.32,191200
1999-10-25,13.44,13.94,13.44,13.94,9.62,153100
1999-10-26,13.81,14.12,13.81,14.0,9.66,65600
1999-10-27,14.0,14.19,14.0,14.06,9.71,100900
1999-10-28,14.19,14.5,14.12,14.12,9.75,255300
1999-10-29,14.12,15.25,14.12,15.25,10.53,123200
1999-11-01,15.0,15.0,14.62,14.75,10.18,41800
1999-11-02,14.75,14.88,14.31,14.75,10.18,66600
1999-11-03,14.69,14.88,14.69,14.75,10.18,18500
1999-11-04,14.88,15.12,14.5,14.94,10.31,72100
1999-11-05,15.0,15.88,14.88,15.75,10.87,122900
1999-11-08,15.88,17.38,15.81,16.62,11.48,240000
1999-11-09,16.75,16.75,16.12,16.12,11.13,42400
1999-11-10,16.0,16.12,15.81,16.06,11.09,59900
1999-11-11,16.06,16.25,16.06,16.12,11.13,20000
1999-11-12,16.25,18.5,16.25,18.0,12.43,248500
1999-11-15,18.19,18.19,17.5,17.69,12.21,99200
1999-11-16,17.69,17.69,17.38,17.44,12.04,95300
1999-11-17,17.69,18.25,17.25,17.5,12.08,107900
1999-11-18,17.5,17.5,17.25,17.25,11.91,67500
1999-11-19,17.25,17.75,17.19,17.62,12.17,31200
1999-11-22,17.56,17.88,17.56,17.81,12.3,36500
1999-11-23,17.81,19.38,17.81,19.12,13.2,65500
1999-11-24,19.0,19.0,18.38,18.56,12.81,53800
1999-11-26,18.5,18.5,18.38,18.44,12.73,2600
1999-11-29,18.38,18.38,17.88,18.12,12.51,20200
1999-11-30,18.19,18.5,18.19,18.38,12.68,38100
1999-12-01,18.38,18.62,18.25,18.56,12.81,43800
1999-12-02,18.56,19.0,18.56,19.0,13.12,33200
1999-12-03,19.12,19.38,19.06,19.19,13.25,62000
1999-12-06,19.19,19.19,18.25,18.38,12.68,38200
1999-12-07,18.5,19.0,18.44,18.62,12.86,112500
1999-12-08,18.5,18.5,18.0,18.19,12.56,27700
1999-12-09,18.25,18.38,18.12,18.25,12.6,15500
1999-12-10,18.12,18.12,17.62,17.62,12.17,22400
1999-12-13,17.75,18.0,17.44,17.44,12.04,44500
1999-12-14,17.25,17.25,17.06,17.12,11.82,19400
1999-12-15,17.12,17.12,16.88,17.12,11.82,11100
1999-12-16,17.06,17.25,16.81,16.81,11.61,90700
1999-12-17,16.69,17.25,16.69,17.12,11.82,37300
1999-12-20,17.0,17.0,16.81,16.94,11.69,31300
1999-12-21,16.94,17.06,16.88,17.0,11.74,11800
1999-12-22,17.12,17.38,17.12,17.19,11.87,6300
1999-12-23,17.19,17.25,17.0,17.12,11.82,3700
1999-12-27,17.06,17.12,17.06,17.12,11.82,2400
1999-12-28,17.06,17.62,17.06,17.38,11.99,65600
1999-12-29,17.44,17.44,17.12,17.25,11.91,9600
1999-12-30,17.12,17.38,17.12,17.31,11.95,5100
1999-12-31,17.25,17.38,17.19,17.19,11.87,13000
2000-01-03,17.44,17.5,16.62,16.62,11.48,64600
2000-01-04,16.62,16.62,15.62,15.88,10.96,81900
2000-01-05,15.75,15.75,15.0,15.75,10.87,38100
2000-01-06,15.75,16.25,15.75,16.0,11.05,41200
2000-01-07,15.88,16.25,15.75,15.88,10.96,34700
2000-01-10,16.5,16.5,16.0,16.0,11.05,94200
2000-01-11,16.12,16.88,16.0,16.44,11.35,39700
2000-01-12,16.5,17.12,16.5,17.12,11.82,25100
2000-01-13,17.25,17.5,16.88,16.94,11.69,62000
2000-01-14,17.0,17.75,16.88,17.5,12.08,183100
2000-01-18,17.75,18.25,17.75,18.0,12.43,77300
2000-01-19,18.0,18.38,17.94,18.25,12.6,34500
2000-01-20,18.25,18.25,17.38,17.5,12.08,42200
2000-01-21,17.44,17.5,17.25,17.38,11.99,16000
2000-01-24,17.5,17.5,17.0,17.12,11.82,10700
2000-01-25,17.12,17.5,17.06,17.25,11.91,19200
2000-01-26,17.25,17.5,17.25,17.44,12.04,16600
2000-01-27,17.44,18.0,17.44,17.5,12.08,33600
2000-01-28,17.62,17.62,17.31,17.38,11.99,3900
2000-01-31,17.12,17.5,17.12,17.5,12.08,53900
2000-02-01,17.38,17.75,17.38,17.75,12.25,15400
2000-02-02,18.0,18.12,17.88,17.94,12.38,92700
2000-02-03,18.06,18.12,17.94,18.0,12.43,35200
2000-02-04,18.12,18.56,18.12,18.44,12.73,51500
2000-02-07,18.44,18.56,18.38,18.5,12.77,25200
2000-02-08,18.5,18.88,18.5,18.56,12.81,45300
2000-02-09,18.75,18.75,18.38,18.38,12.68,9100
2000-02-10,18.5,18.5,17.88,17.88,12.34,9700
2000-02-11,17.88,18.0,17.88,17.94,12.38,24700
2000-02-14,18.06,18.06,17.88,18.0,12.43,7100
2000-02-15,17.88,18.0,17.88,17.88,12.34,4900
2000-02-16,17.88,18.5,17.88,18.5,12.77,69000
2000-02-17,18.5,18.69,18.31,18.38,12.68,28100
2000-02-18,18.38,18.56,18.38,18.5,12.77,5000
2000-02-22,18.62,18.81,18.56,18.56,12.81,10700
2000-02-23,18.56,18.94,18.56,18.81,12.99,5700
2000-02-24,18.88,19.12,18.88,19.0,13.12,61800
2000-02-25,19.0,19.25,19.0,19.25,13.29,41400
2000-02-28,19.25,20.12,19.25,20.12,13.89,35700
2000-02-29,21.75,21.88,21.62,21.88,15.1,79900
2000-03-01,22.5,22.75,21.75,21.75,15.01,140600
2000-03-02,22.0,22.25,22.0,22.06,15.23,26600
2000-03-03,22.12,22.12,22.06,22.12,15.27,17300
2000-03-06,22.06,22.25,22.06,22.06,15.23,9900
2000-03-07,22.12,22.12,21.75,22.0,15.19,26200
2000-03-08,22.0,22.19,22.0,22.0,15.19,31700
2000-03-09,21.88,22.0,21.75,22.0,15.19,7800
2000-03-10,22.0,22.12,21.94,22.12,15.27,5200
2000-03-13,22.38,23.12,22.25,22.88,15.79,27900
2000-03-14,22.88,23.0,22.88,22.88,15.79,1300
2000-03-15,23.12,24.12,22.62,24.12,16.65,29000
2000-03-16,24.12,25.0,24.12,24.38,16.83,19500
2000-03-17,23.38,24.75,23.38,24.75,17.09,73300
2000-03-20,24.0,24.25,23.88,24.0,16.57,134700
2000-03-21,23.75,24.0,23.75,24.0,16.57,172200
2000-03-22,23.75,23.75,22.62,22.62,15.62,35900
2000-03-23,22.62,22.62,22.5,22.5,15.53,1300
2000-03-24,22.5,22.5,22.38,22.44,15.49,5600
2000-03-27,22.19,22.19,22.0,22.06,15.23,19600
2000-03-28,22.06,22.06,19.75,20.0,13.81,42600
2000-03-29,19.75,19.88,19.75,19.75,13.63,77000
2000-03-30,19.81,20.5,19.81,20.44,14.11,18700
2000-03-31,20.44,20.44,20.25,20.25,13.98,23500
2000-04-03,20.25,20.69,20.25,20.62,14.24,4000
2000-04-04,20.62,20.88,20.62,20.75,14.32,77700
2000-04-05,20.75,21.44,20.62,21.44,14.8,32700
2000-04-06,21.38,22.44,21.12,22.38,15.45,12500
2000-04-07,22.25,24.44,22.25,24.25,16.74,44500
2000-04-10,24.25,24.25,24.0,24.0,16.57,16100
2000-04-11,24.12,24.12,24.0,24.06,16.61,6300
2000-04-12,24.0,24.0,23.81,23.88,16.48,3800
2000-04-13,23.75,23.75,23.38,23.38,16.14,4900
2000-04-14,23.25,23.25,23.0,23.0,15.88,10200
2000-04-17,22.88,22.88,22.38,22.44,15.49,15500
2000-04-18,22.31,22.31,21.88,21.94,15.14,2900
2000-04-19,21.81,21.94,21.0,21.0,14.5,20400
2000-04-20,21.0,21.16,20.94,21.12,14.58,78800
2000-04-24,21.06,21.62,21.0,21.62,14.93,15100
2000-04-25,21.88,24.5,21.69,24.0,16.57,74600
2000-04-26,24.25,24.25,23.81,24.12,16.65,67700
2000-04-27,24.0,24.38,24.0,24.31,16.78,12600
2000-04-28,24.5,26.0,24.38,26.0,17.95,43100
2000-05-01,26.25,26.5,24.0,24.0,16.57,97500
2000-05-02,24.12,24.12,23.75,23.81,16.44,6100
2000-05-03,23.56,24.38,23.56,24.25,16.74,23000
2000-05-04,24.0,24.0,23.62,23.62,16.31,6300
2000-05-05,23.5,23.88,23.5,23.69,16.35,6200
2000-05-08,23.56,24.12,23.5,24.0,16.57,20400
2000-05-09,24.12,24.38,24.06,24.38,16.83,19900
2000-05-10,24.5,25.06,24.38,25.06,17.3,23400
2000-05-11,25.12,25.75,25.12,25.25,17.43,30200
2000-05-12,25.0,25.75,24.88,25.75,17.78,32300
2000-05-15,25.75,26.5,25.62,25.75,17.78,73700
2000-05-16,25.81,26.5,25.62,26.25,18.12,26100
2000-05-17,26.38,26.5,26.25,26.38,18.21,5300
2000-05-18,26.38,26.38,26.06,26.19,18.08,9400
2000-05-19,26.19,26.19,26.0,26.12,18.04,38200
2000-05-22,26.0,26.0,25.81,25.81,17.82,6700
2000-05-23,25.38,25.38,23.75,23.75,16.4,63200
2000-05-24,23.25,23.62,23.0,23.25,16.05,33100
2000-05-25,23.38,23.5,23.38,23.38,16.14,12500
2000-05-26,23.38,23.62,23.25,23.25,16.05,64800
2000-05-30,23.25,23.25,22.81,23.25,16.05,89000
2000-05-31,23.25,24.19,23.25,24.06,16.61,68300
2000-06-01,24.06,24.75,24.06,24.38,16.83,38200
2000-06-02,24.5,26.0,24.5,25.75,17.78,62400
2000-06-05,25.62,27.0,25.38,26.88,18.55,145400
2000-06-06,26.88,26.88,26.38,26.44,18.25,61200
2000-06-07,26.44,26.44,25.94,25.94,17.91,16400
2000-06-08,25.81,25.81,25.38,25.44,17.56,32200
2000-06-09,25.38,25.44,25.25,25.44,17.56,29700
2000-06-12,25.44,25.44,24.5,25.25,17.43,75500
2000-06-13,24.75,26.0,24.75,26.0,17.95,185700
2000-06-14,26.0,26.94,26.0,26.81,18.51,162900
2000-06-15,27.06,28.0,27.06,27.5,18.98,104300
2000-06-16,27.5,29.25,27.5,29.0,20.02,222700
2000-06-19,29.25,29.38,28.75,28.81,19.89,197500
2000-06-20,28.62,28.62,28.0,28.44,19.63,68600
2000-06-21,28.5,29.25,28.5,29.25,20.19,35700
2000-06-22,29.19,31.38,29.0,30.88,21.31,53000
2000-06-23,30.88,30.91,30.0,30.19,20.84,53900
2000-06-26,30.0,31.0,29.75,31.0,21.4,85500
2000-06-27,31.25,32.62,31.12,32.38,22.35,58000
2000-06-28,32.38,36.0,32.0,35.0,24.16,128800
2000-06-29,35.0,35.0,32.62,32.62,22.52,292000
2000-06-30,32.88,34.0,29.0,29.0,20.02,583600
2000-07-03,29.19,29.62,29.12,29.25,20.19,80300
2000-07-05,29.25,29.5,28.38,29.38,20.28,80400
2000-07-06,29.12,29.25,28.75,28.88,19.93,56000
2000-07-07,28.62,29.75,28.31,29.75,20.54,36300
2000-07-10,29.88,32.12,29.88,32.0,22.09,76900
2000-07-11,32.12,33.81,32.12,33.38,23.04,106000
2000-07-12,33.06,34.25,32.31,34.25,23.64,286500
2000-07-13,34.25,34.25,33.69,33.69,23.26,87400
2000-07-14,33.69,33.88,33.44,33.88,23.39,13700
2000-07-17,33.88,34.0,33.06,33.06,22.82,49800
2000-07-18,32.88,32.88,31.56,32.31,22.31,60500
2000-07-19,32.31,32.31,31.94,32.12,22.18,98500
2000-07-20,32.19,32.62,32.06,32.56,22.48,28000
2000-07-21,32.69,33.88,32.69,33.81,23.34,20000
2000-07-24,33.81,36.38,33.81,34.06,23.51,103000
2000-07-25,34.12,34.5,33.75,33.75,23.3,76600
2000-07-26,33.81,34.38,33.81,34.06,23.51,62200
2000-07-27,34.0,34.06,34.0,34.06,23.51,18100
2000-07-28,34.31,34.31,34.0,34.0,23.47,129100
2000-07-31,33.94,34.0,33.69,33.75,23.3,69000
2000-08-01,33.75,33.75,33.56,33.62,23.21,4900
2000-08-02,33.56,33.62,33.5,33.56,23.17,4400
2000-08-03,33.62,33.75,33.5,33.62,23.21,26700
2000-08-04,33.75,33.75,33.69,33.75,23.3,14900
2000-08-07,33.88,33.88,31.12,32.38,22.35,77600
2000-08-08,32.5,33.0,32.5,32.88,22.69,16000
2000-08-09,33.0,33.88,32.0,33.88,23.39,57000
2000-08-10,33.88,33.88,33.5,33.62,23.21,15600
2000-08-11,33.5,33.5,33.25,33.31,23.0,8300
2000-08-14,33.38,33.62,33.31,33.5,23.13,16400
2000-08-15,33.5,33.62,33.31,33.38,23.04,17600
2000-08-16,33.5,33.69,33.5,33.69,23.26,36700
2000-08-17,33.69,34.88,33.69,34.75,23.99,34400
2000-08-18,34.75,34.75,34.5,34.62,23.9,20400
2000-08-21,34.56,35.0,34.56,34.88,24.08,15200
2000-08-22,35.0,35.5,35.0,35.38,24.42,6200
2000-08-23,35.38,35.44,34.62,34.75,23.99,8500
2000-08-24,34.75,35.06,34.56,35.0,24.16,92100
2000-08-25,34.88,35.38,34.88,35.31,24.38,33300
2000-08-28,35.31,35.5,35.25,35.31,24.38,31200
2000-08-29,35.25,38.5,35.25,38.12,26.32,24900
2000-08-30,38.25,39.0,37.25,38.0,26.23,36300
2000-08-31,38.0,41.0,38.0,41.0,28.3,45700
2000-09-01,41.25,42.62,41.25,41.69,28.78,38900
2000-09-05,41.44,41.75,41.12,41.5,28.65,17500
2000-09-06,41.25,41.38,40.38,40.44,27.92,21100
2000-09-07,39.62,39.75,35.5,36.62,25.28,241400
2000-09-08,36.5,37.06,36.0,37.0,25.54,59900
2000-09-11,37.25,38.62,37.25,38.62,26.66,40900
2000-09-12,38.75,39.0,38.38,38.88,26.84,41300
2000-09-13,38.75,38.94,38.75,38.94,26.88,7300
2000-09-14,38.88,39.12,38.62,38.62,26.66,21800
2000-09-15,38.38,38.5,37.88,38.0,26.23,66200
2000-09-18,37.88,38.38,37.62,38.0,26.23,97200
2000-09-19,38.0,38.38,37.81,38.38,26.49,20000
2000-09-20,38.12,38.25,38.0,38.25,26.41,22100
2000-09-21,38.0,38.0,36.5,36.5,25.2,21400
2000-09-22,36.25,36.88,34.62,34.62,23.9,66400
2000-09-25,34.62,36.0,34.62,35.62,24.59,60500
2000-09-26,35.62,35.75,35.25,35.31,24.38,49400
2000-09-27,35.38,35.38,34.25,34.75,23.99,32600
2000-09-28,34.69,34.69,33.25,33.56,23.17,82000
2000-09-29,33.62,34.75,32.0,32.0,22.09,72800
2000-10-02,32.25,33.0,31.88,33.0,22.78,121600
2000-10-03,33.38,36.0,33.38,35.0,24.16,105500
2000-10-04,35.0,35.25,34.06,35.12,24.25,99000
2000-10-05,35.12,36.81,35.12,36.81,25.41,40800
2000-10-06,36.81,38.62,36.75,37.0,25.54,130100
2000-10-09,37.25,37.5,37.0,37.38,25.8,77500
2000-10-10,37.5,38.0,37.5,37.75,26.06,69600
2000-10-11,37.62,37.62,36.0,36.06,24.9,32600
2000-10-12,36.06,36.25,35.75,35.88,24.77,37900
2000-10-13,36.12,38.62,36.0,38.62,26.66,70500
2000-10-16,38.75,40.0,38.75,39.88,27.53,72700
2000-10-17,39.88,40.0,38.5,38.75,26.75,112000
2000-10-18,38.0,42.0,38.0,41.62,28.74,228500
2000-10-19,42.0,42.5,40.12,40.75,28.13,125300
2000-10-20,40.75,42.62,40.75,42.06,29.04,59200
2000-10-23,42.06,42.06,40.31,41.38,28.56,96200
2000-10-24,41.25,41.25,38.62,39.5,27.27,122100
2000-10-25,39.38,40.5,39.38,40.5,27.96,44600
2000-10-26,40.38,41.0,40.38,40.81,28.17,46800
2000-10-27,41.0,43.0,41.0,42.44,29.3,124300
2000-10-30,42.5,43.0,41.56,42.5,29.34,114300
2000-10-31,42.62,43.0,42.38,42.62,29.43,85200
2000-11-01,42.38,42.62,41.5,42.38,29.25,94000
2000-11-02,42.25,44.88,42.0,44.25,30.55,58400
2000-11-03,44.5,44.5,43.56,43.69,30.16,36600
2000-11-06,43.94,44.25,43.25,43.62,30.12,141800
2000-11-07,43.62,44.19,43.5,43.69,30.16,49000
2000-11-08,43.44,43.75,43.44,43.5,30.03,50200
2000-11-09,43.38,44.5,42.75,44.25,30.55,91200
2000-11-10,44.12,44.5,43.94,44.12,30.46,15600
2000-11-13,44.0,44.0,41.0,42.5,29.34,64900
2000-11-14,42.25,43.75,42.25,43.38,29.94,41200
2000-11-15,43.25,45.5,43.25,45.12,31.15,90700
2000-11-16,45.0,47.94,45.0,46.0,31.76,100100
2000-11-17,46.25,46.75,46.0,46.56,32.14,24300
2000-11-20,46.44,46.44,44.19,44.88,30.98,59200
2000-11-21,43.25,43.25,39.75,41.75,28.82,237700
2000-11-22,41.0,41.5,40.56,41.5,28.65,41000
2000-11-24,41.25,42.5,41.25,42.5,29.34,13400
