Date,Open,High,Low,Close,Adj Close,Volume
1972-06-01,1.88,1.88,1.86,1.87,0.33,3146900
1972-06-02,1.87,1.89,1.87,1.88,0.34,1136400
1972-06-05,1.88,1.9,1.88,1.89,0.34,480700
1972-06-06,1.89,1.9,1.88,1.88,0.34,1338100
1972-06-07,1.88,1.88,1.87,1.87,0.33,894300
1972-06-08,1.87,1.88,1.86,1.88,0.34,369800
1972-06-09,1.87,1.87,1.86,1.86,0.33,527800
1972-06-12,1.86,1.88,1.86,1.87,0.33,376500
1972-06-13,1.87,1.88,1.86,1.87,0.33,231900
1972-06-14,1.87,1.87,1.83,1.84,0.33,353000
1972-06-15,1.84,1.86,1.84,1.86,0.33,443800
1972-06-16,1.86,1.86,1.84,1.84,0.33,363100
1972-06-19,1.84,1.85,1.83,1.85,0.33,504300
1972-06-20,1.85,1.86,1.85,1.86,0.33,316000
1972-06-21,1.86,1.87,1.85,1.86,0.33,595000
1972-06-22,1.86,1.86,1.84,1.84,0.33,484100
1972-06-23,1.84,1.86,1.82,1.82,0.33,541300
1972-06-26,1.82,1.84,1.81,1.84,0.33,238700
1972-06-27,1.84,1.84,1.83,1.83,0.33,292500
1972-06-28,1.83,1.84,1.83,1.84,0.33,3573900
1972-06-29,1.84,1.85,1.83,1.85,0.33,369800
1972-06-30,1.85,1.87,1.85,1.86,0.33,648800
1972-07-03,1.86,1.86,1.85,1.85,0.33,302500
1972-07-05,1.85,1.86,1.85,1.86,0.33,2841000
1972-07-06,1.86,1.88,1.86,1.86,0.33,2067700
1972-07-07,1.86,1.86,1.85,1.86,0.33,527800
1972-07-10,1.86,1.88,1.86,1.86,0.33,282400
1972-07-11,1.86,1.86,1.85,1.85,0.33,699300
1972-07-12,1.85,1.86,1.85,1.85,0.33,480700
1972-07-13,1.85,1.86,1.84,1.86,0.33,242000
1972-07-14,1.86,1.86,1.84,1.86,0.33,228600
1972-07-17,1.85,1.85,1.84,1.84,0.33,706000
1972-07-18,1.84,1.85,1.82,1.84,0.33,1045600
1972-07-19,1.84,1.87,1.82,1.85,0.33,2111400
1972-07-20,1.86,1.88,1.86,1.87,0.33,847200
1972-07-21,1.87,1.88,1.86,1.88,0.34,1435600
1972-07-24,1.88,1.9,1.87,1.88,0.34,1603700
1972-07-25,1.88,1.92,1.88,1.9,0.34,2272800
1972-07-26,1.9,1.91,1.9,1.9,0.34,1667600
1972-07-27,1.9,1.92,1.9,1.91,0.34,1879400
1972-07-28,1.91,1.92,1.91,1.91,0.34,830400
1972-07-31,1.91,1.93,1.91,1.91,0.34,433700
1972-08-01,1.92,1.93,1.92,1.93,0.35,1852500
1972-08-02,1.95,2.02,1.95,2.01,0.36,4263100
1972-08-03,2.01,2.07,2.0,2.05,0.37,3698300
1972-08-04,2.05,2.07,2.04,2.07,0.37,1344800
1972-08-07,2.07,2.07,2.05,2.05,0.37,860700
1972-08-08,2.05,2.06,2.04,2.06,0.37,1045600
1972-08-09,2.06,2.09,2.06,2.08,0.37,2938500
1972-08-10,2.08,2.18,2.08,2.15,0.39,2736700
1972-08-11,2.15,2.15,2.12,2.14,0.38,864000
1972-08-14,2.13,2.13,2.08,2.09,0.37,793400
1972-08-15,2.09,2.09,2.05,2.08,0.37,1744900
1972-08-16,2.07,2.07,2.04,2.06,0.37,769900
1972-08-17,2.05,2.05,2.03,2.04,0.37,658900
1972-08-18,2.04,2.05,2.02,2.04,0.37,632000
1972-08-21,2.04,2.05,2.03,2.03,0.36,201700
1972-08-22,2.03,2.08,2.02,2.06,0.37,527800
1972-08-23,2.06,2.08,2.02,2.02,0.36,413500
1972-08-24,2.02,2.02,1.98,2.0,0.36,743000
1972-08-25,2.0,2.0,1.98,2.0,0.36,342900
1972-08-28,1.99,1.99,1.97,1.99,0.36,689200
1972-08-29,1.99,2.0,1.98,2.0,0.36,544600
1972-08-30,2.0,2.0,1.99,1.99,0.36,252100
1972-08-31,1.99,2.04,1.99,2.04,0.37,268900
1972-09-01,2.04,2.05,2.04,2.04,0.37,353000
1972-09-05,2.04,2.05,2.02,2.02,0.36,188200
1972-09-06,2.02,2.02,2.0,2.0,0.36,625300
1972-09-07,2.0,2.02,1.99,2.0,0.36,258800
1972-09-08,2.0,2.0,1.99,2.0,0.36,480700
1972-09-11,2.0,2.0,1.99,1.99,0.36,215100
1972-09-12,1.99,2.0,1.96,1.97,0.35,941300
1972-09-13,1.96,1.96,1.95,1.96,0.35,958200
1972-09-14,1.96,1.97,1.96,1.97,0.35,497500
1972-09-15,1.97,1.97,1.95,1.97,0.35,457200
1972-09-18,1.97,1.97,1.96,1.97,0.35,215100
1972-09-19,1.97,1.99,1.95,1.98,0.35,1677700
1972-09-20,1.98,1.99,1.97,1.98,0.35,248700
1972-09-21,1.97,1.97,1.96,1.96,0.35,211800
1972-09-22,1.96,1.97,1.95,1.96,0.35,285700
1972-09-25,1.96,1.97,1.92,1.92,0.34,316000
1972-09-26,1.92,1.94,1.91,1.91,0.34,282400
1972-09-27,1.91,1.96,1.91,1.96,0.35,1385100
1972-09-28,1.96,1.96,1.94,1.94,0.35,137800
1972-09-29,1.94,1.95,1.92,1.93,0.35,524400
1972-10-02,1.92,1.92,1.9,1.9,0.34,524400
