Date,Open,High,Low,Close,Adj Close,Volume
1993-08-13,3.17,3.19,3.12,3.12,0.67,14796800
1993-08-16,3.14,3.14,3.03,3.09,0.67,3422400
1993-08-17,3.06,3.09,3.05,3.05,0.66,732800
1993-08-18,3.05,3.12,3.05,3.09,0.67,1084800
1993-08-19,3.08,3.16,3.06,3.16,0.68,832800
1993-08-20,3.16,3.2,3.14,3.19,0.69,464000
1993-08-23,3.17,3.17,3.14,3.14,0.68,146400
1993-08-24,3.16,3.16,3.12,3.12,0.67,354400
1993-08-25,3.12,3.16,3.12,3.16,0.68,214400
1993-08-26,3.16,3.19,3.16,3.16,0.68,287200
1993-08-27,3.16,3.22,3.16,3.19,0.69,330400
1993-08-30,3.2,3.22,3.17,3.19,0.69,120800
1993-08-31,3.2,3.2,3.17,3.2,0.69,233600
1993-09-01,3.17,3.19,3.17,3.19,0.69,196800
1993-09-02,3.19,3.19,3.12,3.12,0.67,132000
1993-09-03,3.12,3.16,3.06,3.06,0.66,51200
1993-09-07,3.09,3.16,3.09,3.09,0.67,984800
1993-09-08,3.12,3.12,2.95,3.0,0.65,208800
1993-09-09,2.97,3.0,2.97,2.98,0.64,277600
1993-09-10,3.0,3.0,2.86,2.88,0.62,152000
1993-09-13,2.88,2.94,2.88,2.88,0.62,320800
1993-09-14,2.91,2.91,2.72,2.72,0.59,1212000
1993-09-15,2.66,2.88,2.56,2.88,0.62,1803200
1993-09-16,2.88,2.88,2.78,2.86,0.62,248000
1993-09-17,2.83,2.97,2.83,2.95,0.64,784800
1993-09-20,3.0,3.03,2.91,2.91,0.63,484800
1993-09-21,2.88,2.88,2.78,2.83,0.61,240000
1993-09-22,2.83,2.83,2.77,2.8,0.6,152000
1993-09-23,2.78,2.78,2.72,2.73,0.59,946400
1993-09-24,2.73,2.83,2.73,2.81,0.61,480800
1993-09-27,2.81,2.91,2.81,2.89,0.62,86400
1993-09-28,2.89,2.91,2.89,2.89,0.62,98400
1993-09-29,3.12,3.12,3.08,3.12,0.67,788800
1993-09-30,3.12,3.31,3.12,3.3,0.71,1268000
1993-10-01,3.3,3.3,3.19,3.25,0.7,548800
1993-10-04,3.22,3.25,3.2,3.2,0.69,387200
1993-10-05,3.14,3.14,3.03,3.03,0.65,482400
1993-10-06,3.03,3.06,3.03,3.06,0.66,42400
1993-10-07,3.05,3.08,3.05,3.08,0.66,8000
1993-10-08,3.08,3.12,3.08,3.12,0.67,905600
1993-10-11,3.11,3.28,3.11,3.28,0.71,713600
1993-10-12,3.27,3.3,3.25,3.28,0.71,176800
1993-10-13,3.3,3.3,3.25,3.25,0.7,346400
1993-10-14,3.28,3.33,3.28,3.3,0.71,383200
1993-10-15,3.31,3.33,3.3,3.3,0.71,144000
1993-10-18,3.3,3.34,3.3,3.3,0.71,160000
1993-10-19,3.31,3.31,3.28,3.3,0.71,396800
1993-10-20,3.3,3.31,3.3,3.31,0.71,304000
1993-10-21,3.31,3.33,3.31,3.31,0.71,90400
1993-10-22,3.31,3.33,3.31,3.31,0.71,80000
1993-10-25,3.31,3.33,3.31,3.31,0.71,87200
1993-10-26,3.33,3.33,3.25,3.25,0.7,502400
1993-10-27,3.25,3.25,3.2,3.2,0.69,40000
1993-10-28,3.2,3.25,3.2,3.25,0.7,90400
1993-10-29,3.25,3.34,3.23,3.33,0.72,408800
1993-11-01,3.31,3.31,3.3,3.31,0.71,64000
1993-11-02,3.31,3.31,3.27,3.31,0.71,287200
1993-11-03,3.3,3.3,3.27,3.3,0.71,40800
1993-11-04,3.27,3.28,3.25,3.25,0.7,53600
1993-11-05,3.23,3.23,3.19,3.19,0.69,114400
1993-11-08,3.22,3.22,3.19,3.22,0.69,150400
1993-11-09,3.19,3.23,3.19,3.2,0.69,77600
1993-11-10,3.19,3.19,3.14,3.17,0.68,95200
1993-11-11,3.14,3.17,3.14,3.16,0.68,68800
1993-11-12,3.16,3.2,3.14,3.14,0.68,271200
1993-11-15,3.14,3.14,3.14,3.14,0.68,11200
1993-11-16,3.12,3.17,3.12,3.16,0.68,127200
1993-11-17,3.12,3.12,2.98,2.98,0.64,299200
1993-11-18,2.97,2.98,2.97,2.97,0.64,20000
1993-11-19,2.97,2.97,2.92,2.92,0.63,27200
1993-11-22,2.91,2.92,2.91,2.92,0.63,11200
1993-11-23,2.92,2.95,2.91,2.94,0.63,39200
1993-11-24,2.94,3.0,2.94,3.0,0.65,162400
1993-11-26,3.03,3.11,3.03,3.11,0.67,76800
1993-11-29,3.12,3.14,3.09,3.09,0.67,27200
1993-11-30,3.09,3.09,3.08,3.08,0.66,60800
1993-12-01,3.09,3.09,3.05,3.05,0.66,140800
1993-12-02,3.02,3.02,3.0,3.02,0.65,100800
1993-12-03,3.0,3.0,3.0,3.0,0.65,28000
1993-12-06,3.0,3.05,3.0,3.03,0.65,40800
1993-12-07,3.02,3.02,2.91,2.92,0.63,240000
1993-12-08,2.89,2.94,2.89,2.89,0.62,128800
1993-12-09,2.88,2.89,2.84,2.88,0.62,180800
1993-12-10,2.88,2.89,2.86,2.89,0.62,204800
1993-12-13,2.88,2.94,2.88,2.94,0.63,121600
1993-12-14,2.97,3.05,2.97,3.0,0.65,304800
1993-12-15,3.0,3.11,3.0,3.11,0.67,964800
1993-12-16,3.12,3.14,3.09,3.09,0.67,52800
1993-12-17,3.09,3.11,3.08,3.11,0.67,27200
1993-12-20,3.11,3.12,3.09,3.09,0.67,37600
1993-12-21,3.09,3.12,3.06,3.12,0.67,421600
1993-12-22,3.14,3.19,3.14,3.19,0.69,520800
1993-12-23,3.19,3.19,3.17,3.19,0.69,31200
1993-12-27,3.19,3.31,3.19,3.31,0.71,207200
1993-12-28,3.34,3.38,3.34,3.34,0.72,170400
1993-12-29,3.34,3.42,3.34,3.42,0.74,220000
1993-12-30,3.41,3.41,3.36,3.36,0.72,404000
1993-12-31,3.38,3.5,3.38,3.5,0.76,269600
1994-01-03,3.47,3.47,3.38,3.38,0.73,879200
1994-01-04,3.36,3.41,3.36,3.38,0.73,27200
1994-01-05,3.38,3.47,3.34,3.44,0.74,119200
1994-01-06,3.44,3.47,3.39,3.44,0.74,127200
1994-01-07,3.41,3.41,3.36,3.38,0.73,78400
1994-01-10,3.38,3.38,3.34,3.36,0.72,404800
1994-01-11,3.34,3.36,3.34,3.34,0.72,344800
1994-01-12,3.31,3.38,3.3,3.38,0.73,329600
1994-01-13,3.38,3.38,3.33,3.36,0.72,64000
1994-01-14,3.38,3.41,3.36,3.41,0.73,170400
1994-01-17,3.41,3.44,3.39,3.44,0.74,87200
1994-01-18,3.47,3.56,3.47,3.56,0.77,196800
1994-01-19,3.53,3.59,3.53,3.59,0.78,132800
1994-01-20,3.59,3.67,3.59,3.67,0.79,119200
1994-01-21,3.66,3.78,3.64,3.75,0.81,209600
1994-01-24,3.78,3.84,3.75,3.78,0.82,1111200
1994-01-25,3.77,3.77,3.72,3.75,0.81,252800
1994-01-26,3.72,3.78,3.72,3.78,0.84,196000
1994-01-27,3.78,3.86,3.78,3.86,0.86,272000
1994-01-28,3.84,3.84,3.77,3.84,0.86,228000
1994-01-31,3.81,4.09,3.81,4.09,0.91,601600
1994-02-01,4.08,4.08,3.97,3.97,0.89,346400
1994-02-02,3.97,4.0,3.95,3.95,0.88,84800
1994-02-03,3.94,3.97,3.94,3.97,0.89,118400
1994-02-04,4.06,4.08,4.0,4.02,0.9,390400
1994-02-07,3.97,4.03,3.94,4.03,0.9,148800
1994-02-08,4.03,4.09,4.0,4.09,0.91,654400
1994-02-09,4.12,4.22,4.12,4.19,0.93,1688000
1994-02-10,4.19,4.19,4.08,4.11,0.92,215200
1994-02-11,4.08,4.08,4.0,4.0,0.89,69600
1994-02-14,3.97,3.97,3.88,3.91,0.87,291200
1994-02-15,3.91,3.91,3.8,3.8,0.85,45600
1994-02-16,3.77,3.83,3.77,3.83,0.85,400000
1994-02-17,3.8,3.91,3.8,3.91,0.87,119200
1994-02-18,3.94,3.98,3.94,3.94,0.88,174400
1994-02-22,3.97,4.0,3.97,4.0,0.89,34400
1994-02-23,3.97,3.97,3.89,3.89,0.87,38400
1994-02-24,3.92,3.92,3.81,3.86,0.86,344000
1994-02-25,3.81,3.81,3.78,3.78,0.84,34400
1994-02-28,3.75,3.84,3.72,3.84,0.86,163200
1994-03-01,3.84,3.88,3.78,3.81,0.85,242400
1994-03-02,3.75,3.77,3.69,3.77,0.84,215200
1994-03-03,3.73,3.78,3.72,3.75,0.84,587200
1994-03-04,3.75,3.78,3.75,3.75,0.84,207200
1994-03-07,3.78,3.86,3.78,3.84,0.86,68000
1994-03-08,3.86,4.0,3.86,4.0,0.89,116000
1994-03-09,3.98,4.09,3.94,4.06,0.91,187200
1994-03-10,4.09,4.09,4.06,4.06,0.91,7200
1994-03-11,4.06,4.06,4.06,4.06,0.91,212000
1994-03-14,4.06,4.09,4.03,4.08,0.91,163200
1994-03-15,4.09,4.12,4.09,4.12,0.92,36800
1994-03-16,4.12,4.2,4.12,4.19,0.93,183200
1994-03-17,4.2,4.22,4.17,4.22,0.94,100800
1994-03-18,4.23,4.25,4.2,4.2,0.94,119200
1994-03-21,4.22,4.22,4.14,4.16,0.93,31200
1994-03-22,4.12,4.12,4.03,4.11,0.92,111200
1994-03-23,4.08,4.12,4.08,4.12,0.92,55200
1994-03-24,4.11,4.11,4.03,4.06,0.91,330400
1994-03-25,4.08,4.08,4.02,4.06,0.91,123200
1994-03-28,4.03,4.03,4.0,4.0,0.89,15200
1994-03-29,3.97,3.97,3.94,3.94,0.88,24000
1994-03-30,3.84,3.84,3.72,3.77,0.84,121600
