Date,Open,High,Low,Close,Adj Close,Volume
1997-06-18,26.12,26.88,26.12,26.75,9.63,7918300
1997-06-19,26.88,27.0,26.5,26.62,9.58,1472400
1997-06-20,26.75,26.75,26.25,26.38,9.49,1030200
1997-06-23,26.38,26.38,26.12,26.12,9.4,628900
1997-06-24,26.19,26.25,26.06,26.06,9.38,541800
1997-06-25,26.25,26.56,26.25,26.44,9.52,570500
1997-06-26,26.75,27.0,26.56,27.0,9.72,488700
1997-06-27,27.0,27.12,26.75,26.88,9.67,586400
1997-06-30,26.81,27.5,26.25,27.25,9.81,629800
1997-07-01,27.12,27.12,26.62,26.62,9.58,269700
1997-07-02,26.38,26.62,26.38,26.38,9.49,350800
1997-07-03,26.44,26.75,26.44,26.62,9.58,173000
1997-07-07,26.88,26.94,26.5,26.75,9.63,449500
1997-07-08,26.69,26.88,26.62,26.69,9.61,239400
1997-07-09,26.62,26.69,26.5,26.56,9.56,226000
1997-07-10,26.5,26.5,26.31,26.38,9.49,425100
1997-07-11,26.38,26.5,26.31,26.44,9.52,326300
1997-07-14,26.69,27.19,26.62,26.75,9.63,311000
1997-07-15,26.94,26.94,26.56,26.69,9.61,534400
1997-07-16,26.69,27.0,26.62,26.88,9.67,443700
1997-07-17,26.94,27.19,26.94,27.06,9.74,443800
1997-07-18,27.0,27.06,26.38,26.62,9.58,359600
1997-07-21,26.38,26.88,26.25,26.81,9.65,422700
1997-07-22,26.81,26.94,26.75,26.81,9.65,246500
1997-07-23,26.94,26.94,26.81,26.81,9.65,196900
1997-07-24,26.94,27.12,26.75,27.06,9.74,481800
1997-07-25,27.19,27.38,27.12,27.31,9.83,225800
1997-07-28,27.19,27.38,27.0,27.31,9.83,127600
1997-07-29,27.25,27.56,27.19,27.44,9.88,350200
1997-07-30,27.44,27.62,27.0,27.56,9.92,126600
1997-07-31,27.56,28.0,27.5,27.88,10.03,203500
1997-08-01,27.94,27.94,27.25,27.88,10.03,85200
1997-08-04,27.94,28.0,27.19,27.88,10.03,115600
1997-08-05,27.69,28.31,27.56,28.12,10.12,152900
1997-08-06,28.0,29.38,27.94,29.38,10.57,234900
1997-08-07,29.31,29.38,29.25,29.25,10.53,358900
1997-08-08,29.0,29.0,28.0,29.0,10.44,387300
1997-08-11,28.88,28.94,27.62,28.19,10.15,164700
1997-08-12,28.25,28.38,27.94,27.94,10.06,437100
1997-08-13,28.0,28.25,27.5,27.69,9.97,323000
1997-08-14,27.56,27.75,27.5,27.5,9.9,89800
1997-08-15,27.62,27.75,27.5,27.62,9.94,120200
1997-08-18,27.56,27.81,27.5,27.81,10.01,177000
1997-08-19,27.81,28.31,27.75,28.25,10.17,161300
1997-08-20,28.38,28.94,28.19,28.69,10.33,206500
1997-08-21,28.69,29.06,28.56,29.0,10.44,133000
1997-08-22,28.69,29.5,28.44,29.25,10.53,449700
1997-08-25,29.25,29.38,29.12,29.31,10.55,227300
1997-08-26,29.38,29.38,29.25,29.25,10.53,266800
1997-08-27,29.25,29.5,29.25,29.31,10.55,183200
1997-08-28,29.38,29.75,29.25,29.56,10.64,177900
1997-08-29,29.56,30.0,29.56,29.81,10.73,176600
1997-09-02,29.75,30.19,29.69,29.88,10.75,194000
1997-09-03,30.0,30.38,29.88,29.94,10.78,296000
1997-09-04,30.0,30.06,29.5,29.62,10.66,250400
1997-09-05,29.62,31.5,29.62,30.88,11.11,395800
1997-09-08,31.25,31.38,31.0,31.19,11.22,193200
1997-09-09,31.06,31.44,31.0,31.0,11.16,242300
1997-09-10,31.12,31.31,30.5,30.56,11.0,328500
1997-09-11,30.56,30.81,30.06,30.12,10.84,110400
1997-09-12,30.44,30.62,30.38,30.56,11.0,63400
1997-09-15,30.69,31.0,30.5,31.0,11.16,249600
1997-09-16,31.12,32.06,31.12,31.81,11.45,425200
1997-09-17,32.25,33.06,31.62,31.75,11.43,552400
1997-09-18,31.62,32.06,31.62,32.0,11.52,223600
1997-09-19,32.25,32.38,31.75,32.0,11.52,110500
1997-09-22,31.94,32.25,31.81,31.94,11.49,213500
1997-09-23,31.88,31.94,31.38,31.56,11.36,198400
1997-09-24,31.69,31.88,31.62,31.88,11.47,83300
1997-09-25,31.75,32.12,31.75,32.12,11.56,111400
1997-09-26,31.94,32.44,31.75,32.44,11.67,116800
1997-09-29,32.75,33.25,32.56,33.25,11.97,59300
1997-09-30,33.12,33.12,32.75,32.81,11.81,282700
1997-10-01,32.75,33.88,32.75,33.75,12.15,67900
1997-10-02,33.81,34.25,33.81,34.0,12.24,136000
1997-10-03,34.12,34.5,33.75,33.94,12.21,73700
1997-10-06,33.94,34.06,33.25,33.5,12.06,235200
1997-10-07,33.25,33.25,32.44,32.81,11.81,101300
1997-10-08,32.94,33.5,32.94,33.19,11.94,98200
1997-10-09,33.06,33.06,32.69,32.81,11.81,88200
1997-10-10,32.69,32.81,31.5,32.5,11.7,158300
1997-10-13,32.69,32.75,32.56,32.75,11.79,130400
1997-10-14,32.69,33.38,32.69,33.25,11.97,215700
1997-10-15,33.25,33.5,33.19,33.31,11.99,247000
1997-10-16,33.25,33.38,32.25,32.38,11.65,167300
1997-10-17,32.12,32.19,31.62,32.0,11.52,266700
1997-10-20,31.88,32.0,31.75,31.94,11.49,57700
1997-10-21,31.94,32.0,31.5,31.5,11.34,178400
1997-10-22,31.62,32.25,31.62,31.75,11.43,100600
1997-10-23,31.62,31.62,30.47,31.19,11.22,85800
1997-10-24,31.25,31.88,31.25,31.88,11.47,203800
1997-10-27,31.75,31.75,30.88,30.88,11.11,145800
1997-10-28,28.5,30.0,28.5,30.0,10.8,472600
1997-10-29,30.0,31.06,30.0,30.81,11.09,205400
1997-10-30,30.69,30.69,29.94,30.06,10.82,322100
1997-10-31,31.5,32.0,31.5,32.0,11.52,757200
1997-11-03,32.12,33.75,32.12,33.75,12.15,206900
1997-11-04,33.56,34.06,33.25,34.06,12.26,106800
1997-11-05,33.62,33.75,33.06,33.5,12.22,112900
1997-11-06,33.38,33.94,33.38,33.75,12.31,91500
1997-11-07,33.5,33.94,33.25,33.62,12.26,103800
1997-11-10,33.81,34.0,33.0,33.06,12.06,75100
1997-11-11,33.0,33.12,32.5,32.62,11.9,102800
1997-11-12,32.38,32.56,32.25,32.44,11.83,84600
1997-11-13,32.06,32.12,31.81,31.94,11.65,135000
1997-11-14,31.94,33.25,31.94,33.25,12.12,194600
1997-11-17,33.38,34.38,33.38,34.0,12.4,215000
1997-11-18,34.0,34.44,33.88,34.0,12.4,263400
1997-11-19,33.75,34.25,33.75,34.19,12.47,55700
1997-11-20,34.06,34.44,34.06,34.38,12.53,57100
1997-11-21,34.19,34.38,34.06,34.31,12.51,40400
1997-11-24,34.44,34.44,33.81,34.0,12.4,72100
1997-11-25,34.0,34.12,33.88,33.94,12.37,57400
1997-11-26,33.38,33.5,32.5,32.75,11.94,119400
1997-11-28,32.81,32.81,32.56,32.62,11.9,9700
1997-12-01,32.5,33.25,32.5,33.25,12.12,82500
1997-12-02,33.12,33.88,33.0,33.88,12.35,63300
1997-12-03,33.88,34.38,33.88,34.38,12.53,26100
1997-12-04,34.38,34.44,33.0,34.38,12.53,124800
1997-12-05,34.25,34.38,33.88,33.94,12.37,46400
1997-12-08,33.94,34.0,33.81,33.88,12.35,36700
1997-12-09,34.0,35.25,33.62,34.38,12.53,171800
1997-12-10,34.5,34.5,34.0,34.06,12.42,89400
1997-12-11,34.0,34.06,33.31,33.88,12.35,85000
1997-12-12,33.75,33.88,33.19,33.5,12.22,19600
1997-12-15,33.75,34.12,33.62,34.06,12.42,63800
1997-12-16,33.94,33.94,33.75,33.88,12.35,88400
1997-12-17,34.0,34.38,33.88,34.38,12.53,88500
1997-12-18,34.38,34.38,33.62,34.06,12.42,415100
1997-12-19,34.06,34.12,33.88,34.0,12.4,61300
1997-12-22,33.88,33.94,33.19,33.25,12.12,91600
1997-12-23,32.81,32.88,32.56,32.88,12.13,53400
1997-12-24,32.94,33.25,32.94,33.25,12.27,7400
1997-12-26,33.12,33.25,33.12,33.19,12.25,4500
1997-12-29,33.31,33.56,33.12,33.19,12.25,33500
1997-12-30,33.44,33.75,33.38,33.69,12.43,76700
1997-12-31,33.69,33.75,33.06,33.06,12.2,83900
1998-01-02,33.12,33.19,33.0,33.19,12.25,27900
1998-01-05,33.44,33.69,32.94,33.62,12.41,39700
1998-01-06,33.69,33.75,33.44,33.69,12.43,53400
1998-01-07,33.62,33.75,33.5,33.56,12.39,36400
1998-01-08,33.69,33.75,33.5,33.69,12.43,34600
1998-01-09,33.69,33.75,33.31,33.44,12.34,66700
1998-01-12,33.25,33.25,32.81,33.0,12.18,22300
1998-01-13,32.81,32.81,32.44,32.5,12.0,58400
1998-01-14,32.75,32.94,32.62,32.88,12.13,55000
1998-01-15,32.94,33.31,32.94,33.25,12.27,77200
1998-01-16,33.12,34.75,33.12,34.5,12.73,140900
1998-01-20,34.25,34.25,33.5,33.56,12.39,117100
1998-01-21,33.75,34.25,33.62,34.12,12.6,288200
