Date,Open,High,Low,Close,Adj Close,Volume
2018-01-04,33.78,33.97,33.69,33.78,33.34,2209671.0
2018-02-21,,,,,,
2018-03-05,35.11,35.67,35.04,35.54,35.08,2282959.0
2018-03-13,36.95,37.03,36.15,36.27,35.8,2880562.0
2018-03-14,36.5,36.57,35.75,35.84,35.37,2411720.0
2018-03-15,35.87,35.92,35.58,35.69,35.23,2164930.0
2018-03-16,35.73,36.16,35.61,35.79,35.32,4552787.0
2018-03-19,35.64,35.79,35.09,35.38,34.92,2018268.0
2018-03-20,35.41,35.81,35.26,35.4,34.94,2550853.0
2018-03-21,35.42,35.68,35.2,35.31,34.85,2324732.0
2018-03-22,33.11,35.08,33.11,34.31,33.86,2571772.0
2018-03-23,34.32,34.45,33.23,33.24,32.81,2599587.0
2018-03-26,33.71,34.2,33.56,34.15,33.71,2632153.0
2018-03-27,34.55,34.58,33.24,33.43,32.99,2248199.0
2018-03-28,33.52,33.75,33.28,33.48,33.04,2709086.0
2018-03-29,33.68,34.17,33.39,33.9,33.46,2489463.0
2018-04-02,33.72,33.85,32.45,32.7,32.27,3284507.0
2018-04-03,32.9,33.25,32.61,33.11,32.68,3027063.0
2018-04-04,32.73,33.96,32.6,33.84,33.4,3371788.0
2018-04-05,34.07,34.11,33.65,33.91,33.47,1768231.0
2018-04-06,33.63,33.82,32.95,33.18,32.75,2192775.0
2018-04-09,33.4,33.83,33.27,33.29,32.86,1549632.0
2018-04-10,33.79,34.62,33.78,34.53,34.08,4943729.0
2018-04-11,34.22,34.79,34.04,34.49,34.04,2604050.0
2018-04-12,34.71,34.91,33.33,34.54,34.09,2710715.0
2018-04-13,34.7,34.7,34.13,34.51,34.06,1524583.0
2018-04-16,34.81,35.17,34.7,35.0,34.54,2082881.0
2018-04-17,35.23,35.23,34.92,35.06,34.6,2370772.0
2018-04-18,35.18,35.2,34.91,35.03,34.57,1904943.0
2018-04-19,34.88,35.03,34.26,34.84,34.39,1356814.0
2018-04-20,34.89,34.91,34.34,34.58,34.13,1578789.0
2018-04-23,34.59,34.86,34.54,34.75,34.3,1937540.0
2018-04-24,34.97,35.2,34.56,34.7,34.25,2563024.0
2018-04-25,34.59,34.73,34.16,34.5,34.05,1767241.0
2018-04-26,34.72,34.92,34.27,34.78,34.33,1803800.0
2018-04-27,34.77,35.09,34.62,34.88,34.43,1098307.0
