Date,Open,High,Low,Close,Adj Close,Volume
1983-08-04,1.38,1.4,1.38,1.38,0.63,2550700.0
1983-08-05,1.38,1.4,1.38,1.38,0.63,769600.0
1983-08-08,1.38,1.38,1.35,1.35,0.62,498100.0
1983-08-09,1.35,1.4,1.35,1.35,0.62,202600.0
1983-08-10,1.35,1.4,1.35,1.35,0.62,132400.0
1983-08-11,1.38,1.43,1.38,1.38,0.63,123400.0
1983-08-12,1.38,1.43,1.38,1.38,0.63,110200.0
1983-08-15,1.48,1.53,1.48,1.48,0.67,223600.0
1983-08-16,1.63,1.71,1.63,1.63,0.74,293800.0
1983-08-17,1.63,1.68,1.63,1.63,0.74,162900.0
1983-08-18,1.63,1.65,1.63,1.63,0.74,135600.0
1983-08-19,1.63,1.65,1.63,1.63,0.74,95400.0
1983-08-22,1.63,1.63,1.58,1.58,0.72,211500.0
1983-08-23,1.58,1.63,1.58,1.58,0.72,609400.0
1983-08-24,1.58,1.6,1.55,1.55,0.71,258400.0
1983-08-25,1.55,1.6,1.55,1.55,0.71,71700.0
1983-08-26,1.55,1.6,1.55,1.55,0.71,108600.0
1983-08-29,1.55,1.6,1.55,1.55,0.71,234900.0
1983-08-30,1.55,1.6,1.55,1.55,0.71,129700.0
1983-08-31,1.55,1.6,1.55,1.55,0.71,40500.0
1983-09-01,1.55,1.6,1.5,1.5,0.69,37000.0
1983-09-02,1.5,1.58,1.5,1.5,0.69,15700.0
1983-09-06,1.53,1.6,1.53,1.53,0.7,102100.0
1983-09-07,1.55,1.6,1.55,1.55,0.71,37000.0
1983-09-08,1.58,1.6,1.58,1.58,0.72,32400.0
1983-09-09,1.58,1.6,1.58,1.58,0.72,29200.0
1983-09-12,1.58,1.6,1.58,1.58,0.72,10900.0
1983-09-13,1.6,1.65,1.6,1.6,0.73,48700.0
1983-09-14,1.63,1.65,1.63,1.63,0.74,105300.0
1983-09-15,1.65,1.73,1.65,1.65,0.75,123400.0
1983-09-16,1.73,1.78,1.73,1.73,0.79,164700.0
1983-09-19,1.76,1.86,1.76,1.76,0.8,52600.0
1983-09-20,1.78,1.86,1.78,1.78,0.81,36400.0
1983-09-21,1.78,1.86,1.78,1.78,0.81,19000.0
1983-09-22,1.78,1.88,1.78,1.78,0.81,73500.0
1983-09-23,1.78,1.88,1.78,1.78,0.81,48700.0
1983-09-26,1.81,1.88,1.81,1.81,0.82,46000.0
1983-09-27,1.83,1.91,1.83,1.83,0.83,10300.0
1983-09-28,1.83,1.91,1.83,1.83,0.83,49500.0
1983-09-29,1.86,1.91,1.86,1.86,0.85,76500.0
1983-09-30,1.86,1.91,1.86,1.86,0.85,12700.0
1983-10-03,1.86,1.91,1.86,1.86,0.85,233100.0
1983-10-04,1.86,1.91,1.86,1.86,0.85,10300.0
1983-10-05,1.86,1.91,1.86,1.86,0.85,13600.0
1983-10-06,1.86,1.91,1.86,1.86,0.85,23800.0
1983-10-07,1.86,1.91,1.83,1.83,0.83,40500.0
1983-10-10,1.83,1.91,1.83,1.83,0.83,4900.0
1983-10-11,1.83,1.91,1.83,1.83,0.83,50500.0
1983-10-12,1.83,1.91,1.81,1.81,0.82,10900.0
1983-10-13,1.81,1.91,1.81,1.81,0.82,4000.0
1983-10-14,1.81,1.91,1.81,1.81,0.82,3300.0
1983-10-17,1.81,1.86,1.78,1.78,0.81,19500.0
1983-10-18,1.78,1.81,1.73,1.73,0.79,39700.0
1983-10-19,1.73,1.76,1.68,1.68,0.77,39700.0
1983-10-20,1.69,1.76,1.69,1.69,0.77,39700.0
1983-10-21,1.69,1.76,1.68,1.68,0.77,6000.0
1983-10-24,1.68,1.76,1.68,1.68,0.77,10800.0
1983-10-25,1.68,1.68,1.68,1.68,0.77,0.0
1983-10-26,1.68,1.73,1.65,1.65,0.75,9000.0
1983-10-27,1.67,1.73,1.67,1.67,0.76,100.0
1983-10-28,1.67,1.73,1.65,1.65,0.75,100.0
1983-10-31,1.65,1.71,1.65,1.65,0.75,6700.0
1983-11-01,1.65,1.68,1.6,1.6,0.73,9000.0
1983-11-02,1.64,1.71,1.64,1.64,0.75,21100.0
1983-11-03,1.64,1.71,1.64,1.64,0.75,6000.0
1983-11-04,1.64,1.71,1.63,1.63,0.74,900.0
1983-11-07,1.63,1.68,1.63,1.63,0.74,6000.0
1983-11-08,1.63,1.68,1.6,1.6,0.73,10300.0
1983-11-09,1.6,1.65,1.6,1.6,0.73,2700.0
1983-11-10,1.6,1.65,1.6,1.6,0.73,56700.0
1983-11-11,1.63,1.65,1.63,1.63,0.74,21100.0
1983-11-14,1.63,1.68,1.63,1.63,0.74,12700.0
1983-11-15,1.63,1.68,1.63,1.63,0.74,19500.0
1983-11-16,1.65,1.73,1.65,1.65,0.75,40500.0
1983-11-17,1.65,1.73,1.65,1.65,0.75,600.0
1983-11-18,1.65,1.76,1.65,1.65,0.75,85000.0
1983-11-21,1.73,1.78,1.73,1.73,0.79,29200.0
1983-11-22,1.73,1.83,1.73,1.73,0.79,6700.0
1983-11-23,1.73,1.83,1.73,1.73,0.79,48700.0
1983-11-25,1.73,1.73,1.73,1.73,0.79,0.0
1983-11-28,1.73,1.83,1.73,1.73,0.79,24300.0
1983-11-29,1.73,1.83,1.73,1.73,0.79,100.0
1983-11-30,1.84,1.93,1.84,1.84,0.84,114700.0
1983-12-01,1.88,1.97,1.88,1.88,0.86,101400.0
1983-12-02,1.92,1.98,1.92,1.92,0.87,12700.0
1983-12-05,1.93,1.98,1.93,1.93,0.88,900.0
1983-12-06,1.93,1.97,1.91,1.91,0.87,53200.0
1983-12-07,1.91,1.97,1.88,1.88,0.86,600.0
1983-12-08,1.88,1.97,1.88,1.88,0.86,900.0
1983-12-09,1.88,1.97,1.88,1.88,0.86,600.0
1983-12-12,1.88,1.96,1.88,1.88,0.86,900.0
1983-12-13,1.88,1.96,1.88,1.88,0.86,100.0
1983-12-14,1.88,1.96,1.88,1.88,0.86,100.0
1983-12-15,1.88,1.96,1.88,1.88,0.86,600.0
1983-12-16,1.88,1.96,1.88,1.88,0.86,37000.0
1983-12-19,1.88,1.88,1.81,1.81,0.82,19500.0
1983-12-20,1.81,1.86,1.78,1.78,0.81,345700.0
1983-12-21,1.78,1.83,1.78,1.78,0.81,29200.0
1983-12-22,1.78,1.83,1.78,1.78,0.81,90400.0
1983-12-23,1.78,1.83,1.78,1.78,0.81,10800.0
1983-12-27,1.78,1.83,1.78,1.78,0.81,19000.0
1983-12-28,1.78,1.83,1.76,1.76,0.8,9000.0
1983-12-29,1.76,1.83,1.76,1.76,0.8,10300.0
1983-12-30,1.76,1.83,1.76,1.76,0.8,9000.0
1984-01-03,1.76,1.76,1.76,1.76,0.8,0.0
1984-01-04,1.78,1.83,1.78,1.78,0.81,600.0
1984-01-05,1.84,1.91,1.84,1.84,0.84,46000.0
1984-01-06,1.84,1.91,1.84,1.84,0.84,4000.0
1984-01-09,1.84,1.84,1.84,1.84,0.84,0.0
1984-01-10,1.86,1.91,1.86,1.86,0.85,3300.0
1984-01-11,1.86,1.91,1.86,1.86,0.85,23800.0
1984-01-12,1.86,1.91,1.86,1.86,0.85,23500.0
1984-01-13,1.86,1.91,1.86,1.86,0.85,9000.0
1984-01-16,1.87,1.91,1.87,1.87,0.85,3300.0
1984-01-17,1.87,1.91,1.87,1.87,0.85,6000.0
1984-01-18,1.87,1.91,1.87,1.87,0.85,9000.0
1984-01-19,1.87,1.91,1.86,1.86,0.85,12700.0
1984-01-20,1.86,1.86,1.78,1.78,0.81,23800.0
1984-01-23,1.78,1.84,1.76,1.76,0.8,600.0
1984-01-24,1.76,1.83,1.76,1.76,0.8,23500.0
1984-01-25,1.76,1.83,1.76,1.76,0.8,0.0
1984-01-26,1.76,1.83,1.76,1.76,0.8,900.0
1984-01-27,1.76,1.83,1.76,1.76,0.8,600.0
1984-01-30,1.76,1.83,1.76,1.76,0.8,3300.0
1984-01-31,1.76,1.81,1.76,1.76,0.8,4900.0
1984-02-01,1.76,1.81,1.76,1.76,0.8,100.0
1984-02-02,1.76,1.81,1.76,1.76,0.8,27100.0
1984-02-03,1.76,1.81,1.76,1.76,0.8,600.0
1984-02-06,1.73,1.73,1.65,1.65,0.75,32500.0
1984-02-07,1.65,1.76,1.65,1.65,0.75,14400.0
1984-02-08,1.65,1.76,1.65,1.65,0.75,2700.0
1984-02-09,1.65,1.71,1.63,1.63,0.74,21100.0
1984-02-10,1.63,1.71,1.63,1.63,0.74,2700.0
1984-02-13,1.63,1.65,1.6,1.6,0.73,600.0
1984-02-14,1.6,1.65,1.6,1.6,0.73,12700.0
1984-02-15,1.6,1.68,1.6,1.6,0.73,19000.0
1984-02-16,1.6,1.68,1.6,1.6,0.73,10800.0
