Date,Open,High,Low,Close,Adj Close,Volume
1962-01-02,1.6,1.62,1.59,1.6,0.51,163200.0
1962-01-03,1.6,1.62,1.59,1.62,0.52,156000.0
1962-01-04,1.66,1.71,1.66,1.66,0.53,355200.0
1962-01-05,1.66,1.7,1.66,1.68,0.53,163200.0
1962-01-08,1.68,1.7,1.67,1.69,0.54,204000.0
1962-01-09,1.69,1.72,1.67,1.7,0.54,290400.0
1962-01-10,1.7,1.71,1.68,1.68,0.54,182400.0
1962-01-11,1.68,1.71,1.67,1.71,0.54,384000.0
1962-01-12,1.71,1.74,1.69,1.72,0.55,352800.0
1962-01-15,1.72,1.73,1.69,1.71,0.55,280800.0
1962-01-16,1.7,1.7,1.68,1.69,0.54,163200.0
1962-01-17,1.69,1.71,1.68,1.68,0.54,160800.0
1962-01-18,1.68,1.72,1.68,1.72,0.55,261600.0
1962-01-19,1.72,1.75,1.69,1.75,0.56,357600.0
1962-01-22,1.75,1.77,1.74,1.74,0.56,261600.0
1962-01-23,1.74,1.76,1.71,1.71,0.55,223200.0
1962-01-24,1.71,1.71,1.67,1.7,0.54,120000.0
1962-01-25,1.7,1.72,1.69,1.71,0.55,151200.0
1962-01-26,1.71,1.72,1.69,1.71,0.55,108000.0
1962-01-29,1.71,1.72,1.7,1.72,0.55,122400.0
1962-01-30,1.72,1.72,1.69,1.7,0.54,120000.0
1962-01-31,1.7,1.72,1.7,1.71,0.55,189600.0
1962-02-01,1.71,1.75,1.71,1.74,0.56,112800.0
1962-02-02,1.74,1.74,1.72,1.73,0.55,199200.0
1962-02-05,1.73,1.73,1.72,1.72,0.55,96000.0
1962-02-06,1.73,1.74,1.73,1.73,0.56,105600.0
1962-02-07,1.73,1.74,1.71,1.71,0.55,122400.0
1962-02-08,1.71,1.72,1.71,1.71,0.55,141600.0
1962-02-09,1.71,1.72,1.69,1.69,0.54,115200.0
1962-02-12,1.69,1.7,1.67,1.7,0.54,98400.0
1962-02-13,1.7,1.7,1.68,1.69,0.54,86400.0
1962-02-14,1.69,1.69,1.67,1.68,0.54,177600.0
1962-02-15,1.67,1.67,1.65,1.67,0.53,60000.0
1962-02-16,1.67,1.69,1.64,1.68,0.54,88800.0
1962-02-19,1.68,1.69,1.66,1.68,0.54,170400.0
1962-02-20,1.68,1.68,1.67,1.67,0.54,67200.0
1962-02-21,1.67,1.67,1.62,1.64,0.52,98400.0
1962-02-23,1.64,1.66,1.62,1.64,0.52,96000.0
1962-02-26,1.67,1.7,1.67,1.7,0.54,158400.0
1962-02-27,1.7,1.71,1.68,1.68,0.54,117600.0
1962-02-28,1.68,1.7,1.67,1.68,0.54,139200.0
1962-03-01,1.68,1.7,1.68,1.68,0.54,74400.0
1962-03-02,1.68,1.69,1.67,1.69,0.54,105600.0
1962-03-05,1.69,1.69,1.67,1.69,0.54,79200.0
1962-03-06,1.69,1.7,1.67,1.68,0.54,98400.0
1962-03-07,1.68,1.68,1.65,1.66,0.53,172800.0
1962-03-08,1.66,1.66,1.64,1.64,0.53,98400.0
1962-03-09,1.64,1.65,1.64,1.64,0.52,86400.0
1962-03-12,1.64,1.64,1.61,1.61,0.52,96000.0
1962-03-13,1.61,1.64,1.59,1.62,0.52,141600.0
1962-03-14,1.63,1.66,1.63,1.66,0.53,117600.0
1962-03-15,1.66,1.66,1.64,1.65,0.53,139200.0
1962-03-16,1.65,1.66,1.65,1.66,0.53,79200.0
1962-03-19,1.66,1.68,1.65,1.66,0.53,105600.0
1962-03-20,1.67,1.7,1.67,1.7,0.54,177600.0
1962-03-21,1.7,1.7,1.65,1.66,0.53,232800.0
