Date,Open,High,Low,Close,Adj Close,Volume
2005-12-05,30.0,30.0,26.7,26.7,19.9,1087800.0
2005-12-06,26.85,26.85,25.75,25.76,19.2,1743800.0
2005-12-07,26.0,26.0,25.25,25.55,19.04,1536400.0
2005-12-08,25.53,25.75,25.1,25.39,18.92,2100700.0
2005-12-09,25.4,25.95,24.95,25.63,19.1,2414700.0
2005-12-12,25.9,26.3,25.9,26.24,19.56,898600.0
2005-12-13,26.25,26.26,25.93,26.0,19.38,639700.0
2005-12-14,26.0,26.05,25.65,25.7,19.15,672800.0
2005-12-15,25.7,25.7,25.2,25.32,18.87,1948400.0
2005-12-16,25.33,25.5,25.17,25.3,18.86,1023000.0
2005-12-19,25.31,25.4,25.1,25.29,18.85,362700.0
2005-12-20,25.29,25.29,24.74,25.07,18.68,385800.0
2005-12-21,25.15,25.3,24.98,25.25,18.82,673000.0
2005-12-22,25.25,25.25,25.0,25.11,18.71,274300.0
2005-12-23,25.1,25.52,25.1,25.5,19.01,667100.0
2005-12-27,25.65,25.93,25.3,25.65,19.12,511400.0
2005-12-28,25.75,25.84,25.0,25.05,18.67,821600.0
2005-12-29,25.15,25.25,24.75,25.0,18.63,776100.0
2005-12-30,25.0,25.5,24.85,25.5,19.01,3887900.0
2006-01-03,25.6,27.4,25.6,26.2,19.53,6604500.0
2006-01-04,26.27,26.27,25.84,26.0,19.38,8900000.0
2006-01-05,26.0,26.44,25.83,26.36,19.65,8040500.0
2006-01-06,26.5,27.3,26.46,27.23,20.29,7449100.0
2006-01-09,27.0,27.21,26.85,27.03,20.15,7858700.0
2006-01-10,27.1,27.17,26.43,26.56,19.8,9081400.0
2006-01-11,26.66,26.75,26.05,26.18,19.51,6941200.0
2006-01-12,25.86,26.15,25.49,25.99,19.37,7687400.0
2006-01-13,25.95,26.0,25.48,25.48,18.99,4858900.0
2006-01-17,25.15,25.66,25.01,25.06,18.68,6226600.0
2006-01-18,25.0,25.67,24.83,25.67,19.13,5522800.0
2006-01-19,25.64,25.71,25.34,25.57,19.06,5021500.0
2006-01-20,25.35,25.72,24.92,24.98,18.62,5064800.0
2006-01-23,25.3,25.9,25.05,25.82,19.24,6361700.0
2006-01-24,26.0,27.0,25.8,26.9,20.05,8567000.0
2006-01-25,27.0,27.0,26.09,26.4,19.68,5665700.0
2006-01-26,26.55,27.11,26.48,26.81,19.98,7545300.0
2006-01-27,26.75,27.35,26.43,26.8,19.97,7927600.0
2006-01-30,26.85,27.45,26.7,27.27,20.32,5639100.0
2006-01-31,27.17,27.17,26.03,26.13,19.47,6437100.0
2006-02-01,26.01,26.56,25.96,26.14,19.48,4373800.0
2006-02-02,26.12,26.3,25.47,25.65,19.12,6802800.0
2006-02-03,25.6,26.02,25.38,25.66,19.12,5411600.0
2006-02-06,25.66,26.08,25.64,25.84,19.26,3735500.0
2006-02-07,25.95,26.14,25.53,25.53,19.03,3321300.0
2006-02-08,25.53,26.07,25.53,26.02,19.39,3761800.0
2006-02-09,25.8,26.0,25.54,25.63,19.1,3644000.0
2006-02-10,25.58,25.65,25.29,25.46,18.98,3895200.0
2006-02-13,25.25,25.63,25.15,25.54,19.03,2695600.0
2006-02-14,25.45,25.83,25.28,25.6,19.08,4273900.0
2006-02-15,25.72,25.81,25.55,25.61,19.09,1984200.0
2006-02-16,25.55,25.58,25.1,25.15,18.74,4152400.0
2006-02-17,25.05,25.95,25.03,25.85,19.27,5383800.0
2006-02-21,26.0,26.02,25.16,25.3,18.86,4557900.0
2006-02-22,25.45,25.52,25.17,25.23,18.8,7170900.0
2006-02-23,25.23,25.55,24.86,25.2,18.78,5946200.0
2006-02-24,25.04,25.27,24.53,24.53,18.4,7852800.0
2006-02-27,24.53,25.05,24.53,24.83,18.62,7683400.0
2006-02-28,24.66,24.75,24.38,24.46,18.35,4980000.0
2006-03-01,24.5,24.74,24.21,24.65,18.49,4525500.0
2006-03-02,24.24,24.29,23.91,24.06,18.05,8128400.0
2006-03-03,24.06,24.31,23.85,23.98,17.99,4152400.0
2006-03-06,24.0,24.45,23.9,23.98,17.99,4676300.0
2006-03-07,23.99,24.44,23.98,24.36,18.27,4749900.0
2006-03-08,24.36,24.42,24.02,24.14,18.11,4224300.0
2006-03-09,24.1,24.2,23.92,23.96,17.97,3110400.0
2006-03-10,24.14,24.23,23.88,23.95,17.96,3694600.0
2006-03-13,24.05,24.27,24.01,24.02,18.02,3411600.0
2006-03-14,24.02,24.12,23.95,23.96,17.97,3359300.0
2006-03-15,24.05,24.45,23.89,24.34,18.26,3223200.0
2006-03-16,24.5,24.5,24.15,24.22,18.17,3201700.0
2006-03-17,24.35,24.75,24.16,24.62,18.47,4418800.0
2006-03-20,24.48,24.6,24.26,24.4,18.3,2975200.0
2006-03-21,24.56,24.8,24.55,24.78,18.59,6324000.0
2006-03-22,24.82,25.09,24.75,25.08,18.81,7172300.0
2006-03-23,25.0,25.0,24.85,24.89,18.67,3651500.0
2006-03-24,24.75,25.06,24.73,25.03,18.77,4420400.0
2006-03-27,24.85,25.04,24.55,24.78,18.59,4419300.0
2006-03-28,24.7,24.77,24.22,24.42,18.32,4653700.0
2006-03-29,24.4,24.54,24.23,24.44,18.33,5789100.0
2006-03-30,24.55,24.69,24.2,24.24,18.18,5351700.0
2006-03-31,24.23,24.38,23.97,23.98,17.99,5896800.0
2006-04-03,24.1,24.74,24.05,24.7,18.53,4671500.0
2006-04-04,24.6,24.8,24.49,24.77,18.58,3546900.0
2006-04-05,24.87,25.0,24.67,24.9,18.68,5419900.0
2006-04-06,24.8,25.5,24.76,25.47,19.1,7143300.0
2006-04-07,25.45,25.46,24.99,25.14,18.86,4156200.0
2006-04-10,25.1,25.16,24.87,24.89,18.67,5378200.0
2006-04-11,25.0,25.0,24.43,24.6,18.45,3229300.0
2006-04-12,24.65,24.8,24.53,24.53,18.4,2068500.0
2006-04-13,24.44,24.9,24.43,24.85,18.64,1795200.0
2006-04-17,24.95,24.95,24.51,24.71,18.53,2373400.0
2006-04-18,24.8,24.91,24.17,24.8,18.6,4781200.0
2006-04-19,24.78,24.82,24.38,24.56,18.42,3309400.0
2006-04-20,24.58,24.71,24.43,24.53,18.4,3766000.0
2006-04-21,24.7,24.84,24.5,24.81,18.61,3113600.0
2006-04-24,24.72,24.93,24.7,24.81,18.61,1945300.0
2006-04-25,24.9,25.37,24.65,25.37,19.03,4056600.0
2006-04-26,25.4,25.58,25.03,25.15,18.86,5903900.0
2006-04-27,25.18,25.6,25.13,25.5,19.13,4015100.0
2006-04-28,25.5,25.57,25.34,25.47,19.1,4942000.0
2006-05-01,25.5,26.01,25.47,25.78,19.34,4909200.0
2006-05-02,25.85,25.9,25.5,25.55,19.16,6549700.0
2006-05-03,25.56,25.8,25.53,25.75,19.31,4728000.0
2006-05-04,25.75,26.15,25.7,26.04,19.53,2686500.0
2006-05-05,26.08,26.44,26.05,26.38,19.79,2673800.0
2006-05-08,26.5,26.81,26.46,26.6,19.95,5272100.0
2006-05-09,26.72,26.8,26.61,26.67,20.0,4228600.0
2006-05-10,26.77,26.77,26.25,26.3,19.73,4107000.0
2006-05-11,26.3,26.35,25.89,25.92,19.44,3550300.0
2006-05-12,25.55,26.05,25.43,25.66,19.25,3674100.0
2006-05-15,25.55,25.8,25.25,25.66,19.25,2980000.0
2006-05-16,25.79,26.43,25.77,26.33,19.75,5039500.0
2006-05-17,26.25,26.51,25.77,25.8,19.35,5144600.0
2006-05-18,25.01,25.86,25.01,25.35,19.01,3166800.0
2006-05-19,25.5,25.5,24.99,25.21,18.91,6574600.0
2006-05-22,25.29,25.55,25.1,25.26,18.95,3998800.0
2006-05-23,25.2,25.2,24.82,24.85,18.64,3794800.0
2006-05-24,25.0,25.6,24.92,25.4,19.05,3725400.0
2006-05-25,25.6,26.33,25.5,26.3,19.73,8439500.0
2006-05-26,26.38,26.5,26.04,26.2,19.65,3751000.0
2006-05-30,26.0,26.09,25.5,25.51,19.13,6300800.0
2006-05-31,25.51,25.93,25.47,25.91,19.43,5084700.0
2006-06-01,25.73,26.67,25.7,26.64,20.12,4254500.0
2006-06-02,26.88,26.88,26.3,26.43,19.96,2583800.0
2006-06-05,26.43,26.85,26.23,26.56,20.06,5399000.0
2006-06-06,26.56,26.88,26.01,26.28,19.85,2981800.0
2006-06-07,26.45,26.8,26.26,26.68,20.15,7633300.0
2006-06-08,26.76,26.97,26.49,26.55,20.05,7894000.0
2006-06-09,26.35,26.5,25.64,25.75,19.45,4573200.0
2006-06-12,26.25,26.4,25.74,25.75,19.45,3502000.0
2006-06-13,25.8,26.08,25.73,25.79,19.48,4249500.0
2006-06-14,26.05,26.26,25.74,25.83,19.51,3977200.0
2006-06-15,25.82,26.28,25.58,26.27,19.84,2639700.0
2006-06-16,26.17,26.26,25.63,25.99,19.63,3507800.0
2006-06-19,26.05,26.11,25.92,25.96,19.61,3016800.0
2006-06-20,26.04,26.16,25.79,25.79,19.48,3463500.0
2006-06-21,25.77,26.1,25.72,26.04,19.67,3017900.0
2006-06-22,26.09,26.15,25.83,25.95,19.6,2376700.0
2006-06-23,25.85,26.61,25.82,26.5,20.02,5966600.0
2006-06-26,26.48,26.6,26.34,26.5,20.02,3795100.0
2006-06-27,26.6,26.73,26.27,26.52,20.03,3740300.0
2006-06-28,26.72,26.72,26.34,26.63,20.11,6188200.0
2006-06-29,26.95,26.99,26.73,26.92,20.33,4982800.0
2006-06-30,27.01,27.24,27.01,27.05,20.43,5371700.0
