Date,Open,High,Low,Close,Adj Close,Volume
1987-07-24,3.94,3.94,3.88,3.94,1.18,15566400
1987-07-27,3.94,3.94,3.88,3.91,1.17,1931200
1987-07-28,3.91,3.91,3.88,3.88,1.16,2074800
1987-07-29,3.88,3.91,3.88,3.88,1.16,4930800
1987-07-30,3.88,3.91,3.81,3.81,1.14,4654400
1987-07-31,3.78,3.78,3.56,3.62,1.09,3006800
1987-08-03,3.62,3.84,3.5,3.84,1.15,1277600
1987-08-04,3.84,3.91,3.75,3.78,1.13,698400
1987-08-05,3.78,3.81,3.75,3.78,1.13,262000
1987-08-06,3.78,3.78,3.72,3.75,1.12,480400
1987-08-07,3.75,3.84,3.75,3.84,1.15,582400
1987-08-10,3.84,3.97,3.81,3.91,1.17,1524800
1987-08-11,3.91,3.94,3.88,3.94,1.18,2395200
1987-08-12,3.94,3.94,3.91,3.94,1.18,1514400
1987-08-13,3.94,3.94,3.84,3.88,1.16,516000
1987-08-14,3.88,3.94,3.84,3.88,1.16,324000
1987-08-17,3.88,3.88,3.84,3.88,1.16,183600
1987-08-18,3.88,3.88,3.72,3.72,1.11,554400
1987-08-19,3.72,3.75,3.66,3.75,1.12,304400
1987-08-20,3.75,3.81,3.75,3.75,1.12,516000
1987-08-21,3.75,3.84,3.72,3.81,1.14,620400
1987-08-24,3.84,3.94,3.84,3.94,1.18,1596800
1987-08-25,3.94,4.16,3.94,4.12,1.24,1371600
1987-08-26,4.19,4.38,4.19,4.31,1.29,1897200
1987-08-27,4.31,4.31,4.19,4.22,1.26,604800
1987-08-28,4.22,4.25,4.19,4.25,1.27,171200
1987-08-31,4.22,4.22,4.16,4.22,1.26,192000
1987-09-01,4.22,4.28,4.19,4.19,1.25,1219600
1987-09-02,4.19,4.22,3.97,4.0,1.2,1449600
1987-09-03,4.0,4.09,3.94,4.0,1.2,252400
1987-09-04,4.0,4.0,3.91,3.97,1.19,225600
1987-09-08,3.97,3.97,3.78,3.88,1.16,536000
1987-09-09,3.88,3.88,3.81,3.84,1.15,376800
1987-09-10,3.84,3.88,3.78,3.84,1.15,803600
1987-09-11,3.84,3.97,3.84,3.94,1.18,519600
1987-09-14,3.94,4.0,3.91,3.97,1.19,206400
1987-09-15,3.97,4.0,3.94,3.97,1.19,78000
1987-09-16,3.97,4.0,3.94,4.0,1.2,390400
1987-09-17,3.97,3.97,3.94,3.94,1.18,134400
1987-09-18,3.94,3.97,3.91,3.91,1.17,95600
1987-09-21,3.94,3.97,3.94,3.97,1.19,485600
1987-09-22,3.97,4.0,3.91,3.97,1.19,520800
1987-09-23,3.97,4.0,3.94,3.97,1.19,25200
1987-09-24,3.97,3.97,3.94,3.94,1.18,46400
1987-09-25,3.94,3.97,3.94,3.97,1.19,161600
1987-09-28,3.97,4.06,3.97,4.03,1.21,600000
1987-09-29,4.03,4.03,3.97,3.97,1.19,178400
1987-09-30,3.97,4.0,3.94,4.0,1.2,235200
1987-10-01,4.0,4.0,3.97,3.97,1.19,192000
1987-10-02,3.97,4.0,3.97,4.0,1.2,655600
1987-10-05,4.0,4.03,3.94,4.0,1.2,408000
1987-10-06,4.0,4.03,3.91,3.91,1.17,310400
1987-10-07,3.91,3.94,3.72,3.84,1.15,150400
1987-10-08,3.84,3.84,3.72,3.75,1.12,486000
1987-10-09,3.75,3.75,3.56,3.56,1.07,240400
1987-10-12,3.56,3.56,3.25,3.34,1.0,558800
1987-10-13,3.34,3.47,3.34,3.47,1.04,371200
1987-10-14,3.47,3.47,3.25,3.31,0.99,755600
1987-10-15,3.28,3.28,3.16,3.16,0.95,269600
1987-10-16,3.16,3.22,2.94,3.03,0.91,620400
1987-10-19,2.69,2.69,2.25,2.28,0.68,1634400
1987-10-20,2.28,2.62,2.03,2.62,0.79,1648800
1987-10-21,2.62,2.81,2.62,2.72,0.81,1183200
1987-10-22,2.47,2.47,2.25,2.34,0.7,652400
1987-10-23,2.34,2.38,2.25,2.34,0.7,3120400
1987-10-26,2.25,2.25,2.12,2.16,0.65,744800
1987-10-27,2.16,2.38,2.12,2.22,0.66,875200
1987-10-28,2.22,2.22,2.12,2.19,0.65,768000
1987-10-29,2.19,2.19,2.12,2.16,0.65,126000
1987-10-30,2.22,2.56,2.22,2.56,0.77,2579200
1987-11-02,2.56,2.69,2.41,2.62,0.79,653600
1987-11-03,2.56,2.56,2.34,2.53,0.76,583200
1987-11-04,2.41,2.41,2.31,2.34,0.7,307200
1987-11-05,2.31,2.31,2.25,2.28,0.68,544800
1987-11-06,2.28,2.31,2.28,2.31,0.69,405200
1987-11-09,2.31,2.31,2.25,2.28,0.68,394000
1987-11-10,2.28,2.31,2.22,2.25,0.67,718800
1987-11-11,2.25,2.31,2.22,2.28,0.68,308000
1987-11-12,2.28,2.38,2.28,2.31,0.69,277600
1987-11-13,2.31,2.31,2.22,2.25,0.67,385200
1987-11-16,2.25,2.31,2.22,2.22,0.66,145200
1987-11-17,2.22,2.25,2.12,2.25,0.67,353600
1987-11-18,2.25,2.25,2.16,2.22,0.66,338400
1987-11-19,2.22,2.22,2.12,2.16,0.65,204000
1987-11-20,2.16,2.16,2.09,2.16,0.65,606400
1987-11-23,2.16,2.25,2.16,2.25,0.67,260000
1987-11-24,2.25,2.38,2.22,2.34,0.7,557200
1987-11-25,2.31,2.31,2.25,2.31,0.69,268400
1987-11-27,2.31,2.34,2.28,2.31,0.69,124800
1987-11-30,2.28,2.28,2.16,2.25,0.67,623200
1987-12-01,2.25,2.25,2.16,2.19,0.65,350800
1987-12-02,2.19,2.19,2.09,2.19,0.65,328000
1987-12-03,2.19,2.19,2.06,2.09,0.63,306000
1987-12-04,2.09,2.09,2.06,2.09,0.63,492800
1987-12-07,2.09,2.12,2.06,2.09,0.63,286000
1987-12-08,2.09,2.12,2.06,2.09,0.63,472400
1987-12-09,2.09,2.41,2.09,2.38,0.71,503600
1987-12-10,2.38,2.47,2.28,2.38,0.71,391200
1987-12-11,2.38,2.41,2.34,2.38,0.71,292800
1987-12-14,2.38,2.47,2.34,2.47,0.74,596800
1987-12-15,2.47,2.5,2.44,2.47,0.74,234000
1987-12-16,2.5,2.75,2.5,2.69,0.8,930400
1987-12-17,2.69,2.88,2.69,2.78,0.83,820800
1987-12-18,2.78,2.84,2.66,2.81,0.84,468400
1987-12-21,2.81,2.84,2.69,2.75,0.82,322000
1987-12-22,2.75,2.75,2.56,2.62,0.79,308400
1987-12-23,2.62,2.75,2.56,2.75,0.82,243200
1987-12-24,2.81,2.94,2.81,2.88,0.86,215200
1987-12-28,2.88,2.88,2.78,2.81,0.84,151600
1987-12-29,2.81,2.81,2.75,2.81,0.84,194800
1987-12-30,2.81,2.81,2.75,2.75,0.82,267600
1987-12-31,2.75,3.0,2.66,3.0,0.9,553200
1988-01-04,3.0,3.0,2.97,3.0,0.9,258800
1988-01-05,3.0,3.06,3.0,3.03,0.91,300400
1988-01-06,3.03,3.38,3.0,3.25,0.97,366800
1988-01-07,3.25,3.5,3.22,3.5,1.05,2301200
1988-01-08,3.5,3.5,3.31,3.31,0.99,1037600
1988-01-11,3.31,3.38,3.22,3.34,1.0,199200
1988-01-12,3.31,3.31,3.25,3.31,0.99,512000
1988-01-13,3.28,3.28,3.19,3.28,0.98,224800
1988-01-14,3.28,3.38,3.22,3.25,0.97,103600
1988-01-15,3.31,3.41,3.31,3.31,0.99,679200
1988-01-18,3.28,3.28,3.22,3.28,0.98,116000
1988-01-19,3.25,3.25,3.19,3.22,0.96,351200
1988-01-20,3.22,3.22,3.16,3.22,0.96,202800
1988-01-21,3.22,3.22,3.09,3.16,0.95,146800
1988-01-22,3.16,3.19,3.12,3.16,0.95,104800
1988-01-25,3.16,3.25,3.12,3.25,0.97,368800
1988-01-26,3.25,3.31,3.22,3.31,0.99,167600
1988-01-27,3.31,3.31,3.25,3.31,0.99,192000
1988-01-28,3.31,3.34,3.28,3.31,0.99,68800
1988-01-29,3.31,3.34,3.28,3.34,1.0,270800
1988-02-01,3.31,3.31,3.22,3.25,0.97,108800
1988-02-02,3.25,3.25,3.19,3.19,0.95,42000
1988-02-03,3.19,3.25,3.19,3.22,0.96,176800
1988-02-04,3.22,3.22,3.09,3.12,0.94,309600
1988-02-05,3.12,3.12,3.0,3.03,0.91,86800
1988-02-08,3.03,3.03,2.94,3.0,0.9,202400
1988-02-09,2.97,2.97,2.88,2.91,0.87,148800
1988-02-10,2.91,3.06,2.91,3.0,0.9,319200
1988-02-11,3.0,3.06,3.0,3.0,0.9,141600
1988-02-12,3.03,3.19,3.03,3.09,0.93,79200
1988-02-16,3.09,3.09,3.0,3.03,0.91,49200
1988-02-17,3.0,3.0,2.94,2.97,0.89,524800
1988-02-18,2.97,2.97,2.91,2.94,0.88,179600
1988-02-19,2.94,3.0,2.91,2.97,0.89,144400
1988-02-22,3.0,3.12,3.0,3.12,0.94,185600
1988-02-23,3.09,3.09,3.06,3.06,0.95,53200
1988-02-24,3.06,3.12,3.06,3.06,0.95,178400
1988-02-25,3.06,3.16,3.06,3.09,0.96,54000
1988-02-26,3.09,3.16,3.09,3.12,0.97,82400
1988-02-29,3.12,3.22,3.12,3.22,1.0,134000
1988-03-01,3.25,3.34,3.25,3.34,1.03,527200
1988-03-02,3.34,3.38,3.25,3.31,1.02,740800
1988-03-03,3.28,3.28,3.22,3.22,1.0,353600
1988-03-04,3.22,3.25,3.0,3.12,0.97,908000
1988-03-07,3.12,3.12,3.09,3.12,0.97,545600
1988-03-08,3.12,3.16,3.09,3.12,0.97,758000
1988-03-09,3.12,3.12,3.06,3.06,0.95,130800
1988-03-10,3.06,3.12,3.06,3.09,0.96,336400
1988-03-11,3.09,3.09,3.03,3.06,0.95,312000
1988-03-14,3.06,3.09,3.06,3.09,0.96,86800
1988-03-15,3.09,3.22,3.06,3.22,1.0,872400
1988-03-16,3.22,3.22,3.19,3.19,0.99,157200
1988-03-17,3.25,3.38,3.25,3.31,1.02,399600
1988-03-18,3.31,3.34,3.28,3.28,1.01,162400
1988-03-21,3.28,3.34,3.25,3.25,1.01,307200
1988-03-22,3.31,3.34,3.31,3.34,1.03,550800
1988-03-23,3.34,3.34,3.28,3.34,1.03,347200
1988-03-24,3.34,3.34,3.22,3.25,1.01,805200
1988-03-25,3.25,3.28,3.16,3.16,0.98,263200
1988-03-28,3.16,3.25,3.03,3.25,1.01,242000
1988-03-29,3.28,3.44,3.28,3.41,1.05,414000
1988-03-30,3.41,3.53,3.38,3.41,1.05,252400
1988-03-31,3.41,3.44,3.38,3.38,1.04,150000
1988-04-04,3.38,3.5,3.38,3.41,1.05,206400
1988-04-05,3.41,3.44,3.38,3.41,1.05,828800
1988-04-06,3.38,3.38,3.28,3.31,1.02,310400
1988-04-07,3.31,3.38,3.31,3.31,1.02,203600
1988-04-08,3.31,3.38,3.31,3.38,1.04,53600
1988-04-11,3.38,3.44,3.28,3.38,1.04,62800
1988-04-12,3.38,3.44,3.38,3.44,1.06,54000
1988-04-13,3.44,3.47,3.34,3.38,1.04,76800
1988-04-14,3.31,3.31,3.19,3.22,1.0,88000
1988-04-15,3.19,3.19,3.03,3.12,0.97,335200
1988-04-18,3.12,3.19,3.06,3.19,0.99,156000
