Date,Open,High,Low,Close,Adj Close,Volume
1987-06-10,1.94,2.11,1.94,2.0,2.0,10395200
1987-06-11,2.0,2.03,1.89,1.89,1.89,2233200
1987-06-12,1.89,1.94,1.89,1.89,1.89,1120800
1987-06-15,1.89,1.94,1.89,1.89,1.89,1815200
1987-06-16,1.89,1.92,1.83,1.83,1.83,686600
1987-06-17,1.83,1.89,1.81,1.89,1.89,891200
1987-06-18,1.89,1.89,1.83,1.83,1.83,126800
1987-06-19,1.83,1.86,1.83,1.86,1.86,638000
1987-06-22,1.86,1.86,1.83,1.83,1.83,276600
1987-06-23,1.83,1.86,1.78,1.81,1.81,554600
1987-06-24,1.81,1.81,1.78,1.81,1.81,336800
1987-06-25,1.78,1.78,1.78,1.78,1.78,15200
1987-06-26,1.78,1.81,1.78,1.78,1.78,248600
1987-06-29,1.78,1.81,1.61,1.61,1.61,355400
1987-06-30,1.61,1.67,1.47,1.47,1.47,80400
1987-07-01,1.47,1.67,1.47,1.67,1.67,290600
1987-07-02,1.67,1.72,1.58,1.72,1.72,252200
1987-07-06,1.72,1.78,1.67,1.67,1.67,95600
1987-07-07,1.67,1.89,1.67,1.81,1.81,470600
1987-07-08,1.81,1.86,1.78,1.78,1.78,273800
1987-07-09,1.78,1.86,1.72,1.72,1.72,124400
1987-07-10,1.72,1.83,1.72,1.72,1.72,12000
1987-07-13,1.72,1.78,1.61,1.61,1.61,89000
1987-07-14,1.61,1.69,1.61,1.67,1.67,115200
1987-07-15,1.67,1.69,1.61,1.61,1.61,96600
1987-07-16,1.67,1.72,1.67,1.69,1.69,28800
1987-07-17,1.72,1.72,1.72,1.72,1.72,5600
1987-07-20,1.72,1.72,1.61,1.61,1.61,11600
1987-07-21,1.67,1.72,1.67,1.72,1.72,12000
1987-07-22,1.72,1.72,1.61,1.64,1.64,191600
1987-07-23,1.64,1.69,1.64,1.64,1.64,72200
1987-07-24,1.64,1.69,1.64,1.64,1.64,6600
1987-07-27,1.64,1.67,1.64,1.64,1.64,100200
1987-07-28,1.64,1.67,1.64,1.64,1.64,151200
1987-07-29,1.64,1.64,1.64,1.64,1.64,2600
1987-07-30,1.64,1.67,1.64,1.64,1.64,158400
1987-07-31,1.64,1.72,1.64,1.64,1.64,40800
1987-08-03,1.69,1.72,1.69,1.72,1.72,153800
1987-08-04,1.75,1.86,1.75,1.75,1.75,53400
1987-08-05,1.75,1.86,1.75,1.86,1.86,2600
1987-08-06,1.83,1.83,1.78,1.83,1.83,7200
1987-08-07,1.83,1.83,1.78,1.78,1.78,17000
1987-08-10,1.78,1.81,1.72,1.72,1.72,1800
1987-08-11,1.72,1.81,1.72,1.75,1.75,73800
1987-08-12,1.75,1.81,1.75,1.75,1.75,11000
1987-08-13,1.75,1.81,1.75,1.75,1.75,50600
1987-08-14,1.75,1.75,1.75,1.75,1.75,3600
1987-08-17,1.75,1.75,1.75,1.75,1.75,0
1987-08-18,1.75,1.81,1.75,1.75,1.75,7200
1987-08-19,1.75,1.75,1.75,1.75,1.75,13400
1987-08-20,1.75,1.78,1.72,1.72,1.72,66800
1987-08-21,1.72,1.81,1.72,1.75,1.75,282000
1987-08-24,1.75,1.75,1.72,1.72,1.72,71000
1987-08-25,1.72,1.83,1.72,1.78,1.78,146600
1987-08-26,1.78,1.83,1.72,1.83,1.83,153200
1987-08-27,1.83,1.83,1.75,1.83,1.83,81200
1987-08-28,1.83,1.89,1.81,1.89,1.89,44000
1987-08-31,1.89,1.92,1.81,1.92,1.92,133200
1987-09-01,1.92,2.0,1.83,1.92,1.92,337400
1987-09-02,1.92,2.0,1.92,1.92,1.92,97400
1987-09-03,1.92,1.92,1.92,1.92,1.92,5400
1987-09-04,1.92,2.0,1.92,1.97,1.97,91200
1987-09-08,1.97,1.97,1.94,1.94,1.94,57800
1987-09-09,1.94,2.0,1.92,1.92,1.92,13400
1987-09-10,1.92,2.03,1.92,1.97,1.97,30800
1987-09-11,1.97,2.03,1.97,2.03,2.03,175400
1987-09-14,2.03,2.17,2.0,2.08,2.08,294200
1987-09-15,2.08,2.08,2.03,2.08,2.08,131600
1987-09-16,2.08,2.08,2.06,2.06,2.06,250200
1987-09-17,2.06,2.11,2.06,2.11,2.11,99000
1987-09-18,2.06,2.06,2.06,2.06,2.06,2000
1987-09-21,2.06,2.11,1.97,1.97,1.97,54800
1987-09-22,1.97,2.0,1.89,2.0,2.0,116400
1987-09-23,2.0,2.03,1.94,2.03,2.03,90000
1987-09-24,2.03,2.03,1.94,2.03,2.03,49400
1987-09-25,2.03,2.03,2.03,2.03,2.03,22400
1987-09-28,2.03,2.03,2.03,2.03,2.03,6600
1987-09-29,2.03,2.06,1.97,2.06,2.06,390800
1987-09-30,2.06,2.06,2.0,2.06,2.06,16400
1987-10-01,2.06,2.39,2.06,2.39,2.39,555600
1987-10-02,2.39,2.44,2.28,2.28,2.28,327800
1987-10-05,2.28,2.39,2.25,2.39,2.39,241400
1987-10-06,2.39,2.5,2.33,2.5,2.5,335000
1987-10-07,2.5,2.56,2.44,2.56,2.56,219800
1987-10-08,2.56,2.56,2.42,2.42,2.42,201000
1987-10-09,2.42,2.5,2.42,2.5,2.5,89000
1987-10-12,2.44,2.44,2.28,2.28,2.28,45800
1987-10-13,2.28,2.36,2.28,2.36,2.36,52200
1987-10-14,2.33,2.33,2.22,2.22,2.22,33600
1987-10-15,2.22,2.22,2.17,2.22,2.22,29000
1987-10-16,2.14,2.14,2.06,2.06,2.06,44000
1987-10-19,1.89,1.89,1.72,1.75,1.75,489600
1987-10-20,1.75,1.75,1.56,1.56,1.56,40400
1987-10-21,1.56,1.75,1.56,1.72,1.72,81000
1987-10-22,1.67,1.67,1.61,1.64,1.64,95600
1987-10-23,1.58,1.58,1.5,1.53,1.53,73800
1987-10-26,1.47,1.47,1.22,1.28,1.28,96200
1987-10-27,1.31,1.39,1.31,1.33,1.33,75800
1987-10-28,1.28,1.28,1.17,1.28,1.28,57800
1987-10-29,1.28,1.42,1.17,1.39,1.39,198000
1987-10-30,1.39,1.44,1.36,1.42,1.42,717200
1987-11-02,1.42,1.44,1.36,1.44,1.44,117800
1987-11-03,1.44,1.44,1.36,1.42,1.42,110600
1987-11-04,1.39,1.39,1.33,1.39,1.39,326600
1987-11-05,1.39,1.42,1.36,1.42,1.42,45800
1987-11-06,1.42,1.44,1.39,1.39,1.39,6200
1987-11-09,1.39,1.42,1.33,1.33,1.33,11600
1987-11-10,1.31,1.31,1.31,1.31,1.31,15200
1987-11-11,1.33,1.39,1.33,1.33,1.33,42600
1987-11-12,1.36,1.42,1.36,1.36,1.36,43400
1987-11-13,1.36,1.39,1.33,1.39,1.39,21600
1987-11-16,1.33,1.33,1.33,1.33,1.33,103400
1987-11-17,1.33,1.39,1.22,1.28,1.28,102800
1987-11-18,1.25,1.25,1.22,1.25,1.25,20000
1987-11-19,1.25,1.25,1.25,1.25,1.25,0
1987-11-20,1.25,1.25,1.11,1.17,1.17,132200
1987-11-23,1.17,1.17,1.0,1.08,1.08,45200
1987-11-24,1.06,1.06,0.92,0.94,0.94,73800
1987-11-25,0.94,1.06,0.92,1.06,1.06,294600
1987-11-27,1.06,1.08,1.03,1.03,1.03,47000
1987-11-30,1.03,1.03,0.97,1.0,1.0,100200
1987-12-01,1.0,1.0,0.97,0.97,0.97,197400
1987-12-02,0.97,1.0,0.97,1.0,1.0,16400
1987-12-03,1.0,1.0,0.92,0.92,0.92,5400
1987-12-04,0.92,0.94,0.89,0.92,0.92,59600
1987-12-07,0.92,0.92,0.86,0.86,0.86,15200
1987-12-08,0.92,0.92,0.92,0.92,0.92,6600
1987-12-09,0.92,0.94,0.86,0.94,0.94,73200
1987-12-10,0.94,1.03,0.92,1.03,1.03,47000
1987-12-11,1.03,1.11,0.97,1.08,1.08,257400
1987-12-14,1.11,1.19,1.11,1.14,1.14,109800
1987-12-15,1.14,1.19,1.14,1.17,1.17,67800
1987-12-16,1.17,1.17,1.06,1.08,1.08,732800
1987-12-17,1.08,1.17,1.06,1.11,1.11,298800
1987-12-18,1.17,1.31,1.17,1.22,1.22,110600
1987-12-21,1.22,1.31,1.22,1.22,1.22,165800
1987-12-22,1.22,1.22,1.11,1.11,1.11,109800
1987-12-23,1.14,1.31,1.14,1.31,1.31,660000
1987-12-24,1.31,1.33,1.25,1.33,1.33,143400
1987-12-28,1.33,1.33,1.25,1.25,1.25,184800
1987-12-29,1.25,1.25,1.19,1.22,1.22,359400
1987-12-30,1.22,1.31,1.22,1.31,1.31,632600
1987-12-31,1.31,1.36,1.25,1.33,1.33,281000
1988-01-04,1.33,1.5,1.33,1.47,1.47,245000
1988-01-05,1.5,1.61,1.5,1.53,1.53,767000
1988-01-06,1.53,1.58,1.53,1.53,1.53,311400
1988-01-07,1.53,1.53,1.47,1.53,1.53,33600
1988-01-08,1.53,1.58,1.53,1.53,1.53,255800
1988-01-11,1.42,1.42,1.36,1.39,1.39,114600
1988-01-12,1.39,1.39,1.36,1.36,1.36,25200
1988-01-13,1.33,1.33,1.28,1.28,1.28,45800
1988-01-14,1.28,1.28,1.25,1.25,1.25,79400
1988-01-15,1.28,1.33,1.28,1.33,1.33,418800
1988-01-18,1.33,1.33,1.28,1.33,1.33,174000
1988-01-19,1.33,1.33,1.28,1.33,1.33,198200
1988-01-20,1.33,1.33,1.28,1.28,1.28,297000
1988-01-21,1.28,1.31,1.28,1.28,1.28,95400
1988-01-22,1.31,1.36,1.31,1.33,1.33,222600
1988-01-25,1.33,1.33,1.33,1.33,1.33,0
1988-01-26,1.36,1.36,1.36,1.36,1.36,5400
1988-01-27,1.36,1.36,1.31,1.31,1.31,40400
1988-01-28,1.33,1.39,1.33,1.39,1.39,201000
1988-01-29,1.39,1.44,1.36,1.39,1.39,437400
1988-02-01,1.39,1.44,1.39,1.42,1.42,108200
1988-02-02,1.42,1.44,1.39,1.39,1.39,134000
1988-02-03,1.42,1.44,1.42,1.44,1.44,24600
1988-02-04,1.44,1.44,1.39,1.42,1.42,111800
1988-02-05,1.42,1.44,1.39,1.42,1.42,172800
1988-02-08,1.42,1.44,1.39,1.39,1.39,129000
1988-02-09,1.39,1.44,1.39,1.44,1.44,76800
1988-02-10,1.44,1.44,1.39,1.39,1.39,177200
1988-02-11,1.42,1.5,1.42,1.44,1.44,452000
1988-02-12,1.44,1.47,1.39,1.42,1.42,283800
1988-02-16,1.42,1.44,1.42,1.42,1.42,119000
1988-02-17,1.44,1.44,1.44,1.44,1.44,50600
1988-02-18,1.44,1.44,1.42,1.42,1.42,13400
1988-02-19,1.42,1.47,1.42,1.46,1.46,191600
1988-02-22,1.46,1.56,1.42,1.56,1.56,364400
1988-02-23,1.56,1.78,1.56,1.75,1.75,411600
1988-02-24,1.75,1.78,1.69,1.72,1.72,129800
1988-02-25,1.72,1.75,1.64,1.67,1.67,223200
1988-02-26,1.67,1.81,1.67,1.69,1.69,782400
1988-02-29,1.69,1.72,1.61,1.64,1.64,342800
1988-03-01,1.67,1.72,1.67,1.69,1.69,162200
1988-03-02,1.69,1.71,1.64,1.71,1.71,691400
1988-03-03,1.71,1.78,1.69,1.78,1.78,466200
1988-03-04,1.78,1.86,1.78,1.81,1.81,1521800
1988-03-07,1.81,1.94,1.81,1.94,1.94,327000
1988-03-08,1.94,1.94,1.81,1.89,1.89,328800
1988-03-09,1.89,1.92,1.86,1.92,1.92,363800
1988-03-10,1.92,1.97,1.86,1.89,1.89,184400
1988-03-11,1.89,1.94,1.89,1.94,1.94,92600
1988-03-14,1.94,1.94,1.89,1.92,1.92,89400
1988-03-15,1.92,1.94,1.92,1.92,1.92,695000
1988-03-16,1.92,1.97,1.92,1.94,1.94,145200
1988-03-17,1.97,2.03,1.97,2.0,2.0,704000
1988-03-18,2.0,2.08,2.0,2.0,2.0,290000
1988-03-21,2.0,2.03,1.92,1.94,1.94,427800
1988-03-22,1.94,1.97,1.94,1.97,1.97,199200
1988-03-23,1.97,1.97,1.94,1.97,1.97,137600
1988-03-24,1.94,1.94,1.86,1.92,1.92,144200
1988-03-25,1.92,1.94,1.89,1.89,1.89,30800
1988-03-28,1.86,1.86,1.78,1.78,1.78,55800
1988-03-29,1.78,1.83,1.75,1.75,1.75,248400
1988-03-30,1.75,1.78,1.67,1.67,1.67,163200
1988-03-31,1.67,1.67,1.56,1.67,1.67,79200
1988-04-04,1.64,1.64,1.56,1.64,1.64,17000
1988-04-05,1.64,1.72,1.61,1.69,1.69,152000
1988-04-06,1.72,1.83,1.72,1.75,1.75,267600
1988-04-07,1.81,2.0,1.81,2.0,2.0,870600
