Date,Open,High,Low,Close,Adj Close,Volume
1987-07-28,0.48,0.48,0.48,0.48,0.48,7893600
1987-07-29,0.48,0.49,0.48,0.48,0.48,2196000
1987-07-30,0.48,0.49,0.48,0.48,0.48,1936800
1987-07-31,0.51,0.51,0.51,0.51,0.51,1514400
1987-08-03,0.54,0.56,0.54,0.54,0.54,1888800
1987-08-04,0.61,0.62,0.61,0.61,0.61,5001600
1987-08-05,0.67,0.68,0.67,0.67,0.67,3206400
1987-08-06,0.67,0.67,0.65,0.65,0.65,1728000
1987-08-07,0.66,0.67,0.66,0.66,0.66,1228800
1987-08-10,0.65,0.65,0.64,0.64,0.64,912000
1987-08-11,0.61,0.61,0.61,0.61,0.61,1132800
1987-08-12,0.61,0.61,0.61,0.61,0.61,518400
1987-08-13,0.62,0.64,0.62,0.62,0.62,688800
1987-08-14,0.66,0.67,0.66,0.66,0.66,1096800
1987-08-17,0.66,0.67,0.66,0.66,0.66,273600
1987-08-18,0.66,0.67,0.66,0.66,0.66,372000
1987-08-19,0.66,0.67,0.66,0.66,0.66,369600
1987-08-20,0.66,0.66,0.66,0.66,0.66,676800
1987-08-21,0.65,0.65,0.65,0.65,0.65,684000
1987-08-24,0.65,0.66,0.65,0.65,0.65,528000
1987-08-25,0.66,0.67,0.66,0.66,0.66,1173600
1987-08-26,0.69,0.7,0.69,0.69,0.69,842400
1987-08-27,0.73,0.74,0.73,0.73,0.73,1005600
1987-08-28,0.79,0.8,0.79,0.79,0.79,1735200
1987-08-31,0.79,0.8,0.79,0.79,0.79,842400
1987-09-01,0.79,0.83,0.79,0.81,0.81,924000
1987-09-02,0.81,0.82,0.8,0.82,0.82,739200
1987-09-03,0.82,0.84,0.81,0.84,0.84,703200
1987-09-04,0.84,0.84,0.81,0.83,0.83,878400
1987-09-08,0.83,0.83,0.78,0.79,0.79,736800
1987-09-09,0.79,0.8,0.77,0.77,0.77,499200
1987-09-10,0.77,0.8,0.74,0.76,0.76,1099200
1987-09-11,0.76,0.76,0.73,0.76,0.76,794400
1987-09-14,0.76,0.82,0.76,0.8,0.8,775200
1987-09-15,0.8,0.82,0.8,0.81,0.81,350400
1987-09-16,0.81,0.9,0.81,0.89,0.89,1603200
1987-09-17,0.89,0.94,0.88,0.94,0.94,1075200
1987-09-18,0.94,0.96,0.94,0.96,0.96,780000
1987-09-21,0.96,0.96,0.91,0.93,0.93,900000
1987-09-22,0.93,0.95,0.92,0.95,0.95,811200
1987-09-23,0.95,0.95,0.92,0.92,0.92,561600
1987-09-24,0.92,0.92,0.91,0.92,0.92,64800
1987-09-25,0.92,0.92,0.85,0.89,0.89,660000
1987-09-28,0.89,0.89,0.87,0.88,0.88,410400
