Date,Open,High,Low,Close,Adj Close,Volume
2005-08-11,3.25,3.31,3.2,3.24,1.9,76671500
2005-08-12,3.25,3.6,3.25,3.59,2.11,29113500
2005-08-15,3.55,3.57,3.45,3.46,2.03,10596500
2005-08-16,3.38,3.46,3.38,3.43,2.02,5141000
2005-08-17,3.43,3.44,3.36,3.37,1.98,6423500
2005-08-18,3.39,3.4,3.25,3.27,1.92,12727000
2005-08-19,3.3,3.34,3.25,3.32,1.95,3029500
2005-08-22,3.33,3.4,3.28,3.4,2.0,2909500
2005-08-23,3.5,3.59,3.46,3.51,2.06,13466000
2005-08-24,3.5,3.55,3.47,3.5,2.06,3083000
2005-08-25,3.54,3.55,3.48,3.49,2.05,4667000
2005-08-26,3.51,3.52,3.48,3.49,2.05,2704000
2005-08-29,3.38,3.44,3.37,3.4,2.0,5458000
2005-08-30,3.42,3.48,3.39,3.41,2.0,2581000
2005-08-31,3.41,3.41,3.32,3.36,1.97,3004500
2005-09-01,3.37,3.37,3.11,3.25,1.91,12468500
2005-09-02,3.28,3.32,3.2,3.21,1.89,5748500
2005-09-06,3.24,3.29,3.23,3.28,1.93,2726500
2005-09-07,3.28,3.29,3.2,3.24,1.9,3643500
2005-09-08,3.25,3.3,3.25,3.26,1.92,2558500
2005-09-09,3.31,3.32,3.28,3.31,1.95,2468500
2005-09-12,3.29,3.3,3.2,3.22,1.89,3300500
2005-09-13,3.22,3.22,3.14,3.18,1.87,3798500
2005-09-14,3.15,3.17,3.13,3.14,1.85,2055500
2005-09-15,3.15,3.16,3.01,3.02,1.77,6004000
2005-09-16,3.01,3.07,2.91,3.06,1.8,9555000
2005-09-19,3.05,3.19,3.04,3.1,1.82,5559000
2005-09-20,3.1,3.21,3.09,3.16,1.86,4178000
2005-09-21,3.14,3.14,2.94,3.0,1.76,8313500
2005-09-22,3.0,3.01,2.9,2.9,1.71,7184000
2005-09-23,2.9,3.14,2.9,3.12,1.83,4830500
2005-09-26,3.12,3.16,3.05,3.1,1.82,7826500
2005-09-27,3.09,3.11,3.07,3.09,1.82,4505000
2005-09-28,3.08,3.08,3.0,3.03,1.78,3055000
2005-09-29,3.04,3.1,2.96,3.0,1.76,6141000
2005-09-30,3.01,3.02,2.93,2.96,1.74,12109000
2005-10-03,2.97,2.97,2.87,2.9,1.7,4279000
2005-10-04,2.89,2.9,2.81,2.81,1.65,2002000
2005-10-05,2.8,2.8,2.57,2.63,1.55,10826000
2005-10-06,2.64,2.7,2.62,2.68,1.58,4121000
2005-10-07,2.76,2.76,2.69,2.7,1.59,2174500
2005-10-10,2.71,2.73,2.49,2.51,1.48,2443000
2005-10-11,2.53,2.53,2.4,2.43,1.43,3256500
2005-10-12,2.42,2.44,2.36,2.39,1.4,2545500
2005-10-13,2.39,2.39,2.24,2.26,1.33,3555000
2005-10-14,2.27,2.5,2.26,2.47,1.45,7229500
2005-10-17,2.47,2.48,2.42,2.44,1.43,3007000
2005-10-18,2.44,2.44,2.39,2.4,1.41,2575000
2005-10-19,2.42,2.45,2.39,2.43,1.43,5052000
2005-10-20,2.44,2.62,2.44,2.56,1.51,7568500
2005-10-21,2.57,2.61,2.55,2.59,1.52,4029500
2005-10-24,2.59,2.64,2.59,2.63,1.54,2160000
2005-10-25,2.65,2.68,2.62,2.64,1.55,2629500
2005-10-26,2.63,2.67,2.59,2.62,1.54,2839500
2005-10-27,2.61,2.64,2.59,2.6,1.53,810000
2005-10-28,2.64,2.69,2.64,2.67,1.57,1664500
2005-10-31,2.7,2.8,2.7,2.76,1.62,3915000
2005-11-01,2.83,2.85,2.71,2.72,1.6,2830000
2005-11-02,2.72,2.75,2.65,2.71,1.59,3455000
2005-11-03,2.68,2.7,2.64,2.66,1.56,1815000
2005-11-04,2.66,2.76,2.64,2.68,1.58,2600500
2005-11-07,2.68,2.76,2.67,2.71,1.59,1783500
2005-11-08,2.69,2.71,2.66,2.7,1.59,1599500
2005-11-09,2.71,2.76,2.69,2.71,1.6,2294000
2005-11-10,2.72,2.88,2.66,2.75,1.63,4019000
2005-11-11,2.76,2.83,2.76,2.81,1.66,1347500
2005-11-14,2.8,2.84,2.78,2.81,1.67,1282500
2005-11-15,2.83,3.01,2.81,2.95,1.75,7032000
2005-11-16,3.02,3.1,3.0,3.03,1.8,4794000
2005-11-17,3.05,3.18,3.02,3.16,1.87,8077500
2005-11-18,3.16,3.16,3.03,3.12,1.85,3764000
2005-11-21,3.18,3.19,3.13,3.16,1.87,4266000
2005-11-22,3.16,3.18,3.1,3.15,1.86,1920000
2005-11-23,3.15,3.15,3.09,3.1,1.84,1068000
2005-11-25,3.11,3.13,3.11,3.12,1.85,154000
2005-11-28,3.13,3.14,3.07,3.1,1.83,1477000
2005-11-29,3.12,3.12,3.09,3.1,1.84,792000
2005-11-30,3.1,3.12,3.08,3.09,1.83,1513500
2005-12-01,3.08,3.1,3.02,3.05,1.81,3586000
2005-12-02,3.05,3.11,3.03,3.11,1.84,3127500
2005-12-05,3.09,3.16,3.06,3.13,1.85,3232000
2005-12-06,3.15,3.17,3.13,3.16,1.87,1503000
