Date,Open,High,Low,Close,Adj Close,Volume
1997-10-16,5.81,5.81,5.56,5.69,3.95,7436400
1997-10-17,5.66,5.75,5.41,5.59,3.88,3390400
1997-10-20,5.5,5.62,5.47,5.53,3.84,3068000
1997-10-21,5.56,5.69,5.5,5.59,3.88,2382400
1997-10-22,5.69,5.75,5.59,5.72,3.97,1525200
1997-10-23,5.69,5.69,5.53,5.59,3.88,1622400
1997-10-24,5.66,5.72,5.56,5.72,3.97,813600
1997-10-27,5.66,5.75,5.38,5.42,3.76,1507200
1997-10-28,5.25,5.69,4.94,5.59,3.88,2955600
1997-10-29,5.69,5.72,5.59,5.66,3.93,1859200
1997-10-30,5.53,5.56,5.38,5.5,3.82,856000
1997-10-31,5.44,5.64,5.44,5.5,3.82,561600
1997-11-03,5.62,5.84,5.53,5.73,3.98,1004000
1997-11-04,5.75,5.88,5.69,5.78,4.01,364000
1997-11-05,5.81,6.06,5.78,5.91,4.1,324400
1997-11-06,5.88,6.25,5.88,6.25,4.34,361600
1997-11-07,6.19,6.62,6.03,6.44,4.47,662400
1997-11-10,6.31,6.5,6.16,6.16,4.27,266800
1997-11-11,5.94,6.0,5.75,6.0,4.17,618000
1997-11-12,6.0,6.0,5.56,5.69,3.95,314800
1997-11-13,5.56,5.62,5.47,5.5,3.82,500000
1997-11-14,5.44,5.5,5.31,5.44,3.77,438000
1997-11-17,5.5,5.84,5.5,5.81,4.04,284000
1997-11-18,5.88,5.88,5.69,5.72,3.97,1429600
1997-11-19,5.72,5.81,5.56,5.56,3.86,148400
1997-11-20,5.62,5.62,5.31,5.56,3.86,1268000
1997-11-21,5.56,5.62,5.5,5.53,3.84,640800
1997-11-24,5.5,5.59,5.5,5.53,3.84,64400
1997-11-25,5.56,5.62,5.5,5.52,3.83,326800
1997-11-26,5.5,5.53,5.23,5.25,3.65,463200
1997-11-28,5.28,5.31,5.25,5.25,3.64,212800
1997-12-01,5.25,5.38,5.25,5.27,3.66,475200
1997-12-02,5.38,5.5,5.28,5.34,3.71,1280800
1997-12-03,5.44,5.5,5.34,5.5,3.82,934400
1997-12-04,5.5,5.62,5.41,5.55,3.85,681600
1997-12-05,5.5,5.75,5.44,5.69,3.95,282800
1997-12-08,5.69,5.75,5.66,5.72,3.97,227600
1997-12-09,5.75,5.81,5.59,5.59,3.88,124000
1997-12-10,5.62,5.62,5.31,5.38,3.74,269600
1997-12-11,5.25,5.38,5.16,5.31,3.7,400800
1997-12-12,5.38,5.38,5.16,5.16,3.59,412400
1997-12-15,5.25,5.38,5.17,5.22,3.63,289200
1997-12-16,5.12,5.31,5.12,5.22,3.63,190800
1997-12-17,5.16,5.19,5.03,5.03,3.5,584800
1997-12-18,5.09,5.09,4.97,5.0,3.48,272400
1997-12-19,5.03,5.03,4.94,4.94,3.44,921600
1997-12-22,4.94,5.31,4.94,5.06,3.52,924000
1997-12-23,5.19,5.19,4.94,5.0,3.48,2331200
1997-12-24,5.03,5.03,4.94,4.94,3.44,50400
1997-12-26,5.0,5.06,4.97,5.06,3.52,1248400
1997-12-29,5.06,5.28,5.0,5.28,3.68,430800
1997-12-30,5.06,5.34,5.06,5.28,3.68,662800
1997-12-31,5.41,5.69,5.25,5.59,3.89,911600
1998-01-02,5.53,5.78,5.53,5.78,4.02,112400
1998-01-05,6.03,6.09,5.62,5.62,3.92,629600
1998-01-06,5.59,5.59,5.25,5.42,3.77,915200
1998-01-07,5.42,5.75,5.42,5.56,3.87,164800
1998-01-08,5.5,5.78,5.5,5.75,4.0,236000
1998-01-09,5.66,5.75,5.5,5.5,3.83,140400
1998-01-12,5.38,5.53,5.34,5.34,3.72,927200
1998-01-13,5.5,5.5,5.31,5.44,3.79,100400
1998-01-14,5.44,5.56,5.34,5.36,3.73,585600
1998-01-15,5.44,5.44,5.34,5.38,3.74,417200
1998-01-16,5.44,5.59,5.34,5.56,3.87,69200
1998-01-20,5.5,5.78,5.5,5.78,4.02,348800
1998-01-21,5.75,5.78,5.72,5.75,4.0,141600
1998-01-22,5.72,5.75,5.66,5.66,3.94,92400
1998-01-23,5.66,5.88,5.66,5.81,4.05,211200
1998-01-26,5.88,5.88,5.62,5.72,3.98,497200
1998-01-27,5.75,5.75,5.62,5.62,3.92,96400
1998-01-28,5.62,5.69,5.62,5.66,3.94,154800
1998-01-29,5.66,5.81,5.66,5.72,3.98,108400
1998-01-30,5.8,5.8,5.66,5.72,3.98,130400
1998-02-02,5.78,6.16,5.78,6.0,4.18,580800
1998-02-03,5.94,6.12,5.94,6.0,4.18,159200
1998-02-04,6.0,6.09,5.91,5.91,4.11,557600
1998-02-05,5.88,5.97,5.88,5.88,4.09,73200
1998-02-06,5.97,6.09,5.88,5.94,4.13,246800
1998-02-09,5.91,6.19,5.91,6.06,4.22,724800
1998-02-10,6.06,6.31,6.06,6.25,4.35,401600
1998-02-11,6.16,6.25,5.53,5.75,4.0,2063200
1998-02-12,5.81,5.91,5.75,5.91,4.11,464400
1998-02-13,5.97,5.97,5.81,5.94,4.13,163200
1998-02-17,6.03,6.03,5.88,5.91,4.11,697200
1998-02-18,6.0,6.0,5.91,5.91,4.11,2071200
1998-02-19,6.0,6.0,5.84,5.84,4.07,184800
1998-02-20,5.84,5.91,5.78,5.78,4.02,89200
1998-02-23,5.78,5.84,5.72,5.72,3.98,621600
1998-02-24,5.72,5.83,5.5,5.5,3.83,417600
1998-02-25,5.5,5.62,5.47,5.59,3.89,201200
1998-02-26,5.56,5.56,5.47,5.47,3.81,149200
1998-02-27,5.53,5.69,5.47,5.69,3.96,278000
1998-03-02,5.6,5.69,5.41,5.41,3.76,360400
1998-03-03,5.5,5.5,5.34,5.38,3.74,414000
1998-03-04,5.5,5.5,5.38,5.41,3.76,489600
1998-03-05,5.34,5.44,5.34,5.41,3.76,228000
1998-03-06,5.38,5.5,5.38,5.44,3.79,424400
1998-03-09,5.5,5.5,5.38,5.44,3.79,106400
1998-03-10,5.44,5.44,5.38,5.38,3.75,232400
1998-03-11,5.44,5.56,5.38,5.52,3.85,1950800
1998-03-12,5.5,5.62,5.5,5.53,3.86,297200
1998-03-13,5.53,5.78,5.5,5.69,3.97,247200
1998-03-16,5.75,5.97,5.62,5.91,4.12,792400
1998-03-17,5.81,5.84,5.69,5.75,4.01,916400
1998-03-18,5.69,5.78,5.69,5.78,4.04,1550000
1998-03-19,5.81,5.92,5.75,5.88,4.1,597200
1998-03-20,5.81,5.91,5.81,5.88,4.1,258000
1998-03-23,5.81,5.91,5.81,5.81,4.06,368000
1998-03-24,5.84,6.03,5.81,6.0,4.19,906800
