Date,Open,High,Low,Close,Adj Close,Volume
1990-02-08,1.45,1.45,1.42,1.44,0.26,9012000
1990-02-09,1.46,1.46,1.43,1.43,0.26,3483200
1990-02-12,1.43,1.44,1.4,1.42,0.25,1982400
1990-02-13,1.42,1.42,1.41,1.41,0.25,2212800
1990-02-14,1.42,1.42,1.4,1.4,0.25,657600
1990-02-15,1.41,1.41,1.34,1.36,0.24,1493600
1990-02-16,1.38,1.38,1.35,1.36,0.24,638400
1990-02-20,1.36,1.36,1.33,1.33,0.24,1190400
1990-02-21,1.34,1.34,1.33,1.33,0.24,272000
1990-02-22,1.33,1.35,1.33,1.35,0.24,38400
1990-02-23,1.33,1.33,1.29,1.29,0.23,1143200
1990-02-26,1.3,1.3,1.28,1.28,0.23,316800
1990-02-27,1.28,1.29,1.28,1.29,0.23,324800
1990-02-28,1.29,1.34,1.29,1.34,0.24,475200
1990-03-01,1.33,1.36,1.33,1.36,0.24,428000
1990-03-02,1.35,1.38,1.35,1.38,0.25,1364000
1990-03-05,1.36,1.38,1.35,1.36,0.24,240800
1990-03-06,1.36,1.39,1.36,1.39,0.25,430400
1990-03-07,1.4,1.4,1.38,1.38,0.25,202400
1990-03-08,1.38,1.38,1.38,1.38,0.25,792800
1990-03-09,1.36,1.36,1.33,1.34,0.24,171200
1990-03-12,1.32,1.32,1.3,1.3,0.23,1059200
1990-03-13,1.31,1.33,1.31,1.33,0.24,89600
1990-03-14,1.33,1.33,1.32,1.32,0.24,127200
1990-03-15,1.31,1.33,1.31,1.32,0.24,571200
1990-03-16,1.32,1.35,1.32,1.35,0.24,302400
1990-03-19,1.34,1.35,1.34,1.35,0.24,14400
1990-03-20,1.35,1.35,1.32,1.32,0.24,228000
1990-03-21,1.31,1.31,1.29,1.29,0.23,328800
1990-03-22,1.29,1.29,1.29,1.29,0.23,48000
1990-03-23,1.3,1.3,1.3,1.3,0.23,0
1990-03-26,1.29,1.31,1.29,1.31,0.24,50400
1990-03-27,1.31,1.32,1.31,1.32,0.24,204000
1990-03-28,1.32,1.32,1.32,1.32,0.24,2400
1990-03-29,1.31,1.31,1.3,1.31,0.24,8000
1990-03-30,1.31,1.31,1.31,1.31,0.24,0
1990-04-02,1.29,1.29,1.28,1.28,0.23,160800
1990-04-03,1.29,1.3,1.29,1.3,0.23,36000
1990-04-04,1.31,1.33,1.31,1.32,0.24,161600
1990-04-05,1.31,1.33,1.3,1.3,0.23,151200
1990-04-06,1.3,1.32,1.28,1.31,0.24,273600
1990-04-09,1.31,1.33,1.31,1.33,0.24,64800
1990-04-10,1.33,1.33,1.33,1.33,0.24,60000
1990-04-11,1.33,1.33,1.29,1.31,0.24,297600
1990-04-12,1.31,1.31,1.29,1.29,0.23,19200
1990-04-16,1.29,1.29,1.28,1.28,0.23,288800
1990-04-17,1.28,1.28,1.28,1.28,0.23,0
1990-04-18,1.28,1.28,1.25,1.25,0.22,464000
1990-04-19,1.23,1.24,1.23,1.24,0.22,458400
1990-04-20,1.23,1.23,1.23,1.23,0.22,27200
1990-04-23,1.23,1.23,1.18,1.2,0.21,393600
1990-04-24,1.18,1.18,1.17,1.17,0.21,375200
1990-04-25,1.19,1.19,1.19,1.19,0.21,20000
1990-04-26,1.19,1.21,1.19,1.21,0.22,14400
1990-04-27,1.19,1.21,1.19,1.19,0.21,79200
1990-04-30,1.19,1.19,1.18,1.19,0.21,108000
1990-05-01,1.19,1.21,1.19,1.19,0.21,208800
1990-05-02,1.19,1.19,1.19,1.19,0.21,4800
1990-05-03,1.19,1.2,1.19,1.2,0.21,188000
1990-05-04,1.19,1.19,1.19,1.19,0.21,41600
1990-05-07,1.2,1.22,1.2,1.21,0.22,52800
1990-05-08,1.2,1.2,1.2,1.2,0.21,29600
1990-05-09,1.2,1.21,1.2,1.21,0.22,72800
1990-05-10,1.21,1.21,1.21,1.21,0.22,48000
1990-05-11,1.21,1.24,1.21,1.22,0.22,202400
1990-05-14,1.24,1.26,1.24,1.25,0.22,82400
1990-05-15,1.25,1.25,1.24,1.24,0.22,120800
1990-05-16,1.26,1.28,1.26,1.28,0.23,36000
1990-05-17,1.28,1.32,1.28,1.31,0.24,132800
1990-05-18,1.31,1.31,1.31,1.31,0.24,0
1990-05-21,1.31,1.33,1.31,1.33,0.24,60000
1990-05-22,1.35,1.36,1.33,1.33,0.24,160800
1990-05-23,1.33,1.35,1.33,1.33,0.24,200000
1990-05-24,1.33,1.33,1.32,1.33,0.24,1267200
1990-05-25,1.3,1.31,1.3,1.31,0.24,111200
1990-05-29,1.31,1.32,1.31,1.32,0.24,372000
1990-05-30,1.33,1.33,1.33,1.33,0.25,180000
1990-05-31,1.34,1.35,1.33,1.33,0.25,305600
1990-06-01,1.33,1.33,1.33,1.33,0.25,196800
1990-06-04,1.34,1.35,1.34,1.35,0.25,29600
1990-06-05,1.35,1.38,1.35,1.36,0.25,14400
1990-06-06,1.35,1.36,1.35,1.36,0.25,187200
1990-06-07,1.36,1.36,1.35,1.35,0.25,87200
1990-06-08,1.35,1.38,1.35,1.36,0.25,317600
1990-06-11,1.38,1.38,1.38,1.38,0.25,5600
1990-06-12,1.38,1.4,1.38,1.4,0.26,40800
1990-06-13,1.41,1.41,1.39,1.39,0.26,53600
1990-06-14,1.39,1.39,1.39,1.39,0.26,12800
1990-06-15,1.39,1.39,1.39,1.39,0.26,5600
1990-06-18,1.39,1.4,1.39,1.4,0.26,70400
1990-06-19,1.39,1.4,1.39,1.4,0.26,21600
1990-06-20,1.39,1.39,1.38,1.38,0.25,27200
1990-06-21,1.39,1.39,1.39,1.39,0.26,120000
1990-06-22,1.39,1.4,1.38,1.4,0.26,363200
1990-06-25,1.4,1.42,1.4,1.4,0.26,1195200
1990-06-26,1.38,1.39,1.36,1.36,0.25,111200
1990-06-27,1.35,1.38,1.35,1.36,0.25,243200
1990-06-28,1.34,1.34,1.33,1.34,0.25,360800
1990-06-29,1.36,1.36,1.36,1.36,0.25,22400
1990-07-02,1.36,1.36,1.36,1.36,0.25,800
1990-07-03,1.35,1.35,1.35,1.35,0.25,249600
1990-07-05,1.35,1.35,1.35,1.35,0.25,0
1990-07-06,1.35,1.35,1.35,1.35,0.25,0
1990-07-09,1.36,1.36,1.36,1.36,0.25,3200
1990-07-10,1.36,1.36,1.36,1.36,0.25,0
1990-07-11,1.35,1.36,1.35,1.36,0.25,22400
1990-07-12,1.36,1.36,1.35,1.35,0.25,36000
1990-07-13,1.38,1.42,1.38,1.4,0.26,276000
1990-07-16,1.42,1.42,1.41,1.41,0.26,28800
1990-07-17,1.41,1.42,1.41,1.42,0.26,60000
1990-07-18,1.41,1.41,1.4,1.41,0.26,519200
1990-07-19,1.4,1.4,1.38,1.39,0.26,328800
1990-07-20,1.39,1.39,1.39,1.39,0.26,800
1990-07-23,1.36,1.36,1.36,1.36,0.25,3200
1990-07-24,1.36,1.38,1.36,1.38,0.25,8000
1990-07-25,1.39,1.39,1.39,1.39,0.26,36000
1990-07-26,1.38,1.38,1.35,1.36,0.25,154400
1990-07-27,1.36,1.36,1.36,1.36,0.25,2400
1990-07-30,1.36,1.38,1.36,1.38,0.25,106400
1990-07-31,1.39,1.43,1.39,1.43,0.26,204800
1990-08-01,1.41,1.45,1.41,1.44,0.27,285600
1990-08-02,1.5,1.5,1.48,1.49,0.28,444800
1990-08-03,1.49,1.5,1.48,1.49,0.28,122400
1990-08-06,1.5,1.5,1.49,1.49,0.28,648800
1990-08-07,1.5,1.5,1.47,1.47,0.27,14400
1990-08-08,1.47,1.47,1.46,1.46,0.27,31200
1990-08-09,1.45,1.45,1.45,1.45,0.28,65600
1990-08-10,1.44,1.44,1.44,1.44,0.27,800
1990-08-13,1.44,1.44,1.42,1.43,0.27,34400
1990-08-14,1.43,1.43,1.41,1.41,0.27,64800
1990-08-15,1.42,1.42,1.41,1.42,0.27,516000
1990-08-16,1.4,1.4,1.38,1.38,0.26,120800
1990-08-17,1.4,1.4,1.4,1.4,0.27,2400
1990-08-20,1.4,1.42,1.4,1.41,0.27,46400
1990-08-21,1.41,1.41,1.41,1.41,0.27,0
1990-08-22,1.41,1.42,1.4,1.41,0.27,252800
1990-08-23,1.4,1.4,1.39,1.39,0.26,125600
1990-08-24,1.4,1.4,1.39,1.4,0.27,40800
1990-08-27,1.41,1.43,1.41,1.42,0.27,171200
1990-08-28,1.42,1.43,1.42,1.42,0.27,129600
1990-08-29,1.42,1.43,1.42,1.42,0.27,33600
1990-08-30,1.44,1.44,1.42,1.42,0.27,7200
1990-08-31,1.43,1.43,1.43,1.43,0.27,27200
1990-09-04,1.42,1.45,1.42,1.45,0.28,300800
1990-09-05,1.46,1.49,1.46,1.49,0.28,128000
1990-09-06,1.49,1.5,1.48,1.48,0.28,15200
1990-09-07,1.49,1.51,1.49,1.5,0.28,50400
1990-09-10,1.51,1.52,1.48,1.48,0.28,14400
1990-09-11,1.5,1.5,1.49,1.49,0.28,24000
1990-09-12,1.51,1.52,1.5,1.52,0.29,269600
