Date,Open,High,Low,Close,Adj Close,Volume
1973-02-21,2.01,2.06,2.01,2.06,0.8,268800
1973-02-22,2.06,2.1,2.06,2.09,0.81,208000
1973-02-23,2.09,2.09,2.08,2.09,0.81,390400
1973-02-26,2.09,2.11,2.08,2.08,0.8,403200
1973-02-27,2.08,2.09,2.08,2.08,0.8,64000
1973-02-28,2.08,2.09,2.08,2.08,0.8,89600
1973-03-01,2.08,2.09,2.03,2.03,0.79,176000
1973-03-02,2.02,2.02,1.97,2.0,0.77,150400
1973-03-05,2.0,2.0,1.92,1.94,0.75,65600
1973-03-06,1.94,1.98,1.94,1.98,0.76,52800
1973-03-07,1.98,2.0,1.98,2.0,0.77,124800
1973-03-08,2.0,2.0,1.97,1.97,0.76,25600
1973-03-09,1.97,1.97,1.95,1.97,0.76,132800
1973-03-12,1.97,2.0,1.97,1.98,0.77,48000
1973-03-13,1.98,2.06,1.98,2.05,0.79,142400
1973-03-14,2.05,2.08,2.02,2.03,0.79,451200
1973-03-15,2.03,2.04,2.02,2.03,0.79,200000
1973-03-16,2.03,2.04,2.02,2.03,0.79,105600
1973-03-19,2.03,2.03,1.98,2.0,0.77,105600
1973-03-20,2.0,2.01,1.99,2.01,0.78,94400
1973-03-21,2.01,2.02,2.01,2.02,0.78,185600
1973-03-22,2.02,2.02,1.99,1.99,0.77,148800
1973-03-23,1.97,1.97,1.95,1.95,0.75,142400
1973-03-26,1.95,1.96,1.92,1.92,0.74,70400
1973-03-27,1.92,1.95,1.91,1.91,0.74,52800
1973-03-28,1.91,1.91,1.89,1.91,0.74,65600
1973-03-29,1.93,1.97,1.93,1.95,0.75,212800
1973-03-30,1.95,1.98,1.95,1.98,0.77,22400
1973-04-02,2.0,2.05,2.0,2.04,0.79,156800
1973-04-03,2.04,2.05,1.98,2.0,0.77,105600
1973-04-04,2.0,2.0,1.95,2.0,0.78,121600
1973-04-05,1.99,1.99,1.97,1.99,0.78,75200
1973-04-06,1.99,2.01,1.99,2.0,0.78,65600
1973-04-09,2.0,2.02,2.0,2.01,0.78,120000
1973-04-10,2.02,2.08,2.02,2.08,0.81,467200
1973-04-11,2.08,2.09,2.06,2.06,0.8,107200
1973-04-12,2.06,2.09,2.06,2.08,0.81,68800
1973-04-13,2.08,2.11,2.07,2.09,0.82,222400
1973-04-16,2.09,2.09,2.08,2.09,0.81,91200
1973-04-17,2.09,2.11,2.03,2.09,0.82,145600
1973-04-18,2.09,2.12,2.08,2.12,0.83,97600
1973-04-19,2.12,2.14,2.12,2.12,0.83,84800
1973-04-23,2.12,2.16,2.12,2.12,0.83,224000
1973-04-24,2.12,2.12,2.06,2.08,0.81,57600
1973-04-25,2.06,2.06,2.01,2.02,0.79,52800
1973-04-26,2.02,2.03,2.0,2.03,0.79,73600
1973-04-27,2.03,2.03,2.0,2.0,0.78,40000
1973-04-30,1.98,1.98,1.9,1.93,0.75,73600
1973-05-01,1.91,1.91,1.88,1.89,0.74,75200
1973-05-02,1.89,1.91,1.88,1.91,0.74,65600
1973-05-03,1.91,2.02,1.89,2.0,0.78,81600
1973-05-04,2.02,2.05,2.02,2.05,0.8,184000
1973-05-07,2.05,2.06,2.03,2.04,0.8,38400
1973-05-08,2.04,2.05,2.03,2.04,0.8,30400
1973-05-09,2.04,2.05,2.02,2.02,0.79,83200
1973-05-10,2.02,2.03,2.0,2.01,0.78,64000
1973-05-11,2.01,2.02,1.98,2.02,0.79,51200
1973-05-14,2.0,2.0,1.9,1.91,0.75,121600
1973-05-15,1.89,1.89,1.81,1.83,0.71,188800
1973-05-16,1.83,1.84,1.78,1.78,0.69,81600
1973-05-17,1.81,1.86,1.81,1.83,0.71,219200
1973-05-18,1.83,1.84,1.82,1.84,0.72,424000
1973-05-21,1.84,1.84,1.83,1.84,0.72,92800
1973-05-22,1.84,1.93,1.84,1.92,0.75,196800
1973-05-23,1.92,2.0,1.92,1.98,0.77,174400
1973-05-24,1.98,1.98,1.94,1.94,0.76,72000
1973-05-25,1.94,2.0,1.94,1.99,0.78,72000
1973-05-29,1.99,2.01,1.99,2.0,0.78,238400
1973-05-30,2.0,2.01,1.99,2.0,0.78,144000
1973-05-31,1.99,1.99,1.95,1.97,0.77,48000
1973-06-01,1.97,1.98,1.94,1.96,0.77,43200
1973-06-04,1.96,1.98,1.91,1.91,0.74,92800
1973-06-05,1.91,1.94,1.89,1.94,0.76,51200
1973-06-06,1.94,1.95,1.91,1.93,0.75,64000
1973-06-07,1.93,2.02,1.93,1.99,0.78,110400
1973-06-08,1.99,2.02,1.97,2.02,0.79,147200
1973-06-11,2.02,2.05,2.02,2.05,0.8,51200
1973-06-12,2.05,2.05,2.02,2.05,0.8,126400
1973-06-13,2.05,2.06,2.05,2.05,0.8,43200
1973-06-14,2.05,2.05,1.92,1.94,0.76,203200
1973-06-15,1.91,1.91,1.88,1.88,0.73,120000
1973-06-18,1.88,1.89,1.87,1.88,0.73,75200
1973-06-19,1.88,1.88,1.85,1.86,0.73,49600
1973-06-20,1.84,1.84,1.81,1.84,0.72,120000
1973-06-21,1.82,1.82,1.8,1.81,0.71,76800
1973-06-22,1.83,1.87,1.83,1.87,0.73,131200
1973-06-25,1.88,1.9,1.88,1.88,0.73,86400
1973-06-26,1.86,1.86,1.84,1.84,0.72,60800
1973-06-27,1.84,1.85,1.84,1.84,0.72,51200
1973-06-28,1.84,1.87,1.83,1.87,0.73,48000
1973-06-29,1.87,1.88,1.81,1.82,0.71,371200
1973-07-02,1.82,1.82,1.78,1.78,0.69,230400
1973-07-03,1.78,1.81,1.77,1.77,0.69,116800
1973-07-05,1.74,1.74,1.7,1.73,0.67,105600
1973-07-06,1.73,1.74,1.72,1.74,0.68,38400
1973-07-09,1.73,1.73,1.72,1.73,0.68,73600
1973-07-10,1.74,1.78,1.74,1.77,0.69,94400
