Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.94,0.94,0.89,0.89,0.15,12300
1980-03-18,0.91,0.94,0.91,0.94,0.16,22500
1980-03-19,0.94,0.94,0.92,0.92,0.16,19500
1980-03-20,0.94,0.97,0.94,0.95,0.17,24300
1980-03-21,0.97,0.99,0.97,0.99,0.17,21100
1980-03-24,0.97,0.97,0.92,0.95,0.17,83800
1980-03-25,0.95,0.95,0.94,0.94,0.16,16300
1980-03-26,0.94,0.95,0.92,0.92,0.16,569800
1980-03-27,0.92,0.92,0.89,0.89,0.15,13500
1980-03-28,0.91,0.94,0.91,0.94,0.16,14100
1980-03-31,0.95,0.97,0.95,0.97,0.17,8100
1980-04-01,0.97,0.99,0.95,0.97,0.17,21100
1980-04-02,0.99,0.99,0.99,0.99,0.17,6000
1980-04-03,0.99,0.99,0.97,0.99,0.17,15400
1980-04-07,0.99,0.99,0.97,0.99,0.17,25600
1980-04-08,0.99,1.02,0.99,1.02,0.18,37800
1980-04-09,1.02,1.04,1.02,1.02,0.18,26200
1980-04-10,1.04,1.05,1.04,1.05,0.18,69700
1980-04-11,1.05,1.05,1.05,1.05,0.18,52800
1980-04-14,1.05,1.07,1.04,1.05,0.18,24400
1980-04-15,1.05,1.07,1.05,1.07,0.19,20200
1980-04-16,1.07,1.09,1.05,1.05,0.18,64900
1980-04-17,1.05,1.07,1.05,1.05,0.18,33700
1980-04-18,1.05,1.07,1.05,1.05,0.18,6300
1980-04-21,1.05,1.07,1.05,1.05,0.18,6000
1980-04-22,1.04,1.04,1.0,1.0,0.17,31600
1980-04-23,1.0,1.04,1.0,1.0,0.17,22500
1980-04-24,1.02,1.02,1.02,1.02,0.18,1300
1980-04-25,1.02,1.02,1.02,1.02,0.18,18100
1980-04-28,1.02,1.04,1.02,1.04,0.18,6000
1980-04-29,1.04,1.04,1.0,1.04,0.18,48600
1980-04-30,1.04,1.04,1.02,1.04,0.18,18100
1980-05-01,1.04,1.04,1.02,1.04,0.18,7300
1980-05-02,1.04,1.04,1.04,1.04,0.18,16300
1980-05-05,1.04,1.04,1.02,1.04,0.18,29200
1980-05-06,1.04,1.07,1.04,1.07,0.19,25600
1980-05-07,1.07,1.09,1.07,1.07,0.19,34600
1980-05-08,1.07,1.09,1.07,1.07,0.19,6300
1980-05-09,1.09,1.1,1.09,1.1,0.19,21600
1980-05-12,1.1,1.1,1.09,1.1,0.19,17100
1980-05-13,1.1,1.1,1.07,1.07,0.19,10300
1980-05-14,1.07,1.09,1.05,1.05,0.18,9400
1980-05-15,1.05,1.07,1.05,1.07,0.19,7300
1980-05-16,1.07,1.07,1.05,1.05,0.18,10900
1980-05-19,1.05,1.07,1.05,1.07,0.19,39300
1980-05-20,1.07,1.07,1.05,1.07,0.19,42400
1980-05-21,1.07,1.1,1.07,1.1,0.19,52800
1980-05-22,1.07,1.07,1.05,1.05,0.18,4200
1980-05-23,1.07,1.09,1.07,1.09,0.19,18100
1980-05-27,1.09,1.09,1.07,1.07,0.19,10300
1980-05-28,1.07,1.12,1.07,1.12,0.19,60900
1980-05-29,1.12,1.12,1.1,1.12,0.19,12300
1980-05-30,1.1,1.1,1.09,1.1,0.19,24300
1980-06-02,1.09,1.09,1.09,1.09,0.19,4900
1980-06-03,1.09,1.09,1.07,1.07,0.19,1900
1980-06-04,1.07,1.07,1.07,1.07,0.19,4200
1980-06-05,1.07,1.07,1.05,1.05,0.18,25600
1980-06-06,1.05,1.09,1.05,1.09,0.19,9000
1980-06-09,1.09,1.09,1.07,1.09,0.19,30300
1980-06-10,1.09,1.09,1.05,1.05,0.18,25600
1980-06-11,1.05,1.07,1.05,1.07,0.19,6000
1980-06-12,1.09,1.09,1.09,1.09,0.19,12100
1980-06-13,1.09,1.1,1.09,1.1,0.19,32400
1980-06-16,1.1,1.1,1.09,1.09,0.19,17100
1980-06-17,1.09,1.09,1.07,1.09,0.19,24400
1980-06-18,1.09,1.09,1.05,1.09,0.19,35200
1980-06-19,1.09,1.12,1.09,1.1,0.19,209800
1980-06-20,1.12,1.14,1.12,1.14,0.2,35200
1980-06-23,1.14,1.2,1.14,1.19,0.21,99100
1980-06-24,1.19,1.22,1.17,1.17,0.2,44500
1980-06-25,1.17,1.2,1.17,1.17,0.2,71700
1980-06-26,1.17,1.2,1.17,1.17,0.2,36400
1980-06-27,1.17,1.19,1.15,1.15,0.2,36400
1980-06-30,1.15,1.15,1.14,1.15,0.2,49900
1980-07-01,1.15,1.17,1.15,1.17,0.2,37800
1980-07-02,1.17,1.17,1.15,1.17,0.2,89200
1980-07-03,1.17,1.2,1.17,1.17,0.2,70200
1980-07-07,1.19,1.2,1.19,1.19,0.21,39300
1980-07-08,1.19,1.2,1.17,1.19,0.21,40600
1980-07-09,1.19,1.22,1.19,1.2,0.21,25600
1980-07-10,1.2,1.22,1.19,1.19,0.21,36400
1980-07-11,1.19,1.22,1.19,1.2,0.21,12100
1980-07-14,1.19,1.19,1.17,1.19,0.21,27100
1980-07-15,1.19,1.19,1.19,1.19,0.21,24300
